"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,2,"mod2",NA,NA,NA,NA,35.581178200583,9.80599909102993,3.62851126848778,0.0221891318738445,0.587628865979381
"36",2,1,0.7,"mod2",NA,NA,NA,NA,17.4106859996562,5.05214845477594,3.44619445677558,0.0748681686397675,0.587628865979381
"71",3,1,1.7,"mod2",NA,NA,NA,NA,21.8417037162326,3.03218151320596,7.20329690722871,0.000803351429648576,0.587628865979381
"141",5,1,1.9,"mod2",NA,NA,NA,NA,27.6958806298185,2.84302491577116,9.7416946563432,0.065121904739058,0.587628865979381
"176",6,1,1.7,"mod2",NA,NA,NA,NA,24.5052352824541,5.14916167990101,4.75907279783167,0.0176135306902944,0.587628865979381
"246",8,1,1.5,"mod2",NA,NA,NA,NA,59.6055630884384,28.8465761550517,2.066295936407,0.130704905794631,0.587628865979381
"491",15,1,1.1,"mod2",NA,NA,NA,NA,22.7147365221858,3.96534555317034,5.72831200146607,0.0105604787018581,0.587628865979381
"561",17,1,1,"mod2",NA,NA,NA,NA,21.5860361125363,3.97974650597286,5.42397262743736,0.00288583681877477,0.587628865979381
"596",18,1,0.9,"mod2",NA,NA,NA,NA,36.5265689814398,11.1097751564359,3.28778651836889,0.0813780044720722,0.587628865979381
"631",19,1,2,"mod2",NA,NA,NA,NA,16.6308258654392,3.10122901816735,5.36265647200318,0.00303277005254539,0.587628865979381
"666",20,1,1,"mod2",NA,NA,NA,NA,19.2040481126053,2.00339294955469,9.58576205275852,2.8256361607194e-05,0.587628865979381
"736",22,1,1.1,"mod2",NA,NA,NA,NA,28.4765742111207,7.1516783349247,3.9818029946981,0.0576704281872394,0.587628865979381
"771",23,1,1.8,"mod2",NA,NA,NA,NA,5.49140666234478,2.49575345870978,2.20030013108091,0.27156678389926,0.587628865979381
"876",26,1,1,"mod2",NA,NA,NA,NA,26.8089732895027,4.68548025244913,5.7217130038035,0.00228087165751117,0.587628865979381
"911",27,1,1.7,"mod2",NA,NA,NA,NA,44.3616540199738,14.0828438092785,3.15004942330939,0.195692428760876,0.587628865979381
"1051",31,1,1.1,"mod2",NA,NA,NA,NA,24.4241715208657,4.41761408209614,5.52881511761129,0.0116587862042755,0.587628865979381
"1155",34,1,1.9,"mod2",NA,NA,NA,NA,16.3363886072104,1.83613400794912,8.89716574960529,0.000298531139696966,0.587628865979381
"1190",35,1,0.7,"mod2",NA,NA,NA,NA,30.0835275520554,7.09026340014517,4.24293511457408,0.0132324873371628,0.587628865979381
"1225",36,1,0.7,"mod2",NA,NA,NA,NA,35.1421715996662,14.857648653054,2.36525795031792,0.141717049643612,0.587628865979381
"1260",37,1,1.1,"mod2",NA,NA,NA,NA,19.7030133183785,2.33169613163695,8.45007762848845,0.000149990480567438,0.587628865979381
"1330",39,1,1.2,"mod2",NA,NA,NA,NA,24.4138638020727,3.98453747679773,6.12715125512975,0.00168042772844959,0.587628865979381
"1365",40,1,1.9,"mod2",NA,NA,NA,NA,18.1308092062048,2.49270992148682,7.2735335346964,0.000768091455467878,0.587628865979381
"1435",42,1,1,"mod2",NA,NA,NA,NA,29.8619090810908,5.64317950163719,5.29168159056916,0.118903569337151,0.587628865979381
"1470",43,1,1.9,"mod2",NA,NA,NA,NA,37.409276193157,10.7162769852093,3.49088365714974,0.0397414685226708,0.587628865979381
"1505",44,1,1,"mod2",NA,NA,NA,NA,29.8344170831376,10.9916438568959,2.71428163717479,0.113156231201116,0.587628865979381
"1540",45,1,1.3,"mod2",NA,NA,NA,NA,36.7512273517886,17.1551458280977,2.14228591934178,0.278030530018412,0.587628865979381
"1575",46,1,2,"mod2",NA,NA,NA,NA,19.3570365986188,2.68273672890501,7.21540671138446,0.00195634579498371,0.587628865979381
"1714",50,1,2,"mod2",NA,NA,NA,NA,36.7903438573302,12.0689124461256,3.04835618135093,0.0928666504611699,0.587628865979381
"1749",51,1,1.1,"mod2",NA,NA,NA,NA,43.0223614643719,14.0884365293134,3.05373569131369,0.201466148466742,0.587628865979381
"1819",53,1,1.4,"mod2",NA,NA,NA,NA,56.0608162508317,34.7418470195549,1.61363948840363,0.247949921710105,0.587628865979381
"1854",54,1,1.5,"mod2",NA,NA,NA,NA,18.74193694461,3.76841443514136,4.97342775514206,0.00419936760661825,0.587628865979381
"1889",55,1,0.9,"mod2",NA,NA,NA,NA,17.5654121606639,2.13815178864652,8.21523160981151,0.00043512856492498,0.587628865979381
"1924",56,1,1,"mod2",NA,NA,NA,NA,7.88875398687379,4.02018342349356,1.96228707893592,0.188733705747196,0.587628865979381
"1959",57,1,2,"mod2",NA,NA,NA,NA,18.0130369876683,3.80489738315313,4.73417156200436,0.00907611228188936,0.587628865979381
"1994",58,1,1,"mod2",NA,NA,NA,NA,23.7928839819297,3.50281504697449,6.79250364716814,0.000498349135262262,0.587628865979381
"2133",62,1,0.8,"mod2",NA,NA,NA,NA,23.1266340960849,4.87880030984543,4.74022969323324,0.0178043642316776,0.587628865979381
"2238",65,1,0.9,"mod2",NA,NA,NA,NA,40.7586198505937,12.6128638181082,3.23151192610809,0.0481604456470455,0.587628865979381
"2343",68,1,0.7,"mod2",NA,NA,NA,NA,21.0770878190241,4.10396117191261,5.13579123586137,0.00681110980083007,0.587628865979381
"2413",70,1,1,"mod2",NA,NA,NA,NA,19.7899524446425,3.8212974051402,5.17885690289956,0.00661152015591926,0.587628865979381
"2448",71,1,0.7,"mod2",NA,NA,NA,NA,33.9136147018831,11.0974682373041,3.05597763171627,0.0924662034669515,0.587628865979381
"2518",73,1,2,"mod2",NA,NA,NA,NA,18.6947530639256,3.54283273013292,5.27678117708486,0.00618362355505861,0.587628865979381
"2553",74,1,1.2,"mod2",NA,NA,NA,NA,6.37987092102373,4.55448359607592,1.40078908759723,0.296273344696039,0.587628865979381
"2588",75,1,1.7,"mod2",NA,NA,NA,NA,42.3649932567304,14.8775433619555,2.84757988775655,0.104371258681952,0.587628865979381
"2728",79,1,1.9,"mod2",NA,NA,NA,NA,24.732606250747,4.29193192314444,5.76258120902974,0.00221002999911998,0.587628865979381
"2763",80,1,0.9,"mod2",NA,NA,NA,NA,28.5935388285155,8.48550473161129,3.36969216716068,0.0779146484537707,0.587628865979381
"2903",84,1,1.3,"mod2",NA,NA,NA,NA,25.0621909569394,5.14045579305991,4.87548030094445,0.0164916986167511,0.587628865979381
"2973",86,1,1.4,"mod2",NA,NA,NA,NA,15.746087053736,2.19717654589695,7.16650971135686,0.000822582880065431,0.587628865979381
"3008",87,1,1,"mod2",NA,NA,NA,NA,16.9024015961682,2.06492483244142,8.18548032868783,0.00044261628523149,0.587628865979381
