"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,1.4,"mod2",NA,NA,NA,NA,44.8542720709595,14.4720803416414,3.09936588327924,0.0902327973405224
"2",1,2,2.6,"mod2",NA,NA,NA,NA,28.6223406359312,5.83829267728898,4.90251897567116,0.0044646842351947
"3",1,3,3.5,"mod2",NA,NA,NA,NA,30.3279443794642,5.09499728158256,5.95249471262603,0.00100557456138686
"4",1,4,5.5,"mod2",NA,NA,NA,NA,31.4351698348091,4.87303548722938,6.45083950592814,0.00065734407967188
"5",1,5,6.5,"mod2",NA,NA,NA,NA,31.4351698348091,4.87303548722938,6.45083950592814,0.00065734407967188
"6",1,6,7.5,"mod2",NA,NA,NA,NA,31.4351698348091,4.87303548722938,6.45083950592814,0.00065734407967188
"7",1,7,9.5,"mod2",NA,NA,NA,NA,31.4351698348091,4.87303548722938,6.45083950592814,0.00065734407967188
"8",1,8,10.2,"mod2",NA,NA,NA,NA,34.0639894792144,6.4902412321629,5.24849358609471,0.00333036793744972
"9",1,9,11.2,"mod2",NA,NA,NA,NA,34.0639894792144,6.4902412321629,5.24849358609471,0.00333036793744972
"10",1,10,12,"mod2",NA,NA,NA,NA,32.5714224124011,5.24095537176635,6.2147872099555,0.00080135853532634
"11",1,11,14,"mod2",NA,NA,NA,NA,33.8393150863091,5.22700380181697,6.47394116578721,0.000644918873365162
"12",1,12,14.7,"mod2",NA,NA,NA,NA,33.8393150863091,5.22700380181697,6.47394116578721,0.000644918873365162
"13",1,13,16.7,"mod2",NA,NA,NA,NA,34.7210381558133,5.34016947663159,6.50186071954298,0.000630260170487335
"14",1,14,17.7,"mod2",NA,NA,NA,NA,34.927776432122,5.28404841929734,6.61004094976983,0.000576959742872546
"15",1,15,19.5,"mod2",NA,NA,NA,NA,35.1588840915174,5.36506156481995,6.55330487203781,0.000604239432871481
"16",1,16,20.6,"mod2",NA,NA,NA,NA,35.1588840915174,5.36506156481995,6.55330487203781,0.000604239432871481
"17",1,17,21.6,"mod2",NA,NA,NA,NA,35.1588840915174,5.36506156481995,6.55330487203781,0.000604239432871481
"18",1,18,23.3,"mod2",NA,NA,NA,NA,35.1588840915174,5.36506156481995,6.55330487203781,0.000604239432871481
"19",1,19,25.2,"mod2",NA,NA,NA,NA,35.1588840915174,5.36506156481995,6.55330487203781,0.000604239432871481
"20",1,20,26.7,"mod2",NA,NA,NA,NA,35.796990493832,5.40857520378494,6.6185620325259,0.000572985939967984
"21",1,21,28.6,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"22",1,22,29.2,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"23",1,23,30.8,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"24",1,24,32,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"25",1,25,33,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"26",1,26,34.5,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"27",1,27,35.4,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"28",1,28,36.5,"mod3",0.288839879747024,0.0378184957884248,7.63752956656277,0.000122405581797923,NA,NA,NA,NA
"29",1,29,38.5,"mod3",0.315298405702804,0.0332467944869211,9.48357309535025,1.25926733812254e-05,NA,NA,NA,NA
"30",1,30,39.4,"mod3",0.315298405702804,0.0332467944869211,9.48357309535025,1.25926733812254e-05,NA,NA,NA,NA
"31",1,31,40.6,"mod3",0.315298405702804,0.0332467944869211,9.48357309535025,1.25926733812254e-05,NA,NA,NA,NA
"32",1,32,41.7,"mod3",0.314978194452173,0.0331294888221433,9.50748730664526,1.23597753471316e-05,NA,NA,NA,NA
"33",1,33,43.6,"mod3",0.314978194452173,0.0331294888221433,9.50748730664526,1.23597753471316e-05,NA,NA,NA,NA
"34",1,34,44.4,"mod1",0.180816753646276,0.0604162747065007,2.99284844232246,0.0201449530919079,59.6270784750183,27.6018006730571,2.16026045479062,0.0675819411543623
"35",1,35,45.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"36",2,1,0.8,"mod2",NA,NA,NA,NA,30.5963606029033,12.4376701704624,2.4599752351984,0.133052246643646
"37",2,2,1.9,"mod2",NA,NA,NA,NA,34.1404056028579,7.60867611764381,4.48703625637178,0.0109306387204247
"38",2,3,3.8,"mod2",NA,NA,NA,NA,34.1404056028579,7.60867611764381,4.48703625637178,0.0109306387204247
"39",2,4,4.8,"mod2",NA,NA,NA,NA,42.137545193406,8.1750066405615,5.1544355920562,0.0141579799272038
"40",2,5,6.2,"mod2",NA,NA,NA,NA,35.6968692658348,7.63370641667171,4.67621720267814,0.00947434623788628
"41",2,6,7.4,"mod2",NA,NA,NA,NA,33.0495899297164,5.05464698372503,6.53845659966554,0.00125259852467307
"42",2,7,8.4,"mod2",NA,NA,NA,NA,33.0495899297164,5.05464698372503,6.53845659966554,0.00125259852467307
"43",2,8,9.9,"mod2",NA,NA,NA,NA,34.9141477846185,5.29961876910308,6.58804893441939,0.00121024106314551
"44",2,9,11.8,"mod2",NA,NA,NA,NA,34.9141477846185,5.29961876910308,6.58804893441939,0.00121024106314551
"45",2,10,12.6,"mod2",NA,NA,NA,NA,33.8176159366739,5.13387432867184,6.58715304887931,0.000587790997172759
"46",2,11,13.3,"mod2",NA,NA,NA,NA,33.8176159366739,5.13387432867184,6.58715304887931,0.000587790997172759
"47",2,12,15.3,"mod2",NA,NA,NA,NA,34.0228940513119,5.07679701608189,6.701645534288,0.000535842582139418
"48",2,13,16.3,"mod2",NA,NA,NA,NA,34.0228940513119,5.07679701608189,6.701645534288,0.000535842582139418
"49",2,14,17.3,"mod2",NA,NA,NA,NA,34.0228940513119,5.07679701608189,6.701645534288,0.000535842582139418
"50",2,15,19.3,"mod2",NA,NA,NA,NA,34.0228940513119,5.07679701608189,6.701645534288,0.000535842582139418
"51",2,16,20.6,"mod2",NA,NA,NA,NA,34.2838317847237,5.2460412732751,6.53518148234474,0.000613263171016306
"52",2,17,21.5,"mod2",NA,NA,NA,NA,34.2838317847237,5.2460412732751,6.53518148234474,0.000613263171016306
"53",2,18,22.7,"mod2",NA,NA,NA,NA,34.2838317847237,5.2460412732751,6.53518148234474,0.000613263171016306
"54",2,19,23.8,"mod3",0.290996508224375,0.0384788069847677,7.56251378426492,0.000130292172483788,NA,NA,NA,NA
"55",2,20,25.6,"mod3",0.290588846480221,0.0384553840049305,7.5565191714888,0.000130946731577919,NA,NA,NA,NA
"56",2,21,27.1,"mod3",0.290588846480221,0.0384553840049305,7.5565191714888,0.000130946731577919,NA,NA,NA,NA
"57",2,22,27.8,"mod3",0.289486702255929,0.0382203996226494,7.57414116843454,0.000129033057103919,NA,NA,NA,NA
"58",2,23,28.9,"mod3",0.289486702255929,0.0382203996226494,7.57414116843454,0.000129033057103919,NA,NA,NA,NA
"59",2,24,30.1,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"60",2,25,32.1,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"61",2,26,34,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"62",2,27,34.6,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"63",2,28,36.3,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"64",2,29,37.3,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"65",2,30,38.2,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"66",2,31,39.8,"mod2",NA,NA,NA,NA,31.9138086049547,4.0842432831418,7.81388531302302,0.000231800756435382
"67",2,32,41.8,"mod2",NA,NA,NA,NA,32.494359416669,4.10588809128702,7.91408793766793,0.000216016740051781
"68",2,33,43.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"69",2,34,44.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"70",2,35,45.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"71",3,1,2,"mod2",NA,NA,NA,NA,31.399791542138,6.75010945800872,4.651745536494,0.0187373159630169
"72",3,2,3.9,"mod2",NA,NA,NA,NA,33.2682104079464,6.69578716904581,4.96852865362017,0.00765949557785409
"73",3,3,5,"mod2",NA,NA,NA,NA,33.9120949273696,6.65997983421502,5.09192156305781,0.00702203653872795
"74",3,4,6.7,"mod2",NA,NA,NA,NA,36.007171182038,8.25838925229145,4.36007193195055,0.0222999792312743
"75",3,5,8.1,"mod2",NA,NA,NA,NA,36.3489264298256,8.32837853758807,4.36446617619189,0.0222400730737799
"76",3,6,10.1,"mod2",NA,NA,NA,NA,28.3856853827882,4.29557124489091,6.60812817772485,0.00119357366610402
"77",3,7,11.1,"mod2",NA,NA,NA,NA,30.216700952144,4.41876482953138,6.83826863792355,0.000480610129844983
"78",3,8,12.3,"mod2",NA,NA,NA,NA,26.9624211727912,3.86724942429499,6.97198918782087,0.000216894954995759
"79",3,9,14.2,"mod2",NA,NA,NA,NA,30.6729337017937,4.59379815951035,6.67703121398418,0.000546550613360571
"80",3,10,15.7,"mod2",NA,NA,NA,NA,28.3429092452902,3.99786143170941,7.08951766574144,0.000195455925950079
"81",3,11,16.4,"mod2",NA,NA,NA,NA,28.3429092452902,3.99786143170941,7.08951766574144,0.000195455925950079
"82",3,12,18.4,"mod2",NA,NA,NA,NA,29.0432731569898,4.14356207483279,7.0092525784501,0.000209823533529266
"83",3,13,19.4,"mod2",NA,NA,NA,NA,29.0432731569898,4.14356207483279,7.0092525784501,0.000209823533529266
"84",3,14,20.4,"mod2",NA,NA,NA,NA,29.0432731569898,4.14356207483279,7.0092525784501,0.000209823533529266
"85",3,15,21.2,"mod2",NA,NA,NA,NA,29.2743942981673,4.26435721683408,6.86490197927204,0.000238755778615195
"86",3,16,23.1,"mod3",0.317073377679607,0.033695813863281,9.40987444215223,1.33417671120588e-05,NA,NA,NA,NA
"87",3,17,24.4,"mod3",0.316638931956249,0.0338241222004197,9.36133479178123,1.38622395339561e-05,NA,NA,NA,NA
"88",3,18,25.9,"mod3",0.316638931956249,0.0338241222004197,9.36133479178123,1.38622395339561e-05,NA,NA,NA,NA
"89",3,19,26.9,"mod3",0.316638931956249,0.0338241222004197,9.36133479178123,1.38622395339561e-05,NA,NA,NA,NA
"90",3,20,28,"mod3",0.316307752073039,0.0337027583825563,9.38521851780392,1.36033676830201e-05,NA,NA,NA,NA
"91",3,21,28.9,"mod3",0.316307752073039,0.0337027583825563,9.38521851780392,1.36033676830201e-05,NA,NA,NA,NA
"92",3,22,30.7,"mod3",0.315943220884286,0.0336887884794734,9.37828978554068,1.36779077199207e-05,NA,NA,NA,NA
"93",3,23,31.6,"mod3",0.315943220884286,0.0336887884794734,9.37828978554068,1.36779077199207e-05,NA,NA,NA,NA
"94",3,24,33.6,"mod3",0.315943220884286,0.0336887884794734,9.37828978554068,1.36779077199207e-05,NA,NA,NA,NA
"95",3,25,34.4,"mod3",0.311749897459011,0.034249819901688,9.10223464981335,1.70532186924879e-05,NA,NA,NA,NA
"96",3,26,35.1,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"97",3,27,36.1,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"98",3,28,37.7,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"99",3,29,38.6,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"100",3,30,39.8,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"101",3,31,40.4,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"102",3,32,41.4,"mod3",0.310708710094142,0.0340221970116586,9.13252927163021,1.66408516398079e-05,NA,NA,NA,NA
"103",3,33,43.4,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"104",3,34,44.5,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"105",3,35,45.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"106",4,1,1.3,"mod2",NA,NA,NA,NA,40.8839960876801,20.1531599010081,2.02866430319124,0.179657989251999
"107",4,2,2.1,"mod2",NA,NA,NA,NA,32.1851822425565,6.70426112479285,4.80070534895088,0.00864370552569253
"108",4,3,3,"mod2",NA,NA,NA,NA,31.8722338389408,6.05418557136048,5.26449568868741,0.00328665849844312
"109",4,4,4.1,"mod2",NA,NA,NA,NA,34.9003657098872,6.81401267700521,5.12185218375996,0.0037013581725736
"110",4,5,5.1,"mod2",NA,NA,NA,NA,34.9003657098872,6.81401267700521,5.12185218375996,0.0037013581725736
"111",4,6,6.1,"mod2",NA,NA,NA,NA,35.7561866608889,7.14098345267376,5.007179598981,0.00407957091935775
"112",4,7,7.2,"mod2",NA,NA,NA,NA,44.3941118993989,7.438348393572,5.96827542223795,0.00395868204470998
"113",4,8,9.1,"mod2",NA,NA,NA,NA,46.4181203719062,8.5699122876469,5.41640553764075,0.00563043771433501
"114",4,9,9.8,"mod2",NA,NA,NA,NA,39.9993987033754,7.76089387035713,5.15396800568989,0.00360288852370821
"115",4,10,11,"mod2",NA,NA,NA,NA,32.7147179440809,4.91530525538542,6.65568387807395,0.000556036635479138
"116",4,11,12.9,"mod2",NA,NA,NA,NA,27.4871607132819,4.09950601923742,6.70499337829853,0.000276168035572397
"117",4,12,14,"mod2",NA,NA,NA,NA,27.656774309289,4.12659950910448,6.70207376515944,0.000276909822494288
"118",4,13,16,"mod2",NA,NA,NA,NA,28.5516561960715,4.28827450164881,6.65807568640803,0.000288363951959532
"119",4,14,17,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"120",4,15,18,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"121",4,16,19.7,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"122",4,17,20.5,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"123",4,18,21.9,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"124",4,19,22.9,"mod2",NA,NA,NA,NA,30.0341868173184,4.80769077850279,6.24711284503029,0.00153993446262211
"125",4,20,24.4,"mod2",NA,NA,NA,NA,31.477023290909,3.9614535132498,7.94582674910318,0.000211278251181049
"126",4,21,26.4,"mod2",NA,NA,NA,NA,32.2819152767993,4.03928757859188,7.99198240994096,0.000204599642683573
"127",4,22,28.3,"mod2",NA,NA,NA,NA,32.2819152767993,4.03928757859188,7.99198240994096,0.000204599642683573
"128",4,23,28.9,"mod2",NA,NA,NA,NA,32.2819152767993,4.03928757859188,7.99198240994096,0.000204599642683573
"129",4,24,30.4,"mod2",NA,NA,NA,NA,32.2819152767993,4.03928757859188,7.99198240994096,0.000204599642683573
"130",4,25,32.2,"mod2",NA,NA,NA,NA,32.494359416669,4.10588809128702,7.91408793766793,0.000216016740051781
"131",4,26,33.8,"mod2",NA,NA,NA,NA,32.494359416669,4.10588809128702,7.91408793766793,0.000216016740051781
"132",4,27,34.5,"mod2",NA,NA,NA,NA,32.494359416669,4.10588809128702,7.91408793766793,0.000216016740051781
"133",4,28,35.4,"mod2",NA,NA,NA,NA,32.494359416669,4.10588809128702,7.91408793766793,0.000216016740051781
"134",4,29,37.4,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"135",4,30,38.6,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"136",4,31,39.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"137",4,32,41.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"138",4,33,43.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"139",4,34,44.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"140",4,35,45.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"141",5,1,2,"mod2",NA,NA,NA,NA,13.4455994140735,4.03097880777461,3.3355668822026,0.0445341467925211
"142",5,2,2.8,"mod2",NA,NA,NA,NA,24.7712129734755,6.19938555844615,3.99575292421145,0.0280864303763469
"143",5,3,4.7,"mod2",NA,NA,NA,NA,26.9324193659346,4.39131157232206,6.1331151120514,0.00167309560862767
"144",5,4,5.3,"mod2",NA,NA,NA,NA,21.2449960913735,3.26002848237981,6.51681302976368,0.000622567007017894
"145",5,5,6.3,"mod3",0.265958202331527,0.0288966567503618,9.20377068631643,0.000254129689636781,NA,NA,NA,NA
"146",5,6,7,"mod2",NA,NA,NA,NA,26.4560347499154,3.35464905391691,7.88637926790737,9.9855124086302e-05
"147",5,7,8.7,"mod2",NA,NA,NA,NA,26.6052698003616,3.38215184361418,7.86637354872012,0.000101483290477327
"148",5,8,9.9,"mod2",NA,NA,NA,NA,27.4165824554263,3.68107843336886,7.44797562771166,0.000143464360927557
"149",5,9,11,"mod2",NA,NA,NA,NA,27.7342011860411,3.69059566962164,7.51483057716927,0.000135602693384518
"150",5,10,12,"mod2",NA,NA,NA,NA,27.8901983742688,3.57427686398188,7.80303245540918,0.000106839343156135
"151",5,11,13.1,"mod2",NA,NA,NA,NA,27.8901983742688,3.57427686398188,7.80303245540918,0.000106839343156135
"152",5,12,15.1,"mod2",NA,NA,NA,NA,28.4109232373242,3.63876697233177,7.80784355067346,0.000106421510363883
"153",5,13,16.1,"mod2",NA,NA,NA,NA,28.8144708819836,3.76427521274353,7.65471950202669,0.000120675115261903
"154",5,14,18,"mod2",NA,NA,NA,NA,29.0404424184474,3.89097233968502,7.46354378371095,0.00014158875866943
"155",5,15,19,"mod2",NA,NA,NA,NA,29.0404424184474,3.89097233968502,7.46354378371095,0.00014158875866943
"156",5,16,20.2,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"157",5,17,21.1,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"158",5,18,23,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"159",5,19,23.7,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"160",5,20,25.7,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"161",5,21,27.1,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"162",5,22,28.1,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029
"163",5,23,29.9,"mod1",0.176600422899896,0.0617487022761691,2.85998598173054,0.0243380875432291,55.0448960035837,24.8822528119835,2.21221512455148,0.0625922712889836
"164",5,24,31.4,"mod1",0.17780710891808,0.0604291781256419,2.94240488507705,0.0216391531923627,56.6740324740968,25.467780282797,2.22532281356216,0.0613931224684477
"165",5,25,32.3,"mod1",0.17780710891808,0.0604291781256419,2.94240488507705,0.0216391531923627,56.6740324740968,25.467780282797,2.22532281356216,0.0613931224684477
"166",5,26,33.8,"mod1",0.17780710891808,0.0604291781256419,2.94240488507705,0.0216391531923627,56.6740324740968,25.467780282797,2.22532281356216,0.0613931224684477
"167",5,27,34.8,"mod1",0.17780710891808,0.0604291781256419,2.94240488507705,0.0216391531923627,56.6740324740968,25.467780282797,2.22532281356216,0.0613931224684477
"168",5,28,36.8,"mod1",0.17780710891808,0.0604291781256419,2.94240488507705,0.0216391531923627,56.6740324740968,25.467780282797,2.22532281356216,0.0613931224684477
"169",5,29,38.8,"mod1",0.179010760791024,0.0591969372084661,3.02398686879062,0.0192774962143084,58.3348341537532,26.0841929834907,2.2364055575986,0.0603973306255605
"170",5,30,39.6,"mod1",0.180816753646276,0.0604162747065007,2.99284844232246,0.0201449530919079,59.6270784750183,27.6018006730571,2.16026045479062,0.0675819411543623
"171",5,31,40.9,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"172",5,32,41.8,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"173",5,33,43.4,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"174",5,34,44.6,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"175",5,35,45.7,"mod3",0.310399349784074,0.0338093175052334,9.18088186003834,1.60055061898655e-05,NA,NA,NA,NA
"176",6,1,1,"mod2",NA,NA,NA,NA,34.85344243205,2.85018608888147,12.2284795957754,0.0519448334761597
"177",6,2,2,"mod2",NA,NA,NA,NA,44.9028422915488,2.85701925138551,15.7166747370614,0.0404514807331841
"178",6,3,3.3,"mod2",NA,NA,NA,NA,42.6930568589217,12.7577062938379,3.34645240105135,0.044175081831022
"179",6,4,4.4,"mod2",NA,NA,NA,NA,58.2035708693768,14.8582657117185,3.91725198610981,0.0295793055685984
"180",6,5,5.8,"mod2",NA,NA,NA,NA,46.0182479221426,12.3050810881179,3.73977608051514,0.0201249856787402
"181",6,6,7,"mod2",NA,NA,NA,NA,46.2638803952595,7.96927891418467,5.80527810526415,0.0101730544706501
"182",6,7,8.5,"mod2",NA,NA,NA,NA,39.7153990071997,8.08342590956409,4.91318896857946,0.00796819728771778
"183",6,8,9.3,"mod2",NA,NA,NA,NA,49.3257481611784,8.90419917186285,5.53960521425072,0.0115956570818643
"184",6,9,10.3,"mod2",NA,NA,NA,NA,49.3257481611784,8.90419917186285,5.53960521425072,0.0115956570818643
"185",6,10,11,"mod2",NA,NA,NA,NA,43.4291404709239,9.92324731369108,4.37650489784778,0.0119073722949502
"186",6,11,12.2,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"187",6,12,13.8,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"188",6,13,14.8,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"189",6,14,15.5,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"190",6,15,17.5,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"191",6,16,18.5,"mod2",NA,NA,NA,NA,36.3232870792927,5.67812063010909,6.39706153593902,0.00138332616870856
"192",6,17,20.5,"mod2",NA,NA,NA,NA,36.5384024651466,5.58471624412663,6.54257098622934,0.00124901849560236
"193",6,18,22.4,"mod2",NA,NA,NA,NA,31.5150301249708,4.01209699528765,7.85500205054523,0.00022516834149182
"194",6,19,24.1,"mod2",NA,NA,NA,NA,31.5150301249708,4.01209699528765,7.85500205054523,0.00022516834149182
"195",6,20,25,"mod2",NA,NA,NA,NA,31.5150301249708,4.01209699528765,7.85500205054523,0.00022516834149182
"196",6,21,26.1,"mod2",NA,NA,NA,NA,31.5150301249708,4.01209699528765,7.85500205054523,0.00022516834149182
