ISLAND CODE,Island size,Distance to mainland
SB1,1.2,157.18
SB2,5.6,170.18
SB3,4,158.66
SB4,1.4,155.99
SB5,2,145.85
SB6,2.2,152.44
SB7,6.1,146.13
SB8,0.2,141.46
SB9,1.8,141.27
SB10,3,137.44
SB11,2,138.16
SB12,2.4,134.32
SB13,6.2,128.13
SB14,1.1,127.41
SB15,1.7,132.08
SB16,8.9,131.03
SB17,7.4,134.62
SB18,2.5,123.24
SB19,0.4,125.76
SB20,2.5,123.76
SB21,5.8,115.31
SB22,2.6,117.35
SB23,3.9,116.46
SB24,1.2,117.22
SB25,2,113.69
SB26,1.1,114.08
SB27,1,123.44
SB28,0.6,121.54
SB29,0.7,120.24
SB30,1.9,125.63
SB31,0.9,107.72
PT1,2.5,9.74
PT2,0.4,12.39
PT3,0.7,5.03
PT4,5,12.06
PT5,2.1,13.67
PT6,1.8,7.55
PT7,4,8.99
PT8,13.7,6.9
PT9,1.2,9.35
PT10,3.8,15.88
PT11,0.8,10.54
PT12,4,3.56
PT13,5,5.17
PT14,3.4,7.53
PT15,8,8.73
PT16,1.3,11.14
PT17,4.2,13.06
PT18,1,14.86
PT19,1.9,15.08
PT20,1.6,18.79
PT21,1.5,1.33
PT22,0.8,1.62
PT23,0.2,1.74
PT24,11,4.91
PT25,0.9,6.98
PT26,3.8,2.99
PT27,6.2,5.84
PC1,2,249.9
PC2,4,244.83
PC3,2,223.23
PC4,4.5,221.28
PC5,1,222.22
PC6,6.7,204.67
PC7,1.5,204.56
PC8,12.7,211.88
PC9,4.3,202.87
PC10,0.9,207.99
PC11,1,207.46
PC12,3.8,192.86
PC13,31.7,189.94
PC14,16,185.49
PC15,15,180.72
PC16,3.5,148.67
PC17,33.5,94.2
PC18,7.1,74.54
PC19,1,73.24
PC20,3.5,73.67
PC21,9,71.83
PC22,3.5,53.91
PC23,6,51.27
PC24,24,47.71
PC25,25,47.78
PC26,16,41.9
PC27,3.5,33.02
PC28,52.4,27.7
ST1,18.2,98.71
ST2,3.6,95.19
ST3,14.5,95.66
ST4,3.4,92.37
ST5,4.5,86.38
ST6,5,87.43
ST7,8.9,100.01
ST8,4.5,97.79
ST9,7.5,100.76
ST10,5.7,97.74
ST11,4,101.93
ST12,5,96.14
ST13,9.2,90.04
ST14,3,79.22
ST15,10.8,75.67
ST16,1.9,68.39
ST17,5,61.7
ST18,7.5,89.16
ST19,5,101.47
ST20,7.5,102.64
ST21,6.7,116.86
ST22,1,100.04
ST23,0.5,94.12
ST24,1.1,84.32
ST25,6,86.19
ST26,9.2,74.73
ST27,4.2,56.63
ST28,4.3,44.65
ST29,2.6,25.26
