Basal,Intermediate,Top
Achnanthes,Hydrobia ulvae,Anurida maritima
Achnanthes brevipes,Littorina littorea,Cillenus lateralis
Amphiprora alata,Littorina obtusata,Linyphiidae
Amphiprora surirelloides,Gammaridae,Carcinus maenas
Amphora,Sphaeromatidae,
Actinoptychus,Crane flies,
Bacillaria,,
Coscinodiscus 1,,
Coscinodiscus 2,,
Coccneis cf. Disculus,,
Coccneis 1,,
Cylindrotheca,,
Cyclotella,,
Featureless,,
Navicula gregaria,,
Navicula 1,,
Navicula 2,,
Nitzschia epithemioides,,
Nitzschia hungarica,,
Nitzschia sigma,,
Nitzschia small,,
Nitzschia big,,
Opephora,,
Plagiogramma,,
Raphoneis,,
Gyrosigma,,
Pleurosigma,,
Tryblionella,,
Hat,,
Surirella 1,,
Navicula 3,,
Rectangle Navicula 3,,
Scoliopleura,,
Diploneis,,
Gomphonema,,
Coccneis 2,,
Surirella 2,,
Navicula pygmaea,,
Navicula 4,,
Pinnularia,,
Ulva lactuca,,
Ulva intestinalis,,
Vaucheria sp.,,
Fucus sp.,,
Spartina anglica,,
Salicornia europaea,,
Spergularia sp.,,
Cochlearia sp.,,
Plantago maritima,,
Triglochin maritima,,
Glaux maririma,,
Suaeda maritima,,
Pucinella maritima,,
