"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,2.89,"mod3",1.49967629619812,0.166062898269743,9.03077274830009,0.000832834839530735,NA,NA,NA,NA,0.98
"13",2,1,1.25,"mod3",1.46364487848837,0.217681923195592,6.72377778091044,0.00254813972013038,NA,NA,NA,NA,0.98
"25",3,1,2.89,"mod3",1.55454067792439,0.187578319921703,8.2874219076771,0.0011573145595351,NA,NA,NA,NA,0.98
"37",4,1,0.57,"mod3",1.57759093655913,0.217232623458876,7.26221923503024,0.00190931450094054,NA,NA,NA,NA,0.98
"49",5,1,2.89,"mod3",1.30343375071554,0.18556578180712,7.02410615805425,0.0059276552967099,NA,NA,NA,NA,0.98
"61",6,1,0.13,"mod3",1.47334475793955,0.190428467367649,7.73699845567234,0.00448986052771798,NA,NA,NA,NA,0.98
"73",7,1,1.52,"mod3",1.49855211051235,0.186277133658861,8.04474538059365,0.00129610019063374,NA,NA,NA,NA,0.98
"85",8,1,1.14,"mod3",1.55135203503398,0.246310844907098,6.29835050754306,0.00324764019840357,NA,NA,NA,NA,0.98
"97",9,1,0.78,"mod3",1.50448711531312,0.177656178654065,8.46853245809526,0.00106558503500176,NA,NA,NA,NA,0.98
"109",10,1,1.52,"mod3",1.51392304094924,0.260647601045568,5.80831373423829,0.00437177817261182,NA,NA,NA,NA,0.98
"121",11,1,0.57,"mod3",1.43920522744402,0.196949050276515,7.3075002160375,0.00186514313048638,NA,NA,NA,NA,0.98
"133",12,1,1.14,"mod3",1.6080107637795,0.205327791877241,7.83143260382831,0.000544592471416006,NA,NA,NA,NA,0.98
"145",13,1,0.57,"mod3",1.60187956319973,0.16510712925398,9.70206174886367,0.00232548520542371,NA,NA,NA,NA,0.98
"157",14,1,2.22,"mod3",1.36473165680028,0.254821431255134,5.35563924148073,0.00586342779363735,NA,NA,NA,NA,0.98
"169",15,1,2.22,"mod3",1.56979528508749,0.237853226013522,6.59984861840068,0.00273089978645251,NA,NA,NA,NA,0.98
"181",16,1,0.7,"mod3",1.44561115807943,0.208048872142279,6.94842102816502,0.00611422802878514,NA,NA,NA,NA,0.98
"193",17,1,0.13,"mod3",1.66201268721116,0.300706815228118,5.52702035020504,0.00523468384426738,NA,NA,NA,NA,0.98
"205",18,1,2.22,"mod3",1.49493724842103,0.181541561473894,8.23468321129322,0.000430314328926001,NA,NA,NA,NA,0.98
"217",19,1,0.78,"mod3",1.50158426434183,0.252311481263648,5.95131167563786,0.00948770827077551,NA,NA,NA,NA,0.98
"229",20,1,1.52,"mod3",1.80540196558975,0.131926623028215,13.6848948616204,0.000844229138702818,NA,NA,NA,NA,0.98
"241",21,1,1.52,"mod3",1.54179287791364,0.230437047709053,6.6907335137373,0.00259535798635151,NA,NA,NA,NA,0.98
"253",22,1,3.24,"mod3",1.60095443593725,0.132196264128848,12.1104363008083,0.00121180457241934,NA,NA,NA,NA,0.98
"265",23,1,3.48,"mod3",1.50835042450271,0.265907162286501,5.67247008893105,0.010853743378546,NA,NA,NA,NA,0.98
"277",24,1,0.7,"mod3",1.61037514740787,0.19426583449003,8.28954381832139,0.000417073422769531,NA,NA,NA,NA,0.98
"289",25,1,1.52,"mod3",1.64825724427976,0.159364091268405,10.3427141657886,0.000145407698740274,NA,NA,NA,NA,0.98
"301",26,1,2.89,"mod3",1.45200651853281,0.237948066081077,6.10219928426762,0.0088418018966977,NA,NA,NA,NA,0.98
"313",27,1,2.89,"mod3",1.35140518513107,0.256062175938356,5.27764469773312,0.0132643089159193,NA,NA,NA,NA,0.98
"325",28,1,1.14,"mod3",1.49571101994747,0.225248639709499,6.64026660439094,0.00695898092999697,NA,NA,NA,NA,0.98
"337",29,1,0.7,"mod3",1.43244257712598,0.224873060209495,6.37000526337615,0.00311463167688035,NA,NA,NA,NA,0.98
"349",30,1,2.89,"mod3",1.43400368117309,0.208784599657054,6.86834030636629,0.00235360080113456,NA,NA,NA,NA,0.98
"361",31,1,3.48,"mod3",1.4360154687794,0.224988147625897,6.38262719139837,0.00778692329804466,NA,NA,NA,NA,0.98
"373",32,1,1.52,"mod3",1.66263103576222,0.126945547759765,13.0971984847284,0.00096138066743499,NA,NA,NA,NA,0.98
"385",33,1,1.14,"mod3",1.3647711194127,0.192326764375076,7.09610606639816,0.00575706763812942,NA,NA,NA,NA,0.98
"397",34,1,0.78,"mod3",1.58127890145786,0.262480584596733,6.02436520738207,0.00916752239229281,NA,NA,NA,NA,0.98
"409",35,1,0.7,"mod3",1.60344125195193,0.259619188805354,6.17612765578006,0.00854635024999493,NA,NA,NA,NA,0.98
"421",36,1,3.48,"mod3",1.55654630093027,0.282557854268791,5.50877024798454,0.00529757611225602,NA,NA,NA,NA,0.98
"433",37,1,0.57,"mod3",1.35738430082004,0.168984770353992,8.03258363446936,0.00130358325482652,NA,NA,NA,NA,0.98
"445",38,1,0.13,"mod3",1.53742134072645,0.200922326234264,7.65181933506934,0.00463551683657559,NA,NA,NA,NA,0.98
"457",39,1,3.48,"mod3",1.5794275848835,0.193874913955955,8.14663203534583,0.00123545244144769,NA,NA,NA,NA,0.98
"469",40,1,3.58,"mod3",1.43044828854196,0.212633689592528,6.72728903535058,0.00254318479228515,NA,NA,NA,NA,0.98
"481",41,1,0.57,"mod3",1.47306888628228,0.28304552311721,5.20435324346139,0.0137867191934602,NA,NA,NA,NA,0.98
"493",42,1,3.48,"mod3",1.56094184984746,0.140518537548189,11.108440758659,0.00156309109152604,NA,NA,NA,NA,0.98
"505",43,1,0.78,"mod3",1.53771340098626,0.255556934455727,6.0171069286819,0.00919869427790717,NA,NA,NA,NA,0.98
"517",44,1,3.48,"mod3",1.70599970690052,0.17190359313987,9.92416549148233,0.000578809240312121,NA,NA,NA,NA,0.98
"529",45,1,3.24,"mod3",1.54811920823656,0.19410902625573,7.9755137517252,0.00133942061884173,NA,NA,NA,NA,0.98
"541",46,1,0.78,"mod3",1.53084841783929,0.242272931105843,6.31869359425261,0.00801222126750361,NA,NA,NA,NA,0.98
"553",47,1,1.14,"mod3",1.42577145207554,0.322931621267195,4.41508777146307,0.0215647419389651,NA,NA,NA,NA,0.98
"565",48,1,0.78,"mod3",1.81693806891684,0.123175018153573,14.7508650386518,0.000122939315262547,NA,NA,NA,NA,0.98
"577",49,1,2.22,"mod3",1.54434578425956,0.248177187554216,6.22275479659945,0.00339561945531726,NA,NA,NA,NA,0.98
"589",50,1,3.58,"mod3",1.4631559778527,0.216893511775689,6.74596471731202,0.00251702909030111,NA,NA,NA,NA,0.98
"601",51,1,1.14,"mod3",1.36333390620734,0.165574113959274,8.2339797786427,0.00118623354641673,NA,NA,NA,NA,0.98
"613",52,1,3.58,"mod3",1.3946403243384,0.232096145411988,6.00889050467777,0.00386152147848815,NA,NA,NA,NA,0.98
"625",53,1,2.22,"mod3",1.5312943160569,0.174129674990661,8.79398825122151,0.000922288161377113,NA,NA,NA,NA,0.98
"637",54,1,0.78,"mod3",1.6823405054306,0.257750217508057,6.52701876140226,0.00284585152004242,NA,NA,NA,NA,0.98
"649",55,1,1.14,"mod3",1.32505537677352,0.235291033215391,5.63155917446515,0.00489153140981682,NA,NA,NA,NA,0.98
"661",56,1,0.13,"mod3",1.56140150306478,0.181972391822079,8.58043073144533,0.0010133935393897,NA,NA,NA,NA,0.98
"673",57,1,2.89,"mod3",1.50809598753447,0.268289652816224,5.62114852997145,0.0111327423836997,NA,NA,NA,NA,0.98
"685",58,1,0.78,"mod3",1.51764114707704,0.337831685690223,4.49229960172728,0.0205849391564039,NA,NA,NA,NA,0.98
"697",59,1,0.78,"mod3",1.48248580987658,0.207690631249851,7.13795225598385,0.00566088749439442,NA,NA,NA,NA,0.98
"709",60,1,0.78,"mod3",1.52050032187252,0.195842808027662,7.76388133516629,0.00148343079932219,NA,NA,NA,NA,0.98
"721",61,1,1.52,"mod3",1.70035796098233,0.162812016158143,10.4436883782014,0.000474947990129751,NA,NA,NA,NA,0.98
"733",62,1,1.52,"mod3",1.45908109403584,0.25688353053692,5.67993242301741,0.0108139412101984,NA,NA,NA,NA,0.98
"745",63,1,0.13,"mod3",1.52670305943856,0.185830142402465,8.21558354151221,0.00119639479571596,NA,NA,NA,NA,0.98
"757",64,1,1.52,"mod3",1.62538717914047,0.24479076216855,6.63990407457171,0.0069600625253909,NA,NA,NA,NA,0.98
"769",65,1,0.57,"mod3",1.49807592506959,0.216103673759778,6.93220942988158,0.00227350185918285,NA,NA,NA,NA,0.98
"781",66,1,0.57,"mod3",1.49698503655798,0.290810639295998,5.14762816168596,0.0142096164240335,NA,NA,NA,NA,0.98
"793",67,1,1.25,"mod3",1.5121169889006,0.201243998969765,7.51384884340215,0.00066056258816796,NA,NA,NA,NA,0.98
"805",68,1,2.89,"mod3",1.58820961343359,0.177410346384989,8.95218145838628,0.000861281816464661,NA,NA,NA,NA,0.98
"817",69,1,2.89,"mod3",1.61449552786837,0.223830243387776,7.21303566234941,0.000798349679349967,NA,NA,NA,NA,0.98
"829",70,1,3.58,"mod3",1.40761568923643,0.212218195953381,6.63286992386668,0.00117340739664669,NA,NA,NA,NA,0.98
"841",71,1,0.7,"mod3",1.55442797532004,0.218026086107991,7.12955042705354,0.00204637932002092,NA,NA,NA,NA,0.98
"853",72,1,1.14,"mod3",1.3631658175115,0.178023751324012,7.65721319415672,0.00462610989353316,NA,NA,NA,NA,0.98
"865",73,1,2.22,"mod3",1.42263624965764,0.189094371373849,7.52341933459785,0.00167106836581797,NA,NA,NA,NA,0.98
"877",74,1,0.7,"mod3",1.45815022190172,0.290623643059374,5.01731451217073,0.015247224965257,NA,NA,NA,NA,0.98
"889",75,1,3.48,"mod3",1.48045901970528,0.209118097265824,7.07953562633734,0.00210118793348285,NA,NA,NA,NA,0.98
"901",76,1,0.7,"mod3",1.41120920938962,0.246141809252829,5.73331777187055,0.010534699297101,NA,NA,NA,NA,0.98
"913",77,1,0.78,"mod3",1.58638749121998,0.192227496193255,8.2526564754561,0.00117602645126116,NA,NA,NA,NA,0.98
"925",78,1,1.52,"mod3",1.74193355737031,0.203102766584785,8.57661166640554,0.00101512192107674,NA,NA,NA,NA,0.98
"937",79,1,2.89,"mod3",1.53504575084135,0.175581600549067,8.74263445623606,0.000943236689961709,NA,NA,NA,NA,0.98
"949",80,1,0.13,"mod3",1.47926373557407,0.150158336446993,9.85135937555001,0.00222383453116212,NA,NA,NA,NA,0.98
"961",81,1,0.78,"mod3",1.48255128362309,0.19646462393103,7.54614878729288,0.004825010102948,NA,NA,NA,NA,0.98
"973",82,1,3.58,"mod3",1.44825911181166,0.181441897858694,7.98194424167428,0.000498155634642892,NA,NA,NA,NA,0.98
"985",83,1,1.14,"mod3",1.4546325939006,0.200914143524609,7.24007065098645,0.00193139055164651,NA,NA,NA,NA,0.98
"997",84,1,0.13,"mod3",1.64407577096507,0.225829739969271,7.28015615298845,0.00189166426329309,NA,NA,NA,NA,0.98
"1021",86,1,0.78,"mod3",1.55776547769393,0.266628870856221,5.84244861665393,0.00999261110775898,NA,NA,NA,NA,0.98
"1033",87,1,0.7,"mod3",1.54733345457714,0.223643320341964,6.91875550859813,0.00618946633691141,NA,NA,NA,NA,0.98
"1045",88,1,2.89,"mod3",1.50149354220134,0.182117815089461,8.24462747625083,0.00373613061036519,NA,NA,NA,NA,0.98
"1057",89,1,2.22,"mod3",1.34575131470178,0.233249259086832,5.76958452074138,0.00219815149414713,NA,NA,NA,NA,0.98
"1069",90,1,1.25,"mod3",1.4343337294337,0.232173428243792,6.17785480570838,0.0034874411528614,NA,NA,NA,NA,0.98
"1081",91,1,1.14,"mod3",1.36015524840592,0.203358380576674,6.68846420073203,0.0068171323938867,NA,NA,NA,NA,0.98
"1093",92,1,0.57,"mod3",1.50838564875469,0.204592589683018,7.37263090071681,0.00180379848713546,NA,NA,NA,NA,0.98
"1105",93,1,0.78,"mod3",1.6460623033524,0.196442465258406,8.37936085350553,0.00110957728796724,NA,NA,NA,NA,0.98
"1129",95,1,1.52,"mod3",1.80172516590573,0.254775019535617,7.07182819253537,0.00581385705623839,NA,NA,NA,NA,0.98
"1141",96,1,0.57,"mod3",1.46016765495251,0.234742841746049,6.2202861824948,0.00837603688458626,NA,NA,NA,NA,0.98
"1153",97,1,3.48,"mod3",1.46826310576769,0.210807098932315,6.96496044584869,0.00607280297904702,NA,NA,NA,NA,0.98
"1165",98,1,0.7,"mod3",1.67304944514052,0.176412491402011,9.48373571420148,0.00248551773600839,NA,NA,NA,NA,0.98
"1177",99,1,2.22,"mod3",1.44691547652788,0.251005170995286,5.76448473467923,0.00449407866726349,NA,NA,NA,NA,0.98
"1189",100,1,2.89,"mod3",1.42196437683672,0.292502563889091,4.86137406089843,0.0166225961850356,NA,NA,NA,NA,0.98
"2",1,2,4.14,"mod3",1.3378637195837,0.17837236230471,7.50039805661291,0.000666088873526297,NA,NA,NA,NA,1
"14",2,2,4.49,"mod3",1.40446807903531,0.192619882605686,7.29139723291397,0.00075941794894688,NA,NA,NA,NA,1
"26",3,2,5.11,"mod3",1.43018443219802,0.159553999914272,8.96363884933283,0.000107700935577487,NA,NA,NA,NA,1
"38",4,2,3.46,"mod3",1.29157971791479,0.196479799369437,6.57360055364396,0.00122240457210194,NA,NA,NA,NA,1
"50",5,2,4.03,"mod3",1.31113491581471,0.210771951491385,6.22063280496933,0.00339989158481462,NA,NA,NA,NA,1
"62",6,2,1.38,"mod3",1.29739465344281,0.190618713355227,6.80622920282256,0.00243485779107974,NA,NA,NA,NA,1
"74",7,2,4.41,"mod3",1.35915422105583,0.240841153082404,5.64336370118107,0.00485453740570118,NA,NA,NA,NA,1
"86",8,2,1.84,"mod3",1.37472426522537,0.181188691235041,7.58725202911288,0.00161852894999019,NA,NA,NA,NA,1
"98",9,2,2.03,"mod3",1.48362478538689,0.203588976735673,7.28735322105936,0.00188463888809302,NA,NA,NA,NA,1
"110",10,2,5.1,"mod3",1.34227940171358,0.225370994401968,5.95586581705146,0.00398896559662705,NA,NA,NA,NA,1
"122",11,2,1.35,"mod3",1.54167914207017,0.186548528927161,8.2642256732677,0.000423123054497765,NA,NA,NA,NA,1
"134",12,2,4.72,"mod3",1.2980383878797,0.189438373823517,6.8520351060919,0.00237460430086042,NA,NA,NA,NA,1
"146",13,2,4.15,"mod3",1.29669097409701,0.211395596437654,6.13395451914931,0.00358018627918783,NA,NA,NA,NA,1
"158",14,2,2.35,"mod3",1.28744813457831,0.189395304604316,6.79767715080394,0.00244631514232591,NA,NA,NA,NA,1
"170",15,2,5.8,"mod3",1.37955607578098,0.177923689762566,7.75363908888111,0.000570601062772847,NA,NA,NA,NA,1
"182",16,2,3.59,"mod3",1.38368499616889,0.215540572728018,6.41960341227683,0.00136144304805381,NA,NA,NA,NA,1
"194",17,2,3.71,"mod3",1.39334928484249,0.196344762237459,7.09644234439712,0.00086074167421352,NA,NA,NA,NA,1
"206",18,2,5.46,"mod3",1.29198991148541,0.230480005309734,5.60564856699458,0.00497395043418512,NA,NA,NA,NA,1
"218",19,2,3,"mod3",1.40751077871723,0.254460031680834,5.53136289978402,0.00264811782635932,NA,NA,NA,NA,1
"230",20,2,2.22,"mod3",1.55183521660123,0.225331266227942,6.88690585456266,0.00232996376826533,NA,NA,NA,NA,1
"242",21,2,5,"mod3",1.32136153712827,0.231440716343558,5.70928727668989,0.0106592120016757,NA,NA,NA,NA,1
"254",22,2,3.81,"mod3",1.38985821113425,0.181430839951275,7.66054002454881,0.00156070035691576,NA,NA,NA,NA,1
"266",23,2,3.61,"mod3",1.39632344922905,0.269848077552071,5.17447988474037,0.00663147678880994,NA,NA,NA,NA,1
"278",24,2,2.22,"mod3",1.46363937387377,0.218307482530561,6.7044856040098,0.00257557721485604,NA,NA,NA,NA,1
"290",25,2,2.66,"mod3",1.32912949201162,0.240569653063849,5.52492583783567,0.00524185521605411,NA,NA,NA,NA,1
"302",26,2,3.46,"mod3",1.38951789435622,0.224742658151699,6.18270650433578,0.00161356465213149,NA,NA,NA,NA,1
"314",27,2,3.46,"mod3",1.23743630642912,0.203210078604471,6.08944356956658,0.00367733501655698,NA,NA,NA,NA,1
"326",28,2,3.36,"mod3",1.3323361691329,0.175336057247369,7.59875743785662,0.00160927736503355,NA,NA,NA,NA,1
