"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,2.89,"mod3",1.69369605042915,0.0247410888406616,68.4568113124265,6.53649742873644e-10,NA,NA,NA,NA,1
"13",2,1,1.14,"mod3",1.53174890887968,0.0720938626672736,21.2465923201948,1.28811920642556e-07,NA,NA,NA,NA,1
"25",3,1,3.58,"mod3",1.6271479552216,0.0516135861657069,31.5255744872598,1.11526625101918e-09,NA,NA,NA,NA,1
"37",4,1,3.58,"mod3",1.6271479552216,0.0516135861657069,31.5255744872598,1.11526625101918e-09,NA,NA,NA,NA,1
"49",5,1,1.25,"mod3",1.59811544713405,0.0417790270095813,38.2516195690136,2.13176487601007e-08,NA,NA,NA,NA,1
"61",6,1,0.57,"mod3",1.91379646515302,0.0406118858055671,47.1240482236033,6.12029092792552e-09,NA,NA,NA,NA,1
"73",7,1,1.52,"mod3",1.9536536202814,0.0902967672299682,21.6359198697094,3.91325225952773e-06,NA,NA,NA,NA,1
"85",8,1,2.22,"mod3",1.61621742563815,0.0320675491854312,50.4004037318955,4.09270103634401e-09,NA,NA,NA,NA,1
"97",9,1,2.89,"mod3",1.69369605042915,0.0247410888406616,68.4568113124265,6.53649742873644e-10,NA,NA,NA,NA,1
"109",10,1,3.48,"mod3",1.75389664948454,0.141026023145394,12.4366879981883,0.000240348473026838,NA,NA,NA,NA,1
"121",11,1,1.25,"mod3",1.59811544713405,0.0417790270095813,38.2516195690136,2.13176487601007e-08,NA,NA,NA,NA,1
"133",12,1,1.14,"mod3",1.53174890887968,0.0720938626672736,21.2465923201948,1.28811920642556e-07,NA,NA,NA,NA,1
"145",13,1,2.89,"mod3",1.69369605042915,0.0247410888406616,68.4568113124265,6.53649742873644e-10,NA,NA,NA,NA,1
"157",14,1,3.48,"mod3",1.75389664948454,0.141026023145394,12.4366879981883,0.000240348473026838,NA,NA,NA,NA,1
"169",15,1,0.13,"mod3",1.95351017392142,0.084283914628693,23.1777342394153,2.78180069321772e-06,NA,NA,NA,NA,1
"181",16,1,1.14,"mod3",1.53174890887968,0.0720938626672736,21.2465923201948,1.28811920642556e-07,NA,NA,NA,NA,1
"193",17,1,1.14,"mod3",1.53174890887968,0.0720938626672736,21.2465923201948,1.28811920642556e-07,NA,NA,NA,NA,1
