"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,0,2.22,"mod3",1.60881900469108,0.0487021020736521,33.0338719724678,4.77806192567697e-07,NA,NA,NA,NA
"2",1,0,2.92,"mod3",1.19160007624853,0.0439076322836243,27.1387914645753,6.06702445996403e-10,NA,NA,NA,NA
"3",1,0,4.17,"mod3",1.25836472970709,0.0315502436883514,39.8844694239776,2.98545173438778e-13,NA,NA,NA,NA
"4",1,0,4.95,"mod3",1.29013026076358,0.0178460055031082,72.2923827709729,4.4095342409979e-16,NA,NA,NA,NA
"5",1,0,5.08,"mod3",1.31863708345678,0.0230909105484998,57.1063267811435,5.86266834334012e-15,NA,NA,NA,NA
"6",1,0,5.65,"mod3",1.23724539503332,0.0263273717774255,46.9946413752626,6.68596851242211e-16,NA,NA,NA,NA
"7",1,0,8.89,"mod3",1.17059324379375,0.0273672891020543,42.7734453138029,3.06096170109111e-16,NA,NA,NA,NA
"8",1,0,11.78,"mod3",1.24412317986811,0.0252931213050559,49.1882027869536,5.37630825788639e-18,NA,NA,NA,NA
"9",1,0,12.92,"mod3",1.23277417863711,0.0153113347840208,80.5138282211461,3.40567621432899e-21,NA,NA,NA,NA
"10",1,0,16.4,"mod3",1.21899752595992,0.0174852862284818,69.7156174643737,5.04047848340136e-17,NA,NA,NA,NA
"11",1,0,17.92,"mod3",1.20428997587638,0.0198587942509653,60.642653358365,2.43984307321693e-20,NA,NA,NA,NA
"12",1,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"13",2,0,0.13,"mod3",1.29281095683545,0.0815355667098529,15.8557916379727,9.24634329341e-05,NA,NA,NA,NA
"14",2,0,0.83,"mod3",1.48998367364792,0.043176611266047,34.5090462164086,5.43608163311422e-10,NA,NA,NA,NA
"15",2,0,3.72,"mod3",1.31127906614516,0.0241587830252898,54.2775298231079,1.09182889433187e-13,NA,NA,NA,NA
"16",2,0,4.97,"mod3",1.30984727356282,0.0230571184015301,56.8088019826405,5.8402495242483e-16,NA,NA,NA,NA
"17",2,0,8.45,"mod3",1.29857615810476,0.0290317268465301,44.7295527740873,1.01576972402162e-14,NA,NA,NA,NA
"18",2,0,9.97,"mod3",1.29948263072557,0.0213278474382246,60.9289162673113,2.52760465458289e-16,NA,NA,NA,NA
"19",2,0,11.11,"mod3",1.25303266260859,0.0232456746450351,53.9039060703803,1.22360371686575e-17,NA,NA,NA,NA
"20",2,0,11.89,"mod3",1.2247158545485,0.0261407712034418,46.8507927718388,6.95628944949198e-16,NA,NA,NA,NA
"21",2,0,15.13,"mod3",1.27148890052934,0.0166007114775186,76.5924341406238,5.89043190058584e-22,NA,NA,NA,NA
"22",2,0,18.71,"mod3",1.19423554733034,0.0188816841117341,63.2483596411922,1.24787781893015e-20,NA,NA,NA,NA
"23",2,0,20.93,"mod3",1.18795840548572,0.0186454115467923,63.7131769660561,1.11040701428814e-20,NA,NA,NA,NA
"24",2,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"25",3,0,3.58,"mod3",1.28259721921313,0.0326100978533205,39.3312901108797,2.69707004329907e-12,NA,NA,NA,NA
"26",3,0,4.83,"mod3",1.3172738048662,0.013559915904759,97.144688368155,1.71738795286474e-17,NA,NA,NA,NA
"27",3,0,8.31,"mod3",1.1443032360616,0.036197238922613,31.6129978451682,1.10904556447382e-13,NA,NA,NA,NA
"28",3,0,9.45,"mod3",1.34441427278624,0.0348711142956983,38.5538087881549,4.32562439886633e-13,NA,NA,NA,NA
"29",3,0,11.67,"mod3",1.22186936324952,0.0274110730803647,44.5757581130517,2.33243078793749e-17,NA,NA,NA,NA
"30",3,0,13.19,"mod3",1.22262799635949,0.021454663929576,56.9865834474368,6.57005761097929e-20,NA,NA,NA,NA
"31",3,0,16.08,"mod3",1.21006527027928,0.0190209821208151,63.6173917094994,1.13735961499965e-20,NA,NA,NA,NA
"32",3,0,16.21,"mod1",1.0987499509492,0.0505391282711128,21.7405797950263,2.63312184676821e-13,44.2531746358977,26.0400399300192,1.69942806365985,0.108593923461061
"33",3,0,16.99,"mod3",1.15860105564502,0.0189944362355649,60.9968646226873,2.16470495272604e-19,NA,NA,NA,NA
"34",3,0,17.56,"mod3",1.17381074413959,0.0201458561109843,58.2656173891555,4.29185655589668e-19,NA,NA,NA,NA
"35",3,0,20.8,"mod3",1.17670656942542,0.0186916948402759,62.9534442692653,1.3504307922276e-19,NA,NA,NA,NA
"36",3,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"37",4,0,2.22,"mod3",1.42862588611428,0.0323433139423838,44.1706712138164,7.61637242276744e-11,NA,NA,NA,NA
"38",4,0,3,"mod3",1.49033578920033,0.0270031848482012,55.191111625472,1.6810851659963e-10,NA,NA,NA,NA
"39",4,0,6.48,"mod3",1.26387522245429,0.0384877188221755,32.8384030317244,2.49152834266564e-12,NA,NA,NA,NA
"40",4,0,7.73,"mod3",1.20853419803115,0.0305001064432724,39.6239337813106,6.05454654700915e-15,NA,NA,NA,NA
"41",4,0,10.97,"mod3",1.31709205373228,0.015893247540958,82.8711721967484,3.02392304749615e-20,NA,NA,NA,NA
"42",4,0,11.67,"mod3",1.20470837186994,0.0217964793495469,55.2707780256713,1.06902446215833e-19,NA,NA,NA,NA
"43",4,0,13.19,"mod3",1.3046160768325,0.0166464955846305,78.3718152688569,5.09882123568923e-21,NA,NA,NA,NA
"44",4,0,14.33,"mod3",1.22084041397788,0.0171751528295303,71.0817787821262,1.9388815819834e-21,NA,NA,NA,NA
"45",4,0,14.9,"mod1",1.05103280867206,0.0548294819357145,19.1691179921115,5.82966139783434e-12,36.5804613227681,19.3905003447599,1.88651456498664,0.078736997681498
"46",4,0,18.48,"mod3",1.2107650049162,0.0168012098837341,72.0641556944295,1.55759854138816e-21,NA,NA,NA,NA
"47",4,0,21.37,"mod3",1.18984354394176,0.0178005923725884,66.8429184286038,5.51112309104155e-20,NA,NA,NA,NA
"48",4,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"49",5,0,3.58,"mod3",1.46687845080929,0.0216777748889653,67.6673901414107,2.53193964433921e-12,NA,NA,NA,NA
"50",5,0,6.82,"mod3",1.17597916223118,0.0208158109270006,56.494515940563,6.17255190971466e-17,NA,NA,NA,NA
"51",5,0,8.34,"mod3",1.25861911697836,0.0186658554986573,67.4289542779806,6.23347740679781e-18,NA,NA,NA,NA
"52",5,0,9.59,"mod3",1.24831573089752,0.0304505405322889,40.9948627865518,2.87362373363479e-14,NA,NA,NA,NA
"53",5,0,10.73,"mod3",1.19432916352245,0.0276504548830299,43.1938341909685,1.98828431675016e-15,NA,NA,NA,NA
"54",5,0,11.3,"mod3",1.25630590136159,0.0294028375900242,42.7273693402922,2.28760520951019e-15,NA,NA,NA,NA
"55",5,0,14.78,"mod3",1.21509076773547,0.0236666795301123,51.3418355198264,2.12895447254251e-16,NA,NA,NA,NA
"56",5,0,17.67,"mod3",1.23014808936056,0.0188027431971328,65.423862702552,8.21126648024021e-19,NA,NA,NA,NA
"57",5,0,17.8,"mod3",1.17634271429123,0.0232159706477561,50.6695469312601,4.26304610531076e-19,NA,NA,NA,NA
"58",5,0,18.58,"mod3",1.2291599294276,0.0190432704783127,64.545632055556,9.06087801520226e-22,NA,NA,NA,NA
"59",5,0,19.28,"mod3",1.16461854453097,0.0172280828185376,67.6000084744095,4.65691586027531e-20,NA,NA,NA,NA
"60",5,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"61",6,0,3.58,"mod3",1.63702009514251,0.0479193463068417,34.1619871994953,5.8910342608265e-10,NA,NA,NA,NA
"62",6,0,3.71,"mod3",1.28381101027772,0.0364778137567555,35.1942969729091,4.64915120462668e-10,NA,NA,NA,NA
"63",6,0,6.95,"mod3",1.28239977958534,0.0387726770039363,33.074832038426,1.50664182421337e-11,NA,NA,NA,NA
"64",6,0,10.43,"mod3",1.32028364837143,0.0227051287963664,58.1491371492559,4.24701367937771e-17,NA,NA,NA,NA
"65",6,0,11.13,"mod3",1.28153340649268,0.0276580859041114,46.3348552367531,8.02692127435063e-16,NA,NA,NA,NA
"66",6,0,14.02,"mod3",1.35847912983952,0.0245734552307898,55.2823816219947,9.09348754532249e-14,NA,NA,NA,NA
"67",6,0,15.54,"mod3",1.22132957687771,0.0197461121882064,61.8516478199271,1.7976071169524e-18,NA,NA,NA,NA
"68",6,0,16.79,"mod3",1.19587697400248,0.0196442985512219,60.8765424168374,2.22952840592453e-19,NA,NA,NA,NA
"69",6,0,19.01,"mod3",1.20507752399533,0.0213997989467077,56.3125628888548,7.94070389692248e-20,NA,NA,NA,NA
"70",6,0,20.15,"mod3",1.18419052365464,0.0172289797668546,68.7324809524012,3.6324291663345e-20,NA,NA,NA,NA
"71",6,0,20.72,"mod3",1.22540960787717,0.0198244145278032,61.8131549942405,1.77468271781884e-19,NA,NA,NA,NA
"72",6,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"73",7,0,1.52,"mod3",1.86299125606361,0.0783240997298691,23.7856708534009,2.44645474983122e-06,NA,NA,NA,NA
"74",7,0,5.1,"mod3",1.42269341790774,0.0361730556152875,39.3301973999255,2.20814829085512e-11,NA,NA,NA,NA
"75",7,0,6.24,"mod3",1.21231201834057,0.0353478996222539,34.2965786170032,1.05133422202037e-11,NA,NA,NA,NA
"76",7,0,9.13,"mod3",1.25824472280481,0.0192322688295214,65.4236239082419,9.21969656997933e-18,NA,NA,NA,NA
"77",7,0,12.37,"mod3",1.24585965714427,0.0210786943889715,59.105162499823,3.63577576701439e-16,NA,NA,NA,NA
"78",7,0,12.5,"mod3",1.26649253199989,0.0206143729280799,61.4373542391259,2.62949733277077e-15,NA,NA,NA,NA
"79",7,0,13.28,"mod3",1.21239685062388,0.0204275962336594,59.3509308073242,3.25766346883363e-19,NA,NA,NA,NA
"80",7,0,13.85,"mod1",1.10186591829415,0.0525162400527784,20.981431975838,5.611710481859e-12,42.8603861860141,25.8317290950496,1.65921475981366,0.119298200201503
"81",7,0,15.1,"mod3",1.24834452656575,0.022884210313677,54.5504742988515,1.03625525205613e-17,NA,NA,NA,NA
"82",7,0,17.32,"mod3",1.21898154196653,0.0187625415870794,64.9688922105287,8.11145211834068e-22,NA,NA,NA,NA
"83",7,0,18.02,"mod3",1.16948558055411,0.0216291624754121,54.0698504569271,1.51658366474282e-19,NA,NA,NA,NA
"84",7,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"85",8,0,2.89,"mod3",1.60084035939745,0.0391622831432451,40.877094768505,1.43330031359858e-08,NA,NA,NA,NA
"86",8,0,4.14,"mod3",1.2719415892488,0.0378119438911395,33.6386193979003,1.27410245755608e-11,NA,NA,NA,NA
"87",8,0,4.84,"mod3",1.4435477460178,0.0207283301761792,69.6412944867459,6.64532443926501e-16,NA,NA,NA,NA
"88",8,0,7.06,"mod3",1.29773140157415,0.020052558240767,64.7165008071562,1.22827695509431e-16,NA,NA,NA,NA
"89",8,0,8.2,"mod3",1.24977017949741,0.0139246788934383,89.7521723166153,6.69835658237822e-22,NA,NA,NA,NA
"90",8,0,11.78,"mod1",1.12383343811618,0.03770067516302,29.8093716692514,9.13553228807543e-15,54.4757210254496,29.5115758026506,1.84591027567416,0.0847340580040422
"91",8,0,12.35,"mod3",1.22654843036678,0.0237828893791969,51.5727257025234,2.65340805597628e-18,NA,NA,NA,NA
"92",8,0,13.87,"mod3",1.20655146127011,0.0199618053787599,60.4430029437078,2.48081436636447e-19,NA,NA,NA,NA
"93",8,0,17.35,"mod3",1.22792775413335,0.0153661866832219,79.9110266878448,2.42960950023079e-23,NA,NA,NA,NA
"94",8,0,18.13,"mod3",1.22075401843764,0.0200806538551783,60.7925432728295,2.34573001635418e-20,NA,NA,NA,NA
"95",8,0,21.37,"mod3",1.17392653582645,0.0192058438824778,61.1234030126355,2.09869546710855e-19,NA,NA,NA,NA
"96",8,0,21.5,"mod3",1.1768490539231,0.0188934412114027,62.2887615207353,1.58260059082149e-19,NA,NA,NA,NA
"97",9,0,3.24,"mod3",1.42805138210591,0.0247784813145901,57.6327242971522,9.12228516249790e-12,NA,NA,NA,NA
"98",9,0,4.76,"mod3",1.43287616528309,0.0172916695566909,82.8651137812569,1.60135098273891e-15,NA,NA,NA,NA
"99",9,0,4.89,"mod3",1.40348930016473,0.0450290172510857,31.1685527654036,9.03768710116515e-09,NA,NA,NA,NA
"100",9,0,8.37,"mod3",1.21771717012693,0.0245145956708696,49.6731492730239,3.26459431148397e-16,NA,NA,NA,NA
"101",9,0,10.59,"mod3",1.17367046121651,0.0188474047435132,62.2722585516957,1.63541467300195e-18,NA,NA,NA,NA
