Site,Area,Transects,Years,Spl,Spl_mined,Slm,Spar,Lpar,Lher
1,7406.12,20,2,128,62,75,63,148,103
2,2846.93,31,2,83,56,68,78,145,90
3,29.53,25,2,104,53,72,64,140,105
4,13.3,15,1,64,42,54,53,162,103
5,2.22,21,2,72,50,63,57,101,72
6,1.14,21,2,64,36,49,28,151,108
7,13.77,20,2,66,55,74,75,162,103
8,1.52,19,2,71,37,51,31,111,96
9,116.16,19,2,90,39,61,54,129,93
10,0.7,19,2,56,42,56,44,81,77
11,2.89,10,1,73,46,56,59,85,85
12,3.58,10,1,78,49,61,59,128,75
13,1.25,10,1,65,39,47,43,120,94
14,3.48,10,1,78,44,53,46,49,65
15,0.78,10,1,60,41,51,44,97,64
16,0.13,10,1,63,30,43,36,72,70
17,883.27,10,1,95,55,74,62,77,56
18,10.7,10,1,75,46,64,45,80,71
19,3.24,10,1,74,47,63,45,80,81
20,0.57,10,1,65,43,60,37,62,57
