site,interaction,resource,cod_rec,consumer,cod_cons,int_int,adults
1,1,Celtis_tala,23,Agromyza_celtivora,117,4,0
1,1,Eupatorium_argentinum,43,Calycomiza_cruciata,136,3,0
1,1,Hyptis_mutabilis,56,Calycomiza_menthae,143,7,1
1,1,Hyptis_mutabilis,56,Cosmopterigidae_sp1,153,1,0
1,1,Lippia_turbinata,68,Haplopeodes_sp1,179,18,1
1,1,Salpichroa_origanifolia,94,Haplopeodes_sp3,180,12,1
1,1,Jodina_rhombifolia,62,Heliozelidae_sp1,185,8,1
1,1,Cestrum_parqui,24,Liriomyza_ca_schlingerii,193,9,1
1,1,Aspidosperma_quebrachoblanco,11,Liriomyza_schmidtii,199,8,0
1,1,Jodina_rhombifolia,62,Liriomyza_schmidtii,199,1,0
1,1,Celtis_tala,23,Phyllonorycter_sp2,235,4,1
1,1,Celtis_pallida,22,Stenoma_sp1,243,4,0
1,1,Hyptis_mutabilis,56,Stigmella_sp1,244,11,0
1,2,Stenoma_sp1,243,Dolichogenoidea_sp,341,1,1
1,2,Calycomiza_menthae,143,Elasmidae_sp,350,1,1
1,2,Stenoma_sp1,243,Eulophinae_sp_6,361,2,2
1,2,Haplopeodes_sp3,180,Phadedrotoma_luteoclypealis,423,2,2
1,2,Haplopeodes_sp1,179,Phaedrotoma_scabriventris,427,1,1
1,1,Cestrum_parqui,24,Acrocercops_leucographa,114,3,0
1,1,Rivina_humilis,92,Agromyzidae_sp7,123,1,0
1,1,Conyza_bonariensis,34,Amauromyza_maculosa,124,2,0
1,1,Schinus_fasciculatus,95,Calioptilia_sp1,132,2,0
1,1,Eupatorium_argentinum,43,Calycomiza_cruciata,136,4,0
1,1,Sida_rhombifolia,99,Calycomiza_malvae,142,1,0
1,1,Hyptis_mutabilis,56,Calycomiza_menthae,143,15,0
1,1,Verbena_litoralis,112,Calycomiza_verbenivora,148,33,9
1,1,Cestrum_parqui,24,Epitrix_sp1,159,3,0
1,1,Caesalpinia_gilliesii,19,Gelechiidae_sp2,162,5,0
1,1,Schinus_fasciculatus,95,Gracillariinae_sp3,171,8,0
1,1,Eupatorium_argentinum,43,Gracillariinae_sp7,190,1,1
1,1,Lippia_turbinata,68,Haplopeodes_sp1,179,42,5
1,1,Salpichroa_origanifolia,94,Haplopeodes_sp3,180,39,8
1,1,Jodina_rhombifolia,62,Heliozelidae_sp1,185,5,0
1,1,Sida_rhombifolia,99,Heterispa_costipennis,187,3,0
1,1,Dichondra_repens,39,Leucanthiza_forbesii,189,1,0
1,1,Cestrum_parqui,24,Liriomyza_ca_schlingerii,193,31,1
1,1,Anredera_cordifolia,9,Liriomyza_schmidtii,199,14,0
1,1,Aspidosperma_quebrachoblanco,11,Liriomyza_schmidtii,199,11,0
1,1,Jodina_rhombifolia,62,Liriomyza_schmidtii,199,8,0
1,1,Dicliptera_squarrosa,40,Liriomyza_sp1,200,1,0
1,1,Eupatorium_hookerianum,45,Nepticulidae_sp6,216,3,0
1,1,Mikhania_urticifolia,76,Nepticulidae_sp6,216,1,1
1,1,Lippia_turbinata,68,Ophiomyia_lantanae,220,1,0
1,1,Celtis_tala,23,Phyllonorycter_sp2,235,10,1
1,1,Clematis_montevidiensis,27,Phytomyza_pampeana,237,1,0
1,2,Haplopeodes_sp3,180,Agrostocynips_clavatus,263,3,3
1,2,Liriomyza_schmidtii,199,Agrostocynips_clavatus,263,2,2
1,2,Haplopeodes_sp1,179,Chrysocharis_caribea,291,1,1
1,2,Haplopeodes_sp3,180,Chrysocharis_caribea,291,1,1
1,2,Haplopeodes_sp3,180,Chrysocharis_vonones,301,1,1
1,2,Haplopeodes_sp1,179,Diglyphus_websteri,337,2,2
1,2,Gelechiidae_sp2,162,Dolichogenoidea_sp,341,1,1
1,2,Calycomiza_menthae,143,Elachertus_sp_2,344,1,1
1,2,Leucanthiza_forbesii,189,Elachertus_sp_4,346,1,1
1,2,Calycomiza_cruciata,136,Halticoptera_helioponi,376,1,1
1,2,Calycomiza_verbenivora,148,Halticoptera_helioponi,376,2,2
1,2,Haplopeodes_sp3,180,Phadedrotoma_luteoclypealis,423,7,7
1,2,Haplopeodes_sp3,180,Phaedrotoma_angiclipealis,424,4,4
1,2,Agromyzidae_sp7,123,Phaedrotoma_scabriventris,427,1,1
1,1,Cestrum_parqui,24,Acrocercops_leucographa,114,9,1
1,1,Celtis_tala,23,Agromyza_celtivora,117,2,0
1,1,Conyza_bonariensis,34,Amauromyza_maculosa,124,5,0
1,1,Chaptalia_nutans,25,Amauromyza_sp1,125,1,0
1,1,Cestrum_parqui,24,Argyresthiidae_sp1,127,1,0
1,1,Malvastrum_coromandelianum,71,Bucculatrix_sp1,128,4,0
1,1,Eupatorium_argentinum,43,Calycomiza_cruciata,136,7,2
1,1,Lantana_camara,64,Calycomiza_lantanae,140,3,1
1,1,Pseudoabutilon_virgatum,89,Calycomiza_malvae,142,1,0
1,1,Hyptis_mutabilis,56,Calycomiza_menthae,143,1,0
1,1,Cestrum_parqui,24,Epitrix_sp1,159,35,4
1,1,Caesalpinia_gilliesii,19,Gelechiidae_sp2,162,23,3
1,1,Salpichroa_origanifolia,94,Gelechiidae_sp8,167,3,0
1,1,Euphorbia_acerensis,48,Gracillariinae_sp1,169,4,0
1,1,Croton_lachnostachyus,35,Gracillariinae_sp2,170,6,0
1,1,Schinus_fasciculatus,95,Gracillariinae_sp3,171,4,0
1,1,Maythenus_spinosa,75,Gracillariinae_sp5,172,3,1
1,1,Eupatorium_argentinum,43,Gracillariinae_sp7,190,15,0
1,1,Lycium_cilliatum,70,Haplopeodes_licivorus,183,5,0
1,1,Solanum_chenopodioides,102,Haplopeodes_paraphytomyza,178,5,0
1,1,Lippia_turbinata,68,Haplopeodes_sp1,179,63,2
1,1,Salpichroa_origanifolia,94,Haplopeodes_sp3,180,33,4
