"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,"Alpine","mod1",-0.0592091893557073,0.00850901669913033,-6.95840558895117,2.73158007255597e-09,20.3393357612178,0.538483626363292,37.771502726242,5.09629811020512e-44,1
"340",1,"Alpine","mod1",-0.0598343884673854,0.0139333259747198,-4.29433636849861,0.000104739291736233,16.6013797466929,0.689596125759478,24.0740617972718,8.26088025255766e-26,1
"741",1,"Alpine","mod1",-0.083344214198934,0.00836297644208208,-9.96585543151241,2.03194083646339e-14,19.2589708666898,0.472118766491002,40.7926399745366,5.56224346260402e-46,1
"1117",1,"Alpine","mod1",-0.108637960528361,0.0146461337875022,-7.41751796785193,3.69694973683019e-09,12.7961050345745,0.460711322748044,27.77467017361,1.17541691117148e-28,1
"1499",1,"Alpine","mod1",-0.228873114099834,0.0367585534034163,-6.22639067397475,2.78566875641428e-07,9.79445145660122,0.752650845920455,13.013273697478,1.41073669608659e-15,1
"2",2,"Alpine","mod1",-0.0662671261522493,0.00760722144283323,-8.71108152302831,1.12359816697165e-12,25.3208346730309,0.674357047756884,37.5481130615535,3.40237339188027e-47,1
"341",2,"Alpine","mod1",-0.140549293254787,0.0156015259180462,-9.0086888931944,1.01009529591994e-11,13.6622447794526,0.527298903602211,25.9098676028337,4.40544787226261e-29,1
"1118",2,"Alpine","mod1",-0.0811068936364813,0.0202637829538704,-4.00255440068213,0.000271773507481292,14.2316554469902,0.789608903384447,18.0236765137652,1.63940500711543e-20,1
"1500",2,"Alpine","mod1",-0.0844958677182225,0.0111971311975519,-7.54620681203559,4.80615098690628e-10,18.3468767852374,0.610416394410537,30.0563303234254,8.12464558053062e-36,1
"3",3,"Alpine","mod1",-0.0730572753915702,0.00781390841210035,-9.34964572638659,4.68123076484788e-14,22.621122491297,0.558696760421441,40.4890883459451,2.7826909106321e-51,1
"342",3,"Alpine","mod1",-0.102204508395488,0.0170363445051552,-5.99920413469927,4.33790995210051e-07,15.1749846301947,0.711365967946604,21.332176845623,8.20943916220829e-24,1
"742",3,"Alpine","mod1",-0.0927875590494237,0.0101490326529062,-9.14250276087684,2.09205980851314e-12,17.9562521715236,0.533518914675705,33.6562616199618,5.66341603981791e-37,1
"1119",3,"Alpine","mod1",-0.0639571232319165,0.0122549987135518,-5.21886005268947,4.66528763802302e-06,18.4616532925912,0.685192555182987,26.9437447224756,5.54046325583338e-29,1
"1501",3,"Alpine","mod1",-0.0673134791972326,0.0069628988369873,-9.66745040724414,1.2796153479479e-13,20.3033203392713,0.442331628169406,45.9006750733534,1.03759911185917e-46,1
"4",4,"Alpine","mod1",-0.027210120640033,0.00666203346262251,-4.08435664466353,0.000118804207922608,27.792803684996,0.678570484154759,40.9578729608543,1.18057528536649e-49,1
"343",4,"Alpine","mod1",-0.153669270144775,0.0151397003523871,-10.1500866310439,9.45914335753345e-13,13.3686956934893,0.508302251963125,26.3006816158255,2.7263104588386e-27,1
"743",4,"Alpine","mod1",-0.101102539343489,0.00702997038302436,-14.3816451329051,1.28103314672491e-20,17.7190269770966,0.353300759461374,50.1528131558795,7.49966740516561e-49,1
"1120",4,"Alpine","mod1",-0.0695494770425746,0.00747519930396955,-9.30402979431489,1.42230493844376e-12,19.4121570698382,0.444474003639534,43.6744486986494,4.47471965524601e-42,1
"5",5,"Alpine","mod1",-0.0940881928629735,0.0100650311337295,-9.34802800039729,1.21302678119898e-13,20.9461770513393,0.662499990198094,31.6168714886715,3.49015126283103e-41,1
"344",5,"Alpine","mod1",-0.0220095636849674,0.010215477014772,-2.15453117393743,0.0364694571517103,20.4733354442763,0.689261768320669,29.7032802126222,1.16286090696675e-31,1
"744",5,"Alpine","mod1",-0.0873189204388168,0.00597112614551661,-14.6235263350415,2.20558212881793e-22,23.2359491762438,0.453489759848926,51.2380901036984,7.10773750069387e-55,1
"1121",5,"Alpine","mod1",-0.144358288554854,0.0224245684091263,-6.43750577139775,7.66627809808812e-08,12.0582292420832,0.636796690683402,18.9357599034356,8.94011755915828e-23,1
