"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1878",1,"Anatolian","mod1",-0.0761204777022687,0.00880174474124816,-8.64833961220674,1.98293721763624e-11,17.74508331323,0.460970769785227,38.4950293518561,2.75577360967529e-38,1
"2144",1,"Anatolian","mod1",-0.0411461607117195,0.00768984001381197,-5.35071739305571,2.54651562832071e-06,18.8400066459712,0.453678494467107,41.5272199933144,1.06513290908855e-38,1
"2398",1,"Anatolian","mod1",-0.0813528885717181,0.0176901082353825,-4.59877845229923,4.21102294955228e-05,16.1447935781682,0.84258326204428,19.161066099269,9.24099262259827e-22,1
"2676",1,"Anatolian","mod1",-0.028629669998588,0.009003940371437,-3.17968231880003,0.00263832015861212,18.3189222050812,0.506158854541179,36.1920413734279,1.89600287368945e-35,1
"2933",1,"Anatolian","mod1",-0.0379203946191414,0.00807425218162138,-4.69645903622577,2.10119876347283e-05,23.1966395041449,0.653664311901654,35.4870827147665,4.04021462515441e-37,1
"1879",2,"Anatolian","mod1",-0.0574921512423346,0.0161008609411473,-3.57075012649837,0.000787028091343897,19.8981540393111,1.04852729936578,18.977239840438,9.12119276172778e-25,0.8
"2145",2,"Anatolian","mod1",-0.02958088962247,0.0076898157089156,-3.84676183958139,0.000366763709705996,19.1738550425024,0.47169032469293,40.6492438762329,1.06329019410667e-37,0.8
"2677",2,"Anatolian","mod1",-0.0155907486158258,0.00607905448522492,-2.56466670165878,0.013035543737072,25.4364262818049,0.555505116906695,45.789724536556,4.54113064632178e-46,0.8
"2934",2,"Anatolian","mod1",-0.0928863782542275,0.00709640628227279,-13.089213689225,1.29259789984828e-17,17.9491256629293,0.373817202020585,48.0157830241875,7.19827762670967e-43,0.8
"2146",3,"Anatolian","mod1",-0.0411600156344947,0.00638343285589084,-6.44794369482729,3.48162687115864e-08,22.9932967074986,0.505904157158126,45.4499066318441,3.94053006426399e-44,0.6
"2400",3,"Anatolian","mod1",-0.0214558525200147,0.0129846984956164,-1.65239512702264,0.106093073233257,16.7467300774696,0.648463478131323,25.8252479009745,5.52503358070388e-27,0.6
"2935",3,"Anatolian","mod1",-0.0779736307246005,0.00972587794974024,-8.01713029173712,4.4830650813842e-10,16.7396449696864,0.47284281940733,35.4021342455155,1.93196308256353e-33,0.6
"1881",4,"Anatolian","mod1",-0.0348244836423928,0.00663872218493057,-5.24566063653663,2.78030098408854e-06,21.1547235579848,0.462651789285772,45.7249362217811,2.88455853230004e-44,1
"2147",4,"Anatolian","mod1",-0.066895263378271,0.00767532212809707,-8.71562942399347,3.41183390647031e-12,22.3546316563318,0.566612031393505,39.4531538650065,4.14147305846228e-44,1
"2401",4,"Anatolian","mod1",-0.0514206389318304,0.0097283418216269,-5.2856529791663,3.35085395549331e-06,20.9040599392091,0.665654098800286,31.4037876081356,1.0105584906448e-32,1
"2679",4,"Anatolian","mod1",-0.071718394455778,0.00448795372157144,-15.9801991965875,1.51359880827096e-24,31.4913402918228,0.5390029139284,58.4251763358852,3.31043831402348e-59,1
"1882",5,"Anatolian","mod1",-0.0967381850255036,0.0183268452347444,-5.27849631436322,3.82421919097667e-06,14.4430191903312,0.694082233389427,20.8088011701456,2.11951823510495e-24,0.6
"2680",5,"Anatolian","mod1",-0.0683830779478707,0.00534854275613707,-12.7853662325885,4.89706747529095e-19,24.7918410613652,0.464293931526829,53.3968664630988,1.50335943179252e-53,0.6
"2936",5,"Anatolian","mod1",-0.0858377730570626,0.0123359221945778,-6.95835882418194,7.69589395300401e-09,23.665256267168,0.993050281034163,23.8308741451872,1.32198229035775e-28,0.6
"2149",6,"Anatolian","mod1",-0.021016691535743,0.00786904533702081,-2.67080575033259,0.00968746862052307,25.2726913295503,0.696004696456506,36.3110930978174,5.10609783914661e-43,1
"2403",6,"Anatolian","mod1",-0.0486694835022975,0.00814191327009426,-5.97764700848183,3.12798694931388e-07,19.0287474627126,0.4951939880517,38.4268547717625,1.3133641131976e-36,1
"2937",6,"Anatolian","mod1",-0.0629665034198048,0.0139707006840902,-4.50703975724788,5.60995193193699e-05,15.038021427221,0.579576333232638,25.9465760848879,1.22120287338628e-26,1
"1883",7,"Anatolian","mod1",-0.0346096037662136,0.00597706103944915,-5.79040493944883,2.62213779146882e-07,25.6928131659217,0.542127181265772,47.3925935717399,7.80553771999047e-50,1
"2150",7,"Anatolian","mod1",-0.0298415138862075,0.00583884943693272,-5.11085517935258,3.52006385377477e-06,23.2944608261739,0.465524025744119,50.0392236231819,1.23997478416178e-50,1
