"","replicate","region","area","species","links","links_per_sp","connectances","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","omnivorys","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"1",1,"Anatolian",1,138,1711,12.3985507246377,0.18100074050566,34.22,14.0245901639344,0,0.594202898550725,0.0652173913043478,0.289855072463768,1.93609126591912,0.739567273581939,0,0,9,40,82,0.0080235218629241,2.76,1.13114754098361,122,50,128.08
"2",1,"Anatolian",2,147,1836,12.4897959183673,0.171093094772155,34.6415094339623,14.1230769230769,0,0.598639455782313,0.0680272108843537,0.285714285714286,1.99946923859075,0.743462847027543,0,0,10,42,88,0.0181389339268208,2.77358490566038,1.13076923076923,130,53,123.264150943396
"3",1,"Anatolian",3,170,2310,13.5882352941176,0.160807518273582,39.1525423728814,15.1973684210526,0,0.611764705882353,0.0647058823529412,0.276470588235294,2.05687930771272,0.758050225954531,0,0,11,47,104,0.00854858756065369,2.88135593220339,1.11842105263158,152,59,120.135593220339
"4",1,"Anatolian",4,174,2384,13.7011494252874,0.158394791043784,40.4067796610169,15.2820512820513,0,0.620689655172414,0.0632183908045977,0.270114942528736,2.08324749836607,0.748742867883578,0,0,11,47,108,0.00828646309673786,2.94915254237288,1.11538461538462,156,59,120.135593220339
"5",1,"Anatolian",5,177,2461,13.9039548022599,0.157999486389317,41.0166666666667,15.4779874213836,0,0.621468926553672,0.0621468926553672,0.271186440677966,2.09334257391826,0.74718675673181,0,0,11,48,110,0.00803030841052532,2.95,1.11320754716981,159,60,118.733333333333
"6",1,"Anatolian",6,179,2503,13.9832402234637,0.157115058690603,41.7166666666667,15.5465838509317,0,0.625698324022346,0.0614525139664804,0.268156424581006,2.09843297762283,0.747225258105209,0,0,11,48,112,0.0078971991315484,2.98333333333333,1.11180124223602,161,60,118.733333333333
"7",1,"Anatolian",7,181,2563,14.1602209944751,0.157335788827502,42.0163934426229,15.7239263803681,0,0.624309392265193,0.0607734806629834,0.270718232044199,2.08392150512476,0.750895835847792,0,0,11,49,113,0.00771449925377965,2.9672131147541,1.11042944785276,163,61,118.049180327869
"8",1,"Anatolian",8,181,2563,14.1602209944751,0.157335788827502,42.0163934426229,15.7239263803681,0,0.624309392265193,0.0607734806629834,0.270718232044199,2.08392150512476,0.750895835847792,0,0,11,49,113,0.00771449925377965,2.9672131147541,1.11042944785276,163,61,118.049180327869
"9",1,"Anatolian",9,182,2574,14.1428571428571,0.156274664561957,42.1967213114754,15.6951219512195,0,0.626373626373626,0.0604395604395604,0.269230769230769,2.09415185641518,0.749920959851441,0,0,11,49,114,0.0076818810775876,2.98360655737705,1.10975609756098,164,61,118.049180327869
"10",1,"Anatolian",10,185,2635,14.2432432432432,0.1548178613396,42.5,15.8734939759036,0,0.621621621621622,0.0594594594594595,0.27027027027027,2.0975188421715,0.756349224972786,0,0,11,50,115,0.00750605529174209,2.98387096774194,1.1144578313253,166,62,116.725806451613
"11",1,"Anatolian",11,186,2648,14.2365591397849,0.153908747457135,42.7096774193548,15.8562874251497,0,0.623655913978495,0.0591397849462366,0.268817204301075,2.10783027332458,0.754683579475225,0,0,11,50,116,0.00746955256909132,3,1.11377245508982,167,62,116.725806451613
"12",1,"Anatolian",12,193,2986,15.4715025906736,0.161161485319516,45.2424242424242,17.1609195402299,0,0.616580310880829,0.0621761658031088,0.274611398963731,2.05941071700858,0.760407021972739,0,0,12,53,119,0.00790691189467907,2.92424242424242,1.10919540229885,174,66,117.984848484848
"13",1,"Anatolian",13,215,4063,18.8976744186047,0.176613779613128,50.7875,21.0518134715026,0,0.586046511627907,0.0651162790697674,0.302325581395349,1.95049983870244,0.767650337376932,0,0,14,65,126,0.00707541964948177,2.6875,1.1139896373057,193,80,120.3125
"14",1,"Anatolian",14,215,4063,18.8976744186047,0.176613779613128,50.7875,21.0518134715026,0,0.586046511627907,0.0651162790697674,0.302325581395349,1.95049983870244,0.767650337376932,0,0,14,65,126,0.00707541964948177,2.6875,1.1139896373057,193,80,120.3125
"15",1,"Anatolian",15,215,4063,18.8976744186047,0.176613779613128,50.7875,21.0518134715026,0,0.586046511627907,0.0651162790697674,0.302325581395349,1.95049983870244,0.767650337376932,0,0,14,65,126,0.00707541964948177,2.6875,1.1139896373057,193,80,120.3125
"16",1,"Anatolian",16,216,4199,19.4398148148148,0.18083548664944,51.8395061728395,21.6443298969072,0,0.583333333333333,0.0648148148148148,0.305555555555556,1.93202541923914,0.759540663815983,0,0,14,66,126,0.0068482393398881,2.66666666666667,1.11340206185567,194,81,121.938271604938
"17",1,"Anatolian",17,219,4328,19.7625570776256,0.181307863097482,53.4320987654321,21.9695431472081,0,0.589041095890411,0.0639269406392694,0.301369863013699,1.93034381966269,0.756093642921012,0,0,14,66,129,0.00664573162794113,2.7037037037037,1.11167512690355,197,81,121.938271604938
"18",1,"Anatolian",18,219,4328,19.7625570776256,0.181307863097482,53.4320987654321,21.9695431472081,0,0.589041095890411,0.0639269406392694,0.301369863013699,1.93034381966269,0.756093642921012,0,0,14,66,129,0.00664573162794113,2.7037037037037,1.11167512690355,197,81,121.938271604938
