"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"Atlantic","mod1",-0.0768957901709093,0.0117405476674256,-6.54959141167311,1.28619338061436e-08,20.2538102815135,0.717068695881372,28.2452858392026,4.1457271083356e-37
"2",1,2,"Atlantic","mod1",-0.076024684184051,0.0114348719300942,-6.64849459170326,6.41516458767303e-09,20.2617731887217,0.702947244171087,28.824031044626,1.75875390271215e-39
"3",1,3,"Atlantic","mod1",-0.0793540737042774,0.0120257127857869,-6.59870022823638,8.32390910449178e-09,19.9692865272929,0.724596904539742,27.5591662097662,6.32729264207666e-38
"4",1,4,"Atlantic","mod1",-0.0826136926734343,0.0118224333722195,-6.98787551364518,1.31419661523832e-09,20.3089081344493,0.724954260172178,28.0140544723827,9.10451602827883e-40
"5",1,7,"Atlantic","mod1",-0.0831864367611207,0.0119271460517828,-6.97454666857932,1.30743064341814e-09,20.2356287783176,0.726953367704761,27.8362129914996,6.22223878841266e-40
"6",1,8,"Atlantic","mod1",-0.0820214884189851,0.012018094297154,-6.82483315498768,2.6014505088566e-09,20.2075903127383,0.731830001279568,27.6124103649841,2.30327016557189e-39
"7",1,9,"Atlantic","mod1",-0.0808776948887177,0.0120240689131674,-6.72631664645148,3.51910642413912e-09,20.2167588702599,0.732432918760895,27.6021985801265,4.95493097292291e-40
"8",1,10,"Atlantic","mod1",-0.0831664242573663,0.0122445813826067,-6.79210024897243,2.98276907059928e-09,20.0141247255696,0.734127489864863,27.2624646289349,5.21864003889125e-39
"9",1,12,"Atlantic","mod1",-0.083115856751112,0.0124196210176321,-6.69230217517206,4.78133185538668e-09,20.4116257938927,0.776254771155195,26.2950084848005,1.10863573093618e-37
"10",1,13,"Atlantic","mod1",-0.0897275424548173,0.0129989380094899,-6.90268254139775,1.87823390981587e-09,19.8890874236086,0.771056998097388,25.7945748144244,1.77770127720364e-37
"11",1,14,"Atlantic","mod1",-0.0894185829004713,0.012863411003616,-6.95138971112214,1.53149311993598e-09,19.9887994944981,0.772185942103608,25.885992485235,1.42027155884073e-37
"12",1,15,"Atlantic","mod1",-0.0925654488984004,0.012743912388313,-7.26350323808636,4.42023514917316e-10,19.7943429416199,0.750672512505263,26.3688127803682,9.29593060780357e-38
"13",1,19,"Atlantic","mod1",-0.094334537387022,0.0129900146270537,-7.26208092102961,4.44665309174788e-10,19.619212016676,0.756426082598816,25.9367206763564,2.62219838134851e-37
"14",1,26,"Atlantic","mod1",-0.0942099182521815,0.0131307652777649,-7.17474695947178,6.86610987615392e-10,19.5375181330332,0.760957443677224,25.6749155887362,1.03232108247305e-36
"15",1,27,"Atlantic","mod1",-0.0881899885528861,0.0129448004425012,-6.81277312420629,2.31256671694333e-09,19.9930478367252,0.772028177337024,25.8967851480341,1.57423619897254e-38
"16",1,32,"Atlantic","mod1",-0.0889859996102164,0.0131579577093369,-6.76290360373116,3.01582015859555e-09,19.847800387754,0.779265864299475,25.4698701650383,9.51631616974062e-38
"17",1,37,"Atlantic","mod1",-0.086511234954551,0.0134075114025078,-6.45244537613217,1.16590439341914e-08,20.0873978841339,0.819098955478059,24.5237742641365,2.17193109286064e-36
"18",1,38,"Atlantic","mod1",-0.0871838499523969,0.0130651559859786,-6.67300490296186,4.64427290728052e-09,20.1192481299252,0.795305726174797,25.2975019137525,2.99267784801167e-37
"19",1,41,"Atlantic","mod1",-0.0901758369563305,0.0132914549639019,-6.78449704725615,3.07901083915015e-09,19.875786801002,0.794299964609658,25.0230236517379,1.21332021955069e-36
"20",1,54,"Atlantic","mod1",-0.0822164145054372,0.0126814383262945,-6.48320895390583,9.77133604215963e-09,20.6274243557989,0.802733200234292,25.6964883846569,5.3525813653302e-38
"21",1,55,"Atlantic","mod1",-0.0862911334015895,0.0126966463773124,-6.7963721156937,2.76821795242847e-09,20.3409112991279,0.783432488107943,25.9638342906265,5.64323387623661e-38
"22",1,71,"Atlantic","mod1",-0.0850881771063362,0.0129684934084848,-6.56114588072863,7.41302225708553e-09,20.3919167409241,0.808792662598882,25.2127865198468,3.70913968746533e-37
"23",1,73,"Atlantic","mod1",-0.0846325926314013,0.0130515111021071,-6.48450527829974,1.02030684952121e-08,20.366671363542,0.812724768754669,25.0597399593834,5.47407093605457e-37
"24",1,81,"Atlantic","mod1",-0.0799167951962599,0.0129419632280942,-6.17501331040547,3.5226543512169e-08,20.58641242792,0.819544643686662,25.1193300895892,2.336516109589e-37
"25",1,82,"Atlantic","mod1",-0.0797445371296931,0.0127657348231349,-6.24676434490671,2.40475172660153e-08,20.6371639431542,0.807396086653416,25.5601485866662,1.84592668621913e-38
"26",1,83,"Atlantic","mod1",-0.0852796922060525,0.0127694749773544,-6.67840238986247,4.54048139106031e-09,20.2649201833371,0.780630848763699,25.959671226715,5.7017446934569e-38
"27",1,85,"Atlantic","mod1",-0.0881843297536569,0.0129295884210088,-6.82035087910217,2.65065270759023e-09,20.0868140048945,0.78133549121541,25.7083086980323,2.19841852248569e-37
"28",1,90,"Atlantic","mod1",-0.0853830671954005,0.0118544346557942,-7.20262666880258,3.23431117825783e-10,21.7251201427834,0.802551492565259,27.0700638451767,2.09019202350228e-41
"29",1,103,"Atlantic","mod1",-0.0853377541500118,0.011953220591556,-7.1393105729427,4.52368254748548e-10,21.6535064405045,0.805528153476139,26.8811292902203,7.04824904335716e-41
"30",1,104,"Atlantic","mod1",-0.0850923458086917,0.0119538418916798,-7.11840984511584,4.95673328067409e-10,21.5823645927726,0.802063585636661,26.9085456306322,6.56493515291246e-41
