"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"69881",1,1,"BlackSea","mod1",-0.552019512969947,0.0624933603070523,-8.8332506086675,5.68438945020199e-10,11.7395461436772,1.15334378038858,10.178705034263,2.0957787305961e-11,0.964705882352941
"70000",2,1,"BlackSea","mod1",-0.699895617905422,0.0701236316958848,-9.98088092386257,1.47932946641222e-10,9.16213093969946,0.8116704483733,11.287993739407,9.92677316056957e-12,0.964705882352941
"70145",3,1,"BlackSea","mod1",-0.858762895763473,0.0858618699403258,-10.0016793992527,3.19556206625739e-10,8.175168852583,0.745031669984762,10.972914551069,4.7678965190327e-11,0.964705882352941
"70285",4,1,"BlackSea","mod1",-0.701486096379615,0.0934782064655857,-7.50427423570508,2.26083060457675e-07,7.53801917566563,0.858030100325034,8.78526193056644,1.77801980456783e-08,0.964705882352941
"70453",5,1,"BlackSea","mod1",-0.668823333794524,0.0876944210634974,-7.62674895031515,1.75621376687721e-07,8.89789718890036,1.0149760469356,8.76660805519969,1.84223846137408e-08,0.964705882352941
"70616",6,1,"BlackSea","mod1",-0.716048143420978,0.101972003313754,-7.02200721915596,2.05373404140258e-06,6.84123937647288,0.840703170721771,8.13752060742135,2.89177799372286e-07,0.964705882352941
"70803",7,1,"BlackSea","mod1",-0.881031714351032,0.0770531981307611,-11.4340706904326,1.09394591214455e-09,6.12863452441798,0.475421334815552,12.8909539299402,1.57987775177917e-10,0.964705882352941
"70992",8,1,"BlackSea","mod1",-0.625538306658286,0.0714095715095659,-8.75986640774746,6.57528443604771e-08,7.3329774133166,0.705948885588164,10.3874056082787,4.96017843180221e-09,0.964705882352941
"71171",9,1,"BlackSea","mod1",-0.778735893145573,0.084166362563038,-9.25234107108198,4.86828105798128e-09,7.8293639705499,0.757239510273638,10.3393495245918,6.5548971614031e-10,0.964705882352941
"71355",10,1,"BlackSea","mod1",-0.799804130595557,0.0932360187975594,-8.57827415745999,3.90065317196776e-08,7.68266904001032,0.797370357301341,9.63500708254557,5.8901624015043e-09,0.964705882352941
"71539",11,1,"BlackSea","mod1",-0.87098198095606,0.0832524415921167,-10.461939185199,1.27893124614857e-10,8.16128029877355,0.706080608839288,11.5585673882048,1.59719145859792e-11,0.964705882352941
"71680",12,1,"BlackSea","mod1",-0.591527312651644,0.0847000100092122,-6.98379271250744,3.20024352778812e-07,10.9587693566557,1.36158116839757,8.04856119562294,2.83493776298552e-08,0.964705882352941
"71827",13,1,"BlackSea","mod1",-0.970585276440419,0.0915021137402807,-10.6072443221948,3.57796514508697e-09,7.03162205318416,0.605508757827069,11.6127503727904,8.54152839428794e-10,0.964705882352941
"72038",14,1,"BlackSea","mod1",-0.660264828203871,0.0747240354059069,-8.83604351153227,3.66209683785635e-09,10.1144595455252,1.00145837394754,10.0997303618882,2.62345692787922e-10,0.964705882352941
"72163",15,1,"BlackSea","mod1",-0.640532296140629,0.0765230626749608,-8.3704477284365,4.17761286449714e-09,10.7007501588357,1.12261705102564,9.5319683137356,2.74315312712712e-10,0.964705882352941
"72304",16,1,"BlackSea","mod1",-0.736284900199947,0.0942125021919798,-7.81515067607053,2.36750955320453e-07,8.23861904695031,0.939994727535343,8.76453750815378,4.21024555024999e-08,0.964705882352941
"72497",17,1,"BlackSea","mod1",-0.736476778984484,0.0777137289384887,-9.47679115446144,2.08646529655204e-09,8.14749966135409,0.757612446891895,10.754178729216,1.90570561728086e-10,0.964705882352941
"72669",18,1,"BlackSea","mod1",-0.583965979818924,0.0765658155721931,-7.62698046712907,1.29213041601629e-07,9.65764985263952,1.08532662742233,8.89838101141648,9.65349610069807e-09,0.964705882352941
