"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"5833",1,"Boreal","mod1",-0.11704286569502,0.0118131223337395,-9.90786875716455,4.31388209413094e-13,16.0073080067002,0.513911199811935,31.1480038040775,4.93963075160343e-33,1
"6039",1,"Boreal","mod1",-0.115487173740399,0.0111389854218519,-10.3678359712943,2.07664820393496e-15,20.086350276964,0.681567882027333,29.4707993240774,2.50926256668322e-39,1
"6201",1,"Boreal","mod1",-0.087912168958431,0.0138132729178237,-6.36432578154561,2.67214050160698e-08,17.6892312774546,0.695475644712661,25.4347242954323,1.65480869609826e-34,1
"6365",1,"Boreal","mod1",-0.128119842819506,0.0101547717605321,-12.6167131906856,1.0543405896575e-15,14.1082214822336,0.361830175091621,38.9912794825947,4.9418788844442e-34,1
"6602",1,"Boreal","mod1",-0.110867338577995,0.0177249670396006,-6.25486853263525,4.10930593346476e-08,16.353533719194,0.779517564492032,20.9790445579641,7.42610880940004e-30,1
"6040",2,"Boreal","mod1",-0.101078441724687,0.00870087769602761,-11.617039712078,1.60574926237573e-18,22.2841066697039,0.600854150084814,37.0873808004129,1.96626808631638e-50,1
"6202",2,"Boreal","mod1",-0.1104544299412,0.0145258005062094,-7.60401672141808,1.47471997361951e-10,17.4479777252293,0.707976149299642,24.6448665572838,1.09049729508992e-34,1
"5834",3,"Boreal","mod1",-0.11571851720848,0.0185345929173996,-6.24338056542088,7.9298331228483e-08,15.2653713485425,0.751025894116919,20.3260253316459,2.11504869299318e-26,1
"6041",3,"Boreal","mod1",-0.118358105815417,0.0138769641156116,-8.52910657038193,2.99792241753886e-12,17.5507241312588,0.68377207188163,25.6675065463876,4.65536668909496e-36,1
"6203",3,"Boreal","mod1",-0.0906928848057514,0.0115588817428896,-7.84616425905912,6.63035433142229e-11,19.9648304410822,0.70135573395992,28.4660543492799,1.11843498484806e-37,1
"6366",3,"Boreal","mod1",-0.200834795646994,0.0257538408512022,-7.798246358955,9.170950303643e-10,11.4082081778972,0.651142972408969,17.5202815069806,3.41174266227733e-21,1
"6603",3,"Boreal","mod1",-0.124292584996424,0.0138363633802448,-8.98303850373621,4.10405946510114e-13,18.5664259033322,0.740712016036175,25.0656469739589,9.32463659208952e-36,1
"6367",4,"Boreal","mod1",-0.191891495538876,0.0242353576089531,-7.91783222823116,6.1995647429604e-10,11.6669616936572,0.641351971836469,18.1911995378288,8.18087400968904e-22,1
"5835",5,"Boreal","mod1",-0.148510461390227,0.0220085165344785,-6.74786331725589,1.6309752899493e-08,12.6069412755486,0.662975669905565,19.0156922008078,2.89870749681194e-24,1
"6042",5,"Boreal","mod1",-0.081301505647281,0.0103966652298495,-7.81995994387304,4.65235763162732e-11,21.6038596306336,0.70771848568698,30.5260637775524,2.02576620116775e-41,1
"6604",5,"Boreal","mod1",-0.10536170558978,0.00685937802451103,-15.3602418780951,1.23583760559977e-22,20.9382611348808,0.436951899439134,47.9189154727487,4.04900447430167e-50,1
