"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"8569",1,"Mediterranean","mod1",-0.0469572059002122,0.0108331615052916,-4.33458006485689,6.13330522178293e-05,22.7959559305002,0.837430346397472,27.2213158127906,5.61816511363276e-34,1
"8969",1,"Mediterranean","mod1",-0.0205856832219951,0.00872337086542466,-2.35983125555134,0.0211601228320476,27.03386623922,0.878085930710442,30.7872672750234,1.17951195158866e-41,1
"9345",1,"Mediterranean","mod1",-0.0518201889156574,0.0178048458258769,-2.91045423377628,0.00607812412549478,16.4563170001276,0.867792492248092,18.963424029512,1.19400756895643e-20,1
"9782",1,"Mediterranean","mod1",-0.126160269690485,0.0131767579435665,-9.57445452294146,2.58794055396644e-13,15.7351859431312,0.557192819389037,28.2401089812766,2.03970936188816e-34,1
"10154",1,"Mediterranean","mod1",-0.0586675552891299,0.0040703042956835,-14.4135551121684,6.03545371982895e-24,30.9184695922598,0.475568605348734,65.013689391013,5.13454564006354e-71,1
"8570",2,"Mediterranean","mod1",-0.0627520068234961,0.00911924946111322,-6.88126880299596,5.90271876265565e-09,22.994972493343,0.694796868352139,33.0959645052525,5.33660063914649e-38,1
"8970",2,"Mediterranean","mod1",-0.0350080724292062,0.00691127401313136,-5.06535732235348,3.41915699260025e-06,23.201205539577,0.54124578474012,42.8663025074959,1.97479017638292e-50,1
"9346",2,"Mediterranean","mod1",-0.0688525514222928,0.0120130091231145,-5.7314991370324,8.36017169642162e-07,14.7766066172124,0.473256870157666,31.2232268541386,1.15895438331191e-31,1
"9783",2,"Mediterranean","mod1",-0.0889528647325899,0.00673215589764986,-13.2131320315447,2.48873947571742e-20,23.9986964519207,0.536416896388104,44.7388898700114,1.23818959086225e-51,1
"10155",2,"Mediterranean","mod1",-0.0313507886458288,0.00741312274169273,-4.22909342502943,7.17460595703773e-05,26.8136984382324,0.707804770936594,37.8829015277072,1.9117177445954e-47,1
"8571",3,"Mediterranean","mod1",-0.0239791763935754,0.00764703454387465,-3.13574840756839,0.00267219586372199,26.1501148046715,0.726023466404111,36.0182776655819,7.23591427112876e-42,1
"9347",3,"Mediterranean","mod1",-0.0377670333260576,0.011782905687189,-3.20523938056466,0.00261448031918821,18.4527771339306,0.69118734540086,26.6972149544039,1.52573150066931e-27,1
"10156",3,"Mediterranean","mod1",-0.016034362250301,0.00785984860220983,-2.04003449198664,0.0451216514563546,26.0352316707104,0.728209729651464,35.7523809564744,1.06108145350516e-46,1
"8572",4,"Mediterranean","mod1",-0.0285930458194933,0.00644214484279176,-4.43843572556221,3.79237967297463e-05,27.7927458687948,0.654086557516726,42.490929601598,1.46658134281819e-47,1
"9348",4,"Mediterranean","mod1",-0.110834477449116,0.0157885851279422,-7.01991195227268,9.52021214251445e-09,14.4382382845242,0.599967171154842,24.0650471870534,2.4666257171384e-27,1
"8971",5,"Mediterranean","mod1",-0.0241600652849086,0.00836659778495828,-2.8876809792798,0.00506860374648535,32.9047916318496,1.09698975962805,29.9955321761678,1.62735098084652e-43,1
"9349",5,"Mediterranean","mod1",-0.0468569629257129,0.0153027709846758,-3.06199203873832,0.00363070109972941,18.9174060940551,0.928694425424429,20.3698930198806,5.78877727233415e-25,1
"9784",5,"Mediterranean","mod1",-0.0532333401836288,0.00521232270825196,-10.2129785823414,1.03040788144117e-15,26.1808724096676,0.473895693340273,55.2460652789027,2.64482057795448e-61,1
"10157",5,"Mediterranean","mod1",-0.0683653327571801,0.00795140910573474,-8.59788898396303,7.15237143500959e-13,24.1029766973123,0.636187004134215,37.8866222363563,1.51742057066786e-51,1
"8972",6,"Mediterranean","mod1",-0.0396557890398962,0.00482161716839562,-8.22458267732848,1.72800054947476e-12,33.516982897608,0.637203007461516,52.6001643198965,9.90412828212542e-68,0.75
"9350",6,"Mediterranean","mod1",-0.0594705661400559,0.00827806872102694,-7.18411119117628,2.0695240780461e-09,20.2864790541984,0.535806781805442,37.8615570819048,1.44471948895967e-40,0.75
"10158",6,"Mediterranean","mod1",-0.0358682471622844,0.00610585227550186,-5.8744046766733,8.03489571309023e-08,35.0910131756022,0.89068526016573,39.3977701720054,2.23056618101184e-56,0.75
"8973",7,"Mediterranean","mod1",-0.0736007285326927,0.00666638068476976,-11.0405828909296,4.96108796183778e-18,29.2924827668887,0.701346244175413,41.7660791800894,5.76983123630318e-58,1
"9785",7,"Mediterranean","mod1",-0.0478783995554988,0.00698773129880501,-6.85178028578268,3.38392755474553e-09,23.6041223836906,0.546540228074279,43.1882616707998,4.67470446784161e-49,1
"10159",7,"Mediterranean","mod1",0.0258318266324996,0.00527777917140214,4.89445006954259,4.86000301122862e-06,36.6412336316321,0.821314649975304,44.6129064332821,2.77955613077333e-59,1
"8574",8,"Mediterranean","mod1",-0.0310096473846045,0.0105506331172607,-2.9391266893617,0.00466665483640138,24.7527669631595,0.932807101739752,26.5357831399374,7.54107992687693e-35,1
"9351",9,"Mediterranean","mod1",-0.119523590916696,0.0191364889315624,-6.24584746680267,1.46775371914216e-07,13.2988053232143,0.641811037256586,20.7207488672365,2.51146592578033e-24,1
"9786",9,"Mediterranean","mod1",-0.0468215252748615,0.00722213688310252,-6.48305702767955,1.48802132046793e-08,25.1141757687894,0.642114404652046,39.1116841279997,2.11992165833947e-46,1
"10160",9,"Mediterranean","mod1",-0.0650994263511545,0.00621701553617331,-10.4711699644914,3.0143731175964e-17,30.6009566317103,0.700075843896539,43.7109163221359,2.09727118096805e-62,1
"8575",10,"Mediterranean","mod1",-0.0515356991109433,0.00603950412528905,-8.5331010695314,1.54970103981827e-12,27.2058747567603,0.592316806909464,45.9312895386382,4.42915658172738e-55,1
"9352",10,"Mediterranean","mod1",-0.107807947883322,0.0160898515915929,-6.70036931475819,2.11875444147357e-08,14.9729621947642,0.640808301767142,23.3657431613692,7.18204755033482e-28,1
"9787",10,"Mediterranean","mod1",-0.0242648744477808,0.00708171739331517,-3.42641101022836,0.00110013762848813,22.080328260454,0.513772564838626,42.9768535176442,2.56551360864146e-47,1
"10161",10,"Mediterranean","mod1",-0.0463405258037251,0.00688579266802813,-6.72987527186111,2.68688170283531e-09,29.0457623412907,0.742535763137105,39.1169877375018,1.46052179732283e-52,1
"8576",11,"Mediterranean","mod1",-0.0312252536781558,0.00611317751645179,-5.10785979862722,3.15812792818837e-06,23.7519990743813,0.489316985530294,48.5411293226215,3.28909751172164e-52,1
"8577",12,"Mediterranean","mod1",-0.037231286468876,0.0068333804281334,-5.44844339641809,8.97277862931923e-07,25.1284637438646,0.608984904934325,41.2628679960048,2.57110877465136e-47,1
"8974",12,"Mediterranean","mod1",-0.00991019767302695,0.00462991421626657,-2.14047112108661,0.0353243043645223,31.4762859822468,0.55872690997338,56.3357257729835,9.74024376059094e-67,1
"9788",12,"Mediterranean","mod1",-0.0819798714284759,0.0131004518343585,-6.25778961405496,5.42166396931485e-08,17.2334787230008,0.651035142537037,26.4708885849743,1.03541505087254e-33,1
"10162",12,"Mediterranean","mod1",-0.0625215992812663,0.00766364368278121,-8.15820801034118,2.71885632468754e-12,31.3638971860031,0.919120124440617,34.1238281612987,2.19206150454189e-51,1
"9353",13,"Mediterranean","mod1",-0.113441054257181,0.0119304843463982,-9.50850367541266,2.46133100697039e-12,16.5543310752579,0.542422668955375,30.519246378731,1.03070398668044e-31,1
"10163",13,"Mediterranean","mod1",-0.0474209286803243,0.0074644072280368,-6.35293965503492,1.2041952450977e-08,29.3518627918768,0.811924829780232,36.1509609206331,2.53226907166929e-51,1
"8578",14,"Mediterranean","mod1",-0.0300436380248254,0.00611875795586819,-4.91008767490337,5.86652153423558e-06,30.0387909651089,0.688566424011202,43.6251172256116,5.66647644874458e-52,1
"8579",15,"Mediterranean","mod1",-0.0567847552393961,0.00724331952011482,-7.83960380067507,6.80795028715962e-11,25.7307779483344,0.659581192575589,39.0107817475187,7.74025967250406e-46,1
"8975",15,"Mediterranean","mod1",-0.0624241806166078,0.00490121804542604,-12.736462658474,1.5377640976806e-20,29.353630614866,0.520965656489559,56.3446558313663,9.56754389214619e-64,1
"9354",15,"Mediterranean","mod1",-0.0493771240010406,0.00844509202692202,-5.84684262097225,2.84029732058318e-07,21.2257487743528,0.587234426603399,36.1452731869347,5.1650695993701e-40,1
"9789",15,"Mediterranean","mod1",-0.0717948023154359,0.00974075975201131,-7.37055467368563,2.62442400855101e-10,25.4457523121227,0.864873259517621,29.4213655377841,3.8392072757414e-41,1
"8580",16,"Mediterranean","mod1",-0.035656028069611,0.0101096135348984,-3.52694274084032,0.000887745627835357,21.9922596339019,0.755862394501463,29.0955864372735,7.55529705892905e-34,1
"8976",16,"Mediterranean","mod1",-0.016500603316727,0.00539501163317522,-3.05849262961008,0.00300431124058107,35.1121506562135,0.791215531236878,44.3774790433195,4.21694180126063e-59,1
"9355",16,"Mediterranean","mod1",-0.0353457993003678,0.00714070266566014,-4.94990492607218,7.91938050939122e-06,21.8771836984318,0.520469006674063,42.0335955030885,2.22061008978058e-42,1
"9790",16,"Mediterranean","mod1",-0.0371246742499003,0.00719329373051927,-5.1610118591974,1.99308933106784e-06,30.1642219646567,0.840960037919065,35.8687935270948,1.55442310012348e-48,1
"9356",17,"Mediterranean","mod1",-0.104890810498405,0.0112014098547349,-9.36407218900821,2.06931853855038e-13,21.6362129026541,0.749343255519917,28.8735672781125,2.8117579948271e-37,1
"9357",18,"Mediterranean","mod1",-0.143592596775532,0.013024481719216,-11.0248223208513,4.67379758251483e-16,19.461012265649,0.759414344738832,25.6263427211686,5.1718498380062e-34,1
"8581",19,"Mediterranean","mod1",-0.0390066112485518,0.00646182696875966,-6.03646792728019,5.56763549011725e-08,27.9188638445491,0.659428494047798,42.3379700703765,4.11262377188723e-54,1
"10164",19,"Mediterranean","mod1",-0.0411328139862613,0.00905606858483828,-4.5420166158112,1.92000438302483e-05,28.1211309749307,0.941574874534238,29.8660592327734,1.73846282677191e-45,1
"9791",20,"Mediterranean","mod1",-0.0588199074929379,0.00882681555363969,-6.66377439694929,4.34971224601872e-09,29.8403382662522,0.957411332874189,31.1677303596044,6.40204921863838e-44,1
"10165",20,"Mediterranean","mod1",-0.0504260345099436,0.00445185758572707,-11.326964876777,2.5041212153827e-19,35.2113084625267,0.610001721589103,57.723293584809,8.94318896234217e-76,1
"8582",21,"Mediterranean","mod1",-0.0566217280004289,0.00842187415861494,-6.72317431180198,2.76588582331708e-09,29.9139522191944,0.939748658943685,31.8318647592633,4.54611583132007e-46,1
"9358",21,"Mediterranean","mod1",-0.0692951795110013,0.0067785219686825,-10.2227564993007,4.39661933540062e-15,23.0695733088804,0.517902578541374,44.5442333456878,6.88264357128123e-50,1
"8977",22,"Mediterranean","mod1",-0.0449841518415511,0.00543974066287942,-8.26953978679925,2.59918482416058e-12,28.6941713754424,0.574635116503685,49.9345942343892,1.60631277086368e-61,1
"9792",22,"Mediterranean","mod1",-0.0551063914659805,0.00864000047178992,-6.37805421954616,1.93140593005469e-08,22.4071038281393,0.623589188886243,35.9324764243578,1.65110581352959e-45,1
"8978",23,"Mediterranean","mod1",-0.0273905675631591,0.00425748213048444,-6.43351321830269,5.34453232664812e-09,38.428775077271,0.680240894218359,56.4928915681087,8.74175622460608e-74,1
"10166",23,"Mediterranean","mod1",-0.0302317262234644,0.0071650809238208,-4.21931399587644,6.41673627455794e-05,33.9960543912136,1.01058330996504,33.6400315105042,5.64916376313365e-49,1
"10167",24,"Mediterranean","mod1",-0.0671879371141558,0.00685530528136264,-9.80086726360941,7.40790179722713e-16,30.9066950062129,0.767234436822845,40.2832478873068,2.29018038460527e-59,0.5
"8980",25,"Mediterranean","mod1",-0.0492682433430222,0.00693453657978544,-7.1047636386607,4.70807881152381e-10,27.9908376093726,0.703409270700417,39.7931030699963,4.99268385453327e-54,1
"10168",25,"Mediterranean","mod1",-0.0618420695594202,0.00550535240460652,-11.2330810117941,1.7654606789862e-18,31.3957970913856,0.653488856313397,48.0433549678297,2.17569305876202e-63,1
"10169",26,"Mediterranean","mod1",-0.0490907825700687,0.00517431584030788,-9.4873958384318,2.48497015764965e-15,34.418229294871,0.700849251939087,49.1093187295895,2.61026397344288e-68,1
"8583",27,"Mediterranean","mod1",-0.0483733074758592,0.00796401696327048,-6.07398348081799,6.04573726059111e-08,27.7869401294499,0.806851287891314,34.4387380257772,3.38557731685159e-45,1
"8981",27,"Mediterranean","mod1",-0.0342018229848271,0.0052327276284125,-6.53613667929497,3.98023128468637e-09,33.8753220887974,0.705246850429936,48.0332837617724,6.34801043725872e-65,1
"8982",28,"Mediterranean","mod1",-0.04217114741004,0.0058626267889713,-7.19321712399838,1.99134864985501e-10,32.030630275476,0.722937355348526,44.3062321216396,5.86309171788133e-62,1
"9793",29,"Mediterranean","mod1",-0.0932967783393883,0.00795396905612627,-11.7295877920885,8.49301754716596e-18,21.9512038830193,0.562067104736398,39.0544184102611,2.43808942622729e-47,1
"10170",29,"Mediterranean","mod1",-0.0391681223103067,0.00678029809183993,-5.77675520748054,1.2200325244673e-07,35.3271555066962,0.997961194250984,35.3993278598482,1.18641185223229e-52,1
