"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"10524",1,"Pannonian","mod1",-0.0704045590233804,0.00476278796203081,-14.7822157074069,5.74874728734171e-25,28.5147293431146,0.472883457499561,60.2996972951651,2.59820040099606e-70,1
"10606",1,"Pannonian","mod1",-0.0813022664858066,0.00463350115144626,-17.5466162257086,2.46523816143939e-27,26.8239392215877,0.429179284459693,62.5005450935433,3.78600193588135e-63,1
"10713",1,"Pannonian","mod1",-0.061786281329517,0.00394596170703022,-15.6581046439039,8.63619747874137e-26,26.4484710906232,0.353056181064268,74.9129246537924,1.99477429364214e-74,1
"10802",1,"Pannonian","mod1",-0.0500099426795761,0.00690645800142117,-7.24104058394119,4.23521772390678e-10,23.8473024064575,0.54728495788292,43.5738312609702,5.63853171118897e-53,1
"10902",1,"Pannonian","mod1",-0.0473107773831032,0.00528432137894196,-8.95304694594027,2.28058679982605e-13,24.5322223020191,0.431766471541027,56.8182661670337,3.57046221977863e-62,1
"10607",2,"Pannonian","mod1",-0.0562826660483709,0.00404469171086544,-13.9151930658092,1.3533427578379e-22,27.3431248857227,0.385103293088721,71.0020541928302,3.09499454708496e-71,1
"10714",2,"Pannonian","mod1",-0.0848562110890295,0.00324312359816917,-26.1649636593971,1.97088461841498e-42,27.7175580872686,0.304658224828559,90.9791885739048,1.73689430133196e-86,1
"10803",2,"Pannonian","mod1",-0.0418654589522497,0.00548323521854101,-7.63517472507578,6.81141215188408e-11,27.5527233764254,0.530119580961622,51.9745437933938,2.0431757363307e-59,1
"10903",2,"Pannonian","mod1",-0.0417826655351036,0.00324900546001639,-12.8601401411289,4.15197087543214e-20,25.5216537637493,0.285015094646437,89.5449197012145,6.06898844669041e-74,1
"10525",3,"Pannonian","mod1",-0.0629769256511588,0.00380615863297786,-16.5460590910492,3.12535981080507e-27,25.6423670367895,0.326543965636504,78.5265377261129,5.3047735779341e-76,1
"10608",3,"Pannonian","mod1",-0.0480381029334537,0.00458297361650113,-10.4818632951521,2.80945791922381e-16,25.096171902513,0.384500066368334,65.2696165687315,3.67896775784063e-67,1
"10715",3,"Pannonian","mod1",-0.0718771510531815,0.00292028766990436,-24.6130378845641,3.62510113824421e-40,29.1501913036311,0.301235118289827,96.7689008808889,6.24355011377148e-88,1
