"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"145598",1,1,"Pannonian","mod1",-0.710770727181666,0.0831515317765133,-8.54789697791746,1.35130969895684e-08,9.03586068567787,0.944602113710718,9.56578495275851,1.75468333344132e-09,0.941176470588235
"145691",2,1,"Pannonian","mod1",-0.907355404478015,0.0847804886417673,-10.7024082900957,1.28456901336351e-10,7.79407281522489,0.661094538516535,11.7896493786115,1.80083754729296e-11,0.941176470588235
"145778",3,1,"Pannonian","mod1",-0.661978184516734,0.0731009947480725,-9.05566588796917,1.14054643001529e-09,10.8588754582789,1.06701608744115,10.176861985577,9.73438255856691e-11,0.941176470588235
"145857",4,1,"Pannonian","mod1",-0.782482838038827,0.0875870662410609,-8.93377152153086,4.23697269879327e-09,8.73020905594102,0.881690633890813,9.90166927079114,5.95982957762409e-10,0.941176470588235
"145942",5,1,"Pannonian","mod1",-0.689943504254383,0.0790448560721036,-8.72850604756654,6.52321962233296e-09,9.45326668148297,0.956802373225151,9.88006190831057,6.21853302104536e-10,0.941176470588235
"146039",6,1,"Pannonian","mod1",-0.871717172296023,0.0893017214448264,-9.76148228939348,1.20314630012677e-09,8.12101820623362,0.752402111118577,10.7934548378131,1.77593106865091e-10,0.941176470588235
"146126",7,1,"Pannonian","mod1",-0.71754750443404,0.0747234357603355,-9.60271027600322,3.36361350300416e-10,9.14220321304182,0.842618952135107,10.849747907849,2.39938235381727e-11,0.941176470588235
"146214",8,1,"Pannonian","mod1",-0.782048465200562,0.0880322753954319,-8.88365615551434,4.70531925080217e-09,8.45075980651594,0.846629326617783,9.98165258493473,5.09496668026986e-10,0.941176470588235
"146320",9,1,"Pannonian","mod1",-0.840241529328769,0.0831779698801411,-10.1017316308579,2.61294760124746e-10,8.07288761377361,0.723783062370326,11.1537393363912,3.38739631082389e-11,0.941176470588235
"146411",10,1,"Pannonian","mod1",-0.64173502940077,0.0830232663352181,-7.72958060707555,2.59228892407699e-08,11.3595011767429,1.28949491722099,8.80926401883302,2.00241888442879e-09,0.941176470588235
"146493",11,1,"Pannonian","mod1",-0.793380351815181,0.084263497145515,-9.41546907844436,1.57264325657543e-09,8.60432837871203,0.825742385531194,10.4201122886249,2.18726701226913e-10,0.941176470588235
"146594",12,1,"Pannonian","mod1",-0.686435103964373,0.0805254141660513,-8.52445294536302,5.26938920128515e-09,9.65629782030367,0.990047599294966,9.75336723929247,3.55684599526081e-10,0.941176470588235
"146670",13,1,"Pannonian","mod1",-0.724082697991348,0.0844780486425038,-8.5712526464187,4.73801705905996e-09,9.9449642540525,1.03730995633069,9.58726385817321,5.06180728950724e-10,0.941176470588235
"146759",14,1,"Pannonian","mod1",-0.595823813627811,0.0744768663837551,-8.00011926599763,1.03326308169074e-08,10.4844479881455,1.11980661043676,9.36273093088484,4.03430786242678e-10,0.941176470588235
"146842",15,1,"Pannonian","mod1",-0.756351882453708,0.0800155547399009,-9.45256062914655,1.45889795065638e-09,8.71148445268503,0.825641508537812,10.5511706504592,1.70640614916349e-10,0.941176470588235
"146943",16,1,"Pannonian","mod1",-0.683046976291241,0.0905608275879329,-7.54241093510342,1.16048986339159e-07,9.66898641484572,1.12461908889976,8.59756562046717,1.21937307891062e-08,0.941176470588235
"147038",17,1,"Pannonian","mod1",-0.622148906481279,0.0767914960244771,-8.10179432215997,8.04379405640893e-09,11.1169966977728,1.1965593284425,9.29080274878074,4.7583944322e-10,0.941176470588235
"147209",19,1,"Pannonian","mod1",-0.665890568274952,0.0718413401727892,-9.26890515507346,1.00538819035766e-09,9.38549228913554,0.894414701298642,10.4934459099435,7.70368823196541e-11,0.941176470588235
"147314",20,1,"Pannonian","mod1",-0.886627401370635,0.0747172555496657,-11.866434264054,3.2047306240259e-12,8.10312354881364,0.620279834556751,13.0636578804857,3.46995222845451e-13,0.941176470588235
"147405",21,1,"Pannonian","mod1",-0.623785491883241,0.0722685153547159,-8.63149725466908,2.23043947063062e-09,10.5397020837288,1.07520785048113,9.80247872912436,1.49229070213217e-10,0.941176470588235
"147489",22,1,"Pannonian","mod1",-0.654067851700882,0.0842862374710105,-7.76007888507116,3.11577494612064e-08,9.82957267264353,1.11970386183502,8.77872534665945,2.9679873786534e-09,0.941176470588235
"147759",25,1,"Pannonian","mod1",-0.52299266132672,0.0794863155600704,-6.57965660682155,5.61443897472488e-07,11.3952812903992,1.41124249194038,8.07464440411747,1.48554641000543e-08,0.941176470588235
"147864",26,1,"Pannonian","mod1",-0.500329380035318,0.0768297523166483,-6.51218264993549,5.55218240437692e-07,11.9815931034717,1.52584000785285,7.85245703468744,1.92207832507435e-08,0.941176470588235
"147966",27,1,"Pannonian","mod1",-0.784329383530115,0.0822927357774888,-9.53096741917612,1.87747027716313e-09,8.6871792379089,0.82238760893865,10.563363483942,2.69127762329132e-10,0.941176470588235
"148053",28,1,"Pannonian","mod1",-0.735846538099896,0.0853434717599289,-8.62217722018424,8.17498611500731e-09,9.24849915444493,0.961294228229643,9.62088285027709,1.03995958746777e-09,0.941176470588235
"148133",29,1,"Pannonian","mod1",-0.958718913982079,0.0980425346238383,-9.77860188601218,1.16434150487652e-09,6.97207183891,0.652023409331463,10.6929777967001,2.127827563388e-10,0.941176470588235
"148234",30,1,"Pannonian","mod1",-0.815190855249038,0.0844705676514626,-9.65059047090378,6.54043989313507e-10,8.63738975040164,0.81119198557846,10.6477750075925,8.90104596986484e-11,0.941176470588235
"148313",31,1,"Pannonian","mod1",-0.769180082076745,0.0842535100682043,-9.12935355991797,4.14205936679558e-09,8.86677410648679,0.876081516797789,10.1209464376057,6.09019600103207e-10,0.941176470588235
"148412",32,1,"Pannonian","mod1",-0.696187996652853,0.079004519092685,-8.81200220757134,1.98984559548889e-09,9.85416667903121,0.995563516365329,9.8980793460647,1.76804519893247e-10,0.941176470588235
"148507",33,1,"Pannonian","mod1",-0.792210203368468,0.0923214567358111,-8.58099765080042,1.80816990070891e-08,8.62817666579262,0.91305216564723,9.44981786410463,3.34581752328195e-09,0.941176470588235
"148587",34,1,"Pannonian","mod1",-0.808017191026364,0.0721769476378816,-11.1949482136632,7.52744918901877e-12,9.2941689600916,0.74528941647673,12.4705500368283,5.97978980390213e-13,0.941176470588235
"148666",35,1,"Pannonian","mod1",-0.754490550580547,0.0803506274887753,-9.3899770812113,3.74656273591022e-09,8.05433574028008,0.75194937590896,10.7112739212583,3.40861760933822e-10,0.941176470588235
