"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"10989",1,"Steppic","mod1",-0.12704218807991,0.0318840819974919,-3.98450198722684,0.000461084076030858,9.40225439185707,0.64426785705709,14.5937039833169,2.49699257520851e-14,1
"11371",1,"Steppic","mod1",-0.0607277065938106,0.00778025414828985,-7.80536283729999,2.93092560051744e-10,19.2752893673193,0.464789653017649,41.4709949805775,5.84217421484095e-41,1
"11755",1,"Steppic","mod1",-0.0662358724689559,0.00703688953439351,-9.41266338560829,1.71364839639837e-13,23.4888213206809,0.558060668790141,42.0900856023484,8.78584487238537e-47,1
"12065",1,"Steppic","mod1",-0.0216506106804212,0.00478089783978964,-4.52856584807798,2.30029664833336e-05,27.0671665004256,0.466806546013387,57.9836909563163,3.55555372046872e-62,1
"12332",1,"Steppic","mod1",-0.0730177490875474,0.0128605280201819,-5.67766338776769,4.82025916462903e-07,17.5869994221439,0.662110797870428,26.5620187417417,8.63595693616426e-34,1
"10990",2,"Steppic","mod1",-0.115829591844267,0.0167493266747942,-6.91547750504961,6.702279087404e-08,12.6575952082701,0.524659220010824,24.1253650474474,1.54639813999458e-22,1
"11372",2,"Steppic","mod1",-0.0198677331360788,0.0110005625826199,-1.80606518865393,0.0775991729425953,19.2593819332965,0.690958743942621,27.8734180616952,4.99048158635192e-30,1
"11756",2,"Steppic","mod1",-0.0903067984920356,0.00605604750315313,-14.9118378686787,3.54492306608886e-22,21.2720960824921,0.400118620285147,53.164474243494,1.95900370152791e-53,1
"12066",2,"Steppic","mod1",-0.0747742541641631,0.00519350524646065,-14.3976467945462,3.73993779590554e-23,26.0250108136646,0.457143895945209,56.9295817892399,7.48896804304118e-63,1
"12333",2,"Steppic","mod1",-0.0523868733202415,0.00644700256777609,-8.12577205755828,2.67320095410083e-11,20.3502292393752,0.407818876794655,49.9001649931519,3.63358785544315e-51,1
"10991",3,"Steppic","mod1",-0.0529725828782792,0.0159115285864228,-3.32919509213466,0.00231600841182846,12.2068344310968,0.484990804811768,25.169207972581,9.96507131290124e-22,1
"11373",3,"Steppic","mod1",-0.121243638959839,0.0260724634548876,-4.65025635838453,4.59247158017468e-05,10.1867446004034,0.585787374123105,17.3898329844553,8.46734125565853e-19,1
"11757",3,"Steppic","mod1",-0.0810339373002636,0.0161026432610564,-5.03233760982837,7.88569795654737e-06,13.2504302389414,0.539341736328243,24.5677820692097,4.32917531897517e-28,1
"12334",3,"Steppic","mod1",-0.0845891109422324,0.0081539218294056,-10.3740399665321,3.26709917477348e-16,25.0023591316285,0.683191439771577,36.5964174550957,5.13421314619951e-50,1
"11758",4,"Steppic","mod1",-0.0752449679633084,0.00388164770268464,-19.3848009213374,1.75677249952832e-28,21.8844740261217,0.267756503995464,81.732744861699,1.86663974690327e-66,1
"12335",4,"Steppic","mod1",-0.0580748926511825,0.00686616395732647,-8.4581278588919,1.93871606697686e-12,26.1920866150722,0.626693521849761,41.7940918517286,9.96162926018577e-53,1
"10992",5,"Steppic","mod1",-0.11446763676599,0.0137847917622319,-8.30390757730651,8.99700622915592e-11,15.1166854746876,0.554093197774053,27.281846330934,1.81808095218638e-30,1
"11374",5,"Steppic","mod1",-0.0967209915088437,0.0121036210955777,-7.99107892960913,4.88060298771956e-10,14.5368279575799,0.459073621884424,31.6655701059637,1.96621369425851e-31,1
"11759",5,"Steppic","mod1",-0.0731065880289017,0.00810721504903607,-9.01747241028149,6.03970426712465e-13,21.55718777681,0.553082667856038,38.9764297991364,8.16422469880112e-46,1
"12067",5,"Steppic","mod1",-0.0627031909099421,0.0108749500933028,-5.76583711851306,1.94879450724232e-07,20.3280505403584,0.680151759940915,29.8875217820862,5.91063142795726e-42,1
"10993",6,"Steppic","mod1",-0.0621064770351929,0.0125238514814255,-4.95905569682817,9.65997876370424e-06,16.8297991428172,0.614668247283285,27.3802969605175,1.55006684322748e-30,1
"11375",6,"Steppic","mod1",-0.102489818432695,0.015916846747062,-6.43907804487801,5.80949976287149e-08,15.4700831650747,0.669320146081768,23.1131294278788,2.59100853079595e-27,1
"12336",6,"Steppic","mod1",-0.0324863991994039,0.00336431140493512,-9.65618080173837,3.57688817106406e-15,33.2000242234435,0.430630546217985,77.0963056732107,2.70556845961397e-78,1
"10994",7,"Steppic","mod1",-0.105216947124703,0.0144695208641544,-7.2716262074274,1.82564776612096e-09,15.4760846713191,0.606069548988289,25.5351629151363,4.32868733530693e-31,1
"11760",7,"Steppic","mod1",-0.092249649085312,0.0127329825497045,-7.24493642594782,2.23370876372659e-09,16.579677741312,0.600166141474808,27.625146764478,2.39674236077012e-32,1
"12068",7,"Steppic","mod1",-0.0544192889048038,0.00515610445656274,-10.5543418220588,3.40350959287939e-16,26.9757160973333,0.493713569952346,54.6383930665243,9.43378376474847e-60,1
"12337",7,"Steppic","mod1",-0.055268895249559,0.00510504583572091,-10.8263269377197,1.32726367441212e-16,26.3922505840178,0.472304234008724,55.8797670730393,8.24400945939439e-60,1
"11376",8,"Steppic","mod1",-0.0916954571138698,0.00984541404445268,-9.31351964476647,5.71507434391429e-12,15.1134940107131,0.397351138174155,38.0356127332622,2.66249399345194e-35,1
"11377",9,"Steppic","mod1",-0.0929832294478926,0.0209367106903639,-4.44115748758415,8.16775782927622e-05,10.6680579750692,0.503823975538991,21.1741768812342,6.56564181414675e-22,1
"12338",9,"Steppic","mod1",-0.0713635520439904,0.0050218938582434,-14.2104859358681,7.6407602828254e-23,25.8574986049833,0.44743866638197,57.7900403960823,2.52800504971665e-63,1
"10995",10,"Steppic","mod1",-0.0574058092431364,0.00861907116630914,-6.66032431284805,1.25824749956111e-08,21.6225006174656,0.604182635790895,35.7880206026792,2.84732913153167e-40,1
"11378",10,"Steppic","mod1",-0.106281829491203,0.0120294178354461,-8.83515985104702,1.48850536369512e-11,18.6169636679686,0.665780027858881,27.9626346375093,6.09697900422838e-31,1
"11761",10,"Steppic","mod1",-0.0794177400637502,0.00903102249214961,-8.79388132769967,8.5355169780018e-12,18.8864280316808,0.520369754351476,36.2942463003417,4.21306088578426e-38,1
"12069",10,"Steppic","mod1",-0.0374636808462591,0.00555076024901248,-6.74928823541318,2.87332845704136e-09,26.7196534906652,0.529881879662554,50.425678846918,4.74566190142676e-59,1
"12070",11,"Steppic","mod1",-0.0700396099229625,0.00442938670032354,-15.8124848114631,4.81506206297087e-26,26.8200067226787,0.410547155957733,65.3274692893984,7.34140147569894e-70,1
"12339",11,"Steppic","mod1",-0.0145267796857105,0.00553924406148886,-2.62252024363879,0.0107948755749271,27.6968743646021,0.567519757550158,48.8033658672301,4.33397342246023e-54,1
"12071",12,"Steppic","mod1",-0.0184301034054065,0.0062505852036623,-2.94854046539644,0.00425493229068612,26.7605194584183,0.601660087116725,44.4778040482294,1.17181339630682e-55,1
"10996",13,"Steppic","mod1",-0.130736059536736,0.00649951035484905,-20.114755173703,4.28558507111969e-28,18.9857263721207,0.349678399997479,54.2948216768823,4.51170858027528e-52,1
"11762",13,"Steppic","mod1",-0.0583457677001299,0.00505874349812549,-11.5336481720707,5.74443931323707e-17,22.1182220970501,0.359009668701787,61.6089872371174,1.21320785460707e-56,1
"12072",13,"Steppic","mod1",-0.0410742980742083,0.00400851434389763,-10.2467634016922,1.86595020279833e-16,28.3571906835677,0.404324785449515,70.1346830668348,2.48089147423231e-76,1
"12073",14,"Steppic","mod1",-0.0417963361480368,0.00744170474193956,-5.61650019685453,3.14073582434595e-07,27.0360706266368,0.715005322198318,37.8124047293985,1.35940862999188e-50,1
"11763",16,"Steppic","mod1",-0.0653053225046115,0.00524247605218427,-12.4569615301155,1.22118439517113e-19,25.5728852107097,0.457085009333301,55.9477661453172,4.41190907961653e-61,1
"12340",16,"Steppic","mod1",-0.0392767687872488,0.00494417723806028,-7.94404546926356,1.04090162631273e-11,28.8487753614048,0.519784323854771,55.5014340322146,1.22556074317024e-65,1
"11379",17,"Steppic","mod1",-0.0625460361654211,0.00532751961126075,-11.740179432323,3.48483746934725e-17,20.3589834272386,0.330358756755817,61.6268920102726,5.86739130533522e-56,1
"12074",17,"Steppic","mod1",-0.055619374070405,0.00593544041050216,-9.37072402782313,2.94473274921089e-14,26.6495845000629,0.558472377684518,47.7187154905578,7.16450551058177e-58,1
"12341",17,"Steppic","mod1",-0.055226861725298,0.00548326405720672,-10.0718953435614,2.18011523873296e-15,24.1382336343499,0.443007031243543,54.4872472262858,2.83742901219742e-60,1
"12342",18,"Steppic","mod1",-0.0580201436798416,0.00654810287383918,-8.86060356681968,3.05010645879094e-13,24.2589223526894,0.535603787467153,45.2926639436378,1.04573761557493e-55,1
"10997",20,"Steppic","mod1",-0.0713368287976502,0.0123161435910425,-5.79214006968329,8.54484417355325e-07,13.5067296592825,0.429447801940107,31.4513884999841,2.50360950637155e-30,1
"10998",21,"Steppic","mod1",-0.0732219232097645,0.00877121423612221,-8.3479802497831,4.16871452194507e-11,17.3567322181443,0.440305485807471,39.4197500998971,7.1906956829676e-40,1
