"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"232",21,1,"mod1",-1.34459189774081,10.8659646625305,-0.123743444737808,0.921620914140482,1.59349833751908,9.77247719603945,0.163059816416342,0.897098517824031,0.666666666666667
"788",70,1,"mod1",-1.34459189774081,10.8659646625305,-0.123743444737808,0.921620914140482,1.59349833751908,9.77247719603945,0.163059816416342,0.897098517824031,0.666666666666667
"72",7,2,"mod3",0.692050330008969,0.222682625378303,3.1077877262911,0.0529727610777201,NA,NA,NA,NA,0.8
"323",29,2,"mod3",0.854301922994726,0.117555705438257,7.26720936095635,0.00190438378966014,NA,NA,NA,NA,0.8
"333",30,2,"mod3",0.723962159247935,0.161923622110856,4.47101015781563,0.0208492371625534,NA,NA,NA,NA,0.8
"460",42,2,"mod3",0.962900811359112,0.163307143872212,5.89625651718325,0.00973876182528225,NA,NA,NA,NA,0.8
"510",46,2,"mod3",1.02541035794362,0.143399787098598,7.15071046262132,0.00563198546535353,NA,NA,NA,NA,0.8
"661",59,2,"mod3",0.632574613688764,0.179878421848239,3.51667869435978,0.0390101720599152,NA,NA,NA,NA,0.8
"789",70,2,"mod3",0.632574613688764,0.179878421848239,3.51667869435978,0.0390101720599152,NA,NA,NA,NA,0.8
"1018",89,2,"mod3",0.69637612541367,0.145945330588509,4.77148616269947,0.0174892651904737,NA,NA,NA,NA,0.8
"24",3,3,"mod3",0.707042899892516,0.145766810916521,4.85050674736537,0.00833636123710986,NA,NA,NA,NA,0.882352941176471
"183",17,3,"mod3",0.776652346563341,0.209344927673164,3.70991719357956,0.0340434697127737,NA,NA,NA,NA,0.882352941176471
"449",41,3,"mod3",0.86413778165785,0.148621703614694,5.8143444775613,0.00435527107791525,NA,NA,NA,NA,0.882352941176471
"496",45,3,"mod3",1.23643520544257,0.0569701129632956,21.7032254480376,0.000214086158294295,NA,NA,NA,NA,0.882352941176471
"511",46,3,"mod3",0.966168152574214,0.0967268760621183,9.9886214866873,0.00213551059271076,NA,NA,NA,NA,0.882352941176471
"639",57,3,"mod3",0.798725522407118,0.156356211670622,5.10837090431498,0.0145122386057204,NA,NA,NA,NA,0.882352941176471
"790",70,3,"mod3",0.826669516115115,0.0326274716179536,25.3366097684453,0.000134832652600027,NA,NA,NA,NA,0.882352941176471
"817",72,3,"mod3",0.962900811359112,0.163307143872212,5.89625651718325,0.00973876182528225,NA,NA,NA,NA,0.882352941176471
"895",79,3,"mod3",0.735611007784416,0.195714432913174,3.75859356325939,0.0329217505149711,NA,NA,NA,NA,0.882352941176471
"953",84,3,"mod3",0.884590777481252,0.262013347321623,3.37612868399185,0.0432146844978073,NA,NA,NA,NA,0.882352941176471
"996",87,3,"mod3",0.756633010979791,0.118871387056967,6.36513991897133,0.00784771129286531,NA,NA,NA,NA,0.882352941176471
"1030",90,3,"mod3",0.566080508978389,0.112283682600145,5.04152069000324,0.00727428803384594,NA,NA,NA,NA,0.882352941176471
"1043",91,3,"mod3",1.30343877761625,0.114767332277393,11.3572281567532,0.00146441283500596,NA,NA,NA,NA,0.882352941176471
"1065",93,3,"mod3",0.920240157928961,0.151801377817039,6.06213310552487,0.00373854711788396,NA,NA,NA,NA,0.882352941176471
"1075",94,3,"mod3",0.663797071475645,0.176211501679526,3.76704735586947,0.0327317870619632,NA,NA,NA,NA,0.882352941176471
"12",2,4,"mod3",0.87340103515589,0.307706360699161,2.83842372699536,0.0657318148825523,NA,NA,NA,NA,0.681818181818182
"73",7,4,"mod3",0.898888930158851,0.0946636203587138,9.49561116247872,0.00247644426694539,NA,NA,NA,NA,0.681818181818182
"130",12,4,"mod3",0.86413778165785,0.148621703614694,5.8143444775613,0.00435527107791525,NA,NA,NA,NA,0.681818181818182
"184",17,4,"mod3",0.621115769307953,0.142497470157935,4.35878453575035,0.0120736267637522,NA,NA,NA,NA,0.681818181818182
"219",20,4,"mod3",0.707173698103372,0.159204115783067,4.44193100552107,0.00675273812215245,NA,NA,NA,NA,0.681818181818182
"512",46,4,"mod3",1.15259686101934,0.10880311248806,10.5934180986396,0.0017972271474086,NA,NA,NA,NA,0.681818181818182
"521",47,4,"mod3",0.977626123260283,0.17687597190506,5.5271844599957,0.00265692692972497,NA,NA,NA,NA,0.681818181818182
"640",57,4,"mod3",0.639758079361063,0.0220935259795691,28.9568120522129,9.04392690043095e-05,NA,NA,NA,NA,0.681818181818182
"674",60,4,"mod3",1.50802031738252,0.0609687141481371,24.7343303602967,0.000144884057972823,NA,NA,NA,NA,0.681818181818182
"878",77,4,"mod3",1.1089961361319,0.192631076651,5.7570987787247,0.00451509945170077,NA,NA,NA,NA,0.681818181818182
"896",79,4,"mod3",0.8840708460155,0.192292874361062,4.59752265367624,0.0193405508813809,NA,NA,NA,NA,0.681818181818182
"984",86,4,"mod3",0.615999566263074,0.104773112740421,5.87936685425425,0.00981752240968294,NA,NA,NA,NA,0.681818181818182
"1031",90,4,"mod3",1.02750542794457,0.149318306263605,6.88130915529285,0.00233705835645687,NA,NA,NA,NA,0.681818181818182
"1054",92,4,"mod3",0.621378316417097,0.118266266424401,5.25406217008043,0.00331508069359532,NA,NA,NA,NA,0.681818181818182
"1138",100,4,"mod3",0.776652346563341,0.209344927673164,3.70991719357956,0.0340434697127737,NA,NA,NA,NA,0.681818181818182
"13",2,5,"mod3",0.698479667769215,0.269202565513717,2.59462485595675,0.080750215425084,NA,NA,NA,NA,0.625
"161",15,5,"mod3",0.718356721321383,0.130894096509843,5.48807578397828,0.0119012312950853,NA,NA,NA,NA,0.625
"304",27,5,"mod3",0.674617041365625,0.17552971711356,3.84332096273578,0.0184072427763717,NA,NA,NA,NA,0.625
"310",28,5,"mod3",0.8840708460155,0.192292874361062,4.59752265367624,0.0193405508813809,NA,NA,NA,NA,0.625
"471",43,5,"mod3",0.939946554003413,0.200920165227518,4.67820914311432,0.0184517687895923,NA,NA,NA,NA,0.625
"563",50,5,"mod3",0.74678815134128,0.289127953810189,2.58289847626267,0.081574476259072,NA,NA,NA,NA,0.625
"628",56,5,"mod3",0.730987364928456,0.261217052554322,2.79839067848161,0.067943585889988,NA,NA,NA,NA,0.625
"843",74,5,"mod3",0.842358360446494,0.129152524391843,6.52219818708937,0.00732325437603535,NA,NA,NA,NA,0.625
"867",76,5,"mod3",0.75627121505492,0.265259910110732,2.85105734499878,0.0650525165167213,NA,NA,NA,NA,0.625
"886",78,5,"mod3",0.8840708460155,0.192292874361062,4.59752265367624,0.0193405508813809,NA,NA,NA,NA,0.625
"919",81,5,"mod3",1.07516905854259,0.126489619361608,8.50005766456536,0.00341962404389188,NA,NA,NA,NA,0.625
"955",84,5,"mod3",0.514846166611036,0.133094552566641,3.86827376990693,0.0180199164309235,NA,NA,NA,NA,0.625
"1055",92,5,"mod3",1.13591146031006,0.122043266857951,9.30744882167216,0.00262554293720748,NA,NA,NA,NA,0.625
"1076",94,5,"mod3",0.754452678195926,0.230515396481972,3.2728949550011,0.046675018902918,NA,NA,NA,NA,0.625
"1129",99,5,"mod3",0.982574579183795,0.177751673440441,5.5277936919847,0.0116647854855319,NA,NA,NA,NA,0.625
"2",1,6,"mod3",1.12362366215408,0.146335805011974,7.67839191551332,0.00458941676157824,NA,NA,NA,NA,0.702702702702703
"44",5,6,"mod3",0.672070146402726,0.154470231619242,4.3508068794726,0.0121493897878026,NA,NA,NA,NA,0.702702702702703
