"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"42",3,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"63",4,1,"mod2",NA,NA,NA,NA,4.98066611598956,0.518567026561412,9.60467183772956,1.14615040284583e-05,0.67032967032967
"105",6,1,"mod2",NA,NA,NA,NA,4.76052071496512,0.507681771255307,9.37697783238137,6.09605898629966e-06,0.67032967032967
"126",7,1,"mod2",NA,NA,NA,NA,4.98066611598956,0.518567026561412,9.60467183772956,1.14615040284583e-05,0.67032967032967
"168",9,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"189",10,1,"mod2",NA,NA,NA,NA,4.98066611598956,0.518567026561412,9.60467183772956,1.14615040284583e-05,0.67032967032967
"231",12,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"252",13,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"356",18,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"377",19,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"459",23,1,"mod2",NA,NA,NA,NA,4.59410393751861,0.44891207078982,10.2338614540609,7.14079154773662e-06,0.67032967032967
"479",24,1,"mod2",NA,NA,NA,NA,4.64115663448068,0.429078857873474,10.8165586565658,7.7068624223619e-07,0.67032967032967
"542",27,1,"mod2",NA,NA,NA,NA,4.59410393751861,0.44891207078982,10.2338614540609,7.14079154773662e-06,0.67032967032967
"563",28,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"686",34,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"707",35,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"728",36,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"768",38,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"789",39,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"809",40,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"829",41,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"871",43,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"892",44,1,"mod2",NA,NA,NA,NA,4.59410393751861,0.44891207078982,10.2338614540609,7.14079154773662e-06,0.67032967032967
"913",45,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"934",46,1,"mod2",NA,NA,NA,NA,4.64115663448068,0.429078857873474,10.8165586565658,7.7068624223619e-07,0.67032967032967
"955",47,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"976",48,1,"mod2",NA,NA,NA,NA,5.58969653036712,1.07933457398261,5.17883579856227,0.00205666612078878,0.67032967032967
"997",49,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"1038",51,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"1059",52,1,"mod2",NA,NA,NA,NA,4.98066611598956,0.518567026561412,9.60467183772956,1.14615040284583e-05,0.67032967032967
"1080",53,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1101",54,1,"mod2",NA,NA,NA,NA,6.18137560926242,0.662703970428162,9.32750652643403,6.36750031942564e-06,0.67032967032967
"1143",56,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1164",57,1,"mod2",NA,NA,NA,NA,5.58969653036712,1.07933457398261,5.17883579856227,0.00205666612078878,0.67032967032967
"1185",58,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"1206",59,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"1227",60,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"1248",61,1,"mod2",NA,NA,NA,NA,4.98066611598956,0.518567026561412,9.60467183772956,1.14615040284583e-05,0.67032967032967
"1269",62,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"1310",64,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"1331",65,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1393",68,1,"mod2",NA,NA,NA,NA,4.76052071496512,0.507681771255307,9.37697783238137,6.09605898629966e-06,0.67032967032967
"1454",71,1,"mod2",NA,NA,NA,NA,4.64115663448068,0.429078857873474,10.8165586565658,7.7068624223619e-07,0.67032967032967
"1475",72,1,"mod2",NA,NA,NA,NA,6.18137560926242,0.662703970428162,9.32750652643403,6.36750031942564e-06,0.67032967032967
"1578",77,1,"mod2",NA,NA,NA,NA,4.64115663448068,0.429078857873474,10.8165586565658,7.7068624223619e-07,0.67032967032967
"1640",80,1,"mod2",NA,NA,NA,NA,5.13887194348835,0.673210969522496,7.63337523619575,0.000122827976343653,0.67032967032967
"1661",81,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1682",82,1,"mod2",NA,NA,NA,NA,6.36755611639271,0.423154994631202,15.0478103701513,1.10210938065949e-08,0.67032967032967
"1744",85,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1765",86,1,"mod2",NA,NA,NA,NA,4.76052071496512,0.507681771255307,9.37697783238137,6.09605898629966e-06,0.67032967032967
"1786",87,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"1807",88,1,"mod2",NA,NA,NA,NA,5.01264344575781,0.676079420091921,7.41428195680957,7.51619595814836e-05,0.67032967032967
"1828",89,1,"mod2",NA,NA,NA,NA,4.64115663448068,0.429078857873474,10.8165586565658,7.7068624223619e-07,0.67032967032967
"1891",92,1,"mod2",NA,NA,NA,NA,5.16962092342695,0.895913853097958,5.7702209934036,0.00118267252798795,0.67032967032967
"1912",93,1,"mod2",NA,NA,NA,NA,4.59410393751861,0.44891207078982,10.2338614540609,7.14079154773662e-06,0.67032967032967
"1933",94,1,"mod2",NA,NA,NA,NA,7.05943977612311,0.578600899008047,12.2008793768309,2.49874793949692e-07,0.67032967032967
"1975",96,1,"mod2",NA,NA,NA,NA,5.58969653036712,1.07933457398261,5.17883579856227,0.00205666612078878,0.67032967032967
"1996",97,1,"mod2",NA,NA,NA,NA,6.18137560926242,0.662703970428162,9.32750652643403,6.36750031942564e-06,0.67032967032967
"2017",98,1,"mod2",NA,NA,NA,NA,4.76052071496512,0.507681771255307,9.37697783238137,6.09605898629966e-06,0.67032967032967
"2038",99,1,"mod2",NA,NA,NA,NA,5.58969653036712,1.07933457398261,5.17883579856227,0.00205666612078878,0.67032967032967
"2",1,2,"mod2",NA,NA,NA,NA,5.5001050021213,0.372067202951922,14.7825579854508,1.65280892720141e-09,0.77
"43",3,2,"mod2",NA,NA,NA,NA,4.91205792339291,0.410723858745415,11.9595144494336,3.01572829003851e-07,0.77
"106",6,2,"mod2",NA,NA,NA,NA,5.44810388974357,0.494864508377533,11.0092839504813,2.8058893949193e-07,0.77
"127",7,2,"mod2",NA,NA,NA,NA,5.40100380541787,0.352770857515448,15.3102323798994,3.07458685264053e-09,0.77
"169",9,2,"mod2",NA,NA,NA,NA,5.33790262327993,0.379316315963511,14.0724308410541,2.22720791827551e-08,0.77
"190",10,2,"mod2",NA,NA,NA,NA,5.30351983143034,0.377901436650258,14.0341351396837,2.2916303569867e-08,0.77
"211",11,2,"mod2",NA,NA,NA,NA,4.89110850194721,0.461894187769347,10.5892402014585,2.21741747938563e-06,0.77
"232",12,2,"mod2",NA,NA,NA,NA,5.60841425870341,0.451651630385323,12.4175667292923,3.3003818800916e-08,0.77
