"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"107",5,1,"mod3",0.656368376645034,0.11055976090572,5.93677456669566,0.00955316538528562,NA,NA,NA,NA,0.692307692307692
"774",29,1,"mod3",1.62734436074581,0.0723271733364603,22.4997644132384,0.000192245882840007,NA,NA,NA,NA,0.692307692307692
"1060",39,1,"mod3",0.910723051642848,0.186007139581485,4.89617255387062,0.00806615163569932,NA,NA,NA,NA,0.692307692307692
"1755",64,1,"mod3",0.620778893650136,0.149640345798207,4.14847272865348,0.0142779630894932,NA,NA,NA,NA,0.692307692307692
"1811",66,1,"mod3",0.76579609384737,0.0890506129361361,8.59956005464636,0.00100479090546711,NA,NA,NA,NA,0.692307692307692
"1912",70,1,"mod3",0.829700060022993,0.14152604393152,5.86252563114431,0.0042260996912569,NA,NA,NA,NA,0.692307692307692
"1965",72,1,"mod3",1.19403577631998,0.118657663884441,10.0628626692233,0.0020896705854251,NA,NA,NA,NA,0.692307692307692
"2198",81,1,"mod3",1.02577963147634,0.182886304670349,5.60883786965513,0.0112010592892775,NA,NA,NA,NA,0.692307692307692
"2515",92,1,"mod3",1.08799012676181,0.261454064092102,4.16130508638239,0.0252425965472273,NA,NA,NA,NA,0.692307692307692
"82",4,2,"mod3",0.838835160866549,0.184168042406456,4.55472703030231,0.019834558061889,NA,NA,NA,NA,0.571428571428571
"223",9,2,"mod3",1.11723554683039,0.227080105553266,4.92000628636456,0.00792936031219721,NA,NA,NA,NA,0.571428571428571
"254",10,2,"mod3",1.07725874593915,0.172943232960619,6.22897310000241,0.00834305858465444,NA,NA,NA,NA,0.571428571428571
"339",13,2,"mod3",1.3000372029307,0.158130936836654,8.22127047962547,0.0011932421218447,NA,NA,NA,NA,0.571428571428571
"449",17,2,"mod3",1.0227139430385,0.271430479212429,3.76786699123091,0.0327134439796862,NA,NA,NA,NA,0.571428571428571
"475",18,2,"mod3",0.823861903428335,0.205525057484663,4.00857157521931,0.0278519324414553,NA,NA,NA,NA,0.571428571428571
"523",20,2,"mod3",0.571292585059238,0.220757069965337,2.58787899816274,0.0812231288097948,NA,NA,NA,NA,0.571428571428571
"775",29,2,"mod3",1.07435164702454,0.147395935884449,7.28888242798479,0.00533108377351661,NA,NA,NA,NA,0.571428571428571
"831",31,2,"mod3",0.656368376645034,0.11055976090572,5.93677456669566,0.00955316538528562,NA,NA,NA,NA,0.571428571428571
"973",36,2,"mod3",0.531648720710164,0.123977245572929,4.28827659667131,0.0127635772761731,NA,NA,NA,NA,0.571428571428571
"1030",38,2,"mod3",0.718935228485722,0.21896118496693,3.28339120284859,0.0463075153779638,NA,NA,NA,NA,0.571428571428571
"1138",42,2,"mod3",1.01975365039381,0.232866521906807,4.37913377175753,0.0220416131227187,NA,NA,NA,NA,0.571428571428571
"1228",45,2,"mod3",0.617632093426447,0.104589819176716,5.90527929284294,0.00198216559745027,NA,NA,NA,NA,0.571428571428571
"1256",46,2,"mod3",0.770989149094161,0.227885336610336,3.38323281595113,0.0277025657462337,NA,NA,NA,NA,0.571428571428571
"1397",51,2,"mod3",0.934465214059592,0.210444700587318,4.44043119856022,0.0113301764370222,NA,NA,NA,NA,0.571428571428571
"1508",55,2,"mod3",0.628269484638049,0.246568828113503,2.54804911652838,0.0840859827784602,NA,NA,NA,NA,0.571428571428571
"1538",56,2,"mod3",1.04724245905193,0.229246446574924,4.56819494783167,0.0102748255953079,NA,NA,NA,NA,0.571428571428571
"2065",76,2,"mod3",0.962945479052094,0.234527481412944,4.10589613315545,0.0261512580977688,NA,NA,NA,NA,0.571428571428571
"2149",79,2,"mod3",0.881997022351129,0.164970178130459,5.34640280047249,0.00589986628971384,NA,NA,NA,NA,0.571428571428571
"2372",87,2,"mod3",0.915153060399456,0.123869300043751,7.38805386061129,0.00512806850305746,NA,NA,NA,NA,0.571428571428571
"2426",89,2,"mod3",0.679191765690423,0.184150581544575,3.68824122081862,0.0141715328425881,NA,NA,NA,NA,0.571428571428571
"2516",92,2,"mod3",0.61276379099896,0.186186493930402,3.29112911502601,0.0460389337964047,NA,NA,NA,NA,0.571428571428571
"2548",93,2,"mod3",0.879960301772253,0.170474811575654,5.161820057984,0.0141022428854321,NA,NA,NA,NA,0.571428571428571
"2666",97,2,"mod3",0.798466876329678,0.185639569174819,4.30116747134739,0.0126339443483459,NA,NA,NA,NA,0.571428571428571
"108",5,3,"mod3",0.890588291102542,0.101159582693368,8.80379562064892,0.00091835329510067,NA,NA,NA,NA,0.7
"134",6,3,"mod3",0.994207782397742,0.187486446102335,5.30282483382867,0.00607556517499791,NA,NA,NA,NA,0.7
"224",9,3,"mod3",0.971876345084812,0.206440946915803,4.70776926576099,0.00925496231335848,NA,NA,NA,NA,0.7
"310",12,3,"mod3",0.793389794837179,0.113383373181467,6.9974086373968,0.000424334812450339,NA,NA,NA,NA,0.7
"398",15,3,"mod3",1.07449669740711,0.162078040442587,6.62950202552409,0.00268573790006952,NA,NA,NA,NA,0.7
"495",19,3,"mod3",0.851796832170648,0.236407343648864,3.60308956153165,0.0226956463769031,NA,NA,NA,NA,0.7
"632",24,3,"mod3",1.49883882973586,0.126621067078102,11.8371994828582,0.000291588088958872,NA,NA,NA,NA,0.7
"716",27,3,"mod3",1.0873626133384,0.241138137083841,4.50929341367655,0.0203770782091493,NA,NA,NA,NA,0.7
"858",32,3,"mod3",0.814848946795665,0.156597071604977,5.20347499761144,0.00650063176459621,NA,NA,NA,NA,0.7
"886",33,3,"mod3",0.514065249574912,0.0866816794032971,5.93049480713404,0.00194483408069368,NA,NA,NA,NA,0.7
"974",36,3,"mod3",0.969739493501604,0.174996359229528,5.54148382155583,0.00518548897789111,NA,NA,NA,NA,0.7
"1001",37,3,"mod3",1.07737283846469,0.232362883053218,4.63659610480018,0.00975884972879864,NA,NA,NA,NA,0.7
"1172",43,3,"mod3",0.863454644751629,0.170393949164124,5.06740203503321,0.0148370803772465,NA,NA,NA,NA,0.7
"1398",51,3,"mod3",0.817501952490243,0.161475893080036,5.06268729589901,0.0038911236718044,NA,NA,NA,NA,0.7
"1509",55,3,"mod3",1.13718879780302,0.135340803201244,8.40240911022293,0.00109799433778292,NA,NA,NA,NA,0.7
"1539",56,3,"mod3",0.829260710016779,0.218286919235958,3.7989482508587,0.0191209588220537,NA,NA,NA,NA,0.7
"1653",60,3,"mod3",0.947780356366889,0.216808837140326,4.37150242060223,0.0119540240719478,NA,NA,NA,NA,0.7
"1729",63,3,"mod3",0.569316528480511,0.123438724874096,4.61213876813128,0.0191754932349326,NA,NA,NA,NA,0.7
"1782",65,3,"mod3",0.553807432550124,0.137305235744614,4.03340360290557,0.0156893237281292,NA,NA,NA,NA,0.7
"1861",68,3,"mod3",0.782249037281283,0.161192000592683,4.85290234257934,0.0167018589391099,NA,NA,NA,NA,0.7
"1913",70,3,"mod3",0.843450507095416,0.229681168004731,3.67226670964179,0.0213485447398362,NA,NA,NA,NA,0.7
"1943",71,3,"mod3",0.909352808830433,0.226696160353508,4.01132867628811,0.0159789569567929,NA,NA,NA,NA,0.7
"2096",77,3,"mod3",0.703421803155434,0.213949820425439,3.2877887055791,0.0302783092542921,NA,NA,NA,NA,0.7
"2150",79,3,"mod3",1.0047769666182,0.219947110683694,4.56826626862658,0.0196765169514281,NA,NA,NA,NA,0.7
"2199",81,3,"mod3",0.97984887082151,0.160614776293638,6.10061473441359,0.00365265173414764,NA,NA,NA,NA,0.7
"2287",84,3,"mod3",0.88472951216217,0.199157015184232,4.44237182076535,0.0113131905267955,NA,NA,NA,NA,0.7
"2343",86,3,"mod3",1.24917743544593,0.245035131121499,5.09795240269662,0.00699257240600296,NA,NA,NA,NA,0.7
"2373",87,3,"mod3",1.27437538809346,0.149399681693219,8.52997391728249,0.00338490672540386,NA,NA,NA,NA,0.7
"2427",89,3,"mod3",0.766065005405581,0.140137225741144,5.4665346866551,0.00544670847990557,NA,NA,NA,NA,0.7
"2517",92,3,"mod3",0.479358472056399,0.134330549232443,3.56849930857445,0.02340715924789,NA,NA,NA,NA,0.7
"2549",93,3,"mod3",0.893855205006939,0.192458410822796,4.64440707571854,0.00970195011164624,NA,NA,NA,NA,0.7
"2610",95,3,"mod3",1.03782984203435,0.142976415758086,7.25874849031288,0.0007753589981347,NA,NA,NA,NA,0.7
"2638",96,3,"mod3",0.748801446257465,0.235653259667535,3.17755607248503,0.0501881729244924,NA,NA,NA,NA,0.7
"2667",97,3,"mod3",0.857503413788864,0.105222866855165,8.1494017357385,0.00386401786306649,NA,NA,NA,NA,0.7
"2740",100,3,"mod3",1.13413406842946,0.188702975541007,6.01015466331641,0.0038585445861885,NA,NA,NA,NA,0.7
"28",2,4,"mod3",1.21769456983442,0.117653337587384,10.349851477269,0.000144926167138576,NA,NA,NA,NA,0.73469387755102
"83",4,4,"mod3",0.857592567184573,0.221716028290043,3.86797731223425,0.0305687334074261,NA,NA,NA,NA,0.73469387755102
"109",5,4,"mod3",0.897135608678622,0.11869840821937,7.55810985283474,0.000642757599624199,NA,NA,NA,NA,0.73469387755102
"135",6,4,"mod3",1.05739504042044,0.158436197764932,6.67394860099629,0.00114080703870434,NA,NA,NA,NA,0.73469387755102
"194",8,4,"mod3",1.21864978955488,0.139468205173697,8.7378323112221,0.00315610868942584,NA,NA,NA,NA,0.73469387755102
"225",9,4,"mod3",0.670433154157557,0.167423056723101,4.00442547925987,0.0160708470220623,NA,NA,NA,NA,0.73469387755102
"399",15,4,"mod3",0.779355235010959,0.17801140505224,4.37811967599629,0.00716723513258078,NA,NA,NA,NA,0.73469387755102
"609",23,4,"mod3",0.866620547283847,0.211208469429199,4.10315244282546,0.0148148008431753,NA,NA,NA,NA,0.73469387755102
