"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"245",8,1,"mod3",2.35567513398725,0.16978484707252,13.8744721605284,0.000810510380898907,NA,NA,NA,NA,0.6
"573",17,1,"mod3",1.93927285278071,0.112101965751741,17.2991868588227,0.000420914434551388,NA,NA,NA,NA,0.6
"994",29,1,"mod3",1.93927285278071,0.112101965751741,17.2991868588227,0.000420914434551388,NA,NA,NA,NA,0.6
"1105",32,1,"mod3",2.35567513398725,0.16978484707252,13.8744721605284,0.000810510380898907,NA,NA,NA,NA,0.6
"1143",33,1,"mod3",1.93927285278071,0.112101965751741,17.2991868588227,0.000420914434551388,NA,NA,NA,NA,0.6
"2483",71,1,"mod3",1.93927285278071,0.112101965751741,17.2991868588227,0.000420914434551388,NA,NA,NA,NA,0.6
"2691",77,1,"mod3",1.93927285278071,0.112101965751741,17.2991868588227,0.000420914434551388,NA,NA,NA,NA,0.6
"3076",88,1,"mod3",2.35567513398725,0.16978484707252,13.8744721605284,0.000810510380898907,NA,NA,NA,NA,0.6
"3488",100,1,"mod3",2.35567513398725,0.16978484707252,13.8744721605284,0.000810510380898907,NA,NA,NA,NA,0.6
"175",6,2,"mod3",1.53987509818674,0.105339660884555,14.6181892485333,0.000127393723017489,NA,NA,NA,NA,0.551724137931034
"246",8,2,"mod3",2.22929537096063,0.145697980377873,15.3007980287638,0.000606303843922493,NA,NA,NA,NA,0.551724137931034
"284",9,2,"mod3",1.81894046980779,0.0428625431271675,42.4365970169161,2.87992782125808e-05,NA,NA,NA,NA,0.551724137931034
"497",15,2,"mod3",1.63752641099924,0.084263654521512,19.4333656699068,4.13362717135129e-05,NA,NA,NA,NA,0.551724137931034
"642",19,2,"mod3",2.01123238332172,0.0686952278353269,29.2776142782867,8.75069875868731e-05,NA,NA,NA,NA,0.551724137931034
"715",21,2,"mod3",2.24058074040031,0.0607317357990775,36.8930792265342,4.38014562762649e-05,NA,NA,NA,NA,0.551724137931034
"995",29,2,"mod3",2.42789045159022,0.179638583696739,13.5154174655981,0.000875969182863697,NA,NA,NA,NA,0.551724137931034
"1144",33,2,"mod3",2.13825787738099,0.182368316121462,11.7249417160646,0.00133315698046105,NA,NA,NA,NA,0.551724137931034
"1284",37,2,"mod3",1.87141452723308,0.0863653096362995,21.668590492108,0.000215109153991172,NA,NA,NA,NA,0.551724137931034
"1387",40,2,"mod3",2.13825787738099,0.182368316121462,11.7249417160646,0.00133315698046105,NA,NA,NA,NA,0.551724137931034
"2484",71,2,"mod3",2.05032627738668,0.0623017895360877,32.9095888361128,6.16682572148173e-05,NA,NA,NA,NA,0.551724137931034
"2692",77,2,"mod3",2.05032627738668,0.0623017895360877,32.9095888361128,6.16682572148173e-05,NA,NA,NA,NA,0.551724137931034
"2764",79,2,"mod3",1.44587175583596,0.123893420443335,11.6702868535078,0.000308219631455445,NA,NA,NA,NA,0.551724137931034
"3142",90,2,"mod3",1.87141452723308,0.0863653096362995,21.668590492108,0.000215109153991172,NA,NA,NA,NA,0.551724137931034
"3311",95,2,"mod3",2.31618460693823,0.00575355150910928,402.566067805449,3.38025607569611e-08,NA,NA,NA,NA,0.551724137931034
"3415",98,2,"mod3",1.41541400952995,0.142267997042155,9.94892765033134,0.00216056707955602,NA,NA,NA,NA,0.551724137931034
"69",3,3,"mod3",1.91439244151401,0.0605121848059271,31.6364786307716,6.93979162947512e-05,NA,NA,NA,NA,0.775
"176",6,3,"mod3",1.57703032526036,0.0682239663090411,23.1154887435997,2.07558093822685e-05,NA,NA,NA,NA,0.775
"247",8,3,"mod3",2.31837776901044,0.164662220270404,14.0795974037229,0.000776012753240805,NA,NA,NA,NA,0.775
"285",9,3,"mod3",1.65966094892072,0.0856215699089213,19.3836780928703,0.000299927717169323,NA,NA,NA,NA,0.775
"393",12,3,"mod3",2.30058143061897,0.119178166422267,19.3037156022995,0.000303646409804952,NA,NA,NA,NA,0.775
"498",15,3,"mod3",1.84436995539861,0.0607010819763591,30.3844658999147,7.24467381463173e-07,NA,NA,NA,NA,0.775
"643",19,3,"mod3",1.63261067695007,0.0685336954371581,23.8220143614915,1.84141860052332e-05,NA,NA,NA,NA,0.775
"889",26,3,"mod3",1.64816744494195,0.119569982565124,13.7841238209119,0.000826352284279493,NA,NA,NA,NA,0.775
"996",29,3,"mod3",2.01260429839176,0.0749436200528467,26.8549116919167,0.000113301562625206,NA,NA,NA,NA,0.775
"1106",32,3,"mod3",2.01911552080739,0.0870062091706178,23.2065681294991,0.000175284075395307,NA,NA,NA,NA,0.775
"1145",33,3,"mod3",2.44505481485834,0.220705166394169,11.078375983694,0.000377586876975603,NA,NA,NA,NA,0.775
"1285",37,3,"mod3",2.16670594037926,0.0798935018195807,27.1199270407775,0.000110023013027338,NA,NA,NA,NA,0.775
"1316",38,3,"mod3",1.63117282289642,0.0786694590877885,20.7345117382359,4.83138859065086e-06,NA,NA,NA,NA,0.775
"1388",40,3,"mod3",2.48157772724925,0.229333019807848,10.8208479063699,0.00168846852465258,NA,NA,NA,NA,0.775
"1463",42,3,"mod3",1.36978781790274,0.154094398571146,8.88927716129997,0.00300214209037963,NA,NA,NA,NA,0.775
"1498",43,3,"mod3",1.67873941886498,0.0974131073500992,17.2331985348917,0.000425729264996214,NA,NA,NA,NA,0.775
"1611",46,3,"mod3",1.68889487466457,0.0725868252021851,23.2672371323623,2.02228649626397e-05,NA,NA,NA,NA,0.775
"1649",47,3,"mod3",2.13171726792144,0.0873865144652568,24.3941216898973,0.000151005953900461,NA,NA,NA,NA,0.775
"1792",51,3,"mod3",2.14162695432266,0.0976743557933466,21.9261948228641,0.000207653088766404,NA,NA,NA,NA,0.775
"1935",55,3,"mod3",2.39077753547533,0.0763579562612423,31.310129979066,7.15852573963142e-05,NA,NA,NA,NA,0.775
"2003",57,3,"mod3",2.47353342203192,0.0906564280864179,27.2846997641914,0.00010804807818222,NA,NA,NA,NA,0.775
"2142",61,3,"mod3",1.91210078901664,0.0234798967451173,81.4356557770752,4.08123167992041e-06,NA,NA,NA,NA,0.775
"2345",67,3,"mod3",2.24921371535132,0.0486234765658039,46.2577724632129,2.22426443845485e-05,NA,NA,NA,NA,0.775
"2379",68,3,"mod3",1.58931121216768,0.122873727917851,12.9345079627618,0.000206082424125777,NA,NA,NA,NA,0.775
"2522",72,3,"mod3",1.65964453610035,0.0612422675797522,27.0996584824213,0.000110269260590032,NA,NA,NA,NA,0.775
