"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,5,"mod2",NA,NA,NA,NA,5.06175400951247,1.26496879534033,4.00148527628354,0.0103082080900569
"2",1,6,"mod1",-1.16652755064481,0.468854338872659,-2.48803829660547,0.0472876623459081,1.95065839085395,0.578491425480919,3.37197459622206,0.0150057898354039
"3",1,7,"mod3",0.800707355001671,0.16485808750458,4.8569491926165,0.00464551959409085,NA,NA,NA,NA
"4",1,8,"mod2",NA,NA,NA,NA,5.3513334046076,1.07058981880499,4.99849084178744,0.00156794123928223
"5",1,9,"mod3",1.10066399294673,0.264584191950165,4.15997639478797,0.0141454479477278,NA,NA,NA,NA
"6",1,11,"mod2",NA,NA,NA,NA,4.94263312659929,1.15428433793146,4.28198925011557,0.00519426652010656
"7",1,12,"mod1",-1.48841987364037,0.462505321391933,-3.21816810487909,0.0181790552237587,1.61640159594927,0.39528930761582,4.0891609380951,0.0064353451166536
"8",1,13,"mod3",1.04507917560567,0.245278736845352,4.26078179073708,0.00800888704909829,NA,NA,NA,NA
"9",1,14,"mod3",0.955994110538055,0.205908824502268,4.64280301171612,0.00561846008803991,NA,NA,NA,NA
"10",1,15,"mod1",-1.22684108048712,0.142518825584167,-8.60827385756548,1.22690165994409e-05,2.18821823131996,0.210493667995789,10.3956487249951,2.58824540903794e-06
"11",1,16,"mod3",1.12197383756156,0.27184588884194,4.12724224869152,0.0145264762792638,NA,NA,NA,NA
"12",1,18,"mod3",1.11613813780534,0.180735074984398,6.17554803848497,0.00082865118050848,NA,NA,NA,NA
"13",1,19,"mod3",0.932161266889165,0.192688481937194,4.8376595088491,0.0047246309387267,NA,NA,NA,NA
"14",1,20,"mod3",1.08566684461767,0.225561807377051,4.81316787288753,0.00482735060573665,NA,NA,NA,NA
"15",1,21,"mod3",1.15407348846822,0.223935889369526,5.1535887870293,0.00360403322844427,NA,NA,NA,NA
"16",1,23,"mod2",NA,NA,NA,NA,6.67558954743257,1.07401842449371,6.21552609824123,0.000155934562968767
"17",1,24,"mod2",NA,NA,NA,NA,5.90916128623011,0.978197330729242,6.04086834077215,0.000192621190716155
"18",1,25,"mod2",NA,NA,NA,NA,4.92574564525057,0.907101426743167,5.43020383391507,0.000976404809311315
"19",1,26,"mod1",-1.03980333292333,0.304348566952963,-3.41648834865067,0.00913518062119829,2.57025754504753,0.602846822014515,4.26353337396485,0.00274817960998494
"20",1,28,"mod2",NA,NA,NA,NA,4.01849769876067,0.611310429454618,6.5735794861962,0.00031188545971146
"21",1,30,"mod3",1.16393329481239,0.280236951855156,4.15338979070107,0.0142211392404085,NA,NA,NA,NA
"22",1,31,"mod2",NA,NA,NA,NA,4.49849719054796,0.833527840963545,5.39693693416139,0.00166870776087828
"23",1,33,"mod1",-0.943461411768041,0.369717477084311,-2.5518442330842,0.0340767173136817,2.6090584302448,0.77093815246122,3.38426425247653,0.00958096087165251
"24",1,34,"mod2",NA,NA,NA,NA,5.28104825435711,1.16652799688023,4.52715088577453,0.00398718868274847
"25",1,35,"mod2",NA,NA,NA,NA,4.61374061650326,0.771184315402323,5.98266915490403,0.000329705998036954
"26",1,37,"mod2",NA,NA,NA,NA,6.29833156391454,1.15360167333448,5.45971084257293,0.000601736968263208
"27",1,38,"mod3",0.899688852798379,0.168820011431789,5.32927847337515,0.00177936443379483,NA,NA,NA,NA
"28",2,4,"mod3",1.21769456983442,0.117653337587384,10.349851477269,0.000144926167138576,NA,NA,NA,NA
"29",2,5,"mod3",0.91323455109199,0.106801396369072,8.55077351176329,0.00336104341362997,NA,NA,NA,NA
"30",2,7,"mod3",1.31202988948672,0.22520416758833,5.8259574124982,0.00432369941255363,NA,NA,NA,NA
"31",2,8,"mod2",NA,NA,NA,NA,5.99394274635317,1.69432524511449,3.53765769803433,0.0166038845242321
"32",2,9,"mod2",NA,NA,NA,NA,6.76262467624259,1.86904101454402,3.61823235745976,0.0152478311221214
"33",2,10,"mod1",-1.7237434325133,0.356988069702614,-4.82857433849049,0.00476243470660686,1.55829730579487,0.283059637572068,5.50519077591244,0.00270386537073578
"34",2,11,"mod2",NA,NA,NA,NA,4.15627936932368,0.850714680385565,4.8856325923986,0.00275051441709835
"35",2,12,"mod2",NA,NA,NA,NA,6.75289050335382,1.42184414133347,4.74938870375809,0.00208499349882833
"36",2,14,"mod3",1.12909097270838,0.196439882327903,5.74776852504762,0.00223540365356636,NA,NA,NA,NA
"37",2,16,"mod3",1.16732721705892,0.168128477946705,6.94306658404982,0.00226022204647095,NA,NA,NA,NA
"38",2,18,"mod2",NA,NA,NA,NA,4.91158601833008,0.821623318006823,5.97790485090553,0.000331465092173895
"39",2,19,"mod2",NA,NA,NA,NA,4.85359274106095,1.12498533620101,4.31436089420613,0.00350431778618551
"40",2,21,"mod1",-2.09958762729829,0.194264573064449,-10.8078770831866,1.27911783545894e-05,1.30377173631726,0.108689214192538,11.9954104554265,6.37465477418555e-06
"41",2,23,"mod3",0.919705276195912,0.198276113783669,4.63850767823382,0.00564027635325123,NA,NA,NA,NA
"42",2,24,"mod3",1.18445894800927,0.23422876406273,5.05684668041904,0.00391046632348822,NA,NA,NA,NA
"43",2,25,"mod2",NA,NA,NA,NA,6.9731577805372,1.17418371456722,5.93872806616755,0.000218355926569496
"44",2,28,"mod1",-1.40740077793629,0.136670393085672,-10.2977736886588,6.81539626151485e-06,1.98549756028589,0.166552234131066,11.9211703802389,2.25426058342473e-06
"45",2,29,"mod3",0.90208127804391,0.157494831022794,5.72768815449793,0.0022703494561164,NA,NA,NA,NA
"46",2,30,"mod2",NA,NA,NA,NA,4.03119400499298,0.811252523986681,4.96909887587501,0.00162082641543821
"47",2,32,"mod3",1.05075380169072,0.211404453014506,4.9703484799283,0.00421050005156236,NA,NA,NA,NA
"48",2,34,"mod2",NA,NA,NA,NA,4.60014143164476,0.935072414687269,4.9195563460005,0.0017145061335705
"49",2,36,"mod3",0.965501668249698,0.152757435974103,6.32048883311565,0.000732814976505815,NA,NA,NA,NA
"50",2,37,"mod1",-1.29660914735682,0.174771427181677,-7.41888515912265,4.0221752783527e-05,1.94502468828819,0.208595140787865,9.32440075517495,6.38497979216031e-06
"51",2,38,"mod3",0.99174675251688,0.181014968382694,5.47881073801682,0.00154512979997404,NA,NA,NA,NA
"52",2,39,"mod2",NA,NA,NA,NA,4.0392631607357,0.755463596409176,5.34673434952376,0.00106795758291969
"53",3,6,"mod3",1.22608909270147,0.173676720769379,7.05960526701537,0.00212353247392131,NA,NA,NA,NA
"54",3,7,"mod2",NA,NA,NA,NA,6.64322753178515,1.18498333766082,5.6061780116664,0.000810694955350591
"55",3,8,"mod3",0.839113386602274,0.146060685301545,5.74496405292026,0.00120991793055973,NA,NA,NA,NA
"56",3,10,"mod2",NA,NA,NA,NA,6.05614516013146,1.31583624605358,4.60250671639033,0.00247682350946845
"57",3,11,"mod3",0.879132066056013,0.136283670554585,6.45075130775776,0.00297268303123964,NA,NA,NA,NA
"58",3,12,"mod3",1.06936032580465,0.23877365345997,4.47855242950379,0.00652743389244231,NA,NA,NA,NA
"59",3,14,"mod3",0.896146450606158,0.169951529939023,5.2729531233269,0.00187788177785702,NA,NA,NA,NA
"60",3,15,"mod3",0.782218983481558,0.204073654642171,3.83302286056045,0.012210047330694,NA,NA,NA,NA
"61",3,16,"mod2",NA,NA,NA,NA,5.40331676215631,1.16361374234102,4.64356561420945,0.00352731823209279
