"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,9,"mod3",1.42385912277232,0.112947282506032,12.6064044320524,5.57834081504141e-05,NA,NA,NA,NA
"2",1,12,"mod3",1.79007600670035,0.123039285408849,14.5488166706437,2.7696813153877e-05,NA,NA,NA,NA
"3",1,13,"mod3",1.60186636836391,0.0718732107778581,22.287391241152,5.33652321518709e-07,NA,NA,NA,NA
"4",1,14,"mod3",1.45712130867727,0.106582938019824,13.6712435944134,0.000165800150102544,NA,NA,NA,NA
"5",1,15,"mod3",1.91573867447367,0.0806463752808073,23.7548019709894,2.46227146479599e-06,NA,NA,NA,NA
"6",1,16,"mod3",1.5311079937174,0.0678670575785442,22.5604004114281,4.96432786266174e-07,NA,NA,NA,NA
"7",1,18,"mod3",1.77320468828399,0.074964209931356,23.6540168956319,2.51477232724382e-06,NA,NA,NA,NA
"8",1,19,"mod3",1.57623899998288,0.0540897792174732,29.1411616535808,1.44256205341534e-08,NA,NA,NA,NA
"9",1,20,"mod3",1.66418597852619,0.0325847348369904,51.0725647101784,3.78057938274018e-09,NA,NA,NA,NA
"10",1,21,"mod3",1.56434883981181,0.0574245132432952,27.2418302125437,2.30374911845892e-08,NA,NA,NA,NA
"11",1,22,"mod3",1.70793880625385,0.0596453752323426,28.6348907958202,8.8521001446163e-06,NA,NA,NA,NA
"12",1,23,"mod3",1.57307261357623,0.0964792694795538,16.3047732643706,3.38816380729195e-06,NA,NA,NA,NA
"13",1,24,"mod3",1.47170629107919,0.0640512970258884,22.9769943688158,7.49761704373327e-08,NA,NA,NA,NA
"14",1,25,"mod3",1.52261629157188,0.0504372656335497,30.1883195380652,8.76573831842788e-08,NA,NA,NA,NA
"15",1,26,"mod3",1.51654122986695,0.0887252487490183,17.0925554027678,2.56614032361957e-06,NA,NA,NA,NA
"16",1,27,"mod3",1.62424626455729,0.0317929961983634,51.0881784913654,2.88345570566729e-10,NA,NA,NA,NA
"17",1,28,"mod3",1.89481974580855,0.108848678422519,17.4078341902638,1.1464264755889e-05,NA,NA,NA,NA
"18",1,29,"mod3",1.54286137143994,0.0990710294935666,15.5732849383596,4.43765460581811e-06,NA,NA,NA,NA
"19",1,30,"mod3",1.79475166697549,0.0761096166230276,23.5811418662759,3.81661348918187e-07,NA,NA,NA,NA
"20",1,31,"mod3",1.75113185479923,0.0596772833142024,29.3433574309922,1.03831159320296e-07,NA,NA,NA,NA
"21",1,32,"mod3",1.56475103333012,0.0554034914951253,28.2428235315783,1.30410062088133e-07,NA,NA,NA,NA
"22",1,33,"mod3",1.50574602210837,0.0646090841691051,23.3054846926368,6.79616506928273e-08,NA,NA,NA,NA
"23",1,34,"mod3",1.48880506367742,0.0442395621690474,33.6532504094056,6.63737195001663e-10,NA,NA,NA,NA
"24",1,35,"mod3",1.50254378281778,0.0569071610541313,26.4034219065773,4.55087975813965e-09,NA,NA,NA,NA
"25",1,36,"mod3",1.64828312118135,0.0730001138074827,22.579185637001,8.46036984392034e-08,NA,NA,NA,NA
"26",1,37,"mod3",1.54553289040729,0.0514472029580256,30.0411451263589,1.63563662676003e-09,NA,NA,NA,NA
"27",1,38,"mod3",1.50114393037439,0.0465820552106721,32.2257986167703,9.36677167451456e-10,NA,NA,NA,NA
"28",1,39,"mod3",1.48613388379666,0.0489738992767541,30.3454269670961,1.50989538629076e-09,NA,NA,NA,NA
"29",1,40,"mod3",1.48903246282732,0.0470447699188266,31.6513921823101,1.08053582735753e-09,NA,NA,NA,NA
"30",2,11,"mod3",1.49991957330508,0.0604359038884416,24.8183526149253,1.98113563766745e-06,NA,NA,NA,NA
"31",2,14,"mod3",1.50589956566611,0.0713134709227669,21.1166213925699,7.35050606145911e-07,NA,NA,NA,NA
"32",2,15,"mod3",1.56621059813178,0.0622663565413229,25.1534004096155,0.000137789150462972,NA,NA,NA,NA
"33",2,17,"mod3",1.76076464518407,0.135696182363654,12.9757861607733,4.84606095139191e-05,NA,NA,NA,NA
"34",2,18,"mod3",1.61422928333011,0.0661724332096922,24.3942863369528,3.11987169038075e-07,NA,NA,NA,NA
"35",2,20,"mod3",1.52319417741432,0.089288403388465,17.0592609970569,1.26661635193656e-05,NA,NA,NA,NA
"36",2,21,"mod3",1.66155632734186,0.0374923590293742,44.3171987668229,8.83878168659411e-09,NA,NA,NA,NA
"37",2,22,"mod3",1.63185058918545,0.0486801612660935,33.5218813320173,4.44150312407474e-07,NA,NA,NA,NA
"38",2,23,"mod3",1.73804834540676,0.0425379497516896,40.8587709457653,1.43714925961721e-08,NA,NA,NA,NA
"39",2,24,"mod3",1.51731133443431,0.0558799925497742,27.1530339429231,1.64874225065499e-07,NA,NA,NA,NA
"40",2,25,"mod3",1.69436570294438,0.0635693648261693,26.6538089153106,1.84144727695594e-07,NA,NA,NA,NA
"41",2,26,"mod3",1.57750592933033,0.0823509896657289,19.1558830772233,1.30917313034392e-06,NA,NA,NA,NA
"42",2,27,"mod3",1.56519383770198,0.0671372101805266,23.3133583223565,4.08466949476393e-07,NA,NA,NA,NA
"43",2,28,"mod3",1.46810910221745,0.0602491544217275,24.3672980361034,3.14047946476743e-07,NA,NA,NA,NA
"44",2,29,"mod3",1.54117868048806,0.08615280560807,17.8888971706766,1.96164657346548e-06,NA,NA,NA,NA
"45",2,30,"mod3",1.75736914509385,0.0432369311098551,40.6450943668685,1.42234522241845e-09,NA,NA,NA,NA
"46",2,31,"mod3",1.64684814158449,0.0808491673497603,20.3693890186907,1.72313931418131e-07,NA,NA,NA,NA
"47",2,32,"mod3",1.46776212393194,0.0677911706431595,21.6512284713001,1.13075276883973e-07,NA,NA,NA,NA
"48",2,33,"mod3",1.45241950508812,0.045633966941031,31.8275969074738,7.81345454993249e-09,NA,NA,NA,NA
"49",2,34,"mod3",1.52025468348579,0.0486885224958432,31.2240874348895,8.92647186277376e-09,NA,NA,NA,NA
"50",2,35,"mod3",1.47685810624273,0.0586237269342476,25.1921565460889,3.96364676989361e-08,NA,NA,NA,NA
"51",2,36,"mod3",1.46800987855946,0.049178752259805,29.8504905290023,1.72040563274485e-09,NA,NA,NA,NA
"52",2,37,"mod3",1.48869997803377,0.0477432022856993,31.1814018910014,9.0118150648667e-09,NA,NA,NA,NA
"53",2,38,"mod3",1.48028964297301,0.0474264354229629,31.212331894045,1.20731626046978e-09,NA,NA,NA,NA
"54",2,39,"mod3",1.48903246282732,0.0470447699188266,31.6513921823101,1.08053582735753e-09,NA,NA,NA,NA
"55",2,40,"mod3",1.48903246282732,0.0470447699188266,31.6513921823101,1.08053582735753e-09,NA,NA,NA,NA
"56",3,7,"mod3",1.65251688526742,0.101858447408281,16.2236606517632,8.44568896095526e-05,NA,NA,NA,NA
"57",3,9,"mod3",1.88596307750825,0.0622474558293317,30.2978339015033,7.06899112108964e-06,NA,NA,NA,NA
