"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"25",3,1,"mod3",0.937549867417571,0.243818875720364,3.84527188326817,0.031038961151377,NA,NA,NA,NA,0.53968253968254
"50",5,1,"mod3",0.785579509272272,0.165249135960351,4.7539099354853,0.00508683623158648,NA,NA,NA,NA,0.53968253968254
"118",10,1,"mod3",1.05511281827207,0.171337809543294,6.15808513651775,0.000841138518469113,NA,NA,NA,NA,0.53968253968254
"132",11,1,"mod3",0.960904381529595,0.140681598015277,6.83034878111951,0.00102609629462802,NA,NA,NA,NA,0.53968253968254
"145",12,1,"mod3",0.921099716911643,0.170347038603102,5.40719536109897,0.00292519489662638,NA,NA,NA,NA,0.53968253968254
"173",14,1,"mod3",0.918656038840243,0.2113039594856,4.34755714505599,0.0121804169070173,NA,NA,NA,NA,0.53968253968254
"196",16,1,"mod3",0.942977214878036,0.213364853332699,4.41955270584164,0.0115148891350316,NA,NA,NA,NA,0.53968253968254
"236",19,1,"mod3",0.903427673058234,0.163623700716018,5.52137415976309,0.00266923358229555,NA,NA,NA,NA,0.53968253968254
"247",20,1,"mod3",1.20167199758459,0.215087587781264,5.58689606397301,0.0050346627516508,NA,NA,NA,NA,0.53968253968254
"263",21,1,"mod3",1.00353489258161,0.176142565427459,5.69728781993296,0.00232448446230562,NA,NA,NA,NA,0.53968253968254
"290",24,1,"mod3",0.768327386898563,0.155177646419754,4.95127619618771,0.00428022430617788,NA,NA,NA,NA,0.53968253968254
"305",25,1,"mod3",0.95615515590764,0.17296238681415,5.52811032224619,0.00523095665482137,NA,NA,NA,NA,0.53968253968254
"317",26,1,"mod3",1.20435102531806,0.162703638889851,7.40211487300168,0.00177684866992915,NA,NA,NA,NA,0.53968253968254
"328",27,1,"mod3",1.01656184668891,0.161896347940564,6.27909066276231,0.00328457599355608,NA,NA,NA,NA,0.53968253968254
"423",35,1,"mod3",0.707961074144326,0.0962186733301414,7.35783449970465,0.00181751335980614,NA,NA,NA,NA,0.53968253968254
"450",37,1,"mod3",0.807931287320165,0.157820021360185,5.11932060556665,0.00217968461196436,NA,NA,NA,NA,0.53968253968254
"502",41,1,"mod3",1.02720424612596,0.135119690578061,7.6021802724047,0.000625591730240642,NA,NA,NA,NA,0.53968253968254
"536",44,1,"mod3",0.451288763525192,0.0482932727217357,9.34475420884195,0.000236375428155065,NA,NA,NA,NA,0.53968253968254
"605",50,1,"mod3",1.15403707242999,0.128239173746164,8.99909940713041,0.000105330865432138,NA,NA,NA,NA,0.53968253968254
"643",53,1,"mod3",0.752431849380414,0.135354841504414,5.55895778102536,0.00259079448789261,NA,NA,NA,NA,0.53968253968254
"667",55,1,"mod3",0.830291959226932,0.177650138972888,4.67374787336163,0.00949178074260641,NA,NA,NA,NA,0.53968253968254
"694",57,1,"mod3",0.853724746145154,0.211092232749475,4.04432098247006,0.0155484180340182,NA,NA,NA,NA,0.53968253968254
"769",63,1,"mod3",0.937976132046031,0.230114585245334,4.07612638306268,0.015146515426288,NA,NA,NA,NA,0.53968253968254
"858",70,1,"mod3",0.877373739688712,0.16033931125103,5.47198146757085,0.0027765965026298,NA,NA,NA,NA,0.53968253968254
"867",71,1,"mod3",1.10647196496109,0.132406845049577,8.35660697561965,0.000401538925662279,NA,NA,NA,NA,0.53968253968254
"919",75,1,"mod3",0.921947653289965,0.187871031071902,4.90734334095989,0.0026908857839801,NA,NA,NA,NA,0.53968253968254
"989",81,1,"mod3",0.832063338199932,0.135593686775402,6.13644601004297,0.00085691211366343,NA,NA,NA,NA,0.53968253968254
"1002",82,1,"mod3",0.725471170833838,0.178285593421137,4.0691519539673,0.00964198291565583,NA,NA,NA,NA,0.53968253968254
"1017",83,1,"mod3",0.922784374959081,0.177592223824726,5.196085476523,0.00347835900908507,NA,NA,NA,NA,0.53968253968254
"1079",88,1,"mod3",0.969436227167584,0.14016819443801,6.91623539173377,0.00229321573513957,NA,NA,NA,NA,0.53968253968254
"1092",89,1,"mod3",1.23354929207336,0.220517021683092,5.59389602969566,0.00252029271916461,NA,NA,NA,NA,0.53968253968254
"1117",91,1,"mod3",0.984166358825868,0.204750671716676,4.80665753413356,0.00860625543711105,NA,NA,NA,NA,0.53968253968254
"1154",94,1,"mod3",1.01835510938186,0.220965823439247,4.60865437709579,0.00996573717347664,NA,NA,NA,NA,0.53968253968254
"1170",95,1,"mod3",1.13815603359018,0.173436597921805,6.56237522661351,0.00278931724599061,NA,NA,NA,NA,0.53968253968254
"1",1,2,"mod3",0.627064583018021,0.169422924513592,3.70117907489971,0.0208139430071375,NA,NA,NA,NA,0.638888888888889
"51",5,2,"mod3",1.08245191165498,0.225953498245507,4.79059594146604,0.00870776730540344,NA,NA,NA,NA,0.638888888888889
"75",7,2,"mod3",0.977322330290916,0.221801608144822,4.4062905515671,0.0116341139071003,NA,NA,NA,NA,0.638888888888889
"89",8,2,"mod3",0.751956299325348,0.180302621592136,4.17052338277339,0.0140252540370204,NA,NA,NA,NA,0.638888888888889
"119",10,2,"mod3",1.03759296932701,0.174787054555094,5.93632618827591,0.00101999507161175,NA,NA,NA,NA,0.638888888888889
"146",12,2,"mod3",1.20603108534924,0.202007491234636,5.97022950969875,0.00188767231454744,NA,NA,NA,NA,0.638888888888889
"174",14,2,"mod3",0.867974014837087,0.181365729502826,4.78576640259682,0.00494537386694282,NA,NA,NA,NA,0.638888888888889
"183",15,2,"mod3",0.948482355270836,0.155580058253789,6.09642627671235,0.000886984565330296,NA,NA,NA,NA,0.638888888888889
"197",16,2,"mod3",0.95152308565075,0.182682242184335,5.20862386115569,0.00199806849632353,NA,NA,NA,NA,0.638888888888889
"223",18,2,"mod3",0.967495832730133,0.239557209929896,4.03868384096334,0.00993562525100305,NA,NA,NA,NA,0.638888888888889
"237",19,2,"mod3",0.973652423920249,0.238134559796133,4.08866493277495,0.0149915185009989,NA,NA,NA,NA,0.638888888888889
"248",20,2,"mod3",1.04896213589123,0.188440263377601,5.56654993518713,0.00510156423673199,NA,NA,NA,NA,0.638888888888889
"291",24,2,"mod3",1.02789925384846,0.178839091192995,5.7476206515677,0.0104614931770571,NA,NA,NA,NA,0.638888888888889
"318",26,2,"mod3",1.28923421764501,0.151253314608825,8.52367580161309,0.000365733683604784,NA,NA,NA,NA,0.638888888888889
"339",28,2,"mod3",0.847298777635171,0.180230583443021,4.70119311300482,0.00533141818729244,NA,NA,NA,NA,0.638888888888889
"363",30,2,"mod3",0.818807500865133,0.150045163691797,5.45707359516777,0.00280999075896162,NA,NA,NA,NA,0.638888888888889
"387",32,2,"mod3",0.738386207254369,0.187321668438578,3.94180883295133,0.0109400553385507,NA,NA,NA,NA,0.638888888888889
"451",37,2,"mod3",1.24199215963818,0.13963114556922,8.89480749137361,0.000298906873068124,NA,NA,NA,NA,0.638888888888889
"512",42,2,"mod3",1.1068130135046,0.184445270595949,6.00076656847015,0.00184508310825362,NA,NA,NA,NA,0.638888888888889
"525",43,2,"mod3",1.09577022928875,0.22703609529053,4.82641417826771,0.00477147503537648,NA,NA,NA,NA,0.638888888888889
"549",45,2,"mod3",1.05238587735066,0.218419890318542,4.81817784916871,0.00853433061385481,NA,NA,NA,NA,0.638888888888889
"558",46,2,"mod3",0.884084329327778,0.165941164111152,5.32769752498296,0.00597451170051783,NA,NA,NA,NA,0.638888888888889
"568",47,2,"mod3",0.95021570856954,0.156490966557209,6.072016356434,0.00371625189586239,NA,NA,NA,NA,0.638888888888889
"592",49,2,"mod3",0.895668830601019,0.185456289012648,4.8295414265511,0.00846409932168894,NA,NA,NA,NA,0.638888888888889
"620",51,2,"mod3",1.13997237343694,0.17175136815379,6.63734085900372,0.00267395346840066,NA,NA,NA,NA,0.638888888888889
"682",56,2,"mod3",1.05361224211682,0.202922449115741,5.19219163137477,0.00348965840257551,NA,NA,NA,NA,0.638888888888889
"695",57,2,"mod3",0.982057803514323,0.215727388168008,4.55230933751212,0.010399354439863,NA,NA,NA,NA,0.638888888888889
"706",58,2,"mod3",0.816821920016369,0.189291796205778,4.31514696563187,0.00760546110177923,NA,NA,NA,NA,0.638888888888889
"719",59,2,"mod3",0.851447317967575,0.189100442539889,4.5026193832834,0.00638411647426259,NA,NA,NA,NA,0.638888888888889
"732",60,2,"mod3",0.876831952069034,0.211045148990382,4.15471265870695,0.0142058981266562,NA,NA,NA,NA,0.638888888888889
"781",64,2,"mod3",0.887051644259803,0.192974635855371,4.59672661294525,0.00585770510439208,NA,NA,NA,NA,0.638888888888889
"833",68,2,"mod3",1.21271169330981,0.191660150569861,6.32740655636586,0.00319287901247178,NA,NA,NA,NA,0.638888888888889
"868",71,2,"mod3",1.09410627013572,0.154063704680718,7.10164845382078,0.000857835365178128,NA,NA,NA,NA,0.638888888888889
"920",75,2,"mod3",0.909437014272937,0.175860586137763,5.17135211616159,0.00207169291538707,NA,NA,NA,NA,0.638888888888889
"929",76,2,"mod3",0.893108820803011,0.164301668898196,5.43578666481104,0.00160871825966073,NA,NA,NA,NA,0.638888888888889
"956",78,2,"mod3",1.03023899820368,0.249195755241718,4.13425580706365,0.025681006291083,NA,NA,NA,NA,0.638888888888889
"976",80,2,"mod3",1.036020968471,0.211997251549922,4.88695471708524,0.00811982583446305,NA,NA,NA,NA,0.638888888888889
"990",81,2,"mod3",0.975118884624408,0.230751737194519,4.2258355082389,0.0134147113195689,NA,NA,NA,NA,0.638888888888889
"1003",82,2,"mod3",1.00588090266295,0.150612730467407,6.67859150777843,0.000282958066773339,NA,NA,NA,NA,0.638888888888889
"1018",83,2,"mod3",0.972337888678879,0.209787781088146,4.63486425966026,0.00977152029441314,NA,NA,NA,NA,0.638888888888889
"1032",84,2,"mod3",1.15775014653838,0.260471903845034,4.44481776901044,0.0112918254857583,NA,NA,NA,NA,0.638888888888889
"1093",89,2,"mod3",0.953460211612849,0.18241740774324,5.22680496016524,0.00339070092456673,NA,NA,NA,NA,0.638888888888889
"1118",91,2,"mod3",1.10019928859618,0.215347283470067,5.10895364393628,0.00374178952053165,NA,NA,NA,NA,0.638888888888889
"1142",93,2,"mod3",1.04581006783541,0.213874828100314,4.8898230667187,0.00810307736359682,NA,NA,NA,NA,0.638888888888889
"1171",95,2,"mod3",0.8932831281555,0.180332057147725,4.9535459323449,0.00256880088515448,NA,NA,NA,NA,0.638888888888889
"1213",99,2,"mod3",0.799376321573202,0.159999641241275,4.99611321232755,0.00246185291710002,NA,NA,NA,NA,0.638888888888889
"13",2,3,"mod3",1.14517232118104,0.232152912219612,4.93283633718854,0.00785689301492421,NA,NA,NA,NA,0.426470588235294
"27",3,3,"mod3",1.06824565974742,0.182436650361528,5.85543342102869,0.00205847233766355,NA,NA,NA,NA,0.426470588235294
"39",4,3,"mod3",1.14065147014712,0.191139324132767,5.96764415340724,0.00189133088488984,NA,NA,NA,NA,0.426470588235294
"104",9,3,"mod3",1.1337654105587,0.21449958927953,5.28562975046634,0.00185517956455122,NA,NA,NA,NA,0.426470588235294
"120",10,3,"mod3",0.985647353144469,0.19912456477618,4.94990336452139,0.00428529487747248,NA,NA,NA,NA,0.426470588235294
"134",11,3,"mod3",0.875974448633331,0.185960310614142,4.71054520042684,0.00329002937705578,NA,NA,NA,NA,0.426470588235294
"175",14,3,"mod3",0.861364998225384,0.136165316266998,6.32587667579303,0.00072950525224068,NA,NA,NA,NA,0.426470588235294
"238",19,3,"mod3",0.725669892115712,0.171878382569155,4.22199628172404,0.00831185654236925,NA,NA,NA,NA,0.426470588235294
"249",20,3,"mod3",0.973642242040661,0.213162074244098,4.56761478557258,0.00601496885508987,NA,NA,NA,NA,0.426470588235294
"264",21,3,"mod3",0.870231574773905,0.188476661193074,4.6171847976575,0.005750045790186,NA,NA,NA,NA,0.426470588235294
"319",26,3,"mod3",1.05480649108718,0.210748371951023,5.00505167049314,0.00746372189496806,NA,NA,NA,NA,0.426470588235294
"372",31,3,"mod3",0.857650004705058,0.187041978478902,4.58533432804657,0.00374940282483687,NA,NA,NA,NA,0.426470588235294
"388",32,3,"mod3",0.733105536742035,0.161955245622795,4.52659334325908,0.00624497187130253,NA,NA,NA,NA,0.426470588235294
"403",33,3,"mod3",0.685645527378217,0.134202281533669,5.10904523785015,0.00374150059843581,NA,NA,NA,NA,0.426470588235294
"439",36,3,"mod3",0.896635787320852,0.160866345448513,5.57379347943124,0.00141462900096517,NA,NA,NA,NA,0.426470588235294
"479",39,3,"mod3",0.987201740225899,0.173119651797724,5.70242447910745,0.00231523182070281,NA,NA,NA,NA,0.426470588235294
"503",41,3,"mod3",1.04252091717226,0.225974606176716,4.61344278815555,0.00576956473205936,NA,NA,NA,NA,0.426470588235294
"657",54,3,"mod3",0.920024879628829,0.179759436474116,5.11808947376904,0.00218231615322606,NA,NA,NA,NA,0.426470588235294
"683",56,3,"mod3",0.945092658307945,0.174497156185355,5.41609203822236,0.00290424620184845,NA,NA,NA,NA,0.426470588235294
"720",59,3,"mod3",0.912882679825335,0.180300588856581,5.06311535427919,0.00388971045249068,NA,NA,NA,NA,0.426470588235294
"743",61,3,"mod3",0.980378835491509,0.200817620369983,4.88193632453803,0.00454532665836001,NA,NA,NA,NA,0.426470588235294
"782",64,3,"mod3",0.910695371291762,0.171358883413997,5.31455010179749,0.00180454564818893,NA,NA,NA,NA,0.426470588235294
"824",67,3,"mod3",0.796275309936038,0.155999000522551,5.10436161301515,0.00375630802592826,NA,NA,NA,NA,0.426470588235294
"965",79,3,"mod3",0.869972192876643,0.166620729685999,5.22127225415544,0.00197376276888278,NA,NA,NA,NA,0.426470588235294
"1045",85,3,"mod3",0.883652441800891,0.153081447486179,5.77243327857003,0.000682520816028764,NA,NA,NA,NA,0.426470588235294
"1081",88,3,"mod3",1.08304730392153,0.194517695274959,5.56786004682297,0.00257261322244675,NA,NA,NA,NA,0.426470588235294
"1130",92,3,"mod3",0.965607896264289,0.209450656688316,4.61019273719066,0.00995420917097362,NA,NA,NA,NA,0.426470588235294
"1143",93,3,"mod3",0.911035894284163,0.157853928659532,5.77138562226815,0.000683254025530506,NA,NA,NA,NA,0.426470588235294
"1156",94,3,"mod3",0.856464117710603,0.179439511763544,4.77299625535767,0.00882067694697532,NA,NA,NA,NA,0.426470588235294
"160",13,4,"mod2",NA,NA,NA,NA,6.71138646686411,1.4246644048501,4.71085432050946,0.00151999755151062,0.479452054794521
"250",20,4,"mod2",NA,NA,NA,NA,4.64386652716614,0.910814256896124,5.09858787563506,0.00140170659905658,0.479452054794521
"265",21,4,"mod2",NA,NA,NA,NA,5.51337684465464,1.08734122584133,5.07051210202082,0.000964396483558782,0.479452054794521
"307",25,4,"mod2",NA,NA,NA,NA,5.69766368521009,1.34754136678338,4.22819204341799,0.00551113361935635,0.479452054794521
"320",26,4,"mod2",NA,NA,NA,NA,5.30567752203572,1.32384076137291,4.00779132720871,0.0102439285082947,0.479452054794521
"329",27,4,"mod2",NA,NA,NA,NA,4.95489782235579,0.777039700319591,6.37663406427995,0.000375549332915159,0.479452054794521
"340",28,4,"mod2",NA,NA,NA,NA,5.77377574248759,0.916490566935019,6.29987470770876,0.000141005022555662,0.479452054794521
"389",32,4,"mod2",NA,NA,NA,NA,5.45962340346963,1.07433268349984,5.08187406687088,0.00142804696245239,0.479452054794521
"425",35,4,"mod2",NA,NA,NA,NA,5.5672624663631,0.770843162830915,7.22230245374089,2.8500503851808e-05,0.479452054794521
"440",36,4,"mod2",NA,NA,NA,NA,4.54853030574199,0.827687889537261,5.49546557735061,0.000910903287547102,0.479452054794521
"465",38,4,"mod2",NA,NA,NA,NA,5.24942665215277,0.940700530918042,5.5803377160102,0.000832932938007363,0.479452054794521
"480",39,4,"mod2",NA,NA,NA,NA,3.91412067591717,0.713571086817757,5.48525682756093,0.000920818246384288,0.479452054794521
"490",40,4,"mod2",NA,NA,NA,NA,4.64412542413414,0.796485526863047,5.83077189415481,0.000643047083726186,0.479452054794521
"514",42,4,"mod2",NA,NA,NA,NA,5.48402359888553,0.956243477171611,5.73496575904104,0.000709298212118804,0.479452054794521
"527",43,4,"mod2",NA,NA,NA,NA,4.71067973135242,0.886099239890004,5.31619881756944,0.00071429902110894,0.479452054794521
"551",45,4,"mod2",NA,NA,NA,NA,5.19065765527414,1.07494032310814,4.82878681140696,0.00190212098396197,0.479452054794521
"560",46,4,"mod2",NA,NA,NA,NA,3.84235271606494,0.719500200928573,5.34030805148641,0.00107539324395558,0.479452054794521
"658",54,4,"mod2",NA,NA,NA,NA,4.77031797684763,0.919244258263335,5.18939110466663,0.000833129998651029,0.479452054794521
