"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod3",1.29215530756889,0.158410392554843,8.15701095571453,0.00044992505610772,NA,NA,NA,NA
"2",1,2,"mod3",1.20199391175901,0.0672616518169852,17.8704191658801,9.85028520475677e-08,NA,NA,NA,NA
"3",1,3,"mod3",1.07975162877778,0.0715541579059933,15.0899914187565,3.67878769605081e-07,NA,NA,NA,NA
"4",1,4,"mod3",1.00772685408335,0.0525830655981444,19.164475152223,8.44313319398372e-10,NA,NA,NA,NA
"5",1,5,"mod3",1.17040612434287,0.0596193127726546,19.6313253191288,6.52439469344745e-10,NA,NA,NA,NA
"6",1,6,"mod3",1.02024606760955,0.0496141836331645,20.5635967962912,3.96576068478326e-10,NA,NA,NA,NA
"7",1,7,"mod1",0.516453427563303,0.112682158084073,4.58327597149829,0.000513071341445174,9.98457791764584,3.12617866660708,3.19386029477398,0.00705043497607736
"8",1,8,"mod1",0.589629449942417,0.121227226740934,4.86383682769938,0.000206412935180471,10.2518225239372,3.51346176776743,2.91786938397555,0.0106032419860517
"9",1,9,"mod1",0.623040608396737,0.13057644381411,4.7714625256888,0.000298147344262612,10.1564941611476,3.74876190588221,2.70929293887963,0.0169453693463638
"10",1,10,"mod1",0.652684864002052,0.106412177233006,6.13355426957287,2.5902092098417e-05,11.5766643407427,3.93112715614853,2.94487150400009,0.0106534788231009
"11",1,11,"mod1",0.798467996187624,0.0799588108945935,9.98599137798851,5.08989976388399e-08,15.8576945457037,5.45811394802583,2.90534325532711,0.0108761756714828
"12",1,12,"mod1",0.625151647791002,0.108595817172091,5.75668256909312,6.63554968197519e-05,12.112518409024,4.42089288257501,2.73983530719905,0.0168621121360812
"13",1,13,"mod1",0.499203921895231,0.107312176283475,4.65188517448886,0.000265834393768874,9.17319404459721,2.48175397276976,3.69625440122071,0.00195779185944284
"14",1,14,"mod1",0.595849674855801,0.109266669545263,5.45316954690354,6.66637693903553e-05,10.8578227709255,3.55569419683693,3.05364358402485,0.00804346489968486
"15",1,15,"mod1",0.550424550584851,0.108232351467862,5.08558248176184,0.000110166809619288,9.90315174556375,2.91996053342137,3.39153616366179,0.00372611901734112
"16",1,16,"mod1",0.612615628204497,0.116147715642517,5.27445266414042,9.34825783342288e-05,10.2971220591556,3.40976003354295,3.01989640263813,0.00861636437641932
"17",1,17,"mod1",0.550405529483566,0.111317426404473,4.94446868977786,0.00014640277466026,9.61307475156008,2.83216631518807,3.39424796489105,0.00370486032569355
"18",1,18,"mod1",0.548698582463301,0.100618334055065,5.45326642123706,5.31006555086927e-05,10.1049913995501,2.81656887394549,3.58769547339165,0.00246239796232077
"19",2,2,"mod3",1.78395712734146,0.0555686359474148,32.1036695777387,5.61214065823688e-06,NA,NA,NA,NA
"20",2,3,"mod3",1.04341595371281,0.0701385140899941,14.8765049737725,1.486556005717e-06,NA,NA,NA,NA
"21",2,4,"mod3",1.40380643155102,0.0464021243195047,30.2530638874424,1.11197339264829e-08,NA,NA,NA,NA
"22",2,5,"mod3",1.57486311671219,0.0425957398985983,36.9723150827113,2.72597965995064e-07,NA,NA,NA,NA
"23",2,6,"mod3",1.1524088936436,0.0481199490576616,23.9486723533868,1.84362203853827e-09,NA,NA,NA,NA
"24",2,7,"mod1",0.652078073495138,0.11923498844585,5.46884838078611,0.000107704924906636,11.5265644667334,4.399332405456,2.6200712754595,0.0211832577228565
"25",2,8,"mod3",1.17907207045389,0.0676541012412655,17.427946699774,3.04624223975851e-08,NA,NA,NA,NA
"26",2,9,"mod3",1.03861150109166,0.0445038428778487,23.3375689362911,1.01471169443679e-10,NA,NA,NA,NA
"27",2,10,"mod3",1.00050919162972,0.0686030833908096,14.5840265798279,4.57981938892222e-08,NA,NA,NA,NA
"28",2,11,"mod1",0.841356634537316,0.124762357557096,6.7436737411144,3.1842137273589e-05,16.0769931090843,9.14394532004153,1.75821186002141,0.106464308112246
"29",2,12,"mod3",1.06171584404199,0.0494368361578466,21.4762093725425,6.06390988271415e-11,NA,NA,NA,NA
"30",2,14,"mod1",0.633860312360653,0.111345737327849,5.69272185511958,7.38223289181883e-05,12.1088496136965,4.54663437373695,2.66325563446264,0.0195132745211083
"31",2,15,"mod1",0.516558090331292,0.119231352904128,4.33240148458809,0.000591964790980046,9.28587352825653,2.85897914012377,3.2479682687907,0.005405764838181
"32",2,16,"mod1",0.596695053035287,0.105184618564719,5.6728356405851,4.42496849148563e-05,10.8073878541309,3.37857568732032,3.19879998387802,0.00597851875836067
"33",2,17,"mod1",0.563941086147729,0.0985116975099963,5.72461038031046,3.13289769385153e-05,10.432650295173,2.93239173679034,3.55772735418771,0.00262333507082314
"34",2,18,"mod1",0.548698582463301,0.100618334055065,5.45326642123706,5.31006555086927e-05,10.1049913995501,2.81656887394549,3.58769547339165,0.00246239796232077
"35",3,1,"mod3",1.13258509037203,0.0818287806340616,13.8409136931534,2.42724858118696e-06,NA,NA,NA,NA
"36",3,3,"mod3",1.11119948209941,0.0359825890942441,30.8815877364746,1.91816107571108e-10,NA,NA,NA,NA
"37",3,4,"mod3",1.04423598339332,0.0514994832002236,20.2766303369193,4.61178869901189e-10,NA,NA,NA,NA
"38",3,5,"mod3",1.06091811851034,0.0624628397619851,16.9847884366605,3.06097129064774e-09,NA,NA,NA,NA
"39",3,6,"mod3",1.13793694315345,0.0523138825139081,21.7521026632065,9.42870901964043e-10,NA,NA,NA,NA
"40",3,7,"mod3",1.04777202551149,0.0420248546307053,24.9321986885812,4.96593163099345e-11,NA,NA,NA,NA
"41",3,8,"mod1",0.626261233464244,0.144382615267516,4.33751135691711,0.000805371462501892,10.3298820830956,4.33758593193456,2.38148183002994,0.0332158053979889
"42",3,9,"mod3",1.01931184979303,0.0610099647805074,16.7073010689345,1.12630977410718e-09,NA,NA,NA,NA
"43",3,10,"mod1",0.779942165736072,0.157476369220767,4.95275684596633,0.000433732688839221,12.551935070553,7.05281493380776,1.77970571868902,0.102731287643265
"44",3,11,"mod1",0.769523741321929,0.137993799562867,5.57650955158568,0.000120564631691451,13.8134698330615,7.37363462551236,1.8733596841465,0.0855716485908379
"45",3,12,"mod1",0.513910380849709,0.129011752742734,3.98343848466667,0.00119904421994985,9.04849682470534,2.92707646938058,3.09130865536292,0.00744828141218782
"46",3,13,"mod1",0.603927723543822,0.128770764485143,4.68994438262811,0.000422828232412416,10.7531715106968,4.16915767309507,2.57921919818253,0.0228904599329595
"47",3,14,"mod1",0.531502449589316,0.12413204420443,4.2817505584134,0.00075991741878844,9.6836382613056,3.24422111740842,2.98488848659033,0.00984187118008455
"48",3,15,"mod1",0.534307826622109,0.0999099850088883,5.34789217088337,6.53424501508465e-05,9.97202160611779,2.72260753106216,3.66267318823858,0.00210169471642388
"49",3,16,"mod1",0.71278597694824,0.0948287649681611,7.51655868541111,4.3946547073647e-06,14.147637287862,5.25299419728828,2.69325203046396,0.0184295423549036
"50",3,17,"mod1",0.548698582463301,0.100618334055065,5.45326642123706,5.31006555086927e-05,10.1049913995501,2.81656887394549,3.58769547339165,0.00246239796232077
"51",3,18,"mod1",0.548698582463301,0.100618334055065,5.45326642123706,5.31006555086927e-05,10.1049913995501,2.81656887394549,3.58769547339165,0.00246239796232077
"52",4,3,"mod3",1.39820674619416,0.0879633660015825,15.8953301783495,3.93480029238371e-06,NA,NA,NA,NA
"53",4,4,"mod3",1.15311084732717,0.100107897802435,11.518680070606,8.36474411140655e-06,NA,NA,NA,NA
"54",4,5,"mod3",1.1439334412283,0.0586721626525617,19.4970389621109,2.75244977169615e-09,NA,NA,NA,NA
"55",4,7,"mod1",0.886694118366589,0.105918985673884,8.37143702543232,2.3555187436182e-06,18.2208310457748,9.79480407351712,1.86025477477796,0.0875242055502391
"56",4,8,"mod1",0.792672389617026,0.12922979232855,6.13382081123955,7.37450222311899e-05,14.7997212699114,7.99268945729349,1.85165723615176,0.0910835993272073
"57",4,9,"mod1",0.894613024469879,0.0779056616245738,11.4832863981184,1.82636659299397e-07,22.4371803026176,10.9181836567648,2.05502865751079,0.0644150975351745
"58",4,10,"mod1",0.699854175098911,0.105864026213867,6.61087812478491,1.68677774148728e-05,13.0548349739332,5.00132443131667,2.610275568645,0.0215809823906105
"59",4,11,"mod1",0.774720993201508,0.123798718102291,6.25790803876808,6.19127603052944e-05,14.2753617486742,7.12589693032541,2.00330735741111,0.0704038039813052
"60",4,12,"mod1",0.591828389120728,0.116703514565307,5.07121307635978,0.000214302889556694,10.8147724805963,3.82029890808461,2.83087076189504,0.0141669348413399
"61",4,13,"mod1",0.58853221448423,0.112417640970443,5.23523007068765,0.00012619946293723,10.6542092725676,3.54533519041146,3.00513455014985,0.00945479295537565
"62",4,14,"mod1",0.626755416790414,0.120256336987364,5.2118286028974,0.000105343712916236,10.9742580155842,3.98509694734465,2.75382460215845,0.0147721068028116
"63",4,15,"mod1",0.520678382515927,0.104563582963708,4.97953845648772,0.000114373933474573,9.34105218584613,2.49478531581714,3.74423086692995,0.00161502932262482
"64",4,16,"mod1",0.57150326796999,0.105708125929238,5.40642701728116,7.27982106506077e-05,10.2437851314902,3.0525179704519,3.35584760864608,0.00433305020607132
"65",4,17,"mod1",0.554533236498515,0.0982785205448725,5.64246626245582,3.67179743795091e-05,10.3022317971066,2.85371262174386,3.61011536992505,0.00234848610242395
"66",4,18,"mod1",0.548698582463301,0.100618334055065,5.45326642123706,5.31006555086927e-05,10.1049913995501,2.81656887394549,3.58769547339165,0.00246239796232077
"67",5,2,"mod3",1.44685825325731,0.0401771589962749,36.0119602630803,3.87283039591369e-10,NA,NA,NA,NA
"68",5,3,"mod3",1.26228719738406,0.0869279172941718,14.521079495237,1.75243865543096e-06,NA,NA,NA,NA
"69",5,4,"mod3",1.15941748022433,0.0599590631007302,19.3368178264648,2.98336814365773e-09,NA,NA,NA,NA
"70",5,5,"mod3",1.47116938418399,0.0562479950244251,26.1550546565286,4.90448629832277e-09,NA,NA,NA,NA
"71",5,6,"mod3",1.06041588910044,0.0759714680950784,13.9580807859778,6.96917463254394e-08,NA,NA,NA,NA
"72",5,7,"mod3",1.19233874792617,0.0359477346424577,33.1686755726162,1.46489699252586e-11,NA,NA,NA,NA
"73",5,8,"mod3",1.06089303481232,0.0551102864483282,19.25036328394,8.04845907010792e-10,NA,NA,NA,NA
"74",5,9,"mod1",0.460957421609728,0.105511205370741,4.3688006405579,0.000550259382519693,9.17252980544937,2.44393114541823,3.75318667330118,0.00191840110892437
"75",5,10,"mod1",0.950760215574475,0.10571192147317,8.99387885798463,1.11205077346987e-06,20.1405975055775,11.9063746729656,1.69158102770849,0.116508177847836
"76",5,11,"mod1",0.854993823089014,0.0989769728603985,8.63831049162248,3.12549885002607e-06,18.9757816485084,9.9571211805969,1.90574979497948,0.0831371527838236
"77",5,12,"mod1",0.748823324024851,0.120633794150501,6.20740920318422,4.53563817136065e-05,13.7231229089606,6.34023540553558,2.16445006079413,0.0513015797760226
"78",5,13,"mod1",0.530566749093863,0.146702560641126,3.6166154617558,0.00313079583658317,9.15247296920481,3.46166484956312,2.64395121045872,0.0202433202937644
