"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,20,16,4,19,0.296875,0.95,4.75,1.1875,0.520775623268698,5,1.25,NA,2.63157894736842
"2",1,2,24,9,15,24,0.177777777777778,1,1.6,2.66666666666667,0.453125,1.6,2.66666666666667,NA,0.953462589245592
"3",1,3,30,25,5,35,0.28,1.16666666666667,7,1.4,0.333877551020408,6,1.2,NA,1.21218305346265
"4",1,4,35,29,6,41,0.235632183908046,1.17142857142857,6.83333333333333,1.41379310344828,0.389054134443783,5.83333333333333,1.20689655172414,NA,2.11987095488332
"5",1,5,40,25,15,47,0.125333333333333,1.175,3.13333333333333,1.88,0.466727025803531,2.66666666666667,1.6,NA,1.23137101679784
"6",1,6,53,39,14,68,0.124542124542125,1.28301886792453,4.85714285714286,1.74358974358974,0.477941176470588,3.78571428571429,1.35897435897436,NA,2.15860894329188
"7",1,7,68,29,39,97,0.0857648099027409,1.42647058823529,2.48717948717949,3.3448275862069,0.42427463067276,1.74358974358974,2.3448275862069,NA,1.00827342393335
"8",1,8,72,44,28,103,0.0836038961038961,1.43055555555556,3.67857142857143,2.34090909090909,0.442831558111038,2.57142857142857,1.63636363636364,NA,1.39078015944891
"9",1,9,74,14,60,106,0.126190476190476,1.43243243243243,1.76666666666667,7.57142857142857,0.44811320754717,1.23333333333333,5.28571428571429,NA,0.671090395823878
"10",1,10,77,70,7,112,0.228571428571429,1.45454545454545,16,1.6,0.363201530612245,11,1.1,NA,3.63790805271381
"11",1,11,83,49,34,121,0.0726290516206483,1.4578313253012,3.55882352941176,2.46938775510204,0.452837920907042,2.44117647058824,1.69387755102041,NA,1.02984225753974
"12",1,12,90,61,29,131,0.0740531373657434,1.45555555555556,4.51724137931035,2.14754098360656,0.431152030767438,3.10344827586207,1.47540983606557,NA,1.59817766058976
"13",1,13,99,25,74,149,0.0805405405405405,1.5050505050505,2.01351351351351,5.96,0.430295932615648,1.33783783783784,3.96,NA,0.700917170702485
"14",1,14,103,31,72,160,0.0716845878136201,1.55339805825243,2.22222222222222,5.16129032258065,0.449140625,1.43055555555556,3.32258064516129,NA,0.777930646825179
"15",1,15,107,81,26,166,0.0788224121557455,1.55140186915888,6.38461538461539,2.04938271604938,0.426767310204674,4.11538461538462,1.32098765432099,NA,2.03731617750948
"16",1,16,114,6,108,184,0.283950617283951,1.6140350877193,1.7037037037037,30.6666666666667,0.328331758034026,1.05555555555556,19,NA,0.583902752215551
"17",1,17,114,110,4,184,0.418181818181818,1.6140350877193,46,1.67272727272727,NA,28.5,1.03636363636364,NA,5.10906566652623
"18",1,18,120,28,92,191,0.0741459627329192,1.59166666666667,2.07608695652174,6.82142857142857,0.439214933801157,1.30434782608696,4.28571428571429,NA,0.80753680434981
