"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,16,5,11,16,0.290909090909091,1,1.45454545454545,3.2,0.3984375,1.45454545454545,3.2,NA,0.666666666666667
"2",1,2,20,15,5,22,0.293333333333333,1.1,4.4,1.46666666666667,0.351239669421488,4,1.33333333333333,NA,2.09288444240388
"3",1,3,24,4,20,28,0.35,1.16666666666667,1.4,7,0.406887755102041,1.2,6,NA,0.604107588423913
"4",1,4,30,4,26,43,0.413461538461538,1.43333333333333,1.65384615384615,10.75,0.297458085451595,1.15384615384615,7.5,NA,0.547966793628822
"5",1,5,34,4,30,51,0.425,1.5,1.7,12.75,NA,1.13333333333333,8.5,NA,0.623015367505608
"6",1,6,36,14,22,58,0.188311688311688,1.61111111111111,2.63636363636364,4.14285714285714,0.443816884661118,1.63636363636364,2.57142857142857,NA,0.827858394441124
"7",1,7,39,10,29,64,0.220689655172414,1.64102564102564,2.20689655172414,6.4,0.4150390625,1.3448275862069,3.9,NA,0.602776777712944
"8",1,8,41,20,21,68,0.161904761904762,1.65853658536585,3.23809523809524,3.4,0.356617647058824,1.95238095238095,2.05,NA,0.783933950420893
"9",1,9,44,14,30,72,0.171428571428571,1.63636363636364,2.4,5.14285714285714,0.381172839506173,1.46666666666667,3.14285714285714,NA,0.830336491706037
"10",1,10,45,16,29,74,0.15948275862069,1.64444444444444,2.55172413793103,4.625,0.41617969320672,1.55172413793103,2.8125,NA,0.70635005314578
"11",1,11,46,2,44,80,0.909090909090909,1.73913043478261,1.81818181818182,40,NA,1.04545454545455,23,NA,0.20159764704897
"12",1,12,46,27,19,83,0.161793372319688,1.80434782608696,4.36842105263158,3.07407407407407,0.356220060966759,2.42105263157895,1.7037037037037,NA,1.08053381469147
"13",1,13,51,27,24,88,0.135802469135802,1.72549019607843,3.66666666666667,3.25925925925926,0.402117768595041,2.125,1.88888888888889,NA,1.4963799292165
"14",1,14,51,7,44,93,0.301948051948052,1.82352941176471,2.11363636363636,13.2857142857143,0.322233784252515,1.15909090909091,7.28571428571429,NA,0.584913857882327
"15",2,1,10,6,4,7,0.291666666666667,0.7,1.75,1.16666666666667,0.326530612244898,2.5,1.66666666666667,NA,1.64957219768464
"16",2,2,17,7,10,19,0.271428571428571,1.11764705882353,1.9,2.71428571428571,0.443213296398892,1.7,2.42857142857143,NA,0.984662309918337
"17",2,3,24,16,8,30,0.234375,1.25,3.75,1.875,0.327777777777778,3,1.5,NA,1.19682118646895
"18",2,4,26,16,10,35,0.21875,1.34615384615385,3.5,2.1875,0.421224489795918,2.6,1.625,NA,1.00583332628826
"19",2,5,33,8,25,52,0.26,1.57575757575758,2.08,6.5,0.379437869822485,1.32,4.125,NA,0.808527995766539
"20",2,6,37,2,35,59,0.842857142857143,1.59459459459459,1.68571428571429,29.5,NA,1.05714285714286,18.5,NA,0.231345342495822
"21",2,7,40,30,10,62,0.206666666666667,1.55,6.2,2.06666666666667,0.370707596253902,4,1.33333333333333,NA,1.42000636724466
"22",2,8,41,19,22,69,0.165071770334928,1.68292682926829,3.13636363636364,3.63157894736842,0.357487922705314,1.86363636363636,2.15789473684211,NA,0.754961782996874
"23",2,9,43,4,39,78,0.5,1.81395348837209,2,19.5,NA,1.1025641025641,10.75,NA,0.483668839812149
"24",2,10,48,31,17,83,0.157495256166983,1.72916666666667,4.88235294117647,2.67741935483871,0.367687617941646,2.82352941176471,1.54838709677419,NA,1.13624855131572
"25",2,11,48,45,3,84,0.622222222222222,1.75,28,1.86666666666667,NA,16,1.06666666666667,NA,0.989743318610788
"26",2,12,49,27,22,86,0.144781144781145,1.75510204081633,3.90909090909091,3.18518518518519,0.407517577068686,2.22727272727273,1.81481481481481,NA,0.934570794942239
"27",2,13,51,39,12,90,0.192307692307692,1.76470588235294,7.5,2.30769230769231,0.373950617283951,4.25,1.30769230769231,NA,1.611856323647
"28",2,14,51,33,18,93,0.156565656565657,1.82352941176471,5.16666666666667,2.81818181818182,0.379581454503411,2.83333333333333,1.54545454545455,NA,1.42319860764231
"29",3,1,19,11,8,17,0.193181818181818,0.894736842105263,2.125,1.54545454545455,0.463667820069204,2.375,1.72727272727273,NA,0.932702132207607
"30",3,2,30,26,4,39,0.375,1.3,9.75,1.5,0.412886259040105,7.5,1.15384615384615,NA,0.967927491701378
"31",3,3,30,14,16,41,0.183035714285714,1.36666666666667,2.5625,2.92857142857143,0.411064842355741,1.875,2.14285714285714,NA,0.936498253788563
"32",3,4,33,14,19,47,0.176691729323308,1.42424242424242,2.47368421052632,3.35714285714286,0.422363060208239,1.73684210526316,2.35714285714286,NA,0.917507139730781
"33",3,5,35,26,9,54,0.230769230769231,1.54285714285714,6,2.07692307692308,0.349451303155007,3.88888888888889,1.34615384615385,NA,1.80436808054677
"34",3,6,37,14,23,63,0.195652173913043,1.7027027027027,2.73913043478261,4.5,0.358024691358025,1.60869565217391,2.64285714285714,NA,0.946995354562052
"35",3,7,38,33,5,69,0.418181818181818,1.81578947368421,13.8,2.09090909090909,0.291955471539593,7.6,1.15151515151515,NA,1.88376809364205
"36",3,8,39,29,10,70,0.241379310344828,1.79487179487179,7,2.41379310344828,0.399387755102041,3.9,1.3448275862069,NA,1.08289106618556
"37",3,9,44,36,8,76,0.263888888888889,1.72727272727273,9.5,2.11111111111111,0.386426592797784,5.5,1.22222222222222,NA,1.75057229604274
"38",3,10,45,5,40,78,0.39,1.73333333333333,1.95,15.6,0.280078895463511,1.125,9,NA,0.542956123912108
"39",3,11,47,41,6,83,0.33739837398374,1.76595744680851,13.8333333333333,2.02439024390244,0.278560023225432,7.83333333333333,1.14634146341463,NA,1.80554808047454
"40",3,12,48,19,29,89,0.161524500907441,1.85416666666667,3.06896551724138,4.68421052631579,0.344148466102765,1.6551724137931,2.52631578947368,NA,0.978760850224353
"41",3,13,48,19,29,90,0.163339382940109,1.875,3.10344827586207,4.73684210526316,0.367901234567901,1.6551724137931,2.52631578947368,NA,0.887194151620162
"42",3,14,51,33,18,93,0.156565656565657,1.82352941176471,5.16666666666667,2.81818181818182,0.402127413573823,2.83333333333333,1.54545454545455,NA,0.906962317387713
"43",4,1,18,11,7,25,0.324675324675325,1.38888888888889,3.57142857142857,2.27272727272727,0.3376,2.57142857142857,1.63636363636364,NA,0.916140974803707
"44",4,2,22,15,7,29,0.276190476190476,1.31818181818182,4.14285714285714,1.93333333333333,0.35909631391201,3.14285714285714,1.46666666666667,NA,1.27157224942383
"45",4,3,26,17,9,40,0.261437908496732,1.53846153846154,4.44444444444444,2.35294117647059,0.336875,2.88888888888889,1.52941176470588,NA,1.49327194814311
"46",4,4,28,4,24,47,0.489583333333333,1.67857142857143,1.95833333333333,11.75,NA,1.16666666666667,7,NA,0.608557860287105
