"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,19,8,11,17,0.193181818181818,0.894736842105263,1.54545454545455,2.125,0.577854671280277,1.72727272727273,2.375,6.81818181818182,0.916693594884104
"2",1,2,28,14,14,31,0.158163265306122,1.10714285714286,2.21428571428571,2.21428571428571,0.464099895941727,2,2,5.92857142857143,1.7776866132784
"3",1,3,33,16,17,45,0.165441176470588,1.36363636363636,2.64705882352941,2.8125,0.418271604938272,1.94117647058824,2.0625,5.23529411764706,1.79519147120875
"4",1,4,38,20,18,57,0.158333333333333,1.5,3.16666666666667,2.85,0.370267774699908,2.11111111111111,1.9,5.05555555555556,2.36808849861125
"5",1,5,39,21,18,64,0.169312169312169,1.64102564102564,3.55555555555556,3.04761904761905,0.333740234375,2.16666666666667,1.85714285714286,5.05555555555556,2.57029503949907
"6",1,6,39,21,18,66,0.174603174603175,1.69230769230769,3.66666666666667,3.14285714285714,0.327134986225895,2.16666666666667,1.85714285714286,5.05555555555556,2.5637235924023
"7",1,7,39,21,18,72,0.19047619047619,1.84615384615385,4,3.42857142857143,0.313271604938272,2.16666666666667,1.85714285714286,5.05555555555556,2.60106187466138
"8",1,8,39,21,18,72,0.19047619047619,1.84615384615385,4,3.42857142857143,0.313271604938272,2.16666666666667,1.85714285714286,5.05555555555556,2.60106187466138
"9",1,9,44,25,19,78,0.164210526315789,1.77272727272727,4.10526315789474,3.12,0.355358316896778,2.31578947368421,1.76,4.84210526315789,2.81357671665541
"10",1,10,47,27,20,81,0.15,1.72340425531915,4.05,3,0.358329522938577,2.35,1.74074074074074,4.65,2.90718363422601
"11",1,11,49,29,20,85,0.146551724137931,1.73469387755102,4.25,2.93103448275862,0.383529411764706,2.45,1.68965517241379,4.65,3.06683607623309
"12",1,12,50,30,20,87,0.145,1.74,4.35,2.9,0.354736424891003,2.5,1.66666666666667,4.65,3.07109913122203
"13",1,13,50,30,20,92,0.153333333333333,1.84,4.6,3.06666666666667,0.371810018903592,2.5,1.66666666666667,4.65,2.88876111887263
"14",1,14,51,31,20,93,0.15,1.82352941176471,4.65,3,0.377037807839056,2.55,1.64516129032258,4.65,2.99453607249956
"15",2,1,13,8,5,13,0.325,1,2.6,1.625,0.408284023668639,2.6,1.625,10.4,1.34164078649987
"16",2,2,27,14,13,33,0.181318681318681,1.22222222222222,2.53846153846154,2.35714285714286,0.446280991735537,2.07692307692308,1.92857142857143,6,2.02118468719041
"17",2,3,33,17,16,44,0.161764705882353,1.33333333333333,2.75,2.58823529411765,0.445247933884298,2.0625,1.94117647058824,5.3125,2.13014084041408
"18",2,4,38,20,18,54,0.15,1.42105263157895,3,2.7,0.449931412894376,2.11111111111111,1.9,5.05555555555556,2.17231541180511
"19",2,5,41,22,19,65,0.155502392344498,1.58536585365854,3.42105263157895,2.95454545454545,0.4,2.15789473684211,1.86363636363636,4.84210526315789,2.47277798358212
"20",2,6,42,23,19,68,0.155606407322654,1.61904761904762,3.57894736842105,2.95652173913043,0.392517301038062,2.21052631578947,1.82608695652174,4.84210526315789,2.540923476685
"21",2,7,42,23,19,71,0.162471395881007,1.69047619047619,3.73684210526316,3.08695652173913,0.363023209680619,2.21052631578947,1.82608695652174,4.84210526315789,2.59984330443459
"22",2,8,42,23,19,77,0.176201372997712,1.83333333333333,4.05263157894737,3.34782608695652,0.348456738067128,2.21052631578947,1.82608695652174,4.84210526315789,2.45605128362296
"23",2,9,43,24,19,80,0.175438596491228,1.86046511627907,4.21052631578947,3.33333333333333,0.3434375,2.26315789473684,1.79166666666667,4.84210526315789,2.47988250759224
"24",2,10,43,24,19,83,0.182017543859649,1.93023255813953,4.36842105263158,3.45833333333333,0.32849470169836,2.26315789473684,1.79166666666667,4.84210526315789,2.49781848064864
