"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,2,0.2256,"mod2",NA,NA,NA,NA,6.76344251399585,2.83953184531027,2.38188648074726,0.253048701547958
"2",1,3,0.2745,"mod3",0.492013192156239,0.0473947384665341,10.3811774909077,0.00190726213193339,NA,NA,NA,NA
"3",1,4,0.3665,"mod3",0.80965982175855,0.099293277954729,8.15422592985298,0.00123107429970782,NA,NA,NA,NA
"4",1,5,0.444,"mod3",0.86194954636965,0.0636681027202381,13.5381691858656,0.000871617050245811,NA,NA,NA,NA
"5",1,6,0.5101,"mod3",0.793622675424922,0.0791645614151229,10.0249740696892,0.00211290004054535,NA,NA,NA,NA
"6",1,7,0.5538,"mod3",1.24000448536103,0.0752119497644294,16.4868014889234,7.92552932549031e-05,NA,NA,NA,NA
"7",1,8,0.6031,"mod3",1.16484118569794,0.0932652527707372,12.4895515863912,5.83704389218403e-05,NA,NA,NA,NA
"8",1,9,0.6345,"mod3",1.24687535239638,0.104678539668613,11.9114706447347,7.34899797306214e-05,NA,NA,NA,NA
"9",1,10,0.6804,"mod3",1.09584182890632,0.0633191861231699,17.3066316230701,2.38457808850242e-06,NA,NA,NA,NA
"10",1,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"11",2,2,0.1104,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091
"12",2,3,0.1541,"mod1",0.673570948956953,0.203552015287642,3.30908513976204,0.186830324772717,192.820804787137,2310.13360384902,0.0834673823478733,0.946985899108054
"13",2,4,0.203,"mod3",0.906272388533681,0.0471289518602341,19.2296317393463,4.31000597653246e-05,NA,NA,NA,NA
"14",2,5,0.2344,"mod3",0.768816289040764,0.0372971015690934,20.6132985325018,3.27173327060674e-05,NA,NA,NA,NA
"15",2,6,0.3264,"mod3",1.21693965726871,0.061573047802572,19.7641614423685,6.12453236677909e-06,NA,NA,NA,NA
"16",2,7,0.3757,"mod3",0.964032305501059,0.0278129557203926,34.6612677628587,3.76024660687722e-07,NA,NA,NA,NA
