"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,0.1123,"mod4",0.28078186116477,0.671178379382926,0.418341635829983,0.747760128771335,0.352240826598735,1.46989090983208,0.239637393661394,0.850265695956664
"2",1,2,0.2256,"mod3",1.37851110291247,0.0543964089904792,25.3419504797412,0.000134747741366002,NA,NA,NA,NA
"3",1,3,0.2715,"mod3",1.32973263486466,0.0889753722681709,14.9449516306249,0.000650176325266495,NA,NA,NA,NA
"4",1,4,0.3208,"mod3",1.19403577631998,0.118657663884441,10.0628626692233,0.0020896705854251,NA,NA,NA,NA
"5",1,5,0.3522,"mod3",0.990028426693804,0.0782529849375371,12.6516378574448,0.000224744456396678,NA,NA,NA,NA
"6",1,6,0.4442,"mod3",0.815026807655726,0.0498563629751032,16.3474982734446,1.56239668977921e-05,NA,NA,NA,NA
"7",1,7,0.5217,"mod3",0.807812778905595,0.0445818391476937,18.1197724084334,9.40743586187271e-06,NA,NA,NA,NA
"8",1,8,0.5654,"mod3",0.864036886050674,0.039438491034751,21.9084671695307,3.67788373583755e-06,NA,NA,NA,NA
"9",1,9,0.5983,"mod3",0.859906084331234,0.0326257726513573,26.3566504162303,1.46952734689104e-06,NA,NA,NA,NA
"10",1,10,0.6644,"mod3",0.900021592494586,0.0462992498296122,19.4392262467922,1.20023809007726e-06,NA,NA,NA,NA
"11",1,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"12",2,1,0.0459,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091
"13",2,2,0.1592,"mod2",NA,NA,NA,NA,2.85073403901877,2.42474925332109,1.17568199479357,0.448705510252458
"14",2,3,0.1906,"mod3",1.03566754660161,0.0564125731470546,18.3588070677411,0.000352628985997538,NA,NA,NA,NA
"15",2,4,0.3029,"mod3",1.02350669391979,0.107998369240596,9.47705693258801,0.00249064002999988,NA,NA,NA,NA
"16",2,5,0.3518,"mod3",1.13069642280768,0.0810234748542042,13.9551707062958,0.000796700048581059,NA,NA,NA,NA
"17",2,6,0.4438,"mod3",0.97387040294893,0.0749281234739265,12.9973948071423,0.000202198857779037,NA,NA,NA,NA
"18",2,7,0.4767,"mod3",1.00806315257724,0.0900615241184657,11.1930501115131,9.93390899411137e-05,NA,NA,NA,NA
"19",2,8,0.5428,"mod3",0.952831830346749,0.0527029930017454,18.0792736062484,9.51190342403383e-06,NA,NA,NA,NA
"20",2,9,0.6203,"mod3",0.947980013241122,0.0505489585010502,18.7537002017841,7.93832389987208e-06,NA,NA,NA,NA
"21",2,10,0.664,"mod3",1.05797796353669,0.0670745490148016,15.7731655162261,4.11732802442496e-06,NA,NA,NA,NA
"22",2,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"23",3,1,0.092,"mod3",0.689763015510649,0.169150430842963,4.07780820937439,0.0266280029249035,NA,NA,NA,NA
"24",3,2,0.1695,"mod3",0.636001173887143,0.142559122072947,4.46131516972798,0.0209710529288779,NA,NA,NA,NA
"25",3,3,0.2132,"mod3",1.03793810019522,0.0455618765953122,22.7808461318296,2.19944642295516e-05,NA,NA,NA,NA
"26",3,4,0.3255,"mod3",1.03152000818653,0.0445114590250019,23.1742573885778,2.05473558809287e-05,NA,NA,NA,NA
"27",3,5,0.3584,"mod3",0.93578391621402,0.0810817595989066,11.5412383850959,0.00139668567184722,NA,NA,NA,NA
"28",3,6,0.4043,"mod3",0.852451253659681,0.124695147549325,6.83628248903978,0.00640514577460692,NA,NA,NA,NA
"29",3,7,0.4704,"mod3",0.904984147185137,0.117309085777517,7.7145273205989,0.00452769250799286,NA,NA,NA,NA
"30",3,8,0.5197,"mod3",0.944929594547144,0.0966043091601211,9.78144352733715,0.000612164737593778,NA,NA,NA,NA
"31",3,9,0.633,"mod3",0.927540322247735,0.0511705533350605,18.1264469855207,9.39035078783388e-06,NA,NA,NA,NA
"32",3,10,0.6644,"mod3",0.900021592494586,0.0462992498296122,19.4392262467922,1.20023809007726e-06,NA,NA,NA,NA
"33",3,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"34",4,1,0.0661,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033
"35",4,2,0.1436,"mod4",0.28078186116477,0.671178379382926,0.418341635829983,0.747760128771335,0.352240826598735,1.46989090983208,0.239637393661394,0.850265695956664
"36",4,3,0.2356,"mod3",0.746358455079261,0.110669101857394,6.74405450620717,0.0066582135332987,NA,NA,NA,NA
"37",4,4,0.2849,"mod3",0.752744494121677,0.0824236213895229,9.132630688044,0.000797677794555655,NA,NA,NA,NA
"38",4,5,0.3308,"mod3",0.793954647682032,0.116620659654717,6.80801026192721,0.00243247999891609,NA,NA,NA,NA
"39",4,6,0.3622,"mod3",0.702078746706043,0.0676741580149166,10.3743994354727,0.000143284444763229,NA,NA,NA,NA
"40",4,7,0.4111,"mod3",0.854146989160257,0.0325144539241193,26.2697627077984,1.49383946872244e-06,NA,NA,NA,NA
"41",4,8,0.5234,"mod3",0.944782286812866,0.0445491683038347,21.207630193436,7.16540377600673e-07,NA,NA,NA,NA
"42",4,9,0.6367,"mod3",0.939123520486168,0.0296476529636987,31.6761506091579,6.5782756215159e-08,NA,NA,NA,NA
"43",4,10,0.6804,"mod3",1.00421792777359,0.0601364252893823,16.6989960401072,2.94364921798713e-06,NA,NA,NA,NA
"44",4,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"45",5,1,0.0314,"mod2",NA,NA,NA,NA,3.97250112626804,1.34959985555483,2.94346587984401,0.098638273620919
"46",5,2,0.0807,"mod2",NA,NA,NA,NA,4.03026787258283,1.32277749128232,3.04682223514087,0.0929475463039448
"47",5,3,0.1266,"mod2",NA,NA,NA,NA,4.07185531479858,1.41124859193234,2.88528565277307,0.102061793626298
