"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"12",2,1,0.1133,"mod2",NA,NA,NA,NA,5.45478882110138,0.603596552428369,9.03714376623899,1.79783090641501e-05,0.443181818181818
"33",4,1,0.0459,"mod2",NA,NA,NA,NA,3.07680592433673,2.3214807647194,1.32536352275511,0.411499084668667,0.443181818181818
"44",5,1,0.0459,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"66",7,1,0.0437,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.443181818181818
"77",8,1,0.0459,"mod2",NA,NA,NA,NA,13.2808099799363,3.72829452558144,3.56216760473481,0.174232391666897,0.443181818181818
"99",10,1,0.0489,"mod2",NA,NA,NA,NA,6.47178745862679,1.34105348553138,4.82589809314159,0.0169578199816416,0.443181818181818
"143",14,1,0.0493,"mod2",NA,NA,NA,NA,6.75547818400357,1.34972736498415,5.00506869702748,0.00746363205931931,0.443181818181818
"176",17,1,0.1123,"mod2",NA,NA,NA,NA,4.83579109136636,2.65398462603209,1.82208707764681,0.319543480057687,0.443181818181818
"187",18,1,0.092,"mod2",NA,NA,NA,NA,3.33809017697035,2.36186422398525,1.41332856608408,0.392014432452576,0.443181818181818
"218",21,1,0.0775,"mod2",NA,NA,NA,NA,2.42692912090435,1.20958276441594,2.0064184050078,0.182632780826003,0.443181818181818
"262",25,1,0.0459,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"306",29,1,0.0493,"mod2",NA,NA,NA,NA,5.97761045539538,2.53620549834514,2.35691092827286,0.255452709578663,0.443181818181818
"317",30,1,0.0493,"mod2",NA,NA,NA,NA,2.15479198722489,2.18066654506412,0.988134564682621,0.503799381179824,0.443181818181818
"361",34,1,0.092,"mod2",NA,NA,NA,NA,2.57474949686331,1.22757545959199,2.09742666061366,0.170867402596771,0.443181818181818
"382",36,1,0.1123,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"393",37,1,0.0661,"mod2",NA,NA,NA,NA,2.48707017398679,2.28828605628986,1.08687030939621,0.473514671205246,0.443181818181818
"415",39,1,0.0775,"mod2",NA,NA,NA,NA,5.49744820864798,1.11589398272446,4.92649686597104,0.00789259866605222,0.443181818181818
"436",41,1,0.0493,"mod2",NA,NA,NA,NA,2.68864045232154,2.3620992954602,1.1382419263614,0.458898369583925,0.443181818181818
"512",48,1,0.0437,"mod2",NA,NA,NA,NA,2.44442719516979,1.22748304442419,1.99141422463922,0.184676827607021,0.443181818181818
"523",49,1,0.0775,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"534",50,1,0.0493,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.443181818181818
"556",52,1,0.0314,"mod2",NA,NA,NA,NA,4.2636604421135,2.4278692301734,1.75613265703318,0.329540187273971,0.443181818181818
"578",54,1,0.1123,"mod2",NA,NA,NA,NA,5.36386264194645,2.57886455048869,2.07993189907163,0.285306091767817,0.443181818181818
"589",55,1,0.0459,"mod2",NA,NA,NA,NA,3.58325086400683,1.27109163534287,2.81903425714879,0.106169241342792,0.443181818181818
"600",56,1,0.0437,"mod2",NA,NA,NA,NA,2.76334950655915,1.22989534734078,2.24681678204078,0.153690937289064,0.443181818181818
"633",59,1,0.0314,"mod2",NA,NA,NA,NA,4.65238809397842,2.45252013618912,1.89698262832924,0.308845432810382,0.443181818181818
"687",64,1,0.0775,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"698",65,1,0.0661,"mod2",NA,NA,NA,NA,3.58800183154503,1.53017218153875,2.34483535567672,0.143687441526062,0.443181818181818
"720",67,1,0.0314,"mod2",NA,NA,NA,NA,4.94842831709823,3.35600443177881,1.47449993517302,0.379388494723767,0.443181818181818
"839",78,1,0.0775,"mod2",NA,NA,NA,NA,3.84060038810073,1.58644342286711,2.42088708159525,0.136536308090536,0.443181818181818
"871",81,1,0.0329,"mod2",NA,NA,NA,NA,6.76344251399585,2.83953184531027,2.38188648074726,0.253048701547958,0.443181818181818
"893",83,1,0.0661,"mod2",NA,NA,NA,NA,2.8199465095944,2.29305151512594,1.22977896091424,0.434627018182269,0.443181818181818
"904",84,1,0.0437,"mod2",NA,NA,NA,NA,3.34033994016984,2.62665018953511,1.27171100037537,0.424216260432886,0.443181818181818
"948",88,1,0.1133,"mod2",NA,NA,NA,NA,3.00209733302502,1.30699194093294,2.29695167889261,0.148458337020854,0.443181818181818
"959",89,1,0.0775,"mod2",NA,NA,NA,NA,4.65238809397842,2.45252013618912,1.89698262832924,0.308845432810382,0.443181818181818
"970",90,1,0.0314,"mod2",NA,NA,NA,NA,3.94405827686991,1.25989217610629,3.13047287035235,0.088678723354446,0.443181818181818
"1002",93,1,0.0329,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091,0.443181818181818
"1044",97,1,0.0489,"mod2",NA,NA,NA,NA,4.16142187924413,1.73565035519019,2.39761531854619,0.138671085599162,0.443181818181818
"1055",98,1,0.0314,"mod2",NA,NA,NA,NA,4.32808246877276,3.06722727730514,1.41107328459057,0.392493927372033,0.443181818181818
"2",1,2,0.0975,"mod3",0.846062098021623,0.075180007357095,11.2538177071856,2.94242440539475e-05,NA,NA,NA,NA,0.818181818181818
"13",2,2,0.1794,"mod3",1.07044303209125,0.0618651531593383,17.3028429968362,1.18113250534312e-05,NA,NA,NA,NA,0.818181818181818
"34",4,2,0.0896,"mod3",1.10273388295,0.0656598581104725,16.7946430998168,7.36669046146118e-05,NA,NA,NA,NA,0.818181818181818
"56",6,2,0.1794,"mod3",0.897393385019944,0.0485008774859191,18.5026216336081,3.34032349157134e-07,NA,NA,NA,NA,0.818181818181818
"67",7,2,0.156,"mod3",0.722343723507406,0.0859135217888904,8.40780017471956,0.00109530668750218,NA,NA,NA,NA,0.818181818181818
"89",9,2,0.0803,"mod3",1.21827788132176,0.129669262104834,9.39527118105154,0.00255451496221539,NA,NA,NA,NA,0.818181818181818
"100",10,2,0.1264,"mod3",0.864457342717878,0.0640900180309086,13.488174434605,0.000174819378670777,NA,NA,NA,NA,0.818181818181818
"111",11,2,0.1582,"mod3",0.949394267223679,0.0681378316671733,13.9334382089101,0.000153868582411981,NA,NA,NA,NA,0.818181818181818
"133",13,2,0.115,"mod3",0.865851287773567,0.0649691944398701,13.3271051802085,4.25379782467512e-05,NA,NA,NA,NA,0.818181818181818
"155",15,2,0.0773,"mod3",1.27034987637245,0.00758142045982023,167.560931767999,4.68701953138577e-07,NA,NA,NA,NA,0.818181818181818
"166",16,2,0.1592,"mod3",1.32968009611759,0.147186457487565,9.03398396031058,0.00286417829525791,NA,NA,NA,NA,0.818181818181818
"177",17,2,0.1612,"mod3",1.0363526943154,0.0473945747649824,21.8664836524942,3.71301174816925e-06,NA,NA,NA,NA,0.818181818181818
"198",19,2,0.2053,"mod3",1.38567239256971,0.133323719177065,10.3932923647999,0.00190074449480731,NA,NA,NA,NA,0.818181818181818
"208",20,2,0.0818,"mod3",1.0212069691871,0.164169616875999,6.22043827974846,0.00837545800393453,NA,NA,NA,NA,0.818181818181818
"219",21,2,0.1436,"mod3",0.755614214855207,0.053574196089568,14.1040700562624,3.22455709753326e-05,NA,NA,NA,NA,0.818181818181818
"230",22,2,0.1582,"mod3",1.15746144856309,0.047789591237578,24.2199487082649,3.2558296805655e-07,NA,NA,NA,NA,0.818181818181818
"241",23,2,0.1452,"mod3",1.11019092655968,0.0552413544270002,20.0970982351052,0.000269285641496819,NA,NA,NA,NA,0.818181818181818
"252",24,2,0.1592,"mod3",1.33679045061392,0.0977105430316827,13.6811280455218,0.000165329861633731,NA,NA,NA,NA,0.818181818181818
"263",25,2,0.0952,"mod3",1.00116825316337,0.157961043518167,6.33807064618579,0.0079430432425152,NA,NA,NA,NA,0.818181818181818
"274",26,2,0.2256,"mod3",1.44195757841559,0.050852714033333,28.355567757316,1.02174435051071e-06,NA,NA,NA,NA,0.818181818181818
"285",27,2,0.0807,"mod3",0.833126736018137,0.100441991798571,8.29460588245712,0.00115349397726838,NA,NA,NA,NA,0.818181818181818
"296",28,2,0.1592,"mod3",0.818980936526164,0.107476981164523,7.62005898986399,0.000618783122643478,NA,NA,NA,NA,0.818181818181818
"318",30,2,0.1413,"mod3",0.774101004348242,0.0440228678064398,17.5840658030689,4.73898984152654e-07,NA,NA,NA,NA,0.818181818181818
"329",31,2,0.0822,"mod3",1.92860447885468,0.117479083936935,16.4165774384996,0.000491871730484936,NA,NA,NA,NA,0.818181818181818
"340",32,2,0.1409,"mod3",0.847741338588626,0.0313053083732014,27.0797951734705,2.40115372211871e-08,NA,NA,NA,NA,0.818181818181818
"351",33,2,0.0952,"mod3",1.15473053656991,0.0819255970300849,14.0948687398136,0.000147052410249901,NA,NA,NA,NA,0.818181818181818
"362",34,2,0.1581,"mod3",1.30545692861592,0.107216265029973,12.1759224521668,0.00119266519245039,NA,NA,NA,NA,0.818181818181818
"383",36,2,0.156,"mod3",0.779674369563939,0.0676532794309268,11.5245613534519,8.62522151773555e-05,NA,NA,NA,NA,0.818181818181818
"394",37,2,0.1098,"mod3",0.808058756628271,0.093001367067031,8.68867611425389,0.000965886811918522,NA,NA,NA,NA,0.818181818181818
"405",38,2,0.0975,"mod3",0.939015561934251,0.0320562412398761,29.2927531617827,8.08618703048796e-06,NA,NA,NA,NA,0.818181818181818
"416",39,2,0.1104,"mod3",0.624662273514306,0.195360297203666,3.19748834566466,0.0494267510795189,NA,NA,NA,NA,0.818181818181818
"437",41,2,0.0982,"mod3",1.0141178448895,0.0980507015888368,10.342790295801,0.000493183087982166,NA,NA,NA,NA,0.818181818181818
"448",42,2,0.0896,"mod3",1.20545966169716,0.0356304080493528,33.832328274979,5.676894972606e-05,NA,NA,NA,NA,0.818181818181818
"459",43,2,0.1612,"mod3",1.11993475617554,0.0610613781965312,18.3411313215194,5.19862686533283e-05,NA,NA,NA,NA,0.818181818181818
