"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,0.1133,"mod3",1.18853869675443,0.0885909776742821,13.4160241590771,4.11788125385464e-05,NA,NA,NA,NA,0.83
"12",2,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"23",3,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"34",4,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"45",5,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"56",6,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"67",7,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"78",8,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"89",9,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"100",10,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"111",11,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"122",12,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"133",13,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"144",14,1,0.092,"mod3",1.34636989381213,0.105184098573978,12.8001277005308,0.000214697201271098,NA,NA,NA,NA,0.83
"155",15,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"166",16,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"177",17,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"188",18,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"199",19,1,0.0489,"mod3",1.45972881751851,0.0666692335911808,21.8950892171589,2.57483206107041e-05,NA,NA,NA,NA,0.83
"221",21,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"243",23,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"254",24,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"276",26,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"287",27,1,0.092,"mod3",1.34636989381213,0.105184098573978,12.8001277005308,0.000214697201271098,NA,NA,NA,NA,0.83
"298",28,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"309",29,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"320",30,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"331",31,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"353",33,1,0.1133,"mod3",1.18853869675443,0.0885909776742821,13.4160241590771,4.11788125385464e-05,NA,NA,NA,NA,0.83
"364",34,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"375",35,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"408",38,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"419",39,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"430",40,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"441",41,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"452",42,1,0.0489,"mod3",1.45972881751851,0.0666692335911808,21.8950892171589,2.57483206107041e-05,NA,NA,NA,NA,0.83
"463",43,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"474",44,1,0.1133,"mod3",1.18853869675443,0.0885909776742821,13.4160241590771,4.11788125385464e-05,NA,NA,NA,NA,0.83
"485",45,1,0.0489,"mod3",1.45972881751851,0.0666692335911808,21.8950892171589,2.57483206107041e-05,NA,NA,NA,NA,0.83
"496",46,1,0.0775,"mod3",1.02510028111291,0.0590193828133841,17.368874973739,6.44952354442542e-05,NA,NA,NA,NA,0.83
"507",47,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"518",48,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"529",49,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"540",50,1,0.0314,"mod3",1.47111623685557,0.132416899078159,11.1097318174415,0.00156255657294894,NA,NA,NA,NA,0.83
"551",51,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"562",52,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"573",53,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"584",54,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"595",55,1,0.1133,"mod3",1.18853869675443,0.0885909776742821,13.4160241590771,4.11788125385464e-05,NA,NA,NA,NA,0.83
"606",56,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"617",57,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"628",58,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"639",59,1,0.092,"mod3",1.34636989381213,0.105184098573978,12.8001277005308,0.000214697201271098,NA,NA,NA,NA,0.83
"650",60,1,0.0437,"mod3",1.49424625524264,0.071687246655443,20.8439621404986,0.000241514406257692,NA,NA,NA,NA,0.83
"683",63,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"694",64,1,0.0661,"mod3",1.28434375683662,0.128600595308213,9.98707473910576,0.000564824718394636,NA,NA,NA,NA,0.83
"705",65,1,0.1123,"mod3",1.32625966234856,0.107131596918165,12.3797245677356,0.000244707863371806,NA,NA,NA,NA,0.83
"716",66,1,0.1133,"mod3",1.18853869675443,0.0885909776742821,13.4160241590771,4.11788125385464e-05,NA,NA,NA,NA,0.83
"727",67,1,0.0489,"mod3",1.45972881751851,0.0666692335911808,21.8950892171589,2.57483206107041e-05,NA,NA,NA,NA,0.83
"738",68,1,0.0493,"mod3",1.17063922517141,0.050409980246017,23.222370242129,2.75537776868885e-06,NA,NA,NA,NA,0.83
"760",70,1,0.092,"mod3",1.34636989381213,0.105184098573978,12.8001277005308,0.000214697201271098,NA,NA,NA,NA,0.83
