"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,0.0437,"mod3",1.20953777942142,0.186472453203444,6.48641533182272,0.00291252650929641,NA,NA,NA,NA
"2",1,2,0.1098,"mod2",NA,NA,NA,NA,12.0861958565132,5.63517286586361,2.14477818945505,0.121304288462103
"3",1,3,0.1427,"mod3",1.23656921283426,0.273211269862359,4.52605492246798,0.0106092019980107,NA,NA,NA,NA
"4",1,4,0.1886,"mod3",1.15846292680266,0.16016510911552,7.23292940141609,0.00545031791375318,NA,NA,NA,NA
"5",1,5,0.2379,"mod2",NA,NA,NA,NA,6.68048183879667,1.44880175828307,4.61103929547511,0.00245195883137396
"6",1,6,0.3512,"mod3",0.829373796798307,0.159660875725861,5.19459631564561,0.0020254231416163,NA,NA,NA,NA
"7",1,7,0.4001,"mod2",NA,NA,NA,NA,18.5483347281508,3.87211948925683,4.79022787897249,0.000987080501032466
"8",1,8,0.4315,"mod3",1.06456446981746,0.222602074817765,4.78236544151251,0.0173812924750808,NA,NA,NA,NA
"9",1,9,0.5235,"mod3",0.79579295838735,0.177732767311038,4.47746901388581,0.0110112472788694,NA,NA,NA,NA
"10",1,10,0.6358,"mod2",NA,NA,NA,NA,79.6505949980334,38.9970071316214,2.04247968899765,0.133727250031152
"11",1,11,0.7133,"mod3",0.778040845528611,0.20074727575157,3.87572305833657,0.0116923622637267,NA,NA,NA,NA
"12",2,1,0.1123,"mod2",NA,NA,NA,NA,3.44575321924345,2.67198579627351,1.28958515574786,0.41990605033405
"13",2,2,0.1582,"mod3",1.11160621237074,0.196563179498273,5.6552107836682,0.010946537714631,NA,NA,NA,NA
"14",2,3,0.2071,"mod2",NA,NA,NA,NA,7.62032415208078,1.37540736281759,5.54041250475073,0.000547094810863104
"15",2,4,0.2385,"mod3",1.11119601097161,0.234202217638861,4.74460072229151,0.0177598581715353,NA,NA,NA,NA
"16",2,5,0.3046,"mod3",0.637636117190701,0.148905547706562,4.28215151827149,0.0078474246112628,NA,NA,NA,NA
"17",2,6,0.3966,"mod3",1.09395835839955,0.197380837013605,5.54237369215407,0.00262506822198381,NA,NA,NA,NA
"18",2,7,0.5099,"mod2",NA,NA,NA,NA,16.4482265430039,9.01076005570406,1.82539835056331,0.319056192848412
"19",2,8,0.5874,"mod2",NA,NA,NA,NA,3.99577033733691,0.925156436225365,4.31902128210839,0.00498804061164964
"20",2,9,0.6311,"mod3",1.00773208703589,0.199038929895128,5.06298987623604,0.00389012465157881,NA,NA,NA,NA
"21",2,10,0.664,"mod3",0.0427641653398019,0.0467845031969299,0.914066890051068,0.528562223052935,NA,NA,NA,NA
"22",2,11,0.7133,"mod2",NA,NA,NA,NA,15.7580415876445,3.01502460048642,5.22650514529872,0.000282650683359757
"23",3,1,0.0437,"mod3",1.07660471228867,0.114819261996649,9.3765165667071,0.00256946741240286,NA,NA,NA,NA
"24",3,2,0.0766,"mod3",1.08019040651478,0.264164351926071,4.08908468776697,0.0264352688716615,NA,NA,NA,NA
"25",3,3,0.1255,"mod2",NA,NA,NA,NA,18.6810897489868,9.2280809391507,2.02437428455261,0.136080357599909
"26",3,4,0.2175,"mod2",NA,NA,NA,NA,10.5785707486903,2.33756758932351,4.52546090945406,0.00399434509716298
"27",3,5,0.3298,"mod3",1.05773813811436,0.242526427842844,4.36133145374067,0.0222827870116297,NA,NA,NA,NA
"28",3,6,0.3959,"mod3",0.103504822073259,0.126846455535216,0.815985134440935,0.56428962397098,NA,NA,NA,NA
"29",3,7,0.4734,"mod2",NA,NA,NA,NA,4.19094216365332,0.905286219463816,4.62941120006834,0.00357990209978901
"30",3,8,0.5867,"mod3",0.825531852433354,0.174743208205619,4.72425715946544,0.00324370744615556,NA,NA,NA,NA
"31",3,9,0.6181,"mod2",NA,NA,NA,NA,7.7409340573074,1.86316547230432,4.15472172084296,0.00426981972516451
"32",3,10,0.664,"mod2",NA,NA,NA,NA,24.878118204715,5.26295305558541,4.72702643211164,0.00107839089994554
"33",3,11,0.7133,"mod2",NA,NA,NA,NA,66.6185152474594,22.2576734188555,2.99305834863333,0.0303404007819601
"34",4,1,0.0489,"mod3",1.20508519666451,0.198973541221794,6.05650977142341,0.00375130590437435,NA,NA,NA,NA
"35",4,2,0.115,"mod2",NA,NA,NA,NA,56.2258952848356,36.5014618128535,1.54037379579786,0.263371145351801
"36",4,3,0.2283,"mod3",0.928432172235159,0.198370026773724,4.68030471808222,0.00543209895500526,NA,NA,NA,NA
"37",4,4,0.3406,"mod2",NA,NA,NA,NA,14.0308968461489,4.90476564735288,2.86066610618213,0.0353788743361536
"38",4,5,0.3865,"mod2",NA,NA,NA,NA,17.6179938650857,3.42182298164201,5.14871574584827,0.000875703417311513
"39",4,6,0.4302,"mod3",0.849128745288016,0.179283716987342,4.73622903159671,0.00516738227507783,NA,NA,NA,NA
"40",4,7,0.4631,"mod3",1.05953197039253,0.149887602066556,7.06884329180244,0.00040156375973152,NA,NA,NA,NA
"41",4,8,0.5551,"mod1",-0.781829180581219,0.35743457760691,-2.18733505251705,0.0564951227008302,2.73412328361611,0.815996744611885,3.35065464619782,0.00851467797057105
"42",4,9,0.5865,"mod3",0.845106798584039,0.199393743947167,4.23838171576719,0.00544948708405754,NA,NA,NA,NA
"43",4,10,0.6358,"mod3",0.969767035398456,0.219147690945525,4.42517569413733,0.0114647859899888,NA,NA,NA,NA
"44",4,11,0.7133,"mod2",NA,NA,NA,NA,4.73396341391666,0.792259288018984,5.97527032564524,0.000332442256963706
"45",5,1,0.0459,"mod3",1.08624449223376,0.20906736263918,5.19566745627561,0.00653555207867764,NA,NA,NA,NA
"46",5,2,0.0952,"mod3",0.894641240010894,0.193849899911437,4.61512355910229,0.0191420114479819,NA,NA,NA,NA
"47",5,3,0.1389,"mod3",1.11543870700989,0.242928073113852,4.59164184983727,0.0100943101707689,NA,NA,NA,NA
"48",5,4,0.2164,"mod2",NA,NA,NA,NA,4.54789171868702,0.842182909536935,5.40012349714818,0.00100835010343704
"49",5,5,0.3287,"mod2",NA,NA,NA,NA,20.1748202451739,5.45893885180068,3.69574028815492,0.00769809716622707
"50",5,6,0.4207,"mod3",0.806025879617465,0.14592473918188,5.52357252194804,0.00148199332380335,NA,NA,NA,NA
"51",5,7,0.4868,"mod2",NA,NA,NA,NA,9.09611049970316,1.71957637444591,5.28973916766807,0.000737471423321964
"52",5,8,0.5182,"mod3",0.938415845693486,0.235801294930576,3.97968911056987,0.0164053781138969,NA,NA,NA,NA
