"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,0.0459,7,2,5,4,0.4,0.571428571428571,0.8,2,NA,1.4,3.5,NA,1.01036297108185
"2",1,2,0.0788,14,12,2,10,0.416666666666667,0.714285714285714,5,0.833333333333333,NA,7,1.16666666666667,NA,0
"3",1,3,0.1911,19,9,10,16,0.177777777777778,0.842105263157895,1.6,1.77777777777778,0.50390625,1.9,2.11111111111111,NA,0.989583333333333
"4",1,4,0.2572,20,11,9,17,0.171717171717172,0.85,1.88888888888889,1.54545454545455,0.501730103806228,2.22222222222222,1.81818181818182,NA,1.6049711317397
"5",1,5,0.3492,28,25,3,27,0.36,0.964285714285714,9,1.08,0.448559670781893,9.33333333333333,1.12,NA,1.79620083747884
"6",1,6,0.3985,28,16,12,28,0.145833333333333,1,2.33333333333333,1.75,0.557397959183674,2.33333333333333,1.75,NA,0.820199532264724
"7",1,7,0.4422,34,20,14,36,0.128571428571429,1.05882352941176,2.57142857142857,1.8,0.5,2.42857142857143,1.7,NA,1.28769531629329
"8",1,8,0.4736,39,2,37,44,0.594594594594595,1.12820512820513,1.18918918918919,22,NA,1.05405405405405,19.5,NA,0.449755324381638
"9",1,9,0.5511,39,22,17,45,0.120320855614973,1.15384615384615,2.64705882352941,2.04545454545455,0.508641975308642,2.29411764705882,1.77272727272727,NA,0.850261397715105
"10",1,10,0.6,44,41,3,50,0.40650406504065,1.13636363636364,16.6666666666667,1.21951219512195,NA,14.6666666666667,1.07317073170732,NA,2.54034118443435
"11",1,11,0.7133,48,29,19,55,0.0998185117967332,1.14583333333333,2.89473684210526,1.89655172413793,0.499173553719008,2.52631578947368,1.6551724137931,NA,1.4190316937907
"12",2,1,0.0775,7,6,1,6,1,0.857142857142857,6,1,NA,7,1.16666666666667,NA,NA
"13",2,2,0.1212,20,13,7,19,0.208791208791209,0.95,2.71428571428571,1.46153846153846,0.518005540166205,2.85714285714286,1.53846153846154,NA,1.5747647190381
"14",2,3,0.1541,26,5,21,23,0.219047619047619,0.884615384615385,1.0952380952381,4.6,0.534971644612477,1.23809523809524,5.2,NA,0.556843337385614
"15",2,4,0.1855,33,18,15,33,0.122222222222222,1,2.2,1.83333333333333,0.428833792470156,2.2,1.83333333333333,NA,1.21543108701099
"16",2,5,0.2988,39,5,34,38,0.223529411764706,0.974358974358974,1.11764705882353,7.6,0.491689750692521,1.14705882352941,7.8,NA,0.780581500693154
"17",2,6,0.3481,39,2,37,39,0.527027027027027,1,1.05405405405405,19.5,NA,1.05405405405405,19.5,NA,0.497347461393438
"18",2,7,0.4401,43,41,2,46,0.560975609756098,1.06976744186047,23,1.1219512195122,NA,21.5,1.04878048780488,NA,2.64396448617579
"19",2,8,0.489,47,33,14,51,0.11038961038961,1.08510638297872,3.64285714285714,1.54545454545455,0.51518646674356,3.35714285714286,1.42424242424242,NA,1.38038237290285
"20",2,9,0.5349,48,34,14,53,0.111344537815126,1.10416666666667,3.78571428571429,1.55882352941176,0.457102171591314,3.42857142857143,1.41176470588235,NA,1.78247822140044
"21",2,10,0.601,48,45,3,54,0.4,1.125,18,1.2,NA,16,1.06666666666667,NA,3.07920143567801
"22",2,11,0.7133,48,17,31,55,0.104364326375712,1.14583333333333,1.7741935483871,3.23529411764706,0.456198347107438,1.54838709677419,2.82352941176471,NA,0.942653192495689
"23",3,1,0.0661,9,6,3,6,0.333333333333333,0.666666666666667,2,1,0.166666666666667,3,1.5,NA,0
"24",3,2,0.0975,19,2,17,17,0.5,0.894736842105263,1,8.5,NA,1.11764705882353,9.5,NA,0.536900280405292
"25",3,3,0.175,22,21,1,20,0.952380952380952,0.909090909090909,20,0.952380952380952,NA,22,1.04761904761905,NA,NA
"26",3,4,0.2243,22,5,17,21,0.247058823529412,0.954545454545455,1.23529411764706,4.2,0.385487528344671,1.29411764705882,4.4,NA,0.907264708726555
"27",3,5,0.3366,23,7,16,23,0.205357142857143,1,1.4375,3.28571428571429,0.466918714555766,1.4375,3.28571428571429,NA,0.841897386141095
"28",3,6,0.3803,31,8,23,32,0.173913043478261,1.03225806451613,1.39130434782609,4,0.4873046875,1.34782608695652,3.875,NA,0.854999326715647
"29",3,7,0.4292,37,5,32,37,0.23125,1,1.15625,7.4,0.410518626734843,1.15625,7.4,NA,0.779887881829887
"30",3,8,0.5425,42,13,29,42,0.111405835543767,1,1.44827586206897,3.23076923076923,0.552721088435374,1.44827586206897,3.23076923076923,NA,0.675663924692176
