"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,0.1123,11,6,5,9,0.3,0.818181818181818,1.8,1.5,0.592592592592593,2.2,1.83333333333333,9.4,1.02258447687498
"2",1,2,0.2043,20,13,7,20,0.21978021978022,1,2.85714285714286,1.53846153846154,0.58,2.85714285714286,1.53846153846154,10.2857142857143,2.26778683805536
"3",1,3,0.2372,25,17,8,24,0.176470588235294,0.96,3,1.41176470588235,0.625,3.125,1.47058823529412,9.75,2.89318781178922
"4",1,4,0.2809,32,20,12,32,0.133333333333333,1,2.66666666666667,1.6,0.5986328125,2.66666666666667,1.6,7,2.93360880249235
"5",1,5,0.3123,37,24,13,40,0.128205128205128,1.08108108108108,3.07692307692308,1.66666666666667,0.536875,2.84615384615385,1.54166666666667,7.07692307692308,3.14730119430796
"6",1,6,0.3898,37,24,13,41,0.131410256410256,1.10810810810811,3.15384615384615,1.70833333333333,0.519928613920286,2.84615384615385,1.54166666666667,7.07692307692308,3.27139133256505
"7",1,7,0.4559,38,24,14,42,0.125,1.10526315789474,3,1.75,0.515306122448979,2.71428571428571,1.58333333333333,6.92857142857143,3.193891343679
"8",1,8,0.5052,38,24,14,43,0.12797619047619,1.13157894736842,3.07142857142857,1.79166666666667,0.500811249323959,2.71428571428571,1.58333333333333,6.92857142857143,3.12854272052337
"9",1,9,0.6185,43,28,15,48,0.114285714285714,1.11627906976744,3.2,1.71428571428571,0.524305555555555,2.86666666666667,1.53571428571429,6.53333333333333,3.38931597783669
"10",1,10,0.6674,47,29,18,53,0.101532567049808,1.12765957446809,2.94444444444444,1.82758620689655,0.54752580989676,2.61111111111111,1.62068965517241,5.77777777777778,3.24009172901804
"11",1,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"12",2,1,0.1123,11,6,5,9,0.3,0.818181818181818,1.8,1.5,0.592592592592593,2.2,1.83333333333333,9.4,1.02258447687498
