"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"1",1,1,0.0661,40,16,24,46,0.119791666666667,1.15,1.91666666666667,2.875,0.485822306238185,1.66666666666667,2.5,15.5833333333333,1.27996534294606
"2",1,2,0.0975,54,23,31,69,0.0967741935483871,1.27777777777778,2.2258064516129,3,0.448855282503676,1.74193548387097,2.34782608695652,14.0322580645161,1.3050208642257
"3",1,3,0.1468,67,30,37,93,0.0837837837837838,1.38805970149254,2.51351351351351,3.1,0.418198635680426,1.81081081081081,2.23333333333333,12.8918918918919,1.79403026558865
"4",1,4,0.1797,71,31,40,101,0.0814516129032258,1.42253521126761,2.525,3.25806451612903,0.434957357121851,1.775,2.29032258064516,12.3,1.95609600629481
"5",1,5,0.2256,75,34,41,116,0.0832137733142037,1.54666666666667,2.82926829268293,3.41176470588235,0.412975624256837,1.82926829268293,2.20588235294118,12.1951219512195,2.14389395384789
"6",1,6,0.3176,84,38,46,134,0.0766590389016018,1.5952380952381,2.91304347826087,3.52631578947368,0.433782579639118,1.82608695652174,2.21052631578947,12.1521739130435,2.04232150400656
"7",1,7,0.3613,94,41,53,155,0.0713299585826047,1.64893617021277,2.92452830188679,3.78048780487805,0.39945889698231,1.77358490566038,2.29268292682927,11.1320754716981,2.10030177176036
"8",1,8,0.4102,104,47,57,173,0.0645763344531542,1.66346153846154,3.03508771929825,3.68085106382979,0.392796284540078,1.82456140350877,2.21276595744681,10.4385964912281,2.19402821685609
"9",1,9,0.5225,111,53,58,196,0.0637605725439167,1.76576576576577,3.37931034482759,3.69811320754717,0.359824031653478,1.91379310344828,2.09433962264151,10.2931034482759,2.29449645463583
"10",1,10,0.6,113,55,58,203,0.0636363636363636,1.79646017699115,3.5,3.69090909090909,0.346696110073042,1.94827586206897,2.05454545454545,10.2931034482759,2.29690348978443
"11",1,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
