Site;spec_ID;nest_ID;Taxon;Genus.Species;cells;cells.para;P1.Species.Genus;P1.cells;P2.Species.Genus;P2.cells;P3.Species.Genus;P3.cells
1;900;5;wasp;Agenioideus.cinctellus;1;;;;;;;
1;903;5;wasp;Agenioideus.cinctellus;1;;;;;;;
1;796;3;wasp;Ancistrocerus.antilope;4;;;;;;;
1;762;9;wasp;Ancistrocerus.nigricornis;13;9;Chrysis.ignita.agg.;9;;;;
1;861;11;bee;Chelostoma.spec;7;;;;;;;
1;932;4;bee;Chelostoma.spec;1;;;;;;;
1;38;1;wasp;Dipogon.subintermedius;1;;;;;;;
1;57;1;wasp;Dipogon.subintermedius;2;;;;;;;
1;109;1;wasp;Dipogon.subintermedius;1;;;;;;;
1;641;6;wasp;Dipogon.subintermedius;3;;;;;;;
1;653;6;wasp;Dipogon.subintermedius;1;;;;;;;
1;877;5;wasp;Dipogon.subintermedius;1;;;;;;;
1;623;10;wasp;Eumenidae.spec;6;4;Melittobia.spec;4;;;;
1;886;5;wasp;Eumenidae.spec;4;4;Chrysis.ignita.agg.;4;;;;
1;719;8;wasp;Eumenidae.spec;2;2;Chrysis.ignita.agg.;2;;;;
1;639;6;wasp;Eumenidae.spec;2;1;Chrysis.ignita.agg.;1;;;;
1;788;3;wasp;Eumenidae.spec;1;1;Chrysis.ignita.agg.;1;;;;
1;887;5;wasp;Eumenidae.spec;5;1;Chrysis.ignita.agg.;1;;;;
1;721;8;wasp;Eumenidae.spec;2;;;;;;;
1;722;8;wasp;Eumenidae.spec;3;;;;;;;
1;35;1;bee;Heriades.truncorum;5;;;;;;;
1;638;6;bee;Hylaeus.communis;2;2;Chrysis.ignita.agg.;2;;;;
1;107;1;bee;Hylaeus.communis;4;;;;;;;
1;752;7;bee;Hylaeus.communis;5;;;;;;;
1;811;2;bee;Hylaeus.communis;4;;;;;;;
1;827;2;bee;Hylaeus.communis;4;;;;;;;
1;804;2;bee;Hylaeus.spec;5;5;Encyrtidae.spec;5;Melittobia.spec;5;;
1;780;3;bee;Hylaeus.spec;2;2;Gasteruption.spec;2;;;;
1;755;7;bee;Hylaeus.spec;1;;;;;;;
1;914;4;bee;Hylaeus.spec;2;;;;;;;
1;919;4;bee;Hylaeus.spec;2;;;;;;;
1;102;1;bee;Megachile.versicolor;5;2;Omalus.aeneus;1;Ichneumonidae.spec;1;;
1;731;12;bee;Megachile.versicolor;3;;;;;;;
1;732;12;bee;Megachile.versicolor;6;;;1;;;;
1;857;11;bee;Megachile.versicolor;2;;;;;;;
1;858;11;bee;Megachile.versicolor;6;;;;;;;
1;859;11;bee;Megachile.versicolor;4;;;;;;;
1;634;6;wasp;Nitela.spinolae;2;2;Melittobia.spec;2;;;;
1;798;3;wasp;Nitela.spinolae;2;2;Melittobia.spec;2;;;;
1;807;2;wasp;Nitela.spinolae;2;2;Melittobia.spec;2;;;;
1;855;2;wasp;Nitela.spinolae;1;1;Melittobia.spec;1;;;;
1;912;4;wasp;Nitela.spinolae;1;1;Melittobia.spec;1;;;;
1;916;4;wasp;Nitela.spinolae;1;1;Melittobia.spec;1;;;;
1;626;10;wasp;Nitela.spinolae;2;;;;;;;
1;627;10;wasp;Nitela.spinolae;2;;;;;;;
1;628;10;wasp;Nitela.spinolae;3;;;;;;;
1;647;6;wasp;Nitela.spinolae;2;;;;;;;
1;649;6;wasp;Nitela.spinolae;1;;;;;;;
1;779;3;wasp;Nitela.spinolae;1;;;;;;;
1;787;3;wasp;Nitela.spinolae;2;;;;;;;
1;791;3;wasp;Nitela.spinolae;1;;;;;;;
1;793;3;wasp;Nitela.spinolae;2;;;;;;;
1;794;3;wasp;Nitela.spinolae;1;;;;;;;
1;795;3;wasp;Nitela.spinolae;1;;;;;;;
1;805;2;wasp;Nitela.spinolae;1;;;;;;;
1;810;2;wasp;Nitela.spinolae;1;;;;;;;
1;813;2;wasp;Nitela.spinolae;2;;;;;;;
1;816;2;wasp;Nitela.spinolae;1;;;;;;;
1;829;2;wasp;Nitela.spinolae;1;;;;;;;
1;884;5;wasp;Nitela.spinolae;1;;;;;;;
1;904;5;wasp;Nitela.spinolae;1;;;;;;;
1;913;4;wasp;Nitela.spinolae;1;;;;;;;
1;918;4;wasp;Nitela.spinolae;2;;;;;;;
1;633;6;bee;Osmia.leaiana;12;;;;;;;
1;663;6;bee;Osmia.leaiana;4;;;;;;;
1;676;6;bee;Osmia.rufa;6;6;Cacoxenus.indagator;6;;;;
1;734;12;bee;Osmia.rufa;6;6;Cacoxenus.indagator;6;;;;
1;757;9;bee;Osmia.rufa;8;6;Cacoxenus.indagator;6;;;;
1;674;6;bee;Osmia.rufa;6;5;Cacoxenus.indagator;5;;;;
1;629;10;bee;Osmia.rufa;11;4;Cacoxenus.indagator;5;;;;
1;636;6;bee;Osmia.rufa;7;4;Cacoxenus.indagator;4;;;;
1;657;6;bee;Osmia.rufa;4;4;Cacoxenus.indagator;4;;;;
1;662;6;bee;Osmia.rufa;1;4;mites;4;;;;
1;672;6;bee;Osmia.rufa;7;4;Cacoxenus.indagator;2;;;;
1;783;3;bee;Osmia.rufa;7;4;Cacoxenus.indagator;4;;;;
1;852;2;bee;Osmia.rufa;5;4;Cacoxenus.indagator;3;Monodontomerus.spec;1;;
1;920;4;bee;Osmia.rufa;6;4;Cacoxenus.indagator;4;;;;
1;637;6;bee;Osmia.rufa;5;3;Cacoxenus.indagator;3;;;;
1;642;6;bee;Osmia.rufa;6;3;Cacoxenus.indagator;4;;;;
1;684;6;bee;Osmia.rufa;9;3;Cacoxenus.indagator;1;;;;
1;728;8;bee;Osmia.rufa;5;3;Cacoxenus.indagator;3;;;;
1;739;7;bee;Osmia.rufa;6;3;Cacoxenus.indagator;3;;;;
1;759;9;bee;Osmia.rufa;3;3;Cacoxenus.indagator;3;;;;
1;921;4;bee;Osmia.rufa;6;3;Cacoxenus.indagator;3;;;;
1;50;1;bee;Osmia.rufa;2;2;Cacoxenus.indagator;2;;;;
1;618;10;bee;Osmia.rufa;3;2;Cacoxenus.indagator;2;;;;
1;619;10;bee;Osmia.rufa;3;2;Cacoxenus.indagator;2;;;;
1;644;6;bee;Osmia.rufa;2;2;Cacoxenus.indagator;2;;;;
1;658;6;bee;Osmia.rufa;2;2;Cacoxenus.indagator;2;;;;
1;667;6;bee;Osmia.rufa;5;2;Cacoxenus.indagator;2;;;;
1;677;6;bee;Osmia.rufa;3;2;Cacoxenus.indagator;2;;;;
1;685;6;bee;Osmia.rufa;3;2;Monodontomerus.spec;1;Ichneumonidae.spec;1;;
1;686;6;bee;Osmia.rufa;4;2;Cacoxenus.indagator;3;;;;
1;720;8;bee;Osmia.rufa;5;2;Cacoxenus.indagator;2;;;;
1;760;9;bee;Osmia.rufa;5;2;Cacoxenus.indagator;2;;;;
1;781;3;bee;Osmia.rufa;2;2;Gasteruption.assector;2;;;;
1;792;3;bee;Osmia.rufa;5;2;Cacoxenus.indagator;2;;;;
1;836;2;bee;Osmia.rufa;4;2;Cacoxenus.indagator;2;;;;
1;839;2;bee;Osmia.rufa;2;2;Cacoxenus.indagator;2;;;;
1;847;2;bee;Osmia.rufa;2;2;Cacoxenus.indagator;2;;;;
1;915;4;bee;Osmia.rufa;3;2;Cacoxenus.indagator;2;;;;
1;922;4;bee;Osmia.rufa;3;2;Cacoxenus.indagator;2;;;;
1;924;4;bee;Osmia.rufa;2;2;Cacoxenus.indagator;1;Monodontomerus.spec;1;;
1;31;1;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;40;1;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;42;1;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;43;1;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;49;1;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;52;1;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;53;1;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;59;1;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;620;10;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;645;6;bee;Osmia.rufa;6;1;Cacoxenus.indagator;5;;;;
1;659;6;bee;Osmia.rufa;3;1;Cacoxenus.indagator;3;;;;
1;660;6;bee;Osmia.rufa;2;1;Monodontomerus.spec;1;;;;
1;661;6;bee;Osmia.rufa;8;1;Cacoxenus.indagator;1;;;;
1;668;6;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;678;6;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;679;6;bee;Osmia.rufa;7;1;Cacoxenus.indagator;2;;;;
1;688;6;bee;Osmia.rufa;7;1;Cacoxenus.indagator;3;;;;
1;695;6;bee;Osmia.rufa;4;1;Monodontomerus.spec;1;;;;
1;697;6;bee;Osmia.rufa;4;1;Cacoxenus.indagator;1;;;;
1;698;6;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;700;6;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;702;6;bee;Osmia.rufa;7;1;Cacoxenus.indagator;2;;;;
1;706;6;bee;Osmia.rufa;7;1;Cacoxenus.indagator;2;;;;
1;707;6;bee;Osmia.rufa;6;1;Cacoxenus.indagator;1;;;;
1;710;6;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;711;6;bee;Osmia.rufa;1;1;Monodontomerus.spec;1;;;;
1;712;6;bee;Osmia.rufa;8;1;Cacoxenus.indagator;3;;;;
1;714;6;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;718;6;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;723;8;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;743;7;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;747;7;bee;Osmia.rufa;3;1;Melittobia.spec;1;;;;
1;761;9;bee;Osmia.rufa;1;1;Ichneumonidae.spec;1;;;;
1;782;3;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;786;3;bee;Osmia.rufa;3;1;Cacoxenus.indagator;1;;;;
1;833;2;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;838;2;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;841;2;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;849;2;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;879;5;bee;Osmia.rufa;5;1;Cacoxenus.indagator;1;;;;
1;888;5;bee;Osmia.rufa;3;1;Monodontomerus.spec;1;;;;
1;906;5;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;907;5;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;908;5;bee;Osmia.rufa;1;1;Monodontomerus.spec;1;;;;
1;917;4;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;923;4;bee;Osmia.rufa;8;1;Monodontomerus.spec;1;;;;
1;925;4;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;926;4;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;927;4;bee;Osmia.rufa;2;1;Cacoxenus.indagator;1;;;;
1;928;4;bee;Osmia.rufa;2;1;Melittobia.spec;1;;;;
1;930;4;bee;Osmia.rufa;4;1;Cacoxenus.indagator;1;;;;
1;931;4;bee;Osmia.rufa;1;1;Cacoxenus.indagator;1;;;;
1;934;4;bee;Osmia.rufa;7;1;Cacoxenus.indagator;1;;;;
1;32;1;bee;Osmia.rufa;1;;;;;;;
1;33;1;bee;Osmia.rufa;1;;;;;;;
1;34;1;bee;Osmia.rufa;3;;;;;;;
1;36;1;bee;Osmia.rufa;1;;;;;;;
1;37;1;bee;Osmia.rufa;4;;;;;;;
1;39;1;bee;Osmia.rufa;1;;;;;;;
1;41;1;bee;Osmia.rufa;1;;;;;;;
1;45;1;bee;Osmia.rufa;2;;;;;;;
1;46;1;bee;Osmia.rufa;4;;;;;;;
1;47;1;bee;Osmia.rufa;3;;;;;;;
1;48;1;bee;Osmia.rufa;3;;;;;;;
1;51;1;bee;Osmia.rufa;4;;;;;;;
1;54;1;bee;Osmia.rufa;7;;;;;;;
1;56;1;bee;Osmia.rufa;5;;;;;;;
1;58;1;bee;Osmia.rufa;2;;;;;;;
1;60;1;bee;Osmia.rufa;2;;;;;;;
1;95;1;bee;Osmia.rufa;2;;;;;;;
1;96;1;bee;Osmia.rufa;1;;;;;;;
1;97;1;bee;Osmia.rufa;1;;;;;;;
1;103;1;bee;Osmia.rufa;3;;;;;;;
1;104;1;bee;Osmia.rufa;5;;;;;;;
1;106;1;bee;Osmia.rufa;2;;;;;;;
1;108;1;bee;Osmia.rufa;2;;;;;;;
1;110;1;bee;Osmia.rufa;1;;;;;;;
1;617;10;bee;Osmia.rufa;1;;;;;;;
1;621;10;bee;Osmia.rufa;7;;Cacoxenus.indagator;1;;;;
1;624;10;bee;Osmia.rufa;7;;;;;;;
1;625;10;bee;Osmia.rufa;4;;;;;;;
1;630;10;bee;Osmia.rufa;4;;;;;;;
1;631;10;bee;Osmia.rufa;6;;;;;;;
1;632;10;bee;Osmia.rufa;2;;;;;;;
1;635;6;bee;Osmia.rufa;2;;;;;;;
1;640;6;bee;Osmia.rufa;1;;;;;;;
1;643;6;bee;Osmia.rufa;4;;;;;;;
1;654;6;bee;Osmia.rufa;4;;;;;;;
1;656;6;bee;Osmia.rufa;5;;;;;;;
1;664;6;bee;Osmia.rufa;5;;;;;;;
1;665;6;bee;Osmia.rufa;6;;;;;;;
1;666;6;bee;Osmia.rufa;1;;;;;;;
1;669;6;bee;Osmia.rufa;1;;;;;;;
1;670;6;bee;Osmia.rufa;5;;;;;;;
1;671;6;bee;Osmia.rufa;2;;;;;;;
1;673;6;bee;Osmia.rufa;4;;;;;;;
1;675;6;bee;Osmia.rufa;2;;;;;;;
1;680;6;bee;Osmia.rufa;2;;Cacoxenus.indagator;1;;;;
1;681;6;bee;Osmia.rufa;6;;;;;;;
1;682;6;bee;Osmia.rufa;4;;;;;;;
1;683;6;bee;Osmia.rufa;2;;;;;;;
1;687;6;bee;Osmia.rufa;2;;;;;;;
1;689;6;bee;Osmia.rufa;2;;;;;;;
1;690;6;bee;Osmia.rufa;1;;;;;;;
1;691;6;bee;Osmia.rufa;3;;;;;;;
1;692;6;bee;Osmia.rufa;2;;;;;;;
1;693;6;bee;Osmia.rufa;6;;Cacoxenus.indagator;1;;;;
1;694;6;bee;Osmia.rufa;1;;;;;;;
1;696;6;bee;Osmia.rufa;3;;;;;;;
1;699;6;bee;Osmia.rufa;3;;Cacoxenus.indagator;1;;;;
1;701;6;bee;Osmia.rufa;4;;;;;;;
1;703;6;bee;Osmia.rufa;2;;;;;;;
1;704;6;bee;Osmia.rufa;6;;Cacoxenus.indagator;2;;;;
1;705;6;bee;Osmia.rufa;3;;;;;;;
1;708;6;bee;Osmia.rufa;2;;;;;;;
1;709;6;bee;Osmia.rufa;3;;;;;;;
1;713;6;bee;Osmia.rufa;5;;;;;;;
1;715;6;bee;Osmia.rufa;4;;;;;;;
1;716;6;bee;Osmia.rufa;1;;;;;;;
1;717;6;bee;Osmia.rufa;3;;;;;;;
1;727;8;bee;Osmia.rufa;7;;;;;;;
1;729;8;bee;Osmia.rufa;3;;;;;;;
1;730;12;bee;Osmia.rufa;2;;;;;;;
1;733;12;bee;Osmia.rufa;10;;;;;;;
1;735;12;bee;Osmia.rufa;4;;;;;;;
1;736;12;bee;Osmia.rufa;3;;;;;;;
1;737;12;bee;Osmia.rufa;7;;;;;;;
1;742;7;bee;Osmia.rufa;1;;;;;;;
1;744;7;bee;Osmia.rufa;3;;;;;;;
1;746;7;bee;Osmia.rufa;2;;;;;;;
1;748;7;bee;Osmia.rufa;3;;;;;;;
1;749;7;bee;Osmia.rufa;5;;;;;;;
1;758;9;bee;Osmia.rufa;1;;;;;;;
1;763;9;bee;Osmia.rufa;2;;;;;;;
1;764;9;bee;Osmia.rufa;2;;;;;;;
1;784;3;bee;Osmia.rufa;1;;;;;;;
1;785;3;bee;Osmia.rufa;3;;;;;;;
1;789;3;bee;Osmia.rufa;4;;;;;;;
1;799;3;bee;Osmia.rufa;2;;;;;;;
1;800;3;bee;Osmia.rufa;3;;;;;;;
1;832;2;bee;Osmia.rufa;2;;;;;;;
1;834;2;bee;Osmia.rufa;2;;;;;;;
1;835;2;bee;Osmia.rufa;2;;;;;;;
1;837;2;bee;Osmia.rufa;1;;;;;;;
1;840;2;bee;Osmia.rufa;4;;;;;;;
1;842;2;bee;Osmia.rufa;3;;;;;;;
1;843;2;bee;Osmia.rufa;2;;;;;;;
1;844;2;bee;Osmia.rufa;1;;;;;;;
1;845;2;bee;Osmia.rufa;10;;;;;;;
1;846;2;bee;Osmia.rufa;4;;;;;;;
1;848;2;bee;Osmia.rufa;2;;;;;;;
1;850;2;bee;Osmia.rufa;2;;;;;;;
1;851;2;bee;Osmia.rufa;2;;;;;;;
1;853;2;bee;Osmia.rufa;1;;;;;;;
1;854;2;bee;Osmia.rufa;2;;;;;;;
1;860;11;bee;Osmia.rufa;4;;;;;;;
1;862;11;bee;Osmia.rufa;3;;;;;;;
1;876;5;bee;Osmia.rufa;3;;;;;;;
1;878;5;bee;Osmia.rufa;1;;;;;;;
1;880;5;bee;Osmia.rufa;2;;;;;;;
1;881;5;bee;Osmia.rufa;2;;;;;;;
1;882;5;bee;Osmia.rufa;5;;;;;;;
1;883;5;bee;Osmia.rufa;7;;;;;;;
1;885;5;bee;Osmia.rufa;8;;;;;;;
1;890;5;bee;Osmia.rufa;3;;;;;;;
1;891;5;bee;Osmia.rufa;3;;;;;;;
1;892;5;bee;Osmia.rufa;4;;;;;;;
1;893;5;bee;Osmia.rufa;5;;;;;;;
1;894;5;bee;Osmia.rufa;3;;;;;;;
1;895;5;bee;Osmia.rufa;5;;;;;;;
1;896;5;bee;Osmia.rufa;3;;;;;;;
1;897;5;bee;Osmia.rufa;3;;;;;;;
1;898;5;bee;Osmia.rufa;4;;;;;;;
1;899;5;bee;Osmia.rufa;2;;;;;;;
1;901;5;bee;Osmia.rufa;2;;;;;;;
1;902;5;bee;Osmia.rufa;2;;;;;;;
1;905;5;bee;Osmia.rufa;1;;;;;;;
1;909;5;bee;Osmia.rufa;2;;;;;;;
1;929;4;bee;Osmia.rufa;2;;;;;;;
1;933;4;bee;Osmia.rufa;5;;;;;;;
1;935;4;bee;Osmia.rufa;1;;;;;;;
1;936;4;bee;Osmia.rufa;4;;;;;;;
1;817;2;wasp;Passaloecus.borealis;3;;;;;;;
1;830;2;wasp;Passaloecus.borealis;2;;;;;;;
1;55;1;wasp;Passaloecus.corniger;1;;;;;;;
1;100;1;wasp;Passaloecus.corniger;1;;;;;;;
1;646;6;wasp;Passaloecus.corniger;1;;;;;;;
1;648;6;wasp;Passaloecus.corniger;2;;;;;;;
1;651;6;wasp;Passaloecus.corniger;2;;;;;;;
1;652;6;wasp;Passaloecus.corniger;2;;;;;;;
1;777;3;wasp;Passaloecus.corniger;2;;;;;;;
1;801;2;wasp;Passaloecus.corniger;2;;;;;;;
1;806;2;wasp;Passaloecus.corniger;1;;;;;;;
1;808;2;wasp;Passaloecus.corniger;2;;;;;;;
