Site;Transect;T_section;Family;Genus.Species;P.Genus.Species;logArea;logIsolation;Sh250;Flowercover;Flowerdiv
1;1;D;Andrenidae;Andrena.flavipes;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;D;Andrenidae;Andrena.flavipes;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;D;Andrenidae;Andrena.flavipes;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;B;Andrenidae;Andrena.fucata;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;B;Andrenidae;Andrena.fulvago;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;B;Andrenidae;Andrena.humilis;Hieracium.pilosella;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;E;Andrenidae;Andrena.minutula;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;E;Andrenidae;Andrena.minutula;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;E;Andrenidae;Andrena.minutula;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;E;Andrenidae;Andrena.minutula;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;E;Andrenidae;Andrena.minutula;Potentilla.reptans;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;D;Andrenidae;Andrena.minutuloides;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;D;Andrenidae;Andrena.minutuloides;Daucus.carota;4.71092087;4.642417808;1.209917451;64.80833333;29
1;7;D;Andrenidae;Andrena.minutuloides;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;A;Andrenidae;Andrena.nigroaenea;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;A;Andrenidae;Andrena.nigroaenea;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;C;Andrenidae;Andrena.proxima;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;C;Andrenidae;Andrena.proxima;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;A;Andrenidae;Andrena.strohmella;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;C;Andrenidae;Andrena.wilkella;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;C;Andrenidae;Andrena.wilkella;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;E;Apidae;Bombus.lapidarius;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;E;Apidae;Bombus.lapidarius;Campanula.rotundifolia;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;E;Apidae;Bombus.lapidarius;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;E;Apidae;Bombus.lapidarius;Cirsium.acaule;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;C;Apidae;Bombus.lapidarius;Hippocrepis.comosa;4.71092087;4.642417808;1.209917451;64.80833333;29
