"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"9",2,1,"mod3",0.813656204410626,0.165487974486795,4.91670894476718,0.00794811579989978,NA,NA,NA,NA,0.48
"17",3,1,"mod3",1.11570094028028,0.227185523464839,4.91096845989376,0.0161682707498216,NA,NA,NA,NA,0.48
"25",4,1,"mod3",1.07679263886054,0.184497666173659,5.83634829205377,0.0100219356224152,NA,NA,NA,NA,0.48
"33",5,1,"mod3",0.897495520690014,0.264475257877966,3.39349520968852,0.042664944747414,NA,NA,NA,NA,0.48
"57",8,1,"mod3",1.09922547994448,0.22365771969409,4.91476655242642,0.00795918953188279,NA,NA,NA,NA,0.48
"81",11,1,"mod3",0.864718844663348,0.149322210107554,5.79095932239757,0.00441970983950455,NA,NA,NA,NA,0.48
"89",12,1,"mod3",0.853252249381727,0.204389745824886,4.17463335030889,0.025030124287084,NA,NA,NA,NA,0.48
"105",14,1,"mod3",0.516105254703781,0.146577621196234,3.521037184884,0.0244271771655844,NA,NA,NA,NA,0.48
"113",15,1,"mod3",1.31564091423044,0.232085290281107,5.66878199233094,0.00477603617576089,NA,NA,NA,NA,0.48
"121",16,1,"mod3",1.23297374371363,0.322883807200537,3.81862984831522,0.0188003707111575,NA,NA,NA,NA,0.48
"129",17,1,"mod3",0.868990675242909,0.219516362044369,3.95866015248224,0.0287794536600378,NA,NA,NA,NA,0.48
"145",19,1,"mod3",1.03268170113402,0.226092989209824,4.56750872613588,0.0196853163791759,NA,NA,NA,NA,0.48
"176",23,1,"mod3",0.875771098560217,0.186455426182482,4.6969461629028,0.00932951403831006,NA,NA,NA,NA,0.48
"216",28,1,"mod3",0.866034492432959,0.139021002197487,6.2295227249384,0.00338203784392618,NA,NA,NA,NA,0.48
"232",30,1,"mod3",0.938799763837065,0.186508985873409,5.03353637059753,0.0151127913206305,NA,NA,NA,NA,0.48
"240",31,1,"mod3",1.23594006467937,0.234492388037533,5.27070441400234,0.00620917375235504,NA,NA,NA,NA,0.48
"248",32,1,"mod3",1.03383886291958,0.191053501584066,5.41125315342454,0.0123766481087791,NA,NA,NA,NA,0.48
"264",34,1,"mod3",0.76606365758106,0.148977435413728,5.14214555683288,0.0067812025984126,NA,NA,NA,NA,0.48
