"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"17",3,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"33",5,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"41",6,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"49",7,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"57",8,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"65",9,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"73",10,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"81",11,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"97",13,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
"105",14,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"113",15,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA,0.81
"121",16,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"129",17,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"137",18,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"145",19,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
"153",20,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA,0.81
"161",21,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"169",22,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"177",23,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"185",24,1,"mod3",1.87286968577629,0.199779464863763,9.37468566678496,0.00257093333396708,NA,NA,NA,NA,0.81
"193",25,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA,0.81
"225",29,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA,0.81
"233",30,1,"mod3",2.17240262417646,0.113719167020655,19.1032231513082,0.000313244228345277,NA,NA,NA,NA,0.81
"241",31,1,"mod3",1.91439235294164,0.0605121800491038,31.6364796539832,6.93979095772882e-05,NA,NA,NA,NA,0.81
