"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod2",NA,NA,NA,NA,2.32917824433809,1.20560952164056,1.93195077056842,0.193087334372357
"2",1,2,"mod3",2.04836942952933,0.0952869308634413,21.4968559798081,2.7695676907395e-05,NA,NA,NA,NA
"3",1,3,"mod4",0.241132131306112,0.00513509646624027,46.9576633840066,0.0135552647816135,0.227593395475468,0.0147094917884541,15.4725532838676,0.0410879552439215
"4",1,4,"mod3",1.55641680140061,0.0617697102012248,25.1970876394002,1.83759962079651e-06,NA,NA,NA,NA
"5",1,5,"mod3",1.8063488134019,0.107213841533924,16.8480933763607,1.34677708075861e-05,NA,NA,NA,NA
"6",1,6,"mod3",1.46239421371024,0.0680459913254229,21.4912617955185,1.19018635433461e-07,NA,NA,NA,NA
"7",1,7,"mod3",1.53343793742923,0.0610847978187592,25.1034298579328,4.06178123933647e-08,NA,NA,NA,NA
"8",1,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"9",2,1,"mod3",1.59136536992437,0.0871698170661931,18.2559218716262,5.29539589092511e-05,NA,NA,NA,NA
"10",2,2,"mod3",1.6886847851734,0.214622328187533,7.86816916689981,0.00427715108237638,NA,NA,NA,NA
"11",2,3,"mod3",1.92964182690256,0.0427287981205894,45.1602177401928,1.43783425141694e-06,NA,NA,NA,NA
"12",2,4,"mod3",1.40665892272847,0.0661351900232487,21.2694470558561,1.27859199514969e-07,NA,NA,NA,NA
"13",2,5,"mod3",1.67138345310789,0.12412736787367,13.4650680324499,0.000176000751964947,NA,NA,NA,NA
"14",2,6,"mod3",1.60757101465161,0.0556456925688294,28.8894061775433,1.13947536591394e-07,NA,NA,NA,NA
"15",2,7,"mod3",1.59293809319339,0.0955136422132957,16.6775976319291,2.96596202122316e-06,NA,NA,NA,NA
"16",2,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"17",3,1,"mod2",NA,NA,NA,NA,2.33544358272286,1.20872165946809,1.93215995132461,0.19305685561684
"18",3,2,"mod3",2.10456502398777,0.0258666313469402,81.3621609926691,4.0922974414011e-06,NA,NA,NA,NA
"19",3,3,"mod2",NA,NA,NA,NA,2.54191946300688,2.30786162249927,1.10141762323433,0.46929957847054
"20",3,4,"mod3",1.90281131838278,0.222018359984535,8.57051335085679,0.00333860131627679,NA,NA,NA,NA
"21",3,5,"mod3",1.67163632258324,0.0706612953824492,23.6570291209017,3.7444144609164e-07,NA,NA,NA,NA
"22",3,6,"mod3",1.5278904353689,0.054428731987998,28.0713950070676,1.87058183275047e-08,NA,NA,NA,NA
"23",3,7,"mod3",1.61232268386906,0.0549202657451522,29.3575178851239,1.03532840929364e-07,NA,NA,NA,NA
"24",3,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"25",4,1,"mod4",0.226702395349681,0.637523798879342,0.355598325502805,0.782496652099263,0.339284208526946,0.794221153398263,0.427191100457647,0.742980641371729
"26",4,2,"mod3",1.70030709201309,0.0582051079420605,29.2123346580791,8.17524846208517e-06,NA,NA,NA,NA
"27",4,3,"mod3",1.89627565918821,0.0248878422783318,76.1928510306886,1.77826216225253e-07,NA,NA,NA,NA
"28",4,4,"mod3",1.58650952602751,0.0987223072951686,16.0704259198888,1.69948076973493e-05,NA,NA,NA,NA
"29",4,5,"mod3",1.47215876173407,0.0862370983672917,17.0710609425194,1.26230798861483e-05,NA,NA,NA,NA
"30",4,6,"mod3",1.62520054863892,0.0759079224960333,21.4101571377329,4.1219890506571e-06,NA,NA,NA,NA
"31",4,7,"mod3",1.64208532005843,0.0690874204333343,23.7682245155318,3.64147731646929e-07,NA,NA,NA,NA
"32",4,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"33",5,2,"mod4",0.221786329029472,0.503326290709511,0.440641256225325,0.735774787614441,0.333536710506077,0.613237671539807,0.54389468551171,0.682871840303754
"34",5,3,"mod3",1.57132797124788,0.12334892732489,12.7388863877928,0.00021877179555629,NA,NA,NA,NA
