"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod3",1.76433198645624,0.161837664799641,10.9018626080679,0.00165183940880918,NA,NA,NA,NA
"2",1,2,"mod3",1.55982049809271,0.051814642541011,30.1038552347074,7.25228199419416e-06,NA,NA,NA,NA
"3",1,3,"mod3",1.9095577553132,0.0284413307172849,67.1402394738405,7.28073733515892e-06,NA,NA,NA,NA
"4",1,4,"mod3",1.70291369419194,0.0568008668837422,29.9804173354852,7.74377015329964e-07,NA,NA,NA,NA
"5",1,5,"mod3",1.65073825794861,0.0870441336077156,18.964382658894,7.51205080764319e-06,NA,NA,NA,NA
"6",1,6,"mod3",1.64822088446088,0.05081711887011,32.4343630868523,5.71198991514971e-08,NA,NA,NA,NA
"7",1,7,"mod3",1.51513414054917,0.069230265528916,21.885430150724,1.04974358313065e-07,NA,NA,NA,NA
"8",1,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"9",2,1,"mod4",0.230313275325912,0.570741493592973,0.403533434858621,0.755825297761805,0.330513771451968,0.776292221064778,0.425759478819238,0.743751783692971
"10",2,2,"mod4",0.216769718223569,0.503099407499141,0.430868561943076,0.741003435141244,0.338039731455377,0.568700499300359,0.594407305552306,0.658582677102086
"11",2,3,"mod3",1.6772141067292,0.163918003936098,10.2320310548867,0.00198998457859444,NA,NA,NA,NA
"12",2,4,"mod3",1.70152246692386,0.0757990612861099,22.4478039444489,3.26020131792498e-06,NA,NA,NA,NA
"13",2,5,"mod3",1.47997479541153,0.114963694898476,12.8734101380308,0.00101166197319277,NA,NA,NA,NA
"14",2,6,"mod3",1.57508391787462,0.0651191865793161,24.1877087324508,3.28172218636937e-07,NA,NA,NA,NA
"15",2,7,"mod3",1.6031478396889,0.0585538882214566,27.3790159523759,1.56930464347092e-07,NA,NA,NA,NA
"16",2,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"17",3,1,"mod3",1.57624107775032,0.137073266448128,11.499259619284,0.00141176434966981,NA,NA,NA,NA
"18",3,2,"mod3",1.51840927476033,0.108129441342535,14.0425147481367,0.000782102692616526,NA,NA,NA,NA
"19",3,3,"mod4",0.245664066507237,0.746090020213991,0.329268667119788,0.797498950371567,0.342150776624697,1.12827763363544,0.303250517802298,0.812556063746535
"20",3,4,"mod3",1.71586765973477,0.0294205922574868,58.3219958564267,5.17572300138087e-07,NA,NA,NA,NA
"21",3,5,"mod3",1.69279989670623,0.0342212878224035,49.4662826685911,4.57779188065957e-09,NA,NA,NA,NA
"22",3,6,"mod3",1.54822678529104,0.108474509867326,14.2727244141011,0.000139972581658768,NA,NA,NA,NA
"23",3,7,"mod3",1.54101220414199,0.056666262770849,27.1945268452526,1.63381157020882e-07,NA,NA,NA,NA
"24",3,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"25",4,1,"mod3",1.94714999181119,0.0957664928209573,20.3322679410588,0.000260102308379887,NA,NA,NA,NA
"26",4,2,"mod3",2.62154468405082,0.109920900715675,23.8493741134071,0.000161546615600792,NA,NA,NA,NA
"27",4,3,"mod3",1.64560473528374,0.0967607560217235,17.0069437542871,1.28593161670569e-05,NA,NA,NA,NA
"28",4,4,"mod3",2.0415278806544,0.042070680937728,48.526143032394,1.92699182695725e-05,NA,NA,NA,NA
"29",4,5,"mod3",1.698322958449,0.0963153610288481,17.6329397544419,1.07604343692354e-05,NA,NA,NA,NA
"30",4,6,"mod3",1.49002872060035,0.0648260999795497,22.9850125346181,7.47954020300779e-08,NA,NA,NA,NA
"31",4,7,"mod3",1.48739179865046,0.0708313396811324,20.9990634844177,1.39666494293471e-07,NA,NA,NA,NA
"32",4,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"33",5,1,"mod4",0.178855439358798,0.102948224124907,1.73733389652056,0.332494423226767,0.352577815904773,0.0771598976273725,4.56944380107233,0.137158695129578
"34",5,2,"mod3",1.74142453459607,0.1124866233729,15.4811699594106,0.000101613448074796,NA,NA,NA,NA
"35",5,3,"mod3",1.54647485242199,0.0904830917530065,17.0913131112212,1.25495439150954e-05,NA,NA,NA,NA
"36",5,4,"mod3",1.79883154772163,0.0620459246824536,28.9919371325017,9.14950522987546e-07,NA,NA,NA,NA
"37",5,5,"mod3",1.49687915664778,0.115810443928664,12.9252518673516,4.93914465335933e-05,NA,NA,NA,NA
"38",5,6,"mod3",1.72337181939006,0.111671394258838,15.4325271107078,0.000102882862182024,NA,NA,NA,NA
"39",5,7,"mod3",1.57504509531797,0.0599642773417414,26.2663900098663,2.96709493083551e-08,NA,NA,NA,NA
"40",5,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"41",6,1,"mod2",NA,NA,NA,NA,2.18773974103178,2.19031118715343,0.998825990509144,0.500373918276243
"42",6,2,"mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842
"43",6,3,"mod3",1.84144825068005,0.0682577109152761,26.9778787771791,1.12241219742416e-05,NA,NA,NA,NA
"44",6,4,"mod3",1.78988628468586,0.115892151200782,15.4444133286032,0.000102570855442898,NA,NA,NA,NA
"45",6,5,"mod3",1.38967803308541,0.0895753290534515,15.5140712043174,2.02084927844366e-05,NA,NA,NA,NA
"46",6,6,"mod3",1.52375539410177,0.0932100787483849,16.3475389631958,1.56237755177878e-05,NA,NA,NA,NA
"47",6,7,"mod3",1.65687986936377,0.0894310611008183,18.5268948950065,8.43002834092736e-06,NA,NA,NA,NA
"48",6,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"49",7,1,"mod4",0.21950728082198,0.38778569461423,0.566053064542122,0.672087069917523,0.328879630093822,0.472494088934215,0.696050252894511,0.612890484095979
"50",7,2,"mod3",2.05904066419793,0.170921861451215,12.0466782114096,0.00123083273537399,NA,NA,NA,NA
"51",7,3,"mod3",1.78598141346444,0.0808280416970378,22.0960619107749,2.48304606417684e-05,NA,NA,NA,NA
"52",7,4,"mod3",1.51319302882581,0.0767024275088404,19.7280982880418,6.18010318892215e-06,NA,NA,NA,NA
"53",7,5,"mod3",1.86811062732706,0.085055008989855,21.963558049237,2.54309332933633e-05,NA,NA,NA,NA
"54",7,6,"mod3",1.67270741367793,0.0519512902488191,32.1976106015183,5.96736188566729e-08,NA,NA,NA,NA
"55",7,7,"mod3",1.55336665928845,0.0592196714557551,26.2305855656261,2.02561287277597e-07,NA,NA,NA,NA
"56",7,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"57",8,1,"mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958
"58",8,2,"mod3",1.55278347083128,0.138337421630874,11.2246090213722,0.000358780493830114,NA,NA,NA,NA
"59",8,3,"mod3",1.60969293783638,0.123675977188687,13.0154050481489,4.77454669412451e-05,NA,NA,NA,NA
"60",8,4,"mod3",1.84849513471551,0.0311544806843446,59.3332032539509,1.54019471332064e-09,NA,NA,NA,NA
"61",8,5,"mod3",1.49238223463842,0.0862150038432546,17.3100060095303,2.38183826187766e-06,NA,NA,NA,NA
"62",8,6,"mod3",1.55652725851968,0.0593000008469041,26.2483513708236,2.01746271046575e-07,NA,NA,NA,NA
"63",8,7,"mod3",1.53232439937394,0.0639403718020171,23.9648966089621,5.60241927106043e-08,NA,NA,NA,NA
"64",8,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"65",9,1,"mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958
"66",9,2,"mod3",1.88149039496572,0.0853021477963277,22.0567763364889,2.50066291351967e-05,NA,NA,NA,NA
"67",9,3,"mod3",1.85628443189699,0.0789484448214532,23.512615556837,1.93967266736602e-05,NA,NA,NA,NA
"68",9,4,"mod3",1.65627966112712,0.114316926594672,14.4884901166011,0.000131944259939814,NA,NA,NA,NA
"69",9,5,"mod3",1.74615624824754,0.0525546283184205,33.2255465240444,4.89378131889524e-06,NA,NA,NA,NA
"70",9,6,"mod3",1.49002872060035,0.0648260999795497,22.9850125346181,7.47954020300779e-08,NA,NA,NA,NA
"71",9,7,"mod3",1.61435185174562,0.0892713996286932,18.0836399839165,1.84016519286844e-06,NA,NA,NA,NA
"72",9,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"73",10,1,"mod1",1.96195672927267,0.060921477040305,32.2046809202387,0.0197615770530853,5520.73682148542,345167.143082835,0.0159943868705966,0.98981852522175
"74",10,2,"mod3",1.55026046511018,0.0989900512557785,15.6607704051439,9.70923515471519e-05,NA,NA,NA,NA
"75",10,3,"mod3",1.9239881570454,0.134198251573142,14.3369092703624,2.97612156471265e-05,NA,NA,NA,NA
"76",10,4,"mod3",1.56390541890241,0.105269023775941,14.8562736007802,0.000119538034658163,NA,NA,NA,NA
"77",10,5,"mod3",1.57788748504332,0.149424003697314,10.5597992691965,0.000454988147154123,NA,NA,NA,NA
"78",10,6,"mod3",1.64596752197521,0.0945567523783262,17.4071917718749,1.14663509211154e-05,NA,NA,NA,NA
"79",10,7,"mod3",1.64644358878012,0.0373158649409369,44.1218123011779,9.07559981147393e-09,NA,NA,NA,NA
"80",10,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"81",11,1,"mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178
"82",11,2,"mod3",1.72406971572414,0.067682720593059,25.4728193638976,0.000132689146964587,NA,NA,NA,NA
"83",11,3,"mod3",2.00444031324489,0.0542138117149609,36.9728718538295,3.19523988475044e-06,NA,NA,NA,NA
"84",11,4,"mod3",1.63363499622402,0.141343136043947,11.5579365362042,0.000320082087511286,NA,NA,NA,NA
"85",11,5,"mod3",1.53598790919504,0.122462239699514,12.5425430154136,0.000232501102802059,NA,NA,NA,NA
"86",11,6,"mod3",1.64040785571852,0.044078488116744,37.2156107390486,2.51202841851883e-08,NA,NA,NA,NA
"87",11,7,"mod3",1.5404292367836,0.0652574947954793,23.6053995270794,6.22050535231539e-08,NA,NA,NA,NA
"88",11,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"89",12,1,"mod3",1.63423231450649,0.0835605756005835,19.5574564052558,0.000292052635978237,NA,NA,NA,NA
"90",12,2,"mod1",3.45992794882378,0.312547130541181,11.0700998688833,0.057352379494329,13642.437149866,3860410.08509489,0.00353393469842484,0.997750236662231
"91",12,3,"mod3",1.78264394179404,0.0391375542695654,45.5481691450578,9.63183363366487e-08,NA,NA,NA,NA
"92",12,4,"mod3",1.72663249131249,0.0581564674275863,29.6894321076571,9.68184388960365e-08,NA,NA,NA,NA
"93",12,5,"mod3",1.68105040020733,0.0392200006821545,42.8620696320443,1.30439373254366e-07,NA,NA,NA,NA
"94",12,6,"mod3",1.59916610993947,0.0942506081492687,16.9671702001837,2.67994224249453e-06,NA,NA,NA,NA
"95",12,7,"mod3",1.5306427489917,0.0678101646730996,22.5724676583613,8.47779857975075e-08,NA,NA,NA,NA
"96",12,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"97",13,1,"mod2",NA,NA,NA,NA,2.45607990574982,1.20643587742877,2.03581470984133,0.178715727912365
"98",13,2,"mod3",1.67597430457178,0.089672251503025,18.6899991522488,4.82470530658173e-05,NA,NA,NA,NA
"99",13,3,"mod3",1.73336323724781,0.0855931342759089,20.2511948173357,5.42963893257535e-06,NA,NA,NA,NA
"100",13,4,"mod3",1.61714483970897,0.102303266571042,15.8073626963415,1.84315869778407e-05,NA,NA,NA,NA
"101",13,5,"mod3",1.61951742739135,0.0712315616782215,22.7359528449943,3.06040087602622e-06,NA,NA,NA,NA
"102",13,6,"mod3",1.47785432510193,0.116401078767653,12.6962253335457,0.000221667171745977,NA,NA,NA,NA
"103",13,7,"mod3",1.54527390870992,0.0642451448174023,24.052773374578,5.46219387052941e-08,NA,NA,NA,NA
"104",13,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"105",14,1,"mod1",2.55459774607806,0.0569019935195379,44.8946967947777,0.0141779444698185,15542.8984530746,1736054.29009226,0.00895300253095689,0.994300493847169
"106",14,2,"mod3",2.08933354643714,0.137175626499534,15.2310844116629,0.000614581602722298,NA,NA,NA,NA
"107",14,3,"mod3",1.92132346552602,0.0125935741227098,152.563795377305,2.29533747164628e-10,NA,NA,NA,NA
"108",14,4,"mod3",1.47013686170862,0.110391501940336,13.3174821962581,0.000183785725634673,NA,NA,NA,NA
"109",14,5,"mod3",1.51850853081035,0.0679827696593133,22.3366676353458,5.26700241475071e-07,NA,NA,NA,NA
"110",14,6,"mod3",1.53369429928154,0.0675052777480548,22.7196206051568,3.07132600143715e-06,NA,NA,NA,NA
"111",14,7,"mod3",1.54574590085404,0.0640730725147506,24.1247350905201,5.35034270790691e-08,NA,NA,NA,NA
"112",14,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"113",15,1,"mod3",1.7502557228162,0.0544328099002437,32.1544253552923,6.61056175495429e-05,NA,NA,NA,NA
"114",15,2,"mod3",1.34650106219016,0.0814688435360608,16.5278038050725,7.8481151987807e-05,NA,NA,NA,NA
"115",15,3,"mod4",0.232657865615245,0.671922252045409,0.346257122616504,0.787791378025349,0.338267634110221,0.897657837524674,0.376833599585123,0.770576723653757
"116",15,4,"mod3",1.8363280934254,0.116223888018901,15.7999196613245,9.37609189927949e-05,NA,NA,NA,NA
