"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod3",1.90915246971039,0.169451801783975,11.2666401278179,0.00149935972242745,NA,NA,NA,NA
"2",1,2,"mod3",1.5488610702049,0.0926558799194836,16.716273932651,7.5041662553073e-05,NA,NA,NA,NA
"3",1,3,"mod3",1.57484388210874,0.0645318606252819,24.4041294772734,2.15380204796988e-06,NA,NA,NA,NA
"4",1,4,"mod3",1.54786808979039,0.0644997138425734,23.9980613490522,3.4389793706687e-07,NA,NA,NA,NA
"5",1,5,"mod3",1.54347449778786,0.0738787133257524,20.8920056712715,7.8316947848056e-07,NA,NA,NA,NA
"6",1,6,"mod3",1.55004352435751,0.0638816444762941,24.264302164806,2.21612260910484e-06,NA,NA,NA,NA
"7",1,7,"mod3",1.5666037312553,0.0608158934483053,25.7597749934718,2.25625613492474e-07,NA,NA,NA,NA
"8",1,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"9",2,1,"mod4",0.215029543524519,0.29133657553564,0.738079464032878,0.595219188237278,0.328751691310436,0.338640078608343,0.970799713552678,0.509431764912913
"10",2,2,"mod3",1.86440117694109,0.174111382230204,10.7080947440647,0.000430987520896475,NA,NA,NA,NA
"11",2,3,"mod3",1.7391524469278,0.15393220392256,11.2981715496176,0.000349760355066121,NA,NA,NA,NA
"12",2,4,"mod3",1.6146678932611,0.103012466651714,15.674490144191,1.92124045413388e-05,NA,NA,NA,NA
"13",2,5,"mod3",1.57033319405767,0.0498548829714593,31.4980820425684,6.0548329841384e-06,NA,NA,NA,NA
"14",2,6,"mod3",1.63871282845943,0.0688796551221671,23.7909557699288,3.62084228148516e-07,NA,NA,NA,NA
"15",2,7,"mod3",1.55319780486401,0.0675140124455969,23.005562084102,7.43343817112508e-08,NA,NA,NA,NA
"16",2,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"17",3,1,"mod3",1.57582693446895,0.0181278508847825,86.928502693708,1.04983102021833e-07,NA,NA,NA,NA
"18",3,2,"mod3",1.5488610702049,0.0926558799194836,16.716273932651,7.5041662553073e-05,NA,NA,NA,NA
"19",3,3,"mod3",1.45295508144812,0.0992163654830439,14.6443086720046,2.68227437313156e-05,NA,NA,NA,NA
"20",3,4,"mod3",1.5492629534044,0.0767714337211961,20.1802008678217,9.6177621368234e-07,NA,NA,NA,NA
"21",3,5,"mod3",1.5364554325192,0.0804584966691769,19.0962483283361,1.33354309866826e-06,NA,NA,NA,NA
"22",3,6,"mod3",1.50623944402091,0.0729950711709901,20.6348102667447,8.4284138740399e-07,NA,NA,NA,NA
"23",3,7,"mod3",1.47057420248602,0.0725695506039856,20.2643421413892,9.38359195996688e-07,NA,NA,NA,NA
"24",3,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"25",4,1,"mod4",0.215029543524519,0.29133657553564,0.738079464032878,0.595219188237278,0.328751691310436,0.338640078608343,0.970799713552678,0.509431764912913
"26",4,2,"mod3",1.5696580519189,0.130091837338294,12.0657689524141,0.00122509387369938,NA,NA,NA,NA
"27",4,3,"mod3",1.5018063130088,0.120594211177702,12.4533864299324,0.000239088904091572,NA,NA,NA,NA
"28",4,4,"mod3",1.43941909463899,0.0738352274524501,19.495018086942,1.18005237156176e-06,NA,NA,NA,NA
"29",4,5,"mod3",1.57192590711855,0.0496481017952161,31.6613495839637,8.10338421195962e-09,NA,NA,NA,NA
"30",4,6,"mod3",1.55566010288648,0.0563623440510219,27.6010540207167,2.10346885018039e-08,NA,NA,NA,NA
"31",4,7,"mod3",1.54549629612392,0.0644740430927307,23.9708295305925,5.5928237810965e-08,NA,NA,NA,NA
"32",4,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"33",5,1,"mod3",1.79181677367301,0.172136304819522,10.4092903327492,0.00189218297857298,NA,NA,NA,NA
"34",5,2,"mod3",1.88823340025785,0.166497797482022,11.340891163811,0.00147063478335724,NA,NA,NA,NA
"35",5,3,"mod3",1.7391524469278,0.15393220392256,11.2981715496176,0.000349760355066121,NA,NA,NA,NA
"36",5,4,"mod3",1.66180660824767,0.0845402378796083,19.6569899722095,3.95027242940683e-05,NA,NA,NA,NA
"37",5,5,"mod3",1.65598966375864,0.0765044950482483,21.6456518367225,3.90454262095051e-06,NA,NA,NA,NA
"38",5,6,"mod3",1.62302219145243,0.0720700237078845,22.5200729505917,5.01735571183956e-07,NA,NA,NA,NA
"39",5,7,"mod3",1.47667451262476,0.0667658312982028,22.1172190012784,5.58496546912634e-07,NA,NA,NA,NA
"40",5,8,"mod3",1.54598772452084,0.0658116414565016,23.4910980839562,6.43307138352729e-08,NA,NA,NA,NA
"41",6,1,"mod3",2.0971284204726,0.0621990638308016,33.7163984682689,5.73553056562472e-05,NA,NA,NA,NA
"42",6,2,"mod3",1.96885980958489,0.152209397164806,12.9352053569537,0.000206038849917378,NA,NA,NA,NA
"43",6,3,"mod3",1.75765190044483,0.143428743062734,12.2545304582085,0.000254640064720032,NA,NA,NA,NA
"44",6,4,"mod3",1.7285330869287,0.0568453662835614,30.4076339011745,6.96780341299053e-06,NA,NA,NA,NA
