"","replicate","areas","species","consumers","resources","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen","sd_vul"
"1",1,1,39,31,8,42,0.169354838709677,1.07692307692308,1.35483870967742,5.25,0.490362811791383,1.25806451612903,4.875,NA,0.737285002424676,2.20579345845007
"2",1,2,53,18,35,66,0.104761904761905,1.24528301886792,3.66666666666667,1.88571428571429,0.460514233241506,2.94444444444444,1.51428571428571,NA,1.34936080824517,0.957319320431899
"3",1,3,68,42,26,93,0.0851648351648352,1.36764705882353,2.21428571428571,3.57692307692308,0.456237715342814,1.61904761904762,2.61538461538462,NA,0.834293051782773,1.66054312488851
"4",1,4,78,24,54,118,0.0910493827160494,1.51282051282051,4.91666666666667,2.18518518518519,0.449583453030738,3.25,1.44444444444444,NA,1.27695815713305,0.770851506268823
"5",1,5,84,48,36,131,0.0758101851851852,1.55952380952381,2.72916666666667,3.63888888888889,0.416292756832352,1.75,2.33333333333333,NA,0.873463921782704,1.15694927402204
"6",1,6,93,39,54,144,0.0683760683760684,1.54838709677419,3.69230769230769,2.66666666666667,0.413435570987654,2.38461538461539,1.72222222222222,NA,1.35969505612312,1.01605451627624
"7",1,7,99,22,77,154,0.0909090909090909,1.55555555555556,7,2,0.415331421824928,4.5,1.28571428571429,NA,1.41678813862116,0.733951040852566
"8",1,8,103,26,77,163,0.0814185814185814,1.58252427184466,6.26923076923077,2.11688311688312,0.454439384244796,3.96153846153846,1.33766233766234,NA,1.37931527150835,0.750931080246438
"9",2,1,39,16,23,43,0.116847826086957,1.1025641025641,2.6875,1.8695652173913,0.482422931314224,2.4375,1.69565217391304,NA,1.47063605845951,1.35727901093043
"10",2,2,51,2,49,66,0.673469387755102,1.29411764705882,33,1.3469387755102,NA,25.5,1.04081632653061,NA,1.09280138910648,0.390830416390947
"11",2,3,60,52,8,79,0.189903846153846,1.31666666666667,1.51923076923077,9.875,0.406345136997276,1.15384615384615,7.5,NA,0.838720451201366,1.87965093733133
"12",2,4,73,45,28,106,0.0841269841269841,1.45205479452055,2.35555555555556,3.78571428571429,0.465468138127447,1.62222222222222,2.60714285714286,NA,1.17277849501191,1.14485188556325
"13",2,5,85,78,7,122,0.223443223443223,1.43529411764706,1.56410256410256,17.4285714285714,0.401706530502553,1.08974358974359,12.1428571428571,NA,0.655136003643947,1.92313352603607
"14",2,6,92,51,41,135,0.0645624103299857,1.46739130434783,2.64705882352941,3.29268292682927,0.427270233196159,1.80392156862745,2.24390243902439,NA,0.936325573372362,1.13076756783278
"15",2,7,98,20,78,153,0.0980769230769231,1.56122448979592,7.65,1.96153846153846,0.464095006194199,4.9,1.25641025641026,NA,1.83858782691535,0.775734268898878
"16",2,8,103,73,30,163,0.0744292237442922,1.58252427184466,2.23287671232877,5.43333333333333,0.43821747148933,1.41095890410959,3.43333333333333,NA,0.691694479845029,1.3652320926678
"17",3,1,35,27,8,47,0.217592592592593,1.34285714285714,1.74074074074074,5.875,0.432322317790856,1.2962962962963,4.375,NA,0.710860921292633,1.51245395830989
"18",3,2,53,44,9,72,0.181818181818182,1.35849056603774,1.63636363636364,8,0.476851851851852,1.20454545454545,5.88888888888889,NA,0.643910932349281,1.8030966162154
"19",3,3,69,18,51,103,0.112200435729847,1.49275362318841,5.72222222222222,2.01960784313725,0.454802526157036,3.83333333333333,1.35294117647059,NA,1.57199480105506,0.692021295992838
"20",3,4,80,23,57,118,0.0900076277650648,1.475,5.1304347826087,2.07017543859649,0.443622522263717,3.47826086956522,1.40350877192982,NA,1.29773968669479,0.892647362232933
"21",3,5,87,29,58,132,0.0784780023781213,1.51724137931034,4.55172413793103,2.27586206896552,0.441058310376492,3,1.5,NA,1.07992987003929,0.86048345481839
"22",3,6,96,16,80,147,0.11484375,1.53125,9.1875,1.8375,0.43528159563145,6,1.2,NA,2.64704708184526,0.70110497642105
"23",3,7,101,9,92,156,0.188405797101449,1.54455445544554,17.3333333333333,1.69565217391304,0.398504273504273,11.2222222222222,1.09782608695652,NA,2.94921087017171,0.676224740443288
"24",3,8,103,28,75,163,0.0776190476190476,1.58252427184466,5.82142857142857,2.17333333333333,0.444578267906206,3.67857142857143,1.37333333333333,NA,1.5096599112041,0.803065916100353
"25",4,1,34,21,13,36,0.131868131868132,1.05882352941176,1.71428571428571,2.76923076923077,0.425154320987654,1.61904761904762,2.61538461538462,NA,0.97182531580755,1.55969866726234
"26",4,2,55,3,52,65,0.416666666666667,1.18181818181818,21.6666666666667,1.25,NA,18.3333333333333,1.05769230769231,NA,2.58504269971868,0.626426455929354
"27",4,3,63,25,38,84,0.0884210526315789,1.33333333333333,3.36,2.21052631578947,0.460600907029478,2.52,1.65789473684211,NA,1.4161337446049,0.89000690978511
"28",4,4,78,62,16,110,0.110887096774194,1.41025641025641,1.7741935483871,6.875,0.461818181818182,1.25806451612903,4.875,NA,0.668537320394554,1.84681544089475
"29",4,5,88,49,39,125,0.065410779696494,1.42045454545455,2.55102040816327,3.20512820512821,0.4624,1.79591836734694,2.25641025641026,NA,0.965684557295919,1.1297116483459
"30",4,6,94,60,34,143,0.0700980392156863,1.52127659574468,2.38333333333333,4.20588235294118,0.421976624773828,1.56666666666667,2.76470588235294,NA,0.888219178671712,1.31125718547444
"31",4,7,98,29,69,153,0.0764617691154423,1.56122448979592,5.27586206896552,2.21739130434783,0.440642487931992,3.37931034482759,1.42028985507246,NA,1.22127876771622,0.73405264510909
"32",4,8,103,70,33,163,0.0705627705627706,1.58252427184466,2.32857142857143,4.93939393939394,0.438179833640709,1.47142857142857,3.12121212121212,NA,0.815531105510239,1.16022617807702
"33",5,1,39,22,17,42,0.112299465240642,1.07692307692308,1.90909090909091,2.47058823529412,0.492630385487528,1.77272727272727,2.29411764705882,NA,0.852115582947801,1.65674769508518
"34",5,2,57,50,7,68,0.194285714285714,1.19298245614035,1.36,9.71428571428571,0.472318339100346,1.14,8.14285714285714,NA,0.638649377404914,3.57977460304432
"35",5,3,64,57,7,85,0.213032581453634,1.328125,1.49122807017544,12.1428571428571,0.411072664359862,1.12280701754386,9.14285714285714,NA,0.672840774916138,2.76404187747073
"36",5,4,77,43,34,109,0.0745554035567716,1.41558441558442,2.53488372093023,3.20588235294118,0.410655668714755,1.7906976744186,2.26470588235294,NA,1.05253870324352,1.07708653770838
"37",5,5,87,16,71,125,0.110035211267606,1.4367816091954,7.8125,1.76056338028169,0.45504,5.4375,1.22535211267606,NA,1.2762636091341,0.637529046957302
"38",5,6,90,53,37,141,0.0719020907700153,1.56666666666667,2.66037735849057,3.81081081081081,0.453045621447614,1.69811320754717,2.43243243243243,NA,0.772339303150455,1.15315988643134
"39",5,7,94,33,61,150,0.0745156482861401,1.59574468085106,4.54545454545455,2.45901639344262,0.425155555555556,2.84848484848485,1.54098360655738,NA,1.33019972678215,0.934149179603927
"40",5,8,103,64,39,163,0.0653044871794872,1.58252427184466,2.546875,4.17948717948718,0.407806089803907,1.609375,2.64102564102564,NA,0.987918576748046,1.21066472747198
"41",6,1,39,37,2,42,0.567567567567568,1.07692307692308,1.13513513513514,21,NA,1.05405405405405,19.5,NA,0.437291283798465,1.31319830791787
"42",6,2,60,30,30,71,0.0788888888888889,1.18333333333333,2.36666666666667,2.36666666666667,0.51934140051577,2,2,NA,1.25475610825973,0.972607914041693
"43",6,3,72,30,42,98,0.0777777777777778,1.36111111111111,3.26666666666667,2.33333333333333,0.448042482299042,2.4,1.71428571428571,NA,1.38027778785461,1.15208207826015
"44",6,4,80,39,41,115,0.0719199499687305,1.4375,2.94871794871795,2.80487804878049,0.437202268431002,2.05128205128205,1.95121951219512,NA,1.11453298813117,1.22215979617993
"45",6,5,91,75,16,136,0.113333333333333,1.49450549450549,1.81333333333333,8.5,0.441338667820069,1.21333333333333,5.6875,NA,0.741193800550022,2.47965045486577
"46",6,6,96,70,26,145,0.0796703296703297,1.51041666666667,2.07142857142857,5.57692307692308,0.422972651605232,1.37142857142857,3.69230769230769,NA,0.803297622570537,1.61276604738797
"47",6,7,101,56,45,156,0.0619047619047619,1.54455445544554,2.78571428571429,3.46666666666667,0.438239644970414,1.80357142857143,2.24444444444444,NA,1.03476921181692,1.00158870538469
"48",6,8,103,35,68,163,0.0684873949579832,1.58252427184466,4.65714285714286,2.39705882352941,0.437539990214159,2.94285714285714,1.51470588235294,NA,1.38733298123717,0.884070432995144
"49",7,1,39,11,28,42,0.136363636363636,1.07692307692308,3.81818181818182,1.5,0.478458049886621,3.54545454545455,1.39285714285714,NA,0.911531973127325,0.774482109354849
"50",7,2,60,49,11,80,0.148423005565863,1.33333333333333,1.63265306122449,7.27272727272727,0.4421875,1.22448979591837,5.45454545454546,NA,0.73726115248848,2.12372956675921
"51",7,3,67,22,45,96,0.096969696969697,1.43283582089552,4.36363636363636,2.13333333333333,0.445855034722222,3.04545454545455,1.48888888888889,NA,1.26591450431182,0.802779210287664
"52",7,4,81,36,45,118,0.0728395061728395,1.45679012345679,3.27777777777778,2.62222222222222,0.430336110313128,2.25,1.8,NA,0.881915700478919,0.833687512338659
"53",7,5,91,75,16,133,0.110833333333333,1.46153846153846,1.77333333333333,8.3125,0.443609022556391,1.21333333333333,5.6875,NA,0.644924784637197,1.74384221989949
"54",7,6,97,95,2,146,0.768421052631579,1.50515463917526,1.53684210526316,73,NA,1.02105263157895,48.5,NA,0.31673243546857,0.939580243494457
"55",7,7,101,23,78,156,0.0869565217391304,1.54455445544554,6.78260869565217,2,0.455991124260355,4.39130434782609,1.29487179487179,NA,1.54889078427256,0.911358043046596
"56",7,8,103,53,50,163,0.0615094339622642,1.58252427184466,3.07547169811321,3.26,0.411532236817343,1.94339622641509,2.06,NA,1.12734248206096,1.03623746291749
"57",8,1,43,25,18,51,0.113333333333333,1.18604651162791,2.04,2.83333333333333,0.461361014994233,1.72,2.38888888888889,NA,0.907150135333565,1.60528550760857
"58",8,2,61,7,54,76,0.201058201058201,1.24590163934426,10.8571428571429,1.40740740740741,0.41430055401662,8.71428571428571,1.12962962962963,NA,2.04256576984745,0.780110563521472
"59",8,3,74,11,63,105,0.151515151515152,1.41891891891892,9.54545454545454,1.66666666666667,0.438730158730159,6.72727272727273,1.17460317460317,NA,2.42838569869544,0.60012995244349
"60",8,4,81,51,30,121,0.0790849673202614,1.49382716049383,2.37254901960784,4.03333333333333,0.420053275049518,1.58823529411765,2.7,NA,0.980502280679941,1.22408586466403
"61",8,5,86,51,35,130,0.0728291316526611,1.51162790697674,2.54901960784314,3.71428571428571,0.433313609467456,1.68627450980392,2.45714285714286,NA,1.05941741244602,1.22383898293562
"62",8,6,88,85,3,139,0.545098039215686,1.57954545454545,1.63529411764706,46.3333333333333,NA,1.03529411764706,29.3333333333333,NA,0.48556461075786,7.05930035570091
"63",8,7,98,80,18,153,0.10625,1.56122448979592,1.9125,8.5,0.438463838694519,1.225,5.44444444444444,NA,0.664310210630655,2.0403502891551
"64",8,8,103,16,87,163,0.117097701149425,1.58252427184466,10.1875,1.8735632183908,0.42508186232075,6.4375,1.18390804597701,NA,1.22571041003122,0.69477718270534
"65",9,1,39,8,31,43,0.173387096774194,1.1025641025641,5.375,1.38709677419355,0.446727961060032,4.875,1.25806451612903,NA,1.27691981799444,0.963541968872616
"66",9,2,51,8,43,66,0.191860465116279,1.29411764705882,8.25,1.53488372093023,0.41574839302112,6.375,1.18604651162791,NA,1.83559036052838,0.7442816239659
"67",9,3,60,38,22,79,0.0944976076555024,1.31666666666667,2.07894736842105,3.59090909090909,0.404903060406986,1.57894736842105,2.72727272727273,NA,1.002107913719,1.94976628683024
"68",9,4,69,63,6,96,0.253968253968254,1.39130434782609,1.52380952380952,16,0.350151909722222,1.0952380952381,11.5,NA,0.646280015970286,2.72746448189523
"69",9,5,81,24,57,115,0.0840643274853801,1.41975308641975,4.79166666666667,2.01754385964912,0.479092627599244,3.375,1.42105263157895,NA,1.34572141913326,0.769554553656231
"70",9,6,91,66,25,134,0.0812121212121212,1.47252747252747,2.03030303030303,5.36,0.448986411227445,1.37878787878788,3.64,NA,0.860522038927261,1.47851510163734
"71",9,7,94,85,9,150,0.196078431372549,1.59574468085106,1.76470588235294,16.6666666666667,0.398533333333334,1.10588235294118,10.4444444444444,NA,0.735733990314777,1.56666666666667
"72",9,8,103,83,20,163,0.0981927710843374,1.58252427184466,1.96385542168675,8.15,0.404606872671158,1.24096385542169,5.15,NA,0.719642123717586,1.31713823991922
"73",10,1,36,5,31,39,0.251612903225806,1.08333333333333,7.8,1.25806451612903,0.360289283366206,7.2,1.16129032258065,NA,2.00118308203189,0.787905191013081
"74",10,2,53,12,41,74,0.150406504065041,1.39622641509434,6.16666666666667,1.80487804878049,0.442293644996348,4.41666666666667,1.29268292682927,NA,1.45930968079075,0.704756017340995
"75",10,3,67,24,43,98,0.0949612403100775,1.46268656716418,4.08333333333333,2.27906976744186,0.423677634319034,2.79166666666667,1.55813953488372,NA,1.1517300242752,0.73927662278853
"76",10,4,78,59,19,118,0.105263157894737,1.51282051282051,2,6.21052631578947,0.462869864981327,1.32203389830508,4.10526315789474,NA,0.717928875295646,1.23819819158258
"77",10,5,88,26,62,132,0.0818858560794045,1.5,5.07692307692308,2.12903225806452,0.462006427915518,3.38461538461538,1.41935483870968,NA,1.49574896198024,0.818029909190872
"78",10,6,94,71,23,143,0.0875688916105328,1.52127659574468,2.01408450704225,6.21739130434783,0.473226074624676,1.32394366197183,4.08695652173913,NA,0.756700710083861,1.70444782818144
"79",10,7,99,50,49,154,0.0628571428571429,1.55555555555556,3.08,3.14285714285714,0.451383032551864,1.98,2.02040816326531,NA,1.0340691582082,1.03537359452671
"80",10,8,103,12,91,163,0.149267399267399,1.58252427184466,13.5833333333333,1.79120879120879,0.40208513681358,8.58333333333333,1.13186813186813,NA,2.1294305044753,0.737308266911902
"81",11,1,42,21,21,45,0.102040816326531,1.07142857142857,2.14285714285714,2.14285714285714,0.428148148148148,2,2,NA,1.32960262381469,1.47355778611482
"82",11,2,56,49,7,70,0.204081632653061,1.25,1.42857142857143,10,0.463061224489796,1.14285714285714,8,NA,0.603512752372659,3.2659863237109
"83",11,3,65,48,17,89,0.10906862745098,1.36923076923077,1.85416666666667,5.23529411764706,0.4721626057316,1.35416666666667,3.82352941176471,NA,0.871676927071915,1.16994813456643
"84",11,4,75,65,10,104,0.16,1.38666666666667,1.6,10.4,0.465236686390532,1.15384615384615,7.5,NA,0.658439848160119,2.70259025433754
"85",11,5,85,2,83,120,0.72289156626506,1.41176470588235,60,1.44578313253012,NA,42.5,1.02409638554217,NA,2.00346921336189,0.354045604736394
"86",11,6,96,93,3,139,0.498207885304659,1.44791666666667,1.49462365591398,46.3333333333333,NA,1.03225806451613,32,NA,0.493377123120433,2.22012103850198
"87",11,7,99,64,35,154,0.06875,1.55555555555556,2.40625,4.4,0.428234103558779,1.546875,2.82857142857143,NA,0.956933228462536,1.10066672893733
"88",11,8,103,80,23,163,0.0885869565217391,1.58252427184466,2.0375,7.08695652173913,0.427415408935225,1.2875,4.47826086956522,NA,0.781251310805965,0.891876309135964
"89",12,1,39,22,17,43,0.114973262032086,1.1025641025641,1.95454545454545,2.52941176470588,0.487290427257977,1.77272727272727,2.29411764705882,NA,0.94845973723741,1.18110289824664
"90",12,2,51,20,31,66,0.106451612903226,1.29411764705882,3.3,2.12903225806452,0.452249770431589,2.55,1.64516129032258,NA,1.46543224443913,1.00955466764274
"91",12,3,63,58,5,84,0.289655172413793,1.33333333333333,1.44827586206897,16.8,0.359410430839002,1.08620689655172,12.6,NA,0.638442398069061,3.06492251125538
"92",12,4,72,2,70,97,0.692857142857143,1.34722222222222,48.5,1.38571428571429,NA,36,1.02857142857143,NA,1.57458829625046,0.372934962465623
"93",12,5,80,71,9,114,0.178403755868545,1.425,1.6056338028169,12.6666666666667,0.433748845798707,1.12676056338028,8.88888888888889,NA,0.620770542022472,2.37976490635974
"94",12,6,90,87,3,130,0.498084291187739,1.44444444444444,1.49425287356322,43.3333333333333,NA,1.03448275862069,30,NA,0.484865702496031,3.81293345581346
"95",12,7,93,51,42,148,0.069094304388422,1.59139784946237,2.90196078431373,3.52380952380952,0.41631665449233,1.82352941176471,2.21428571428571,NA,1.08452018866925,1.11234787658385
"96",12,8,103,66,37,163,0.0667485667485667,1.58252427184466,2.46969696969697,4.40540540540541,0.45007339380481,1.56060606060606,2.78378378378378,NA,0.985827104310842,1.20356613218622
"97",13,1,35,4,31,47,0.379032258064516,1.34285714285714,11.75,1.51612903225806,0.325486645540969,8.75,1.12903225806452,NA,3.56488816717785,0.632557383596265
"98",13,2,53,11,42,74,0.16017316017316,1.39622641509434,6.72727272727273,1.76190476190476,0.421475529583638,4.81818181818182,1.26190476190476,NA,1.4356842696081,0.81700393695271
"99",13,3,64,60,4,91,0.379166666666667,1.421875,1.51666666666667,22.75,0.322666344644367,1.06666666666667,16,NA,0.506158285676509,3.21650935888932
"100",13,4,77,68,9,114,0.186274509803922,1.48051948051948,1.67647058823529,12.6666666666667,0.38911972914743,1.13235294117647,8.55555555555556,NA,0.750638386357203,1.68859649122807
"101",13,5,83,31,52,127,0.0787841191066997,1.53012048192771,4.09677419354839,2.44230769230769,0.450616901233802,2.67741935483871,1.59615384615385,NA,1.24407868004005,0.927278997872108
"102",13,6,88,46,42,136,0.0703933747412008,1.54545454545455,2.95652173913043,3.23809523809524,0.44193339100346,1.91304347826087,2.0952380952381,NA,0.994796148546339,1.00860943898713
"103",13,7,98,32,66,153,0.0724431818181818,1.56122448979592,4.78125,2.31818181818182,0.418428809432269,3.0625,1.48484848484848,NA,1.11221056281303,0.845689205189362
"104",13,8,103,8,95,163,0.214473684210526,1.58252427184466,20.375,1.71578947368421,0.385110467085702,12.875,1.08421052631579,NA,1.21490069226167,0.662326844774073
"105",14,1,34,11,23,36,0.142292490118577,1.05882352941176,3.27272727272727,1.56521739130435,0.522376543209877,3.09090909090909,1.47826086956522,NA,1.20140676987919,0.949402192127843
"106",14,2,58,3,55,74,0.448484848484848,1.27586206896552,24.6666666666667,1.34545454545455,NA,19.3333333333333,1.05454545454545,NA,2.39449901177873,0.481125529927046
"107",14,3,71,65,6,96,0.246153846153846,1.35211267605634,1.47692307692308,16,0.371961805555556,1.09230769230769,11.8333333333333,NA,0.665541141731951,2.84523389245555
"108",14,4,77,29,48,110,0.0790229885057471,1.42857142857143,3.79310344827586,2.29166666666667,0.411652892561983,2.6551724137931,1.60416666666667,NA,1.24630488327253,1.22118972638411
"109",14,5,85,33,52,124,0.0722610722610723,1.45882352941176,3.75757575757576,2.38461538461538,0.461823621227888,2.57575757575758,1.63461538461538,NA,1.26456926864389,0.805042863814727
"110",14,6,93,58,35,137,0.067487684729064,1.47311827956989,2.36206896551724,3.91428571428571,0.463903244712025,1.60344827586207,2.65714285714286,NA,0.799710509090021,1.5823653007675
"111",14,7,100,69,31,148,0.0691912108461898,1.48,2.14492753623188,4.7741935483871,0.441791453615778,1.44927536231884,3.2258064516129,NA,0.857080558435442,1.33674171835012
"112",14,8,103,10,93,163,0.175268817204301,1.58252427184466,16.3,1.75268817204301,0.377884000150552,10.3,1.10752688172043,NA,2.81099663236267,0.817111696520366
"113",15,1,42,33,9,45,0.151515151515152,1.07142857142857,1.36363636363636,5,0.485925925925926,1.27272727272727,4.66666666666667,NA,0.96574168638975,1.61658075373095
"114",15,2,56,11,45,71,0.143434343434343,1.26785714285714,6.45454545454545,1.57777777777778,0.477484626066256,5.09090909090909,1.24444444444444,NA,1.28945740610416,0.717606824020231
"115",15,3,61,18,43,92,0.118863049095607,1.50819672131148,5.11111111111111,2.13953488372093,0.450496219281663,3.38888888888889,1.41860465116279,NA,1.15714891002,0.906151781759343
"116",15,4,76,6,70,114,0.271428571428571,1.5,19,1.62857142857143,0.373499538319483,12.6666666666667,1.08571428571429,NA,2.42212028327799,0.610022999782511
"117",15,5,81,23,58,127,0.0952023988005997,1.5679012345679,5.52173913043478,2.18965517241379,0.449066898133796,3.52173913043478,1.39655172413793,NA,1.30240863564266,0.79443896982735
"118",15,6,91,23,68,140,0.0895140664961637,1.53846153846154,6.08695652173913,2.05882352941176,0.444336734693877,3.95652173913044,1.33823529411765,NA,1.47850541455538,0.826595299766897
