"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,"pyrenees","mod2",NA,NA,NA,NA,2.02050725811425,0.149725811783667,13.4947156675537,2.81620261191302e-07,1
"94",2,1,"pyrenees","mod2",NA,NA,NA,NA,1.99512545920255,0.0550574867039205,36.2371328341161,8.70674142600785e-17,1
"187",3,1,"pyrenees","mod2",NA,NA,NA,NA,2.00325210577705,0.0834055549621804,24.0182096586422,1.62963712800873e-11,1
"280",4,1,"pyrenees","mod2",NA,NA,NA,NA,1.88043817948532,0.112969257637715,16.6455743695844,1.27446898972138e-10,1
"373",5,1,"pyrenees","mod2",NA,NA,NA,NA,2.7202495629938,0.193374104654977,14.0672897637837,3.26603342113487e-05,1
"466",6,1,"pyrenees","mod2",NA,NA,NA,NA,1.93369911817629,0.0984208674448266,19.647247259432,4.75393784414085e-11,1
"559",7,1,"pyrenees","mod2",NA,NA,NA,NA,1.93344461118467,0.0834945256879319,23.1565434410765,7.56819515753384e-15,1
"652",8,1,"pyrenees","mod2",NA,NA,NA,NA,1.96855304189072,0.0750032460098831,26.2462379512392,5.96071770676404e-14,1
"745",9,1,"pyrenees","mod2",NA,NA,NA,NA,1.95915373987869,0.0630729333682053,31.0617191124059,2.80750076718943e-11,1
"838",10,1,"pyrenees","mod2",NA,NA,NA,NA,1.94740058918473,0.0665206654503071,29.2751218888436,2.51988830590619e-15,1
"931",11,1,"pyrenees","mod2",NA,NA,NA,NA,2.35390256532334,0.0746683847612339,31.5247553948085,1.59583205243543e-10,1
"1024",12,1,"pyrenees","mod2",NA,NA,NA,NA,1.96822054364149,0.0688471458207891,28.5882663714893,8.10930716579179e-14,1
"1117",13,1,"pyrenees","mod2",NA,NA,NA,NA,1.98273530616584,0.0620893452584089,31.9335837399141,6.41222949602046e-16,1
"1210",14,1,"pyrenees","mod2",NA,NA,NA,NA,2.06225800094518,0.105572616696774,19.5340237409138,1.47989688263222e-11,1
"1303",15,1,"pyrenees","mod2",NA,NA,NA,NA,2.16149192141643,0.075709526950078,28.5498009100189,3.86306247607344e-10,1
"1396",16,1,"pyrenees","mod2",NA,NA,NA,NA,2.31605938827208,0.0546738349397217,42.3613853102778,1.13566650396888e-11,1
"1489",17,1,"pyrenees","mod2",NA,NA,NA,NA,1.92828947726948,0.0725040763101331,26.5956009014073,2.1919099471587e-13,1
"1582",18,1,"pyrenees","mod2",NA,NA,NA,NA,2.07514437989874,0.0628032829408127,33.0419730104619,2.32924939519675e-12,1
"1675",19,1,"pyrenees","mod2",NA,NA,NA,NA,2.13490494650029,0.103807933220772,20.5659132232206,3.96096484015746e-10,1
"1768",20,1,"pyrenees","mod2",NA,NA,NA,NA,2.02249088953659,0.141447476220152,14.2985293451877,5.58285757231182e-07,1
"1861",21,1,"pyrenees","mod2",NA,NA,NA,NA,1.88055035781258,0.234354317478259,8.02438964235014,8.93941842910055e-05,1
"1954",22,1,"pyrenees","mod2",NA,NA,NA,NA,2.03570743280469,0.0956733888581184,21.2776766570232,1.7363840889232e-11,1
"2047",23,1,"pyrenees","mod2",NA,NA,NA,NA,2.04720695903767,0.0661793745579285,30.9342143638075,1.46552859189524e-13,1
"2140",24,1,"pyrenees","mod2",NA,NA,NA,NA,2.16261821930302,0.12845468770819,16.8356504374199,4.12337357776577e-08,1
"2233",25,1,"pyrenees","mod2",NA,NA,NA,NA,2.13603969404507,0.0556520916691043,38.3820199741191,1.37808557646505e-15,1
"2326",26,1,"pyrenees","mod2",NA,NA,NA,NA,1.97451473898261,0.08265488881044,23.8886624542069,6.08482932400123e-14,1
"2419",27,1,"pyrenees","mod2",NA,NA,NA,NA,2.20427246895168,0.0668545793698643,32.9711515610147,1.55428891350887e-11,1
"2512",28,1,"pyrenees","mod2",NA,NA,NA,NA,1.99396727356716,0.0653998312476569,30.4888749026948,1.76532729601529e-13,1
"2605",29,1,"pyrenees","mod2",NA,NA,NA,NA,1.8906068818945,0.100579488438763,18.7971415568055,2.48871953962586e-11,1
"2698",30,1,"pyrenees","mod2",NA,NA,NA,NA,2.13083085638979,0.0909614735632134,23.4256413503347,9.74261902117583e-11,1
"2791",31,1,"pyrenees","mod2",NA,NA,NA,NA,1.96544941748965,0.114826345777934,17.1167113624837,2.8193018696053e-09,1
"2884",32,1,"pyrenees","mod2",NA,NA,NA,NA,1.84596509815492,0.114628504517731,16.1038923601187,2.62231784185029e-11,1
"2977",33,1,"pyrenees","mod2",NA,NA,NA,NA,2.01808034028619,0.121442889830276,16.6175256789968,4.62146486082215e-08,1
"3162",35,1,"pyrenees","mod2",NA,NA,NA,NA,1.96152826495177,0.0826822168321927,23.7237019047613,1.39982858476128e-15,1
"3255",36,1,"pyrenees","mod2",NA,NA,NA,NA,2.01810203369019,0.0744175333864229,27.1186364537363,3.89062501430497e-12,1
"3348",37,1,"pyrenees","mod2",NA,NA,NA,NA,1.96120973900772,0.103085608025813,19.0250586533536,2.11488190780959e-11,1
"3441",38,1,"pyrenees","mod2",NA,NA,NA,NA,2.15281267951051,0.0895729643601148,24.0341792290746,5.49152732612559e-08,1
"3534",39,1,"pyrenees","mod2",NA,NA,NA,NA,2.68018821543356,0.0637895951974006,42.0160718552855,1.21602592012544e-08,1
"3627",40,1,"pyrenees","mod2",NA,NA,NA,NA,2.14925505370655,0.085026862956188,25.2773650465501,4.40554969598216e-13,1
"3720",41,1,"pyrenees","mod2",NA,NA,NA,NA,1.98911623489407,0.0557352845776363,35.688635125265,7.05923240445987e-19,1
"3813",42,1,"pyrenees","mod2",NA,NA,NA,NA,1.80752905698586,0.0785350990913762,23.0155570935588,8.41881050964153e-15,1
"3906",43,1,"pyrenees","mod2",NA,NA,NA,NA,1.94677996247284,0.073966053215956,26.3199113353918,1.33837153856466e-14,1
"3999",44,1,"pyrenees","mod2",NA,NA,NA,NA,2.24014337836566,0.0807267783189927,27.749693782077,2.96403204258015e-12,1
"4092",45,1,"pyrenees","mod2",NA,NA,NA,NA,1.93906911389672,0.076011717920121,25.5101340550472,1.7293120192577e-12,1
"4185",46,1,"pyrenees","mod2",NA,NA,NA,NA,2.10433117840065,0.0776395208112564,27.1038661291629,1.68958010397558e-13,1
"4278",47,1,"pyrenees","mod2",NA,NA,NA,NA,2.39015809973764,0.0765874755418672,31.208211040081,7.18933072182683e-08,1
"4371",48,1,"pyrenees","mod2",NA,NA,NA,NA,1.96175381718667,0.0602676642849413,32.5506860181546,2.48797748812524e-15,1
"4464",49,1,"pyrenees","mod2",NA,NA,NA,NA,1.91785786332865,0.0689197465914477,27.8274073568146,3.01917528530749e-16,1
"4557",50,1,"pyrenees","mod2",NA,NA,NA,NA,2.26491629296115,0.14244232904319,15.9005845255058,3.92716331106341e-06,1
"4650",51,1,"pyrenees","mod2",NA,NA,NA,NA,2.08384263912373,0.0698067043702341,29.8516117889142,2.31480528895107e-13,1
"4743",52,1,"pyrenees","mod2",NA,NA,NA,NA,2.09051732465367,0.0681615012602693,30.6700598725253,3.07546675768738e-14,1
"4836",53,1,"pyrenees","mod2",NA,NA,NA,NA,2.0538435074862,0.0990591034855292,20.7335160042734,1.50865854323103e-09,1
"4929",54,1,"pyrenees","mod2",NA,NA,NA,NA,2.45458388433534,0.214614458765227,11.4371785501203,8.94910096361818e-05,1
"5022",55,1,"pyrenees","mod2",NA,NA,NA,NA,2.04369258278548,0.0651596195134183,31.3644032615112,7.89833194480071e-18,1
"5115",56,1,"pyrenees","mod2",NA,NA,NA,NA,2.03539459652238,0.101295579738456,20.0936171329267,8.90413560359429e-13,1
"5208",57,1,"pyrenees","mod2",NA,NA,NA,NA,2.09979386798272,0.100275981117572,20.9401478258363,6.05272955765766e-09,1
"5301",58,1,"pyrenees","mod2",NA,NA,NA,NA,1.90524226716827,0.0697958756429352,27.297347438052,1.53208553893943e-13,1
"5394",59,1,"pyrenees","mod2",NA,NA,NA,NA,2.34555177165133,0.109073023833945,21.5044168503319,1.05495384705557e-09,1
"5487",60,1,"pyrenees","mod2",NA,NA,NA,NA,2.05296257367085,0.0895084476599422,22.9359644518739,2.70442869572402e-09,1
"5580",61,1,"pyrenees","mod2",NA,NA,NA,NA,2.11424244559771,0.101171075440416,20.8976966627469,1.39651261696083e-09,1
"5673",62,1,"pyrenees","mod2",NA,NA,NA,NA,2.018003454303,0.0833900796599963,24.1995626162122,1.49150525685036e-11,1
"5766",63,1,"pyrenees","mod2",NA,NA,NA,NA,2.13543683870558,0.106327019014241,20.0836707217341,3.603372715349e-11,1
"5859",64,1,"pyrenees","mod2",NA,NA,NA,NA,2.06525236608373,0.0484025393707213,42.6682647839134,2.32886697270603e-15,1
"5952",65,1,"pyrenees","mod2",NA,NA,NA,NA,2.13163670269232,0.0926984578968343,22.9953847243571,1.19014073500759e-10,1
"6137",67,1,"pyrenees","mod2",NA,NA,NA,NA,2.21567115601193,0.142719449916916,15.5246615461436,2.95103123127816e-07,1
"6230",68,1,"pyrenees","mod2",NA,NA,NA,NA,2.23969549416501,0.091361910176898,24.5145432032718,2.91078235177632e-10,1
"6323",69,1,"pyrenees","mod2",NA,NA,NA,NA,2.03826727072364,0.115429370489388,17.6581338188189,1.81692872461551e-10,1
"6416",70,1,"pyrenees","mod2",NA,NA,NA,NA,2.24004861978822,0.0500015923616683,44.7995456541793,8.37500410936309e-14,1
"6509",71,1,"pyrenees","mod2",NA,NA,NA,NA,1.9753267204202,0.0788093327789186,25.064629413391,4.68918224175123e-11,1
"6602",72,1,"pyrenees","mod2",NA,NA,NA,NA,2.193025796768,0.0444897966367046,49.2927808745865,2.94083428465017e-14,1
"6695",73,1,"pyrenees","mod2",NA,NA,NA,NA,2.0113199693187,0.0770256848780778,26.1123282772802,6.08185352799556e-12,1
"6788",74,1,"pyrenees","mod2",NA,NA,NA,NA,2.16626936300351,0.0556725036218109,38.9109384718748,5.35102035175664e-14,1
"6881",75,1,"pyrenees","mod2",NA,NA,NA,NA,2.8073651571842,0.350769172658728,8.00345462488961,0.00132172471468365,1
"6974",76,1,"pyrenees","mod2",NA,NA,NA,NA,1.94074695441717,0.0624241645880321,31.089674442984,1.37418292249307e-13,1
"7067",77,1,"pyrenees","mod2",NA,NA,NA,NA,2.18004328349499,0.0672189340641213,32.4319823550818,1.8303313133e-11,1
