"","X","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,"pyrenees","mod2",NA,NA,NA,NA,2.73142195847695,0.439593694353786,6.21351487421176,0.000439436250529757,0.9
"94",94,1,"pyrenees","mod2",NA,NA,NA,NA,2.67156292692118,0.503391397496634,5.30712868794911,0.000489226683993976,0.9
"373",373,1,"pyrenees","mod2",NA,NA,NA,NA,2.52914598676088,0.450280229708527,5.61682663349006,0.000156341013089529,0.9
"466",466,1,"pyrenees","mod2",NA,NA,NA,NA,2.60215879242729,0.459852506073612,5.65868133381607,0.000209921991261243,0.9
"559",559,1,"pyrenees","mod2",NA,NA,NA,NA,2.58031105542056,0.452680668051902,5.70006902774279,0.00029428268334857,0.9
"652",652,1,"pyrenees","mod2",NA,NA,NA,NA,2.63492861318064,0.34308011469439,7.68021374694886,1.68014731347276e-05,0.9
"745",745,1,"pyrenees","mod2",NA,NA,NA,NA,2.56904483273277,0.381935965230001,6.72637579753898,8.59206658632239e-05,0.9
"838",838,1,"pyrenees","mod2",NA,NA,NA,NA,2.74877836478759,0.527399260208735,5.21194960284866,0.000289082718524849,0.9
"931",931,1,"pyrenees","mod2",NA,NA,NA,NA,2.48210825874396,0.353519055009589,7.02114418889425,9.05114511367752e-06,0.9
"1024",1024,1,"pyrenees","mod2",NA,NA,NA,NA,2.59276486001677,0.393751480611927,6.58477488386171,0.000308648465538122,0.9
"1117",1117,1,"pyrenees","mod2",NA,NA,NA,NA,2.53117452351174,0.412483928490983,6.13641974554426,0.000110272871326417,0.9
"1210",1210,1,"pyrenees","mod2",NA,NA,NA,NA,2.89395715786528,0.361152677206536,8.01311284814395,0.00048913575861451,0.9
"1303",1303,1,"pyrenees","mod2",NA,NA,NA,NA,2.57334040419033,0.422692733007652,6.08796935277274,5.43466867624344e-05,0.9
"1396",1396,1,"pyrenees","mod2",NA,NA,NA,NA,2.85229709887781,0.436416617653328,6.53572064742861,0.00125498585155399,0.9
"1489",1489,1,"pyrenees","mod2",NA,NA,NA,NA,2.57149179043838,0.439938658082565,5.84511441128181,0.000111682268423126,0.9
"1582",1582,1,"pyrenees","mod2",NA,NA,NA,NA,2.58425781666333,0.482855071906837,5.35203618439353,0.000461114471415088,0.9
"1675",1675,1,"pyrenees","mod2",NA,NA,NA,NA,2.59534824212948,0.365121792306342,7.10817129192867,5.61656175126058e-05,0.9
"1768",1768,1,"pyrenees","mod2",NA,NA,NA,NA,2.61270102457602,0.507458952027631,5.14859579112078,0.000604274353789387,0.9
"1861",1861,1,"pyrenees","mod2",NA,NA,NA,NA,2.59983958080677,0.482394559610294,5.38944631321521,0.000305962904476924,0.9
"1954",1954,1,"pyrenees","mod2",NA,NA,NA,NA,2.50423260787138,0.3843410951425,6.51565143441894,6.76003746437881e-05,0.9
"2047",2047,1,"pyrenees","mod2",NA,NA,NA,NA,2.67629181364465,0.486775628726074,5.49799878159202,0.000381171856392794,0.9
"2140",2140,1,"pyrenees","mod2",NA,NA,NA,NA,2.58674215822786,0.430808380651556,6.00439145198537,8.87002434378865e-05,0.9
"2326",2326,1,"pyrenees","mod2",NA,NA,NA,NA,2.74560988279878,0.479226074506222,5.72925812859362,0.000439332262684021,0.9
"2419",2419,1,"pyrenees","mod2",NA,NA,NA,NA,2.74141478101798,0.53716058276359,5.10352931504006,0.000925806909343098,0.9
"2512",2512,1,"pyrenees","mod2",NA,NA,NA,NA,2.67299582069823,0.501556810338371,5.32939791784487,0.000333246882574939,0.9
"2605",2605,1,"pyrenees","mod2",NA,NA,NA,NA,2.58456305518288,0.429129950565559,6.0227981099353,0.000128157443952095,0.9
"2698",2698,1,"pyrenees","mod2",NA,NA,NA,NA,2.76140507749903,0.622389226392603,4.43678161574914,0.00301941271715271,0.9
"2791",2791,1,"pyrenees","mod2",NA,NA,NA,NA,2.52907990544667,0.3232979142971,7.8227535458906,2.64618102601257e-05,0.9
"2884",2884,1,"pyrenees","mod2",NA,NA,NA,NA,2.53205097966192,0.424986257662894,5.95795966106364,9.48279667555851e-05,0.9
"2977",2977,1,"pyrenees","mod2",NA,NA,NA,NA,2.51977975170143,0.412690903700813,6.10573126062452,2.71587297944186e-05,0.9
"3070",3070,1,"pyrenees","mod2",NA,NA,NA,NA,2.49139876679724,0.324845186381642,7.66949572055608,9.73366502788223e-06,0.9
"3256",3256,1,"pyrenees","mod2",NA,NA,NA,NA,2.70026036411569,0.637397179618267,4.23638580536684,0.00546150095189464,0.9
"3349",3349,1,"pyrenees","mod2",NA,NA,NA,NA,2.60958905295507,0.414074200337168,6.30222566590759,5.81932246886103e-05,0.9
"3442",3442,1,"pyrenees","mod2",NA,NA,NA,NA,2.78062593490175,0.441806922909593,6.29375817968057,0.000142033535809412,0.9
"3535",3535,1,"pyrenees","mod2",NA,NA,NA,NA,2.72833607091179,0.414173968116653,6.58741562951961,6.17502221379089e-05,0.9
"3628",3628,1,"pyrenees","mod2",NA,NA,NA,NA,2.65944963905002,0.531273517100151,5.00580125575634,0.00155508683176212,0.9
"3721",3721,1,"pyrenees","mod2",NA,NA,NA,NA,2.75986140407526,0.491320102348104,5.61723689074679,0.000801380893463424,0.9
"3814",3814,1,"pyrenees","mod2",NA,NA,NA,NA,2.64136518630711,0.519301715209268,5.08637870614906,0.000657139111903085,0.9
"3907",3907,1,"pyrenees","mod2",NA,NA,NA,NA,2.88808025481523,0.643224054008395,4.49000661094296,0.00414786996508573,0.9
"4000",4000,1,"pyrenees","mod2",NA,NA,NA,NA,2.50319264621953,0.446100029605495,5.61128105827118,0.000157638117373485,0.9
"4093",4093,1,"pyrenees","mod2",NA,NA,NA,NA,2.65556524313473,0.478168078725406,5.55362300681665,0.000354771582811369,0.9
"4186",4186,1,"pyrenees","mod2",NA,NA,NA,NA,2.986495868205,0.824980938138682,3.62007863471745,0.0152182742476554,0.9
"4279",4279,1,"pyrenees","mod2",NA,NA,NA,NA,2.48403677282548,0.326917422443067,7.59836155033335,1.06231919358063e-05,0.9
"4372",4372,1,"pyrenees","mod2",NA,NA,NA,NA,2.61652179595543,0.465577376484342,5.61995047034556,0.000325852607266903,0.9
"4465",4465,1,"pyrenees","mod2",NA,NA,NA,NA,2.68216372328273,0.484846170542942,5.53198908486619,0.000364796308919508,0.9
"4558",4558,1,"pyrenees","mod2",NA,NA,NA,NA,2.67068801725203,0.475167584114782,5.62051812146954,0.000112413367812297,0.9
"4651",4651,1,"pyrenees","mod2",NA,NA,NA,NA,2.8063464278215,0.503247746546319,5.57647092725373,0.000836318857023047,0.9
"4744",4744,1,"pyrenees","mod2",NA,NA,NA,NA,2.53914229029328,0.395225513109416,6.42454043595695,4.91133795947238e-05,0.9
"4837",4837,1,"pyrenees","mod2",NA,NA,NA,NA,2.44560149777263,0.393567257906687,6.2139353532109,6.58554814090081e-05,0.9
"4930",4930,1,"pyrenees","mod2",NA,NA,NA,NA,2.60120568466896,0.407371873373224,6.38533451789343,5.18465818272349e-05,0.9
"5023",5023,1,"pyrenees","mod2",NA,NA,NA,NA,2.59796710647645,0.443690033515491,5.85536503015848,0.000242134914195044,0.9
"5116",5116,1,"pyrenees","mod2",NA,NA,NA,NA,4.64262219976742,1.45423076923664,3.19249344600544,0.0856925030182623,0.9
"5209",5209,1,"pyrenees","mod2",NA,NA,NA,NA,2.58200452070436,0.47475810215084,5.43856862896468,0.000617022962028225,0.9
"5302",5302,1,"pyrenees","mod2",NA,NA,NA,NA,2.51755080428683,0.407481287780449,6.1783224893588,6.92451786973304e-05,0.9
"5395",5395,1,"pyrenees","mod2",NA,NA,NA,NA,2.64793592411471,0.468955330030589,5.64645661227901,0.000213496633684329,0.9
"5488",5488,1,"pyrenees","mod2",NA,NA,NA,NA,2.7907373268428,0.502633672118433,5.55222915146288,0.000243342807783748,0.9
"5581",5581,1,"pyrenees","mod2",NA,NA,NA,NA,2.73028888003461,0.519475951278149,5.25585231292584,0.000370258993242766,0.9
"5674",5674,1,"pyrenees","mod2",NA,NA,NA,NA,2.66890863142996,0.388016657921816,6.87833518726854,0.00012728356501743,0.9
"5860",5860,1,"pyrenees","mod2",NA,NA,NA,NA,2.59623491605762,0.398137543939487,6.52094974608127,0.000108771188213961,0.9
"5953",5953,1,"pyrenees","mod2",NA,NA,NA,NA,2.61186205984018,0.439957984105989,5.93661702752726,0.000218925764142714,0.9
"6139",6139,1,"pyrenees","mod2",NA,NA,NA,NA,2.52839829104006,0.37157122762758,6.80461269077118,2.93572332445717e-05,0.9
"6325",6325,1,"pyrenees","mod2",NA,NA,NA,NA,2.74937846490358,0.525882409208108,5.22812403830676,0.000385334085729389,0.9
"6418",6418,1,"pyrenees","mod2",NA,NA,NA,NA,2.49997628761628,0.38179355259988,6.54797932178874,4.14688762605168e-05,0.9
"6511",6511,1,"pyrenees","mod2",NA,NA,NA,NA,2.66745858808967,0.5319720264005,5.01428356325159,0.000526146954112199,0.9
"6604",6604,1,"pyrenees","mod2",NA,NA,NA,NA,2.59064769876256,0.446676054034755,5.79983564232209,0.000259528066047541,0.9
"6790",6790,1,"pyrenees","mod2",NA,NA,NA,NA,2.62644574381573,0.452668182298083,5.80214348285299,0.000172454432654312,0.9
"6883",6883,1,"pyrenees","mod2",NA,NA,NA,NA,2.51170609367535,0.36550104961276,6.87195316220415,2.68509325717894e-05,0.9
"6976",6976,1,"pyrenees","mod2",NA,NA,NA,NA,3.08222282271698,0.592174655778848,5.20492188012191,0.0012462530773952,0.9
"7069",7069,1,"pyrenees","mod2",NA,NA,NA,NA,2.65856654210767,0.470538673467054,5.65004895882127,0.000212439463468004,0.9
"7162",7162,1,"pyrenees","mod2",NA,NA,NA,NA,2.63002983715835,0.473574630500611,5.55356995026988,0.000538713752087088,0.9
"7255",7255,1,"pyrenees","mod2",NA,NA,NA,NA,2.63825204190833,0.413136383913655,6.3859106692954,7.975207300989e-05,0.9
"7348",7348,1,"pyrenees","mod2",NA,NA,NA,NA,2.85214458739063,0.661052781111465,4.31454895718791,0.0050124511626706,0.9
"7441",7441,1,"pyrenees","mod2",NA,NA,NA,NA,2.5462533774506,0.459101824875068,5.54616261467376,0.000245411940211622,0.9
"7534",7534,1,"pyrenees","mod2",NA,NA,NA,NA,2.76779030358015,0.403649283586421,6.85691865717771,0.000240482274588911,0.9
"7627",7627,1,"pyrenees","mod2",NA,NA,NA,NA,2.70576544737557,0.48418982157628,5.58823281036134,0.000826067068123693,0.9
"7720",7720,1,"pyrenees","mod2",NA,NA,NA,NA,2.81838114221662,0.515448960605028,5.46781807244007,0.000396380459218064,0.9
"7813",7813,1,"pyrenees","mod2",NA,NA,NA,NA,2.62671688180445,0.430463722740078,6.10206329370643,0.000115379113243526,0.9
"7906",7906,1,"pyrenees","mod2",NA,NA,NA,NA,2.54008960995308,0.485726278703141,5.22946713267185,0.000542312542817471,0.9
"8092",8092,1,"pyrenees","mod2",NA,NA,NA,NA,2.72993132040786,0.5444384957654,5.01421435413008,0.00154043804653865,0.9
"8185",8185,1,"pyrenees","mod2",NA,NA,NA,NA,2.64317302961232,0.513975934145393,5.14260076010606,0.000436109374370911,0.9
"8371",8371,1,"pyrenees","mod2",NA,NA,NA,NA,2.61488025131505,0.46990611360305,5.5646865950843,0.000531742412279733,0.9
"8464",8464,1,"pyrenees","mod2",NA,NA,NA,NA,2.57295739126444,0.503990978364295,5.10516557184215,0.000923938886619103,0.9
"8557",8557,1,"pyrenees","mod2",NA,NA,NA,NA,2.46999143412206,0.39846860750703,6.19871023109011,4.59546434976832e-05,0.9
"8650",8650,1,"pyrenees","mod2",NA,NA,NA,NA,2.55619764473239,0.498619544411076,5.12654923655577,0.000622462382351676,0.9
"8743",8743,1,"pyrenees","mod2",NA,NA,NA,NA,2.74495766391848,0.509277109219244,5.389909764699,0.000653846587201035,0.9
"8836",8836,1,"pyrenees","mod2",NA,NA,NA,NA,2.60087043434807,0.290403085155867,8.95607025990138,1.92096595701757e-05,0.9
"8929",8929,1,"pyrenees","mod2",NA,NA,NA,NA,2.56411067188053,0.419353495474909,6.1144373411666,0.000113511269000759,0.9
"9022",9022,1,"pyrenees","mod2",NA,NA,NA,NA,2.640689975426,0.494291247252251,5.34237656463777,0.000692155987967037,0.9
"9115",9115,1,"pyrenees","mod2",NA,NA,NA,NA,2.91511697911993,0.611422332265455,4.76776333687187,0.00310154394800467,0.9
"9208",9208,1,"pyrenees","mod2",NA,NA,NA,NA,2.66968396896355,0.51092934910458,5.22515289764084,0.00054543864752624,0.9
"2",2,2,"pyrenees","mod2",NA,NA,NA,NA,2.6395483991826,0.478488293505446,5.5164325543788,0.000562740088865335,0.92
"95",95,2,"pyrenees","mod2",NA,NA,NA,NA,2.573365728692,0.444927630491447,5.78378494014763,0.000122157403948166,0.92
"188",188,2,"pyrenees","mod2",NA,NA,NA,NA,2.54258678629592,0.445598484386769,5.70600411667697,0.000136970763816624,0.92
"281",281,2,"pyrenees","mod2",NA,NA,NA,NA,3.03556856519923,0.519282361362016,5.84569935562088,0.00427066928216341,0.92
"374",374,2,"pyrenees","mod2",NA,NA,NA,NA,2.56824043788955,0.410214818223646,6.2607207828591,4.1865818165398e-05,0.92
"467",467,2,"pyrenees","mod2",NA,NA,NA,NA,2.59083612639328,0.461110169936571,5.61869222435424,0.000221860175801734,0.92
"560",560,2,"pyrenees","mod2",NA,NA,NA,NA,2.69922241048485,0.486219061655914,5.5514532920452,0.000355763390714898,0.92
"653",653,2,"pyrenees","mod2",NA,NA,NA,NA,2.67600027904299,0.435296319415549,6.14753711365152,0.000108673093025697,0.92
"746",746,2,"pyrenees","mod2",NA,NA,NA,NA,2.47410505518349,0.409609784000246,6.04015126548345,8.4269240126289e-05,0.92
"839",839,2,"pyrenees","mod2",NA,NA,NA,NA,2.65102508242397,0.470588700624579,5.63342272966914,0.000110135075778307,0.92
"932",932,2,"pyrenees","mod2",NA,NA,NA,NA,2.88298364635405,0.684123856779423,4.21412529001103,0.00293927864842098,0.92
"1025",1025,2,"pyrenees","mod2",NA,NA,NA,NA,2.64633626194365,0.434169756319375,6.09516490595213,0.000493427686274975,0.92
"1118",1118,2,"pyrenees","mod2",NA,NA,NA,NA,2.59291935156115,0.511007562089841,5.07413107735046,0.000668121945866555,0.92
"1211",1211,2,"pyrenees","mod2",NA,NA,NA,NA,2.56941117089831,0.392521522790614,6.54591155315815,0.000105669800127523,0.92
"1304",1304,2,"pyrenees","mod2",NA,NA,NA,NA,2.49650666672057,0.415704361453574,6.00548586498142,6.16464053708067e-05,0.92
"1490",1490,2,"pyrenees","mod2",NA,NA,NA,NA,2.479249359448,0.404760170941847,6.12523053757729,5.13548257241877e-05,0.92
"1583",1583,2,"pyrenees","mod2",NA,NA,NA,NA,2.5213964706024,0.408214830072763,6.17664103519455,0.000104602248799373,0.92
"1676",1676,2,"pyrenees","mod2",NA,NA,NA,NA,2.58046337143195,0.370606065935336,6.96282011714884,3.88632401515245e-05,0.92
"1862",1862,2,"pyrenees","mod2",NA,NA,NA,NA,2.68759930173549,0.450315464209495,5.9682589547606,6.52747542293799e-05,0.92
"1955",1955,2,"pyrenees","mod2",NA,NA,NA,NA,2.60670100406355,0.469091184681221,5.55691748041477,0.000241756559336423,0.92
"2048",2048,2,"pyrenees","mod2",NA,NA,NA,NA,2.61683038543104,0.390695961122583,6.69786904863853,5.37879833398526e-05,0.92
"2141",2141,2,"pyrenees","mod2",NA,NA,NA,NA,2.43208613767906,0.365154358044034,6.66043300347458,1.56273140542758e-05,0.92
"2234",2234,2,"pyrenees","mod2",NA,NA,NA,NA,3.03556856519923,0.519282361362016,5.84569935562088,0.00427066928216341,0.92
"2420",2420,2,"pyrenees","mod2",NA,NA,NA,NA,2.57034656099671,0.402136859241864,6.39172088289171,5.13904945773368e-05,0.92
"2513",2513,2,"pyrenees","mod2",NA,NA,NA,NA,2.48333734654945,0.414575908449795,5.99006670656596,6.31226380137497e-05,0.92
