"","X","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1",1,1,"pyrenees","mod1",0.235337078336669,0.0467419308139591,5.03481722381881,0.000182367093996329,1.81603038471352,0.118947107829705,15.2675455321999,4.02705723220135e-10,0.9
"94",94,1,"pyrenees","mod1",1.90230795044901,0.216356693854827,8.79246172861853,0.0720953846083865,14.5108077420344,7.10531698211413,2.0422463598122,0.289877769751403,0.9
"187",187,1,"pyrenees","mod1",0.299116942670267,0.0598552503574386,4.99733842702227,0.000539445988932565,1.84033841025821,0.145081654002511,12.6848458057031,1.7305725944582e-07,0.9
"280",280,1,"pyrenees","mod1",0.297969999313907,0.0642932255194793,4.63454737114767,0.000723033499720181,1.97811129598922,0.173155985035744,11.4238690368161,1.92574784019592e-07,0.9
"466",466,1,"pyrenees","mod1",0.592522722444966,0.116667958415112,5.07870996025088,0.00226842335011676,2.32331893292014,0.298004605891475,7.79625175916318,0.000234713980590616,0.9
"559",559,1,"pyrenees","mod1",0.347850284760117,0.0745045797666962,4.66884432942749,0.00068382352198828,1.84995506689336,0.173754435145295,10.6469516323219,3.93792778471949e-07,0.9
"652",652,1,"pyrenees","mod1",0.325401416782755,0.0720449205725521,4.51664620068618,0.0019585540164259,1.78553616625562,0.176515435729896,10.1154675729768,7.79043015185304e-06,0.9
"745",745,1,"pyrenees","mod1",0.424929541196944,0.0838751196269107,5.06621681241225,0.000969544549823895,2.23546250327416,0.223568183953135,9.99901892902061,8.49440136582364e-06,0.9
"838",838,1,"pyrenees","mod1",0.223590707910216,0.0430667669484605,5.19172261474362,7.35147660752297e-05,1.73615914721473,0.106734004103456,16.2662233259036,8.50091832040388e-12,0.9
"931",931,1,"pyrenees","mod1",0.463402578634051,0.0903445570989062,5.12928054012965,0.00135473013704608,2.00949384740462,0.21308773159077,9.43035918775372,3.14503717610926e-05,0.9
"1117",1117,1,"pyrenees","mod1",0.183565729740926,0.0385853247604033,4.75739755673388,0.000136994172552019,1.78616936120857,0.105717167451162,16.8957360878377,6.66835725802256e-13,0.9
"1210",1210,1,"pyrenees","mod1",0.168786163282667,0.0336763003952411,5.01201620432508,6.68583500700721e-05,1.7781454760657,0.0909645171214596,19.5476822428623,1.67062879221435e-14,0.9
"1303",1303,1,"pyrenees","mod1",0.300964811353034,0.0575382469758106,5.23069136047127,0.000280829017426514,1.89214659930833,0.142323498118623,13.2946886798079,4.03110998758996e-08,0.9
"1396",1396,1,"pyrenees","mod1",0.305856196768254,0.0601314147961114,5.08646267188833,0.000657064492565682,1.86604098982491,0.149703064535527,12.4649485006506,5.56640855132703e-07,0.9
"1489",1489,1,"pyrenees","mod1",0.234686449409331,0.052208360034895,4.49518907034183,0.000602573288817974,2.0677655887277,0.155033784726795,13.3375160283391,5.82636227740143e-09,0.9
"1582",1582,1,"pyrenees","mod1",0.325401416782755,0.0720449205725521,4.51664620068618,0.0019585540164259,1.78553616625562,0.176515435729896,10.1154675729768,7.79043015185304e-06,0.9
"1675",1675,1,"pyrenees","mod1",0.439222515684784,0.0732542668279113,5.99586255796681,0.000203529663875491,1.90969728949208,0.161606056798014,11.8169908190938,8.77589589985241e-07,0.9
"1768",1768,1,"pyrenees","mod1",0.405204881485743,0.0834441534695252,4.8560008657015,0.00126219541398965,2.0107457851495,0.207179627125024,9.70532582306515,1.06072076169382e-05,0.9
"1861",1861,1,"pyrenees","mod1",0.287320914580431,0.0636200913569665,4.51619776790793,0.000877509859486546,1.79278314684147,0.154891570274484,11.5744397430052,1.68454876420808e-07,0.9
"1954",1954,1,"pyrenees","mod1",0.963848599562523,0.279447612337743,3.44912089782899,0.179648931945764,301.287883455052,7471.30771811812,0.0403259904185744,0.974341579583409,0.9
"2047",2047,1,"pyrenees","mod1",0.424929541196944,0.0838751196269107,5.06621681241225,0.000969544549823895,2.23546250327416,0.223568183953135,9.99901892902061,8.49440136582364e-06,0.9
"2233",2233,1,"pyrenees","mod1",0.405204881485743,0.0834441534695252,4.8560008657015,0.00126219541398965,2.0107457851495,0.207179627125024,9.70532582306515,1.06072076169382e-05,0.9
"2326",2326,1,"pyrenees","mod1",0.439222515684784,0.0732542668279113,5.99586255796681,0.000203529663875491,1.90969728949208,0.161606056798014,11.8169908190938,8.77589589985241e-07,0.9
"2419",2419,1,"pyrenees","mod1",0.305325993434268,0.0620555171733486,4.92020705558471,0.000604672664333102,1.8959385567531,0.158072244334589,11.9941268926377,2.93488908613429e-07,0.9
"2512",2512,1,"pyrenees","mod1",0.512880637738644,0.0867395608424235,5.91288026775204,0.00059174355818303,2.54143874395723,0.251412779475788,10.1086299163324,1.99224846013393e-05,0.9
"2605",2605,1,"pyrenees","mod1",0.243260142473196,0.0497304578516694,4.89157254893501,0.00037118929818797,1.78892031797085,0.123817323044278,14.4480616604118,5.96219359372117e-09,0.9
"2698",2698,1,"pyrenees","mod1",0.252962977852834,0.0554965159408998,4.55817763627222,0.000819084006550585,1.99487759832274,0.157317116785375,12.6806137760859,6.58499865540389e-08,0.9
"2791",2791,1,"pyrenees","mod1",0.414617772875338,0.0779038195079174,5.32217515770456,0.000709176293967772,2.04196133243432,0.193532959566247,10.5509745575681,5.67953642661233e-06,0.9
"2884",2884,1,"pyrenees","mod1",0.347850284760117,0.0745045797666962,4.66884432942749,0.00068382352198828,1.84995506689336,0.173754435145295,10.6469516323219,3.93792778471949e-07,0.9
"2977",2977,1,"pyrenees","mod1",0.250146908025961,0.0483410319762379,5.17462904285786,0.000306293384968278,1.914809540606,0.123900557015799,15.4544062329102,8.32086879318808e-09,0.9
"3070",3070,1,"pyrenees","mod1",0.414617772875338,0.0779038195079174,5.32217515770456,0.000709176293967772,2.04196133243432,0.193532959566247,10.5509745575681,5.67953642661233e-06,0.9
"3163",3163,1,"pyrenees","mod1",0.305325993434268,0.0620555171733486,4.92020705558471,0.000604672664333102,1.8959385567531,0.158072244334589,11.9941268926377,2.93488908613429e-07,0.9
"3256",3256,1,"pyrenees","mod1",0.271178839658972,0.049537961242541,5.47416229608771,0.000193635497740487,1.83681212074378,0.121489059463856,15.1191566454612,1.04855287913621e-08,0.9
"3349",3349,1,"pyrenees","mod1",0.439222515684784,0.0732542668279113,5.99586255796681,0.000203529663875491,1.90969728949208,0.161606056798014,11.8169908190938,8.77589589985241e-07,0.9
"3442",3442,1,"pyrenees","mod1",0.439222515684784,0.0732542668279113,5.99586255796681,0.000203529663875491,1.90969728949208,0.161606056798014,11.8169908190938,8.77589589985241e-07,0.9
"3535",3535,1,"pyrenees","mod1",0.223590707910216,0.0430667669484605,5.19172261474362,7.35147660752297e-05,1.73615914721473,0.106734004103456,16.2662233259036,8.50091832040388e-12,0.9
"3628",3628,1,"pyrenees","mod1",1.90230795044901,0.216356693854827,8.79246172861853,0.0720953846083865,14.5108077420344,7.10531698211413,2.0422463598122,0.289877769751403,0.9
"3721",3721,1,"pyrenees","mod1",0.299116942670267,0.0598552503574386,4.99733842702227,0.000539445988932565,1.84033841025821,0.145081654002511,12.6848458057031,1.7305725944582e-07,0.9
"3814",3814,1,"pyrenees","mod1",0.23946795242182,0.0556734095493237,4.30129848989513,0.00125323608147735,1.81307527186392,0.151276289323834,11.9851913341337,1.17814193512693e-07,0.9
"4000",4000,1,"pyrenees","mod1",0.376951345213008,0.0756542485402221,4.98255355761811,0.000756792184281989,1.85921506559321,0.176181275000077,10.5528528249804,2.2823858465009e-06,0.9
"4093",4093,1,"pyrenees","mod1",0.23946795242182,0.0556734095493237,4.30129848989513,0.00125323608147735,1.81307527186392,0.151276289323834,11.9851913341337,1.17814193512693e-07,0.9
