"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"22",2,1,"mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.528571428571429
"109",6,1,"mod2",NA,NA,NA,NA,3.86988844008616,2.46800544815288,1.56802264880837,0.361416965034315,0.528571428571429
"131",7,1,"mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.528571428571429
"216",11,1,"mod2",NA,NA,NA,NA,2.23022801789527,2.20315358675922,1.01228894403857,0.496112244454458,0.528571428571429
"346",17,1,"mod2",NA,NA,NA,NA,3.50435132854389,2.69739380950664,1.29916192296179,0.417627221352185,0.528571428571429
"390",19,1,"mod2",NA,NA,NA,NA,2.15478965780776,2.18066360453754,0.988134828922746,0.503799296065666,0.528571428571429
"477",23,1,"mod2",NA,NA,NA,NA,9.31046013854959,5.47165058549991,1.70158163301265,0.338247390572425,0.528571428571429
"499",24,1,"mod2",NA,NA,NA,NA,4.67288931003996,2.47538031384251,1.8877460097379,0.310129034339314,0.528571428571429
"521",25,1,"mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.528571428571429
"565",27,1,"mod2",NA,NA,NA,NA,2.85074745277655,2.42476538317818,1.17567970598459,0.448706121907852,0.528571428571429
"651",31,1,"mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.528571428571429
"694",33,1,"mod2",NA,NA,NA,NA,2.23022801789527,2.20315358675922,1.01228894403857,0.496112244454458,0.528571428571429
"737",35,1,"mod2",NA,NA,NA,NA,3.70978430172758,2.78762301711665,1.33080559277515,0.410245548446807,0.528571428571429
"759",36,1,"mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.528571428571429
"781",37,1,"mod2",NA,NA,NA,NA,3.50435132854389,2.69739380950664,1.29916192296179,0.417627221352185,0.528571428571429
"909",43,1,"mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.528571428571429
"974",46,1,"mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.528571428571429
"995",47,1,"mod2",NA,NA,NA,NA,2.45483452563135,1.32500011120968,1.85270514686234,0.205112282246335,0.528571428571429
"1039",49,1,"mod2",NA,NA,NA,NA,2.81993229617494,2.29303811823577,1.22977994728869,0.434626768239545,0.528571428571429
"1082",51,1,"mod2",NA,NA,NA,NA,2.30262574454309,1.21314716051774,1.89805970741454,0.198111706461823,0.528571428571429
"1148",54,1,"mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.528571428571429
"1191",56,1,"mod2",NA,NA,NA,NA,6.8154273410556,4.25046284850756,1.60345533744605,0.354998423853989,0.528571428571429
"1278",60,1,"mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.528571428571429
"1300",61,1,"mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.528571428571429
"1365",64,1,"mod2",NA,NA,NA,NA,3.33811773551875,2.36188887247844,1.41332548470661,0.392015086888012,0.528571428571429
"1451",68,1,"mod2",NA,NA,NA,NA,5.57000983041164,3.65059328457161,1.52578208423053,0.36934330231942,0.528571428571429
"1473",69,1,"mod2",NA,NA,NA,NA,2.85074745277655,2.42476538317818,1.17567970598459,0.448706121907852,0.528571428571429
"1538",72,1,"mod2",NA,NA,NA,NA,2.36683740093816,2.24698164110508,1.0533407828709,0.483465890414852,0.528571428571429
"1603",75,1,"mod2",NA,NA,NA,NA,2.92041822755409,2.4524473971626,1.19081788703518,0.44469068208981,0.528571428571429
"1667",78,1,"mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.528571428571429
"1710",80,1,"mod2",NA,NA,NA,NA,3.23118669434142,2.58030990458249,1.2522475260057,0.428995668104369,0.528571428571429
"1754",82,1,"mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.528571428571429
"1864",87,1,"mod2",NA,NA,NA,NA,2.54191946300688,2.30786162249927,1.10141762323433,0.46929957847054,0.528571428571429
"1929",90,1,"mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.528571428571429
"2080",97,1,"mod2",NA,NA,NA,NA,2.18773974103178,2.19031118715343,0.998825990509144,0.500373918276243,0.528571428571429
"2123",99,1,"mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.528571428571429
"2145",100,1,"mod2",NA,NA,NA,NA,2.65184955342518,2.28257706970786,1.16177875814927,0.452446597967786,0.528571428571429
"132",7,2,"mod2",NA,NA,NA,NA,3.27014946696594,2.59677622993237,1.25931122954368,0.427250640737985,0.371134020618557
