"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,"mod2",NA,NA,NA,NA,34.7767929709071,22.9578965222263,1.51480746231426,0.371453261332179
"2",1,2,"mod3",0.867733492581717,0.208134972866096,4.16909028133381,0.0140415132256298,NA,NA,NA,NA
"3",1,3,"mod4",0.305286859196913,0.50553940702488,0.603883406426294,0.654143541458168,0.352719507182817,1.60129330301662,0.220271643251328,0.861974853655575
"4",1,4,"mod3",0.683513689225261,0.152606040659841,4.4789425521419,0.0109987852237238,NA,NA,NA,NA
"5",1,5,"mod3",1.03292988763298,0.230057156088523,4.48988375408555,0.0206147115075963,NA,NA,NA,NA
"6",1,6,"mod2",NA,NA,NA,NA,13.7120314146215,4.57388708760184,2.99789460299311,0.0400249941516291
"7",1,7,"mod3",0.821214026573297,0.216502412484735,3.79309411451108,0.0192175758158378,NA,NA,NA,NA
"8",1,8,"mod4",0.261593649368596,0.711211736945554,0.367814021872114,0.775619669198173,0.339342492860691,1.33492780192628,0.254202880763308,0.841525993624179
"9",1,9,"mod3",1.08291078935043,0.188768687430209,5.73670773523177,0.00457376224306002,NA,NA,NA,NA
"10",1,10,"mod2",NA,NA,NA,NA,5.96782487444621,1.2397748795151,4.81363590523817,0.00482536339942056
"11",1,11,"mod3",0.92584789777964,0.306866242151533,3.01710573078432,0.0568896559374918,NA,NA,NA,NA
"12",1,12,"mod3",0.96394089174943,0.212802569355047,4.52974273135376,0.00622695581388816,NA,NA,NA,NA
"13",1,13,"mod3",0.839210205080204,0.181325450229066,4.62819865617343,0.00569303968867523,NA,NA,NA,NA
"14",1,14,"mod2",NA,NA,NA,NA,5.70054398690888,1.27549392182398,4.469283537437,0.00424067895632764
"15",1,15,"mod2",NA,NA,NA,NA,10.1102024221221,2.01854102836329,5.00866828073334,0.00155007750766857
"16",1,16,"mod2",NA,NA,NA,NA,7.05403420605168,2.05698536390089,3.42930695076719,0.0139830654668342
"17",1,17,"mod3",0.573200327713648,0.11911905100008,4.8119954188794,0.00483233288621296,NA,NA,NA,NA
"18",1,18,"mod2",NA,NA,NA,NA,13.9710515860028,2.81520215379862,4.96271699961274,0.00110313032269156
"19",1,19,"mod3",0.110364200807065,0.134411184235828,0.821093880204402,0.562342128378015,NA,NA,NA,NA
"20",1,20,"mod3",1.16193659576756,0.162492417658866,7.15071270714252,0.00202372053051528,NA,NA,NA,NA
"21",1,21,"mod3",1.09447010084555,0.190260876098087,5.75247062502387,0.00120174624205929,NA,NA,NA,NA
"22",1,22,"mod3",1.04218771588514,0.224391126554674,4.64451394262779,0.00560979750577337,NA,NA,NA,NA
"23",2,1,"mod2",NA,NA,NA,NA,25.5030727043182,17.7477273025392,1.43697681790893,0.38704741343104
"24",2,2,"mod1",0.478640465445906,1.00159293978801,0.477879232602432,0.716198146487443,38.0040514133438,443.115627428732,0.0857655407774037,0.945533247539114
"25",2,3,"mod3",1.36521853922515,0.275078139112718,4.96302084792617,0.0157086602907773,NA,NA,NA,NA
"26",2,4,"mod4",0.260348031145786,0.782401899715897,0.33275485558039,0.795498736138526,0.353397266375899,1.30608288701322,0.270577977776017,0.831772930926797
"27",2,5,"mod3",1.14426595571028,0.193142048979635,5.92447870236133,0.00406683912844081,NA,NA,NA,NA
"28",2,6,"mod3",1.07426901212944,0.272088803381702,3.94822939708545,0.0289782903621788,NA,NA,NA,NA
"29",2,7,"mod2",NA,NA,NA,NA,9.49694996552337,2.60202211576192,3.64983445297985,0.010708439246002
"30",2,8,"mod3",0.892821792513763,0.163231371647565,5.46967034279089,0.00278174290791634,NA,NA,NA,NA
"31",2,9,"mod4",0.274750213055752,0.682498156341282,0.402565502196556,0.756355389937451,0.346654908787799,1.4435946679389,0.240133131887179,0.849967271993819
"32",2,10,"mod3",1.05495417494041,0.175897352637337,5.99755572851344,0.0018495075758305,NA,NA,NA,NA
"33",2,11,"mod2",NA,NA,NA,NA,5.02495230057656,1.08353900872289,4.63753705231083,0.00237648283753524
"34",2,12,"mod3",0.816827716589196,0.166718051931758,4.89945574054298,0.00447657957001098,NA,NA,NA,NA
"35",2,13,"mod1",-2.83279528876751,0.45575651493302,-6.21558923668667,0.000800811521049193,0.951048247184344,0.139857940737119,6.80010189033144,0.000495352585643701
"36",2,14,"mod2",NA,NA,NA,NA,7.15385759937233,1.39709357278207,5.12052860219425,0.00136794455685327
"37",2,15,"mod2",NA,NA,NA,NA,32.960367239749,9.99743872381787,3.29688114629043,0.021549416809476
"38",2,16,"mod3",0.789094121362573,0.15724751711191,5.01816585632312,0.00739491725957492,NA,NA,NA,NA
"39",2,17,"mod2",NA,NA,NA,NA,6.39432174953891,1.37954610840505,4.6350909988298,0.00238334150718909
"40",2,18,"mod2",NA,NA,NA,NA,24.2152712566509,5.6452225896158,4.28951575819067,0.00361284065186862
"41",2,19,"mod3",1.11383141816791,0.244250924251477,4.56019325855705,0.0103373242388806,NA,NA,NA,NA
"42",2,20,"mod2",NA,NA,NA,NA,7.17775144276675,1.57944399424586,4.54447987324419,0.00265348848504563
"43",2,21,"mod2",NA,NA,NA,NA,27.503914219843,8.04850345086757,3.41727060039694,0.0188939420703859
"44",2,22,"mod2",NA,NA,NA,NA,7.12397543361025,1.50894063804765,4.72117673418063,0.00149988702517239
"45",3,1,"mod3",0.746914539123027,0.214357237856078,3.48443815843771,0.0252499862482198,NA,NA,NA,NA
"46",3,2,"mod3",0.683319650938086,0.118531158566037,5.76489472645616,0.00449291532970597,NA,NA,NA,NA
"47",3,3,"mod2",NA,NA,NA,NA,7.31848084833489,1.83435078390804,3.98968447722035,0.0104297491698482
"48",3,4,"mod2",NA,NA,NA,NA,8.82105596922359,1.81266115657324,4.86635681315057,0.0046074977221741
"49",3,5,"mod2",NA,NA,NA,NA,19.386740077044,7.43350368224897,2.60802185695274,0.0595436411663571
"50",3,6,"mod2",NA,NA,NA,NA,7.4985306056571,1.09620858185581,6.8404231911436,0.000132268666314008
"51",3,7,"mod2",NA,NA,NA,NA,6.67516898196392,1.14905379399651,5.80927456733519,0.000400904293075873
"52",3,8,"mod3",0.874945164543203,0.244594907913672,3.57711929494463,0.0373626787537488,NA,NA,NA,NA
"53",3,9,"mod3",0.961811311893012,0.213688890205057,4.50098884864839,0.010814358980188,NA,NA,NA,NA
"54",3,10,"mod3",1.35145960935945,0.281781007084412,4.7961344994221,0.0172458790077641,NA,NA,NA,NA
"55",3,11,"mod2",NA,NA,NA,NA,4.78384994929731,1.17068438529881,4.08637033975324,0.00948046649111299
"56",3,12,"mod2",NA,NA,NA,NA,19.1103364428161,4.94092073851659,3.86776826712537,0.011786863822709
"57",3,13,"mod3",0.859952871399993,0.179999920126557,4.77751807220451,0.00498155700367427,NA,NA,NA,NA
"58",3,14,"mod3",0.838645431623916,0.169191792998987,4.95677371082022,0.00772383245398988,NA,NA,NA,NA
"59",3,15,"mod2",NA,NA,NA,NA,6.01060917425875,1.05937321564558,5.67374093047644,0.000755618247564372
"60",3,16,"mod2",NA,NA,NA,NA,15.6070510608493,3.0034165878348,5.19643233112082,0.000825992719256803
"61",3,17,"mod3",1.07038465721334,0.189139419261794,5.65923624694961,0.00480533336039329,NA,NA,NA,NA
"62",3,18,"mod3",1.05360257489586,0.234206397712305,4.49860714817061,0.0108341014066597,NA,NA,NA,NA
"63",3,19,"mod2",NA,NA,NA,NA,4.54565693405817,0.771295042054413,5.89353838182391,0.000603403266366685
"64",3,20,"mod2",NA,NA,NA,NA,5.114346561298,0.838469930699328,6.0996183333997,0.000289592738971428
"65",3,21,"mod2",NA,NA,NA,NA,23.0260979219731,10.3408475849867,2.22671282336697,0.0899386989818377
"66",3,22,"mod1",-0.730993193122779,0.285567244282797,-2.55979356091302,0.0306975224219041,3.04211169186905,0.795079790736309,3.8261715708455,0.00405141443729311
"67",4,1,"mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958
"68",4,2,"mod2",NA,NA,NA,NA,6.35265916946494,2.71799647075458,2.33725806409943,0.144428153201295
"69",4,3,"mod3",1.22072231225192,0.222887394654192,5.47685666183979,0.0119691538128607,NA,NA,NA,NA
"70",4,4,"mod3",0.868127990772863,0.154633617078717,5.61409612717614,0.0111718121130639,NA,NA,NA,NA
"71",4,5,"mod3",1.19260738200198,0.225100315706447,5.29811510152327,0.0131230311312297,NA,NA,NA,NA
"72",4,6,"mod3",0.818953903740691,0.184080853935294,4.44888149002482,0.00670929189750204,NA,NA,NA,NA
"73",4,7,"mod3",0.930263717266773,0.209899866539191,4.43194048955282,0.0213458147212752,NA,NA,NA,NA
"74",4,8,"mod2",NA,NA,NA,NA,17.7838051422684,8.21223589266107,2.16552536662531,0.118955503441445
"75",4,9,"mod2",NA,NA,NA,NA,31.230063399945,13.9301645197873,2.24190197865817,0.110766031847917
"76",4,10,"mod2",NA,NA,NA,NA,4.7312033667957,1.0322251530451,4.5834993972376,0.00375665305421127
"77",4,11,"mod2",NA,NA,NA,NA,6.14040111161061,1.26323064691941,4.86087091584184,0.0046296252436146
"78",4,12,"mod2",NA,NA,NA,NA,18.9369584698464,4.44783865802896,4.25756416223925,0.00533552349695484
"79",4,13,"mod3",1.08654224871048,0.212804274022133,5.10582907088359,0.00695431706191966,NA,NA,NA,NA
"80",4,14,"mod3",1.0328308319137,0.235627830784585,4.38331426501961,0.0219854689586737,NA,NA,NA,NA
"81",4,15,"mod3",0.77519347974443,0.143375944554879,5.40671925232002,0.00292632095767066,NA,NA,NA,NA
"82",4,16,"mod2",NA,NA,NA,NA,8.88370313754784,1.88526508140719,4.71217720264406,0.00217732932542022
"83",4,17,"mod3",1.0914268993758,0.279687409674435,3.90230972729969,0.029874940686516,NA,NA,NA,NA
"84",4,18,"mod2",NA,NA,NA,NA,14.1577963563369,3.85634626815688,3.67129800382359,0.0104381142519461
"85",4,19,"mod2",NA,NA,NA,NA,4.42138666535891,0.811928126377707,5.44553947784054,0.00159404666434104
"86",4,20,"mod2",NA,NA,NA,NA,16.0488639207506,4.50215397237625,3.56470791963607,0.00916153778539034
"87",4,21,"mod3",0.901616372543938,0.203928388393069,4.42124012085108,0.0114998257886465,NA,NA,NA,NA
"88",4,22,"mod2",NA,NA,NA,NA,17.7701075003477,4.11400523490342,4.31941781444156,0.00254806945507986
"89",5,1,"mod2",NA,NA,NA,NA,9.12937997057,3.11686023194403,2.92903091290554,0.0610484633690113
"90",5,2,"mod3",0.910976068284449,0.0606530764646805,15.0194536103198,0.000640649811169406,NA,NA,NA,NA
"91",5,3,"mod2",NA,NA,NA,NA,6.78850727627644,1.35358056769094,5.01522217318535,0.00241549142531003
"92",5,4,"mod2",NA,NA,NA,NA,11.9692955431806,4.72377866248988,2.53383919916173,0.0644011683969321
"93",5,5,"mod3",0.855148095527174,0.302052011962084,2.83112861911517,0.0472908865391142,NA,NA,NA,NA
"94",5,6,"mod2",NA,NA,NA,NA,14.8250937250504,4.4116061183301,3.36047537504597,0.0200974769257705
"95",5,7,"mod2",NA,NA,NA,NA,11.1499272157104,2.99849199015904,3.71851158926026,0.0137332563769787
"96",5,8,"mod2",NA,NA,NA,NA,30.408705199988,12.2240746191491,2.48760794967273,0.0676574503412321
"97",5,9,"mod3",0.888436414009876,0.143578935122366,6.18779080129479,0.00850092848160372,NA,NA,NA,NA
"98",5,10,"mod3",0.974138563154912,0.193831537660705,5.02569692688557,0.00735575426109068,NA,NA,NA,NA
