"","replicate","areas","species","hosts","parasites","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","sd_gen","potential_indegree"
"1",1,1,24,14,10,14,0.14,0.7,1.4,1.4,0.724489795918368,2,0.737711113563318,3.5
"2",1,2,43,19,24,44,0.130952380952381,1.15789473684211,1.83333333333333,3.14285714285714,0.516528925619835,1.58333333333333,0.906385962620295,3.45833333333333
"3",1,3,54,22,32,64,0.111111111111111,1.28,2,3.55555555555556,0.48681640625,1.5625,1.08688803693789,3
"4",1,4,60,23,37,75,0.106685633001422,1.33928571428571,2.02702702702703,3.94736842105263,0.507911111111111,1.51351351351351,1.0630569552428,2.91891891891892
"5",1,5,61,24,37,77,0.109530583214794,1.375,2.08108108108108,4.05263157894737,0.494687131050768,1.51351351351351,1.0619507095706,2.91891891891892
"6",1,6,66,27,39,80,0.0976800976800977,1.33333333333333,2.05128205128205,3.80952380952381,0.50484375,1.53846153846154,1.11440694273147,2.87179487179487
"7",1,7,66,27,39,82,0.1001221001221,1.36666666666667,2.1025641025641,3.9047619047619,0.496728138013088,1.53846153846154,1.11089299232995,2.87179487179487
"8",1,8,74,27,47,97,0.0938104448742747,1.40579710144928,2.06382978723404,4.40909090909091,0.488787331278563,1.46808510638298,1.1903391562689,2.59574468085106
"9",1,9,75,27,48,99,0.09375,1.41428571428571,2.0625,4.5,0.434649525558616,1.45833333333333,1.18859361327556,2.5625
"10",1,10,77,27,50,102,0.0927272727272727,1.41666666666667,2.04,4.63636363636364,0.470299884659746,1.44,1.16696278116217,2.52
"11",1,11,77,27,50,104,0.0945454545454545,1.44444444444444,2.08,4.72727272727273,0.430011094674556,1.44,1.15201738907296,2.52
"12",1,12,79,28,51,105,0.0935828877005348,1.43835616438356,2.05882352941176,4.77272727272727,0.46249433106576,1.43137254901961,1.15008238942593,2.49019607843137
"13",1,13,80,28,52,108,0.0944055944055944,1.45945945945946,2.07692307692308,4.90909090909091,0.430812757201646,1.42307692307692,1.15808700231343,2.48076923076923
"14",1,14,80,28,52,110,0.0961538461538462,1.48648648648649,2.11538461538462,5,0.458264462809917,1.42307692307692,1.1814869432122,2.48076923076923
"15",1,15,80,28,52,113,0.0987762237762238,1.52702702702703,2.17307692307692,5.13636363636364,0.450465972276608,1.42307692307692,1.13590169844195,2.48076923076923
"16",1,16,81,28,53,116,0.0994854202401372,1.54666666666667,2.18867924528302,5.27272727272727,0.442404875148632,1.41509433962264,1.16252558471665,2.45283018867925
"17",1,17,81,28,53,117,0.100343053173242,1.56,2.20754716981132,5.31818181818182,0.438965592811747,1.41509433962264,1.1614809496298,2.45283018867925
"18",1,18,82,29,53,121,0.0992616899097621,1.59210526315789,2.28301886792453,5.26086956521739,0.427634724404071,1.43396226415094,1.17749981536327,2.45283018867925
"19",1,19,83,29,54,125,0.100644122383253,1.62337662337662,2.31481481481481,5.43478260869565,0.421888,1.42592592592593,1.18353375336443,2.42592592592593
"20",1,20,84,29,55,128,0.101185770750988,1.64102564102564,2.32727272727273,5.56521739130435,0.41796875,1.41818181818182,1.16127911716929,2.4
"21",1,21,85,29,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408615,1.41071428571429,1.15823606166619,2.375
"22",1,22,85,29,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408616,1.41071428571429,1.15823606166619,2.375
"23",2,1,41,18,23,32,0.126482213438735,0.941176470588235,1.39130434782609,2.90909090909091,0.607421875,1.47826086956522,0.831638386635972,3.39130434782609
"24",2,2,47,21,26,38,0.132867132867133,1.02702702702703,1.46153846153846,3.45454545454545,0.621883656509695,1.42307692307692,0.790102313824942,3.15384615384615
"25",2,3,54,22,32,59,0.141826923076923,1.31111111111111,1.84375,4.53846153846154,0.51364550416547,1.40625,0.868748243496447,3.0625
"26",2,4,54,22,32,61,0.146634615384615,1.35555555555556,1.90625,4.69230769230769,0.474334856221446,1.40625,0.865986456503497,3.0625
