"","replicate","areas","species","hosts","parasites","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","sd_gen","potential_indegree"
"1",1,1,20,10,10,14,0.14,0.7,1.4,1.4,0.724489795918368,2,0.737711113563318,3.5
"2",1,2,35,11,24,31,0.117424242424242,0.885714285714286,1.29166666666667,2.81818181818182,0.614984391259105,1.45833333333333,0.704621744999341,3.25
"3",1,3,39,12,27,40,0.123456790123457,1.02564102564103,1.48148148148148,3.33333333333333,0.569375,1.44444444444444,0.870823365174209,3.33333333333333
"4",1,4,47,14,33,62,0.134199134199134,1.31914893617021,1.87878787878788,4.42857142857143,0.50780437044745,1.42424242424242,0.904084816611268,3.18181818181818
"5",1,5,49,14,35,67,0.136734693877551,1.36734693877551,1.91428571428571,4.78571428571429,0.488750278458454,1.4,0.910885198386624,3.08571428571429
"6",1,6,51,15,36,69,0.127777777777778,1.35294117647059,1.91666666666667,4.6,0.494223902541483,1.41666666666667,0.941174162242408,3.08333333333333
"7",1,7,53,15,38,74,0.129824561403509,1.39622641509434,1.94736842105263,4.93333333333333,0.480642804967129,1.39473684210526,0.941186806709722,3
"8",1,8,57,16,41,80,0.121951219512195,1.40350877192982,1.95121951219512,5,0.4784375,1.39024390243902,0.955271199201771,2.85365853658537
"9",1,9,59,17,42,86,0.120448179271709,1.45762711864407,2.04761904761905,5.05882352941176,0.44104921579232,1.4047619047619,0.993048023323,2.80952380952381
"10",1,10,59,17,42,88,0.123249299719888,1.49152542372881,2.0952380952381,5.17647058823529,0.457128099173554,1.4047619047619,0.980114186287812,2.80952380952381
"11",1,11,62,17,45,95,0.124183006535948,1.53225806451613,2.11111111111111,5.58823529411765,0.416952908587258,1.37777777777778,0.986063098518291,2.71111111111111
"12",1,12,63,17,46,99,0.126598465473146,1.57142857142857,2.15217391304348,5.82352941176471,0.44668911335578,1.3695652173913,0.948325511626213,2.67391304347826
"13",1,13,64,17,47,101,0.126408010012516,1.578125,2.14893617021277,5.94117647058824,0.448583472208607,1.36170212765957,0.943385420288733,2.63829787234043
"14",1,14,70,19,51,112,0.115583075335397,1.6,2.19607843137255,5.89473684210526,0.433992346938776,1.37254901960784,1.00015317454329,2.50980392156863
"15",1,15,70,19,51,112,0.115583075335397,1.6,2.19607843137255,5.89473684210526,0.422831632653061,1.37254901960784,1.00015317454329,2.50980392156863
"16",1,16,72,21,51,114,0.106442577030812,1.58333333333333,2.23529411764706,5.42857142857143,0.418282548476454,1.41176470588235,1.03075723891675,2.50980392156863
"17",1,17,73,21,52,119,0.108974358974359,1.63013698630137,2.28846153846154,5.66666666666667,0.411411623472919,1.40384615384615,1.02603417019615,2.48076923076923
"18",1,18,74,22,52,123,0.107517482517483,1.66216216216216,2.36538461538462,5.59090909090909,0.412519003238813,1.42307692307692,1.04564246995436,2.48076923076923
"19",1,19,74,22,52,124,0.108391608391608,1.67567567567568,2.38461538461538,5.63636363636364,0.413371488033299,1.42307692307692,1.07115888508166,2.48076923076923
"20",1,20,77,23,54,129,0.103864734299517,1.67532467532468,2.38888888888889,5.60869565217391,0.413076137251367,1.42592592592593,1.13263557484346,2.42592592592593
"21",1,21,78,23,55,132,0.104347826086957,1.69230769230769,2.4,5.73913043478261,0.406450872359963,1.41818181818182,1.15749378312528,2.4
"22",1,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408615,1.41071428571429,1.15823606166619,2.375
"23",2,1,29,10,19,27,0.142105263157895,0.931034482758621,1.42105263157895,2.7,0.558299039780521,1.52631578947368,0.743777617054875,3.68421052631579
"24",2,2,33,10,23,33,0.143478260869565,1,1.43478260869565,3.3,0.566574839302112,1.43478260869565,0.727766630709806,3.39130434782609
"25",2,3,39,13,26,44,0.130177514792899,1.12820512820513,1.69230769230769,3.38461538461538,0.572314049586777,1.5,0.96346482178122,3.19230769230769
"26",2,4,49,16,33,54,0.102272727272727,1.10204081632653,1.63636363636364,3.375,0.556927297668039,1.48484848484849,1.03505571460463,2.93939393939394
"27",2,5,54,16,38,65,0.106907894736842,1.2037037037037,1.71052631578947,4.0625,0.504852071005917,1.42105263157895,0.92445787937349,2.86842105263158
"28",2,6,54,16,38,69,0.113486842105263,1.27777777777778,1.81578947368421,4.3125,0.498214660785549,1.42105263157895,0.960312181182522,2.86842105263158
"29",2,7,56,16,40,79,0.1234375,1.41071428571429,1.975,4.9375,0.464989585002404,1.4,0.956271764712088,2.775
"30",2,8,57,16,41,80,0.121951219512195,1.40350877192982,1.95121951219512,5,0.46984375,1.39024390243902,0.955271199201771,2.73170731707317
"31",2,9,58,17,41,82,0.117647058823529,1.41379310344828,2,4.82352941176471,0.431885782272457,1.41463414634146,0.962055231105678,2.73170731707317
"32",2,10,59,17,42,84,0.117647058823529,1.42372881355932,2,4.94117647058824,0.456774376417234,1.4047619047619,1.00535731047172,2.69047619047619
"33",2,11,61,18,43,87,0.112403100775194,1.42622950819672,2.02325581395349,4.83333333333333,0.431100541683181,1.41860465116279,1.02052627848132,2.67441860465116
"34",2,12,68,20,48,100,0.104166666666667,1.47058823529412,2.08333333333333,5,0.4413,1.41666666666667,1.04814594836693,2.58333333333333
"35",2,13,72,21,51,106,0.0989729225023343,1.47222222222222,2.07843137254902,5.04761904761905,0.422125311498754,1.41176470588235,1.13532054326246,2.49019607843137
"36",2,14,72,21,51,107,0.099906629318394,1.48611111111111,2.09803921568627,5.09523809523809,0.438116866101843,1.41176470588235,1.11996377005634,2.49019607843137
"37",2,15,74,21,53,110,0.0988319856244385,1.48648648648649,2.07547169811321,5.23809523809524,0.422479338842975,1.39622641509434,1.11050213146435,2.45283018867925
"38",2,16,75,22,53,112,0.0960548885077187,1.49333333333333,2.11320754716981,5.09090909090909,0.416772959183673,1.41509433962264,1.12712877292535,2.45283018867925
"39",2,17,76,22,54,114,0.095959595959596,1.5,2.11111111111111,5.18181818181818,0.418513388734995,1.40740740740741,1.13393743919265,2.42592592592593
"40",2,18,77,22,55,123,0.101652892561983,1.5974025974026,2.23636363636364,5.59090909090909,0.430299424945469,1.4,1.12993983330951,2.4
"41",2,19,78,23,55,127,0.100395256916996,1.62820512820513,2.30909090909091,5.52173913043478,0.418934837869676,1.41818181818182,1.15127663893638,2.4
"42",2,20,78,23,55,129,0.10197628458498,1.65384615384615,2.34545454545455,5.60869565217391,0.419265669130461,1.41818181818182,1.13548905529276,2.4
"43",2,21,78,23,55,130,0.102766798418972,1.66666666666667,2.36363636363636,5.65217391304348,0.417633136094674,1.41818181818182,1.13351157243695,2.4
"44",2,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408616,1.41071428571429,1.15823606166619,2.375
"45",3,1,28,10,18,23,0.127777777777778,0.821428571428571,1.27777777777778,2.3,0.65406427221172,1.55555555555556,0.699407312994955,3.5
"46",3,2,34,11,23,29,0.114624505928854,0.852941176470588,1.26086956521739,2.63636363636364,0.663495838287753,1.47826086956522,0.634068996529875,3.34782608695652
"47",3,3,37,11,26,38,0.132867132867133,1.02702702702703,1.46153846153846,3.45454545454545,0.581717451523545,1.42307692307692,0.687438663168582,3.30769230769231
"48",3,4,42,11,31,49,0.143695014662757,1.16666666666667,1.58064516129032,4.45454545454545,0.518533944189921,1.35483870967742,0.691907515881455,3.12903225806452
"49",3,5,44,12,32,52,0.135416666666667,1.18181818181818,1.625,4.33333333333333,0.508136094674556,1.375,0.704673136861943,3.125
"50",3,6,52,15,37,72,0.12972972972973,1.38461538461538,1.94594594594595,4.8,0.478202160493827,1.40540540540541,0.850226394532066,3
"51",3,7,52,15,37,75,0.135135135135135,1.44230769230769,2.02702702702703,5,0.486577777777778,1.40540540540541,0.887395742911736,3
"52",3,8,55,15,40,80,0.133333333333333,1.45454545454545,2,5.33333333333333,0.438125,1.375,0.894359998933487,2.875
"53",3,9,57,16,41,84,0.128048780487805,1.47368421052632,2.04878048780488,5.25,0.434098639455782,1.39024390243902,0.909782094477878,2.82926829268293
"54",3,10,63,18,45,95,0.117283950617284,1.50793650793651,2.11111111111111,5.27777777777778,0.423490304709141,1.4,0.991941846858845,2.66666666666667
"55",3,11,64,19,45,99,0.115789473684211,1.546875,2.2,5.21052631578947,0.430670339761249,1.42222222222222,1.00905731203337,2.66666666666667
"56",3,12,67,20,47,103,0.109574468085106,1.53731343283582,2.19148936170213,5.15,0.436893203883495,1.42553191489362,1.02077201842917,2.61702127659574
"57",3,13,70,21,49,108,0.104956268221574,1.54285714285714,2.20408163265306,5.14285714285714,0.434927983539094,1.42857142857143,1.10676232295203,2.55102040816327
"58",3,14,72,22,50,113,0.102727272727273,1.56944444444444,2.26,5.13636363636364,0.475370036807894,1.44,1.11339902878523,2.52
"59",3,15,74,23,51,115,0.0980392156862745,1.55405405405405,2.25490196078431,5,0.477277882797732,1.45098039215686,1.142735774295,2.50980392156863
"60",3,16,74,23,51,116,0.0988917306052856,1.56756756756757,2.27450980392157,5.04347826086957,0.478671224732461,1.45098039215686,1.12737724811186,2.50980392156863
"61",3,17,75,23,52,122,0.102006688963211,1.62666666666667,2.34615384615385,5.30434782608696,0.451894651975275,1.44230769230769,1.1216202333309,2.48076923076923
"62",3,18,75,23,52,124,0.103678929765886,1.65333333333333,2.38461538461538,5.39130434782609,0.41506243496358,1.44230769230769,1.14981036922941,2.48076923076923
"63",3,19,76,23,53,127,0.104183757178015,1.67105263157895,2.39622641509434,5.52173913043478,0.441254882509765,1.43396226415094,1.17559959839136,2.45283018867925
"64",3,20,77,23,54,130,0.104669887278583,1.68831168831169,2.40740740740741,5.65217391304348,0.404970414201183,1.42592592592593,1.15357935599211,2.42592592592593
"65",3,21,78,23,55,131,0.103557312252964,1.67948717948718,2.38181818181818,5.69565217391304,0.409533243983451,1.41818181818182,1.15439648652043,2.4
"66",3,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408615,1.41071428571429,1.15823606166619,2.375
"67",4,1,17,6,11,11,0.166666666666667,0.647058823529412,1,1.83333333333333,0.809917355371901,1.54545454545455,0,3.72727272727273
"68",4,2,25,8,17,23,0.169117647058824,0.92,1.35294117647059,2.875,0.595463137996219,1.47058823529412,0.659064198468296,3.64705882352941
"69",4,3,32,11,21,36,0.155844155844156,1.125,1.71428571428571,3.27272727272727,0.527777777777778,1.52380952380952,0.849940344415569,3.61904761904762
"70",4,4,34,12,22,41,0.15530303030303,1.20588235294118,1.86363636363636,3.41666666666667,0.51219512195122,1.54545454545455,0.860106573635247,3.54545454545455
"71",4,5,48,15,33,59,0.119191919191919,1.22916666666667,1.78787878787879,3.93333333333333,0.503016374604998,1.45454545454545,1.03224247916451,2.96969696969697
"72",4,6,53,15,38,71,0.124561403508772,1.33962264150943,1.86842105263158,4.73333333333333,0.502479666732791,1.39473684210526,1.0292582100791,2.76315789473684
"73",4,7,53,15,38,74,0.129824561403509,1.39622641509434,1.94736842105263,4.93333333333333,0.454894083272462,1.39473684210526,1.01216202999049,2.76315789473684
"74",4,8,55,16,39,77,0.123397435897436,1.4,1.97435897435897,4.8125,0.451678191937932,1.41025641025641,1.01660725907531,2.71794871794872
"75",4,9,58,17,41,81,0.116212338593974,1.39655172413793,1.97560975609756,4.76470588235294,0.445054107605548,1.41463414634146,1.0679439640697,2.68292682926829
"76",4,10,60,17,43,83,0.113543091655267,1.38333333333333,1.93023255813953,4.88235294117647,0.457105530555959,1.3953488372093,1.06284317850873,2.62790697674419
"77",4,11,61,18,43,85,0.109819121447028,1.39344262295082,1.97674418604651,4.72222222222222,0.448719723183391,1.41860465116279,1.07918252187742,2.62790697674419
"78",4,12,64,18,46,97,0.117149758454106,1.515625,2.10869565217391,5.38888888888889,0.434690190243384,1.39130434782609,1.07048718080771,2.6304347826087
"79",4,13,66,19,47,102,0.114221724524076,1.54545454545455,2.17021276595745,5.36842105263158,0.438292964244521,1.40425531914894,1.07361205730832,2.59574468085106
"80",4,14,68,19,49,105,0.112781954887218,1.54411764705882,2.14285714285714,5.52631578947368,0.443628117913832,1.38775510204082,1.05755747624925,2.55102040816327
"81",4,15,68,19,49,109,0.117078410311493,1.60294117647059,2.22448979591837,5.73684210526316,0.433801868529585,1.38775510204082,1.02876927114264,2.55102040816327
"82",4,16,68,19,49,111,0.119226638023631,1.63235294117647,2.26530612244898,5.84210526315789,0.43624705786868,1.38775510204082,1.0594207069627,2.55102040816327
"83",4,17,69,19,50,114,0.12,1.65217391304348,2.28,6,0.428824253616497,1.38,1.0939934888436,2.52
"84",4,18,70,20,50,116,0.116,1.65714285714286,2.32,5.8,0.424123067776457,1.4,1.10021076783061,2.52
"85",4,19,76,22,54,127,0.106902356902357,1.67105263157895,2.35185185185185,5.77272727272727,0.419802839605679,1.40740740740741,1.15757600509318,2.40740740740741
"86",4,20,76,22,54,128,0.107744107744108,1.68421052631579,2.37037037037037,5.81818181818182,0.41748046875,1.40740740740741,1.15510944133166,2.40740740740741
"87",4,21,78,22,56,131,0.106331168831169,1.67948717948718,2.33928571428571,5.95454545454545,0.421187576481557,1.39285714285714,1.14827390534943,2.375
"88",4,22,79,23,56,133,0.103260869565217,1.68354430379747,2.375,5.78260869565217,0.410933348408615,1.41071428571429,1.15823606166619,2.375
"89",5,1,15,6,9,12,0.222222222222222,0.8,1.33333333333333,2,0.576388888888889,1.66666666666667,0.625,4.22222222222222
"90",5,2,25,10,15,22,0.146666666666667,0.88,1.46666666666667,2.2,0.611570247933884,1.66666666666667,0.844571991996826,3.53333333333333
"91",5,3,33,14,19,27,0.101503759398496,0.818181818181818,1.42105263157895,1.92857142857143,0.684499314128944,1.73684210526316,1.02386510915748,3.42105263157895
"92",5,4,36,15,21,32,0.101587301587302,0.888888888888889,1.52380952380952,2.13333333333333,0.640625,1.71428571428571,0.981980506061966,3.61904761904762
"93",5,5,45,15,30,46,0.102222222222222,1.02222222222222,1.53333333333333,3.06666666666667,0.591209829867675,1.5,0.916730614674433,3.23333333333333
"94",5,6,46,15,31,50,0.10752688172043,1.08695652173913,1.61290322580645,3.33333333333333,0.5516,1.48387096774194,0.940544797513139,3.16129032258065
"95",5,7,50,16,34,60,0.110294117647059,1.2,1.76470588235294,3.75,0.566111111111111,1.47058823529412,1.00626872547589,3.05882352941176
