"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1031",4,1,"Galpar","mod2",NA,NA,NA,NA,30.5439176788906,26.5352986454722,1.15106741729106,0.455364086281391,0.480769230769231
"1721",6,1,"Galpar","mod2",NA,NA,NA,NA,4.94844408514457,3.35602208885018,1.47449687580572,0.37938910832314,0.480769230769231
"4127",13,1,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.480769230769231
"4470",14,1,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.480769230769231
"5499",17,1,"Galpar","mod2",NA,NA,NA,NA,4.45864494218655,1.0429485516986,4.27503824126796,0.00523403391226957,0.480769230769231
"8250",25,1,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.480769230769231
"9622",29,1,"Galpar","mod2",NA,NA,NA,NA,6.82762942263548,1.27299050771878,5.36345666463034,0.00303079686017926,0.480769230769231
"10650",32,1,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.480769230769231
"11682",35,1,"Galpar","mod2",NA,NA,NA,NA,2.36683740093816,2.24698164110508,1.0533407828709,0.483465890414852,0.480769230769231
"13060",39,1,"Galpar","mod2",NA,NA,NA,NA,3.44573767041005,2.67196758996948,1.28958812350318,0.419905340868108,0.480769230769231
"14091",42,1,"Galpar","mod2",NA,NA,NA,NA,2.36683740093816,2.24698164110508,1.0533407828709,0.483465890414852,0.480769230769231
"17534",52,1,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.480769230769231
"19257",57,1,"Galpar","mod2",NA,NA,NA,NA,5.98489627806416,3.84927966440422,1.55480941886577,0.363863684000227,0.480769230769231
"24760",73,1,"Galpar","mod2",NA,NA,NA,NA,11.0229531785015,10.4039162182674,1.0595003792079,0.481612732559966,0.480769230769231
"25105",74,1,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.480769230769231
"26139",77,1,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.480769230769231
"26828",79,1,"Galpar","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.480769230769231
"27173",80,1,"Galpar","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.480769230769231
"27518",81,1,"Galpar","mod2",NA,NA,NA,NA,9.31046013854959,5.47165058549991,1.70158163301265,0.338247390572425,0.480769230769231
"28207",83,1,"Galpar","mod2",NA,NA,NA,NA,3.50435132854389,2.69739380950664,1.29916192296179,0.417627221352185,0.480769230769231
"28552",84,1,"Galpar","mod2",NA,NA,NA,NA,9.97465360339645,4.61821137015881,2.15985211674134,0.119592323088879,0.480769230769231
"30269",89,1,"Galpar","mod2",NA,NA,NA,NA,3.50435132854389,2.69739380950664,1.29916192296179,0.417627221352185,0.480769230769231
"30613",90,1,"Galpar","mod2",NA,NA,NA,NA,6.8154273410556,4.25046284850756,1.60345533744605,0.354998423853989,0.480769230769231
"30957",91,1,"Galpar","mod2",NA,NA,NA,NA,4.74759335504814,1.47277900651335,3.22356126346992,0.0842505530162313,0.480769230769231
"33703",99,1,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.480769230769231
"3439",11,2,"Galpar","mod2",NA,NA,NA,NA,8.93708812431252,8.90796585538808,1.00326923894829,0.498961068104596,0.390625
"3783",12,2,"Galpar","mod2",NA,NA,NA,NA,3.70978430172758,2.78762301711665,1.33080559277515,0.410245548446807,0.390625
"4128",13,2,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.390625
"4471",14,2,"Galpar","mod2",NA,NA,NA,NA,3.70978430172758,2.78762301711665,1.33080559277515,0.410245548446807,0.390625
"5500",17,2,"Galpar","mod2",NA,NA,NA,NA,5.05545932486646,0.827467486111688,6.10955645958045,0.0008769868515105,0.390625
"6532",20,2,"Galpar","mod2",NA,NA,NA,NA,5.8374009080431,1.62576181486619,3.59056342366089,0.0229502886748205,0.390625
"7906",24,2,"Galpar","mod2",NA,NA,NA,NA,2.76221840703898,2.39020116524269,1.15564264933262,0.45411412868576,0.390625
"15124",45,2,"Galpar","mod2",NA,NA,NA,NA,6.8154273410556,4.25046284850756,1.60345533744605,0.354998423853989,0.390625
"17190",51,2,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.390625
"18913",56,2,"Galpar","mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.390625
"19258",57,2,"Galpar","mod2",NA,NA,NA,NA,6.58391751214572,2.26821670802608,2.90268451371889,0.0623660053581754,0.390625
"20291",60,2,"Galpar","mod2",NA,NA,NA,NA,8.65617512038421,6.13446606797704,1.41107229618091,0.392494137741322,0.390625
"21320",63,2,"Galpar","mod2",NA,NA,NA,NA,17.6802874426915,20.0846398132601,0.880288997317181,0.540476581428811,0.390625
"23039",68,2,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.390625
"23383",69,2,"Galpar","mod2",NA,NA,NA,NA,17.2778605856394,14.9946094925639,1.15227146090118,0.455034591367818,0.390625
"25450",75,2,"Galpar","mod2",NA,NA,NA,NA,11.9333290796797,9.62572973123742,1.23973240604851,0.432117101720152,0.390625
"25795",76,2,"Galpar","mod2",NA,NA,NA,NA,10.8566952088933,3.45143792454762,3.14555714059853,0.0879388840324719,0.390625
"27174",80,2,"Galpar","mod2",NA,NA,NA,NA,2.57329674564496,2.31923279534546,1.10954654953543,0.466970667804896,0.390625
"28553",84,2,"Galpar","mod2",NA,NA,NA,NA,33.3173986942297,21.3396963374542,1.5612873851327,0.258846986367056,0.390625
"29925",88,2,"Galpar","mod2",NA,NA,NA,NA,21.1112888441018,14.0015543235298,1.50778180452608,0.270624078855381,0.390625
"31300",92,2,"Galpar","mod2",NA,NA,NA,NA,7.55876459396235,2.66104679691307,2.84052298619132,0.065618328685981,0.390625
"31986",94,2,"Galpar","mod2",NA,NA,NA,NA,15.117476244813,3.44041916740095,4.39407976448214,0.0117452102713703,0.390625
"33019",97,2,"Galpar","mod2",NA,NA,NA,NA,9.79805756203498,5.9054394327085,1.65915808191451,0.345311267186029,0.390625
"33704",99,2,"Galpar","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.390625
"34049",100,2,"Galpar","mod2",NA,NA,NA,NA,4.50752193496053,0.833456410567549,5.40822756632359,0.00165101483148637,0.390625
"1033",4,3,"Galpar","mod2",NA,NA,NA,NA,6.21764449650657,1.83545112874763,3.38752931043662,0.0275928558762591,0.421052631578947
"1722",6,3,"Galpar","mod2",NA,NA,NA,NA,3.62170743928614,2.74875029838995,1.3175832819036,0.413302632611384,0.421052631578947
"3096",10,3,"Galpar","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.421052631578947
"3784",12,3,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.421052631578947
"4129",13,3,"Galpar","mod2",NA,NA,NA,NA,2.1284609494387,2.17313071271231,0.979444511546267,0.506610723335311,0.421052631578947
"4472",14,3,"Galpar","mod2",NA,NA,NA,NA,3.62170743928614,2.74875029838995,1.3175832819036,0.413302632611384,0.421052631578947
"5501",17,3,"Galpar","mod2",NA,NA,NA,NA,31.8354433074732,8.32489266248336,3.82412658014698,0.00871864269991036,0.421052631578947
"5844",18,3,"Galpar","mod2",NA,NA,NA,NA,6.8154273410556,4.25046284850756,1.60345533744605,0.354998423853989,0.421052631578947
"7564",23,3,"Galpar","mod2",NA,NA,NA,NA,7.66510328931147,1.85140592903043,4.14015271806202,0.0255845980832184,0.421052631578947
"8594",26,3,"Galpar","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.421052631578947
"10308",31,3,"Galpar","mod2",NA,NA,NA,NA,5.50184008139636,2.89284145673722,1.90188095810884,0.308168678473308,0.421052631578947
"10995",33,3,"Galpar","mod2",NA,NA,NA,NA,4.74759335504814,1.47277900651335,3.22356126346992,0.0842505530162313,0.421052631578947
"11684",35,3,"Galpar","mod2",NA,NA,NA,NA,16.0630167899505,6.00346404206615,2.67562471889516,0.07532875068146,0.421052631578947
"12717",38,3,"Galpar","mod2",NA,NA,NA,NA,4.46836524138955,1.00607537912703,4.44138216091395,0.00436935326007596,0.421052631578947
"14436",43,3,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.421052631578947
"14780",44,3,"Galpar","mod2",NA,NA,NA,NA,68.6426569189445,51.6200562191128,1.32976718637375,0.314978842994272,0.421052631578947
"15469",46,3,"Galpar","mod2",NA,NA,NA,NA,4.99745948337511,0.905933808348841,5.51636271581861,0.00149196120477807,0.421052631578947
"16501",49,3,"Galpar","mod2",NA,NA,NA,NA,5.90446587457259,1.22554306458569,4.81783630881114,0.00294657056195623,0.421052631578947
"17880",53,3,"Galpar","mod2",NA,NA,NA,NA,8.30730058749812,2.75858812796206,3.01143200874835,0.0571466414955684,0.421052631578947
"18225",54,3,"Galpar","mod2",NA,NA,NA,NA,11.0229531785015,10.4039162182674,1.0595003792079,0.481612732559966,0.421052631578947
"18914",56,3,"Galpar","mod2",NA,NA,NA,NA,17.8819835266927,18.1823172990998,0.983482095958032,0.505301475245337,0.421052631578947
"19948",59,3,"Galpar","mod2",NA,NA,NA,NA,8.53964771688776,1.63874376299389,5.21109395485132,0.0034352051507319,0.421052631578947
"21321",63,3,"Galpar","mod2",NA,NA,NA,NA,53.0315348900949,56.1595579007263,0.94430114609946,0.51823241042759,0.421052631578947
"21664",64,3,"Galpar","mod2",NA,NA,NA,NA,3.50435132854389,2.69739380950664,1.29916192296179,0.417627221352185,0.421052631578947
"22006",65,3,"Galpar","mod2",NA,NA,NA,NA,11.9333290796797,9.62572973123742,1.23973240604851,0.432117101720152,0.421052631578947
"23040",68,3,"Galpar","mod2",NA,NA,NA,NA,5.50184008139636,2.89284145673722,1.90188095810884,0.308168678473308,0.421052631578947
"23727",70,3,"Galpar","mod2",NA,NA,NA,NA,6.8154273410556,4.25046284850756,1.60345533744605,0.354998423853989,0.421052631578947
"24417",72,3,"Galpar","mod2",NA,NA,NA,NA,10.8400031769835,4.28762754048326,2.5282054177126,0.0855585925989776,0.421052631578947
"25106",74,3,"Galpar","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.421052631578947
"27863",82,3,"Galpar","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.421052631578947
"29926",88,3,"Galpar","mod2",NA,NA,NA,NA,6.20505948653989,1.34967540214536,4.5974457833911,0.00585388101656808,0.421052631578947
"34050",100,3,"Galpar","mod2",NA,NA,NA,NA,26.1489637314914,5.48049673611449,4.7712762164749,0.00203271106718397,0.421052631578947
"690",3,4,"Galpar","mod3",0.86325119529999,0.193429323822389,4.46287655998139,0.0111355869810062,NA,NA,NA,NA,0.426829268292683
"1034",4,4,"Galpar","mod3",0.95868691152788,0.176794658910432,5.42260109799793,0.0123048774035056,NA,NA,NA,NA,0.426829268292683
"1379",5,4,"Galpar","mod3",0.811999616739629,0.24061813790159,3.37464009912556,0.0279235335365551,NA,NA,NA,NA,0.426829268292683
"1723",6,4,"Galpar","mod3",0.970590038218888,0.169558358915087,5.72422406320262,0.010581592654898,NA,NA,NA,NA,0.426829268292683
"2754",9,4,"Galpar","mod3",1.1468394801015,0.0673761638689814,17.0214422170372,0.000441683903328473,NA,NA,NA,NA,0.426829268292683
"3441",11,4,"Galpar","mod3",0.594813649313637,0.185372792213359,3.20874299950676,0.0490032613447894,NA,NA,NA,NA,0.426829268292683
"3785",12,4,"Galpar","mod3",1.36784535649626,0.262419345812791,5.2124409969076,0.0137277673659771,NA,NA,NA,NA,0.426829268292683
"4130",13,4,"Galpar","mod3",0.643588061696426,0.124496384700338,5.16953213738324,0.0140443382738581,NA,NA,NA,NA,0.426829268292683
"4473",14,4,"Galpar","mod3",1.02855113818803,0.103716357953752,9.91696159102185,0.000580437947161638,NA,NA,NA,NA,0.426829268292683
"4815",15,4,"Galpar","mod3",0.65705483584037,0.156355003541648,4.20232689045575,0.0245959756667568,NA,NA,NA,NA,0.426829268292683
"5157",16,4,"Galpar","mod3",1.08025351287951,0.139621406127474,7.73701929268096,0.00448982564096352,NA,NA,NA,NA,0.426829268292683
"6190",19,4,"Galpar","mod3",0.551024552130166,0.171242808674254,3.21779674367728,0.0323481666626126,NA,NA,NA,NA,0.426829268292683
"6534",20,4,"Galpar","mod3",0.813362165792911,0.185922523970379,4.37473711319933,0.00719001756000125,NA,NA,NA,NA,0.426829268292683
"9625",29,4,"Galpar","mod3",0.831188546657979,0.197348308503951,4.21178449898566,0.0244499387789345,NA,NA,NA,NA,0.426829268292683
"10653",32,4,"Galpar","mod3",0.898700529509221,0.205205114651452,4.37952304958721,0.00467061115530843,NA,NA,NA,NA,0.426829268292683
"11685",35,4,"Galpar","mod3",1.19672572069034,0.210661271516453,5.68080555137481,0.0047394450103368,NA,NA,NA,NA,0.426829268292683
"16502",49,4,"Galpar","mod3",0.985049952256809,0.247531390125186,3.97949509255626,0.0164080348897956,NA,NA,NA,NA,0.426829268292683
"17192",51,4,"Galpar","mod3",0.854813847771462,0.198655629596122,4.30299332321639,0.0230974339001932,NA,NA,NA,NA,0.426829268292683
"18915",56,4,"Galpar","mod3",1.36784535649626,0.262419345812791,5.2124409969076,0.0137277673659771,NA,NA,NA,NA,0.426829268292683
"19260",57,4,"Galpar","mod3",1.01733859385973,0.157080653876413,6.47653653555672,0.00747085210516894,NA,NA,NA,NA,0.426829268292683
"19605",58,4,"Galpar","mod3",0.681396046436639,0.11769410763233,5.78955106712126,0.00216469546654041,NA,NA,NA,NA,0.426829268292683
"24763",73,4,"Galpar","mod3",1.14706751257147,0.208589928132415,5.49915100331833,0.00533109744950193,NA,NA,NA,NA,0.426829268292683
"25107",74,4,"Galpar","mod3",1.23876266571803,0.146183032602713,8.4740523141606,0.00345018639340197,NA,NA,NA,NA,0.426829268292683
"25452",75,4,"Galpar","mod3",1.07436753386157,0.280720790486632,3.8271747952802,0.0314204174614369,NA,NA,NA,NA,0.426829268292683
"25796",76,4,"Galpar","mod3",1.20880629281893,0.253781132445739,4.76318424923643,0.0175722457522169,NA,NA,NA,NA,0.426829268292683
"26141",77,4,"Galpar","mod3",0.644822145466908,0.234824221579216,2.74597799635155,0.0709812555322997,NA,NA,NA,NA,0.426829268292683
"26486",78,4,"Galpar","mod3",1.00809227310843,0.164515786295817,6.12763246498285,0.00167983471449964,NA,NA,NA,NA,0.426829268292683
"26829",79,4,"Galpar","mod3",0.586351560918672,0.0462135470598472,12.6878718086569,0.0010560310657233,NA,NA,NA,NA,0.426829268292683
"28555",84,4,"Galpar","mod3",1.13640678391644,0.149346098302045,7.60921642303715,0.00160092386776005,NA,NA,NA,NA,0.426829268292683
"30271",89,4,"Galpar","mod3",0.920544934638674,0.237433221646287,3.8770687954108,0.0303830149297695,NA,NA,NA,NA,0.426829268292683
"30614",90,4,"Galpar","mod3",0.625869422776059,0.0797021756875572,7.85260148015968,0.00430169023844504,NA,NA,NA,NA,0.426829268292683
"30958",91,4,"Galpar","mod3",0.926550201643615,0.31181979902256,2.97142838443231,0.0590005452845334,NA,NA,NA,NA,0.426829268292683
"31302",92,4,"Galpar","mod3",1.4810488110785,0.145785962249726,10.1590632474032,0.00203219170415676,NA,NA,NA,NA,0.426829268292683
"31988",94,4,"Galpar","mod3",0.625481085701805,0.107751041600492,5.80487275492795,0.00213942787940922,NA,NA,NA,NA,0.426829268292683
"33706",99,4,"Galpar","mod3",0.854438180966061,0.279454590842696,3.05752064544548,0.0551004894174024,NA,NA,NA,NA,0.426829268292683
"5",1,5,"Galpar","mod2",NA,NA,NA,NA,11.5995292580484,5.46671638830891,2.12184580909576,0.123965277433447,0.414893617021277
"1035",4,5,"Galpar","mod2",NA,NA,NA,NA,30.962021119284,20.2475330248898,1.52917499041602,0.265835155419321,0.414893617021277
"2410",8,5,"Galpar","mod2",NA,NA,NA,NA,7.52450025717007,2.03067738872962,3.7054139170168,0.0207369887854705,0.414893617021277
"2755",9,5,"Galpar","mod2",NA,NA,NA,NA,24.7149478814896,13.5851112003453,1.81926724904993,0.210485434631119,0.414893617021277
"3097",10,5,"Galpar","mod2",NA,NA,NA,NA,17.2778605856394,14.9946094925639,1.15227146090118,0.455034591367818,0.414893617021277
"4131",13,5,"Galpar","mod2",NA,NA,NA,NA,3.62170743928614,2.74875029838995,1.3175832819036,0.413302632611384,0.414893617021277
"4816",15,5,"Galpar","mod2",NA,NA,NA,NA,7.33741144388662,1.5003241946989,4.89055063553059,0.00451137092891782,0.414893617021277
"5846",18,5,"Galpar","mod2",NA,NA,NA,NA,6.86215902153427,1.16963398946348,5.86692852922477,0.00108463507365113,0.414893617021277
"6535",20,5,"Galpar","mod2",NA,NA,NA,NA,6.81645544636943,2.14277130170881,3.18113997556971,0.0334986605561067,0.414893617021277
"7221",22,5,"Galpar","mod2",NA,NA,NA,NA,3.15277802148975,1.36610651803992,2.30785665675128,0.147352788541631,0.414893617021277
"8595",26,5,"Galpar","mod2",NA,NA,NA,NA,3.2633884784057,1.26627809761139,2.57714990456008,0.123322123381473,0.414893617021277
"9967",30,5,"Galpar","mod2",NA,NA,NA,NA,16.2484219771225,12.6622903526216,1.28321350440037,0.421433958819233,0.414893617021277
"10654",32,5,"Galpar","mod2",NA,NA,NA,NA,4.99988865114906,0.957533646043141,5.22163233825811,0.00122361340625101,0.414893617021277
"10997",33,5,"Galpar","mod2",NA,NA,NA,NA,8.39635345033107,2.52578522124904,3.32425472272696,0.0449112171719622,0.414893617021277
"12373",37,5,"Galpar","mod2",NA,NA,NA,NA,2.18773974103178,2.19031118715343,0.998825990509144,0.500373918276243,0.414893617021277
"12719",38,5,"Galpar","mod2",NA,NA,NA,NA,6.47680661836921,1.32109499451567,4.90260476745178,0.00118984818242007,0.414893617021277
