"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"9856",28,1,"Salgal","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,1
"24137",67,1,"Salgal","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,1
"32931",91,1,"Salgal","mod2",NA,NA,NA,NA,2.10693120292477,2.16708275763156,0.972243074476523,0.508959058492753,1
"725",3,2,"Salgal","mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.75
"4017",12,2,"Salgal","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.75
"5112",15,2,"Salgal","mod2",NA,NA,NA,NA,2.1284609494387,2.17313071271231,0.979444511546267,0.506610723335311,0.75
"8761",25,2,"Salgal","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.75
"15351",43,2,"Salgal","mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.75
"23026",64,2,"Salgal","mod2",NA,NA,NA,NA,3.70978430172758,2.78762301711665,1.33080559277515,0.410245548446807,0.75
"25604",71,2,"Salgal","mod2",NA,NA,NA,NA,2.15478965780776,2.18066360453754,0.988134828922746,0.503799296065666,0.75
"28190",78,2,"Salgal","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.75
"32932",91,2,"Salgal","mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.75
"726",3,3,"Salgal","mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.916666666666667
"1098",4,3,"Salgal","mod2",NA,NA,NA,NA,2.48707060788409,2.2882866071851,1.0868702373535,0.473514692231281,0.916666666666667
"4018",12,3,"Salgal","mod2",NA,NA,NA,NA,2.36683740093816,2.24698164110508,1.0533407828709,0.483465890414852,0.916666666666667
"5113",15,3,"Salgal","mod2",NA,NA,NA,NA,2.78985431552083,2.40090433769329,1.16200144742178,0.452386270699116,0.916666666666667
"9858",28,3,"Salgal","mod2",NA,NA,NA,NA,2.10693120292477,2.16708275763156,0.972243074476523,0.508959058492753,0.916666666666667
"10963",31,3,"Salgal","mod2",NA,NA,NA,NA,2.20755464149259,2.19624957307576,1.00514744251083,0.498365727920255,0.916666666666667
"11699",33,3,"Salgal","mod2",NA,NA,NA,NA,2.23022801789527,2.20315358675922,1.01228894403857,0.496112244454458,0.916666666666667
"13533",38,3,"Salgal","mod2",NA,NA,NA,NA,2.18773974103178,2.19031118715343,0.998825990509144,0.500373918276243,0.916666666666667
"15722",44,3,"Salgal","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.916666666666667
"18279",51,3,"Salgal","mod2",NA,NA,NA,NA,2.02360461431535,2.14499240018997,0.943408757129455,0.518532861983337,0.916666666666667
"19009",53,3,"Salgal","mod2",NA,NA,NA,NA,2.18773974103178,2.19031118715343,0.998825990509144,0.500373918276243,0.916666666666667
"21563",60,3,"Salgal","mod2",NA,NA,NA,NA,4.32811008515905,3.06725859263433,1.41106788177316,0.392495077289178,0.916666666666667
"22656",63,3,"Salgal","mod2",NA,NA,NA,NA,2.42020086115321,2.26502906591429,1.06850763973586,0.478923267528248,0.916666666666667
"23027",64,3,"Salgal","mod2",NA,NA,NA,NA,3.07680521057569,2.32148010281323,1.32536359318658,0.411499068402886,0.916666666666667
"24138",67,3,"Salgal","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.916666666666667
"25234",70,3,"Salgal","mod2",NA,NA,NA,NA,2.68862305485446,2.36207813810424,1.13824475637893,0.458897584757842,0.916666666666667
