"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"723",3,1,"Salgal","mod2",NA,NA,NA,NA,2.2508650512483,2.2095350713305,1.01870528350243,0.494101262509543,0.947368421052632
"1835",6,1,"Salgal","mod2",NA,NA,NA,NA,2.54191946300688,2.30786162249927,1.10141762323433,0.46929957847054,0.947368421052632
"5170",15,1,"Salgal","mod2",NA,NA,NA,NA,3.86988844008616,2.46800544815288,1.56802264880837,0.361416965034315,0.947368421052632
"7362",21,1,"Salgal","mod2",NA,NA,NA,NA,3.86988844008616,2.46800544815288,1.56802264880837,0.361416965034315,0.947368421052632
"10274",29,1,"Salgal","mod2",NA,NA,NA,NA,2.24283676583271,2.20704166456634,1.01621858882007,0.4948791010621,0.947368421052632
"11745",33,1,"Salgal","mod2",NA,NA,NA,NA,3.09502979464549,2.52349599658767,1.22648492362605,0.435463059958,0.947368421052632
"13574",38,1,"Salgal","mod2",NA,NA,NA,NA,2.54191946300688,2.30786162249927,1.10141762323433,0.46929957847054,0.947368421052632
"17999",50,1,"Salgal","mod2",NA,NA,NA,NA,2.0890324898466,2.16216843563836,0.966174723214765,0.510951069464131,0.947368421052632
"18745",52,1,"Salgal","mod2",NA,NA,NA,NA,2.01673685553257,2.14326549936859,0.940964549714772,0.51935715514244,0.947368421052632
"19860",55,1,"Salgal","mod2",NA,NA,NA,NA,2.50729101272999,2.28027885625005,1.09955455924073,0.469835999187665,0.947368421052632
"26868",74,1,"Salgal","mod2",NA,NA,NA,NA,2.14092694400865,2.17667543791755,0.983576562088146,0.505270906399198,0.947368421052632
"28331",78,1,"Salgal","mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.947368421052632
"28705",79,1,"Salgal","mod2",NA,NA,NA,NA,2.33687591229114,2.23706408310979,1.04461733123112,0.486109983777434,0.947368421052632
"29821",82,1,"Salgal","mod2",NA,NA,NA,NA,2.24283676583271,2.20704166456634,1.01621858882007,0.4948791010621,0.947368421052632
"30566",84,1,"Salgal","mod2",NA,NA,NA,NA,2.28703467997029,2.22093412694928,1.02976250048074,0.490665884050944,0.947368421052632
"30940",85,1,"Salgal","mod2",NA,NA,NA,NA,2.2508650512483,2.2095350713305,1.01870528350243,0.494101262509543,0.947368421052632
"35379",97,1,"Salgal","mod2",NA,NA,NA,NA,2.56892127219256,2.28039413577766,1.12652511769265,0.462166661838191,0.947368421052632
"36124",99,1,"Salgal","mod2",NA,NA,NA,NA,2.04973663966679,2.15169867590702,0.952613236517773,0.515446699690269,0.947368421052632
"724",3,2,"Salgal","mod2",NA,NA,NA,NA,2.2508650512483,2.2095350713305,1.01870528350243,0.494101262509543,0.96875
"1836",6,2,"Salgal","mod2",NA,NA,NA,NA,2.20065988674412,2.19417299308682,1.00295641851292,0.499060332468297,0.96875
