"";"RGALLER";"GENUS";"SPECIES";"GENUS_SPECIES";"AUTHOR";"CODE_GALLTYPE";"CODE_GALLTYPE SIMPLIFIED"
"1";"Oelaea";"Pontania";"elaeagnocola";"Pontania elaeagnocola";"Kopelke 1994";"RK1";"Leaf blade sausage gall"
"2";"Obridg";"Pontania";"bridgmanii";"Pontania bridgmanii";"(Cameron 1883)";"RK3";"Leaf blade bean gall"
"3";"Ovaria";"Pontania";"varia";"Pontania varia";"Kopelke 1991";"RK4";"Leaf midrib pea gall"
"4";"Oobscu";"Pontania";"obscura";"Pontania obscura";"Kopelke 2005";"RK3";"Leaf blade bean gall"
"5";"Okriec";"Pontania";"kriechbaumeri";"Pontania kriechbaumeri";"Konow 1901";"RK4";"Leaf midrib pea gall"
"6";"Onigri";"Pontania";"nigricantis";"Pontania nigricantis";"Kopelke 1986";"RK1";"Leaf blade sausage gall"
"7";"Ofoeti";"Pontania";"foetidae";"Pontania foetidae";"Kopelke 1989";"RK2";"Leaf midrib bean gall"
"8";"Ohasta";"Pontania";"hastatae";"Pontania hastatae";"Vikberg 1970";"RK4";"Leaf midrib pea gall"
"9";"Oadaph";"Pontania";"acutifoliae daphnoides";"Pontania acutifoliae daphnoides";"Zinovjev 1993";"RK4";"Leaf midrib pea gall"
"10";"Ohelve";"Pontania";"helveticae";"Pontania helveticae";"Kopelke 1986";"RK1";"Leaf blade sausage gall"
"11";"Onival";"Pontania";"nivalis";"Pontania nivalis";"Vikberg 1970";"RK4";"Leaf midrib pea gall"
"12";"Ovimin";"Pontania";"viminalis";"Pontania viminalis";"(Linnaeus 1758)";"RK4";"Leaf midrib pea gall"
"13";"Oproxi";"Pontania";"proxima";"Pontania proxima";"(Serville 1823)";"RK3";"Leaf blade bean gall"
"14";"Ocolla";"Pontania";"collactanea";"Pontania collactanea";"(Förster 1854)";"RK4";"Leaf midrib pea gall"
"15";"Osamol";"Pontania";"samolad";"Pontania samolad";"Malaise 1920";"RK4";"Leaf midrib pea gall"
"16";"Omyrsi";"Pontania";"myrsiniticola";"Pontania myrsiniticola";"Kopelke 1991";"RK4";"Leaf midrib pea gall"
"17";"Oarcti";"Pontania";"arcticornis";"Pontania arcticornis";"Konow 1904";"RK4";"Leaf midrib pea gall"
"18";"Eboreo";"Euura";"boreoalpina";"Euura boreoalpina";"Kopelke 2001";"Knospe";"Bud gall"
"19";"Oglauc";"Pontania";"glaucae";"Pontania glaucae";"Kopelke 1994";"RK1";"Leaf blade sausage gall"
"20";"Elappo";"Euura";"lappo";"Euura lappo";"Malaise 1920";"Knospe";"Bud gall"
"21";"Elappc";"Euura";"lapponica";"Euura lapponica";"Kopelke 1996";"Sproß";"Shoot gall"
"22";"Olappo";"Pontania";"lapponica";"Pontania lapponica";"Malaise 1920";"RK2";"Leaf midrib bean gall"
"23";"Olappl";"Pontania";"lapponicola";"Pontania lapponicola";"Kopelke 1994";"RK1";"Leaf blade sausage gall"
"24";"Emyrsi";"Euura";"myrsinifoliae";"Euura myrsinifoliae";"Kopelke 2001";"Knospe";"Bud gall"
"25";"Ogalla";"Pontania";"gallarum";"Pontania gallarum";"(Hartig 1837)";"RK4";"Leaf midrib pea gall"
"26";"Hischn";"Phyllocolpa";"ischnocera";"Phyllocolpa ischnocera";"(Thomson 1862)";"Blattfalte einfach";"Leaf fold"
"27";"Ehasta";"Euura";"hastatae";"Euura hastatae";"Malaise 1920";"Knospe";"Bud gall"
"28";"Egemmf";"Euura";"gemmafoetidae";"Euura gemmafoetidae";"Kopelke 2001";"Knospe";"Bud gall"
"29";"Omonti";"Pontania";"montivaga";"Pontania montivaga";"Kopelke 1991";"RK4";"Leaf midrib pea gall"
"30";"Eelaea";"Euura";"elaeagnos";"Euura elaeagnos";"Kopelke 1996";"Sproß";"Shoot gall"
"31";"Hcarin";"Phyllocolpa";"carinifrons";"Phyllocolpa carinifrons";"(Benson 1940)";"Blattfalte einfach";"Leaf fold"
"32";"Egemmh";"Euura";"gemmahelveticae";"Euura gemmahelveticae";"Kopelke 2001";"Knospe";"Bud gall"
"33";"Hplicg";"Phyllocolpa";"plicaglauca";"Phyllocolpa plicaglauca";"Kopelke 2007";"Blattfalte einfach";"Leaf fold"
"34";"Omacul";"Pontania";"maculosa";"Pontania maculosa";"Kopelke 1989";"RK2";"Leaf midrib bean gall"
"35";"Hspirh";"Phyllocolpa";"spirhelvetica";"Phyllocolpa spirhelvetica";"Kopelke 2007";"Blattrolle verdrillt";"Leaf roll"
"36";"Obrevi";"Pontania";"breviserratae";"Pontania breviserratae";"Kopelke 1989";"RK2";"Leaf midrib bean gall"
"37";"Oretic";"Pontania";"reticulatae";"Pontania reticulatae";"Malaise 1920";"RK4";"Leaf midrib pea gall"
"38";"Oretus";"Pontania";"retusae";"Pontania retusae";"Benson 1960";"RK2";"Leaf midrib bean gall"
"39";"Enigri";"Euura";"nigritarsis";"Euura nigritarsis";"Cameron 1885";"Knospe";"Bud gall"
"40";"Emucro";"Euura";"mucronata";"Euura mucronata";"(Hartig 1837)";"Knospe";"Bud gall"
