"";"REARING_NUMBER";"RSAL";"RGALLER";"RPAR";"N_GALLS";"NB_GALLS_PAR"
"12";"198714E1-J1Oelaea";"Sal1";"Oelaea";"Pdolic";22;9
"12100";"198714E1-J1Oelaea";"Sal1";"Oelaea";"Chalci";22;3
"12101";"198714E1-J1Oelaea";"Sal1";"Oelaea";"Svesic";22;2
"12102";"198714E1-J1Oelaea";"Sal1";"Oelaea";"Ccruxx";22;5
"12103";"198714E1-J1Oelaea";"Sal1";"Oelaea";"Hruber";22;1
"13";"198714L1-V1Obridg";"Sal2";"Obridg";"Chalci";32;7
"13100";"198714L1-V1Obridg";"Sal2";"Obridg";"Ccruxx";32;8
"14";"198715A1-V1Ovaria";"Sal3";"Ovaria";"Eacicu";66;2
"14100";"198715A1-V1Ovaria";"Sal3";"Ovaria";"Chalci";66;27
"14101";"198715A1-V1Ovaria";"Sal3";"Ovaria";"Hruber";66;1
"15";"198715A-VOobscu";"Sal4";"Oobscu";"Chalci";66;34
"16";"198714A-C1Okriec";"Sal1";"Okriec";"Eacicu";91;1
"16100";"198714A-C1Okriec";"Sal1";"Okriec";"Etorym";91;4
"16101";"198714A-C1Okriec";"Sal1";"Okriec";"Pdolic";91;1
"16102";"198714A-C1Okriec";"Sal1";"Okriec";"Chalci";91;64
"16103";"198714A-C1Okriec";"Sal1";"Okriec";"Ccruxx";91;8
"17";"198716A-C1Onigri";"Sal3";"Onigri";"Pdolic";92;1
"17100";"198716A-C1Onigri";"Sal3";"Onigri";"Chalci";92;23
"17101";"198716A-C1Onigri";"Sal3";"Onigri";"Broman";92;1
"17102";"198716A-C1Onigri";"Sal3";"Onigri";"Hruber";92;2
"18";"198716E1-V1Ovaria";"Sal3";"Ovaria";"Eacicu";54;4
"18100";"198716E1-V1Ovaria";"Sal3";"Ovaria";"Pdolic";54;1
"18101";"198716E1-V1Ovaria";"Sal3";"Ovaria";"Chalci";54;19
"19";"198717A-P1Ofoeti";"Sal4";"Ofoeti";"Pdolic";125;1
"19100";"198717A-P1Ofoeti";"Sal4";"Ofoeti";"Chalci";125;5
"19101";"198717A-P1Ofoeti";"Sal4";"Ofoeti";"Hruber";125;2
"20";"198718A-Q1Oobscu";"Sal4";"Oobscu";"Chalci";129;1
"21";"198719A-DOnigri";"Sal3";"Onigri";"Chalci";14;1
"22";"198719F-JOvaria";"Sal3";"Ovaria";"Hruber";14;1
