"";"RPAR";"ORDER";"SUPERFAMILY";"FAMILY";"GENUS";"GOODNESS OF ID";"P/I";"ENDO/ECTO";"KOINO/IDIO";"1INSTAR/LINSTAR/COCOON/EGG";"FULL_NAME"
"1";"Aacumi";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Anaprostocetus";"species";"P";"Endo";"Koino";"1INSTAR";"Anaprostocetus acuminatus (Ratzeburg 1848)"
"2";"Aalvea";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Aprostocetus";"species";"P";"Endo";"Koino";"1INSTAR";"Aprostocetus alveatus Graham 1961"
"3";"Atymbe";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Aprostocetus";"species";"P";"Endo";"Koino";"1INSTAR";"Aprostocetus tymber (Walker 1839)"
"4";"Aprost";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Aprostocetus";"genus";"P";"Endo";"Koino";"1INSTAR";"Aprostocetus sp."
"5";"Celong";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Chrysocharis";"species";"P";"Endo";"Idio";"1INSTAR";"Chrysocharis elongata (Thomson 1878)"
"6";"Cvitta";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Cirrospilus";"species";"P";"Ecto";"Idio";"1INSTAR";"Cirrospilus vittatus Walker 1838"
"7";"Ctrifa";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Closterocerus";"species";"P";"Endo";"Idio";"1INSTAR";"Closterocerus trifasciatus Westwood 1833"
"8";"Dwestw";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Dicladocerus";"species";"P";"Ecto";"Koino";"1INSTAR";"Dicladocerus westwoodi Westwood 1832"
"9";"Eheyer";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Entedon";"species";"P";"Ecto";"Idio";"1INSTAR";"Entedon heyeri (Ratzeburg 1848)"
"10";"Ealbit";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Euderus";"species";"P";"Ecto";"Idio";"1INSTAR";"Euderus albitarsis (Zetterstedt 1838)"
"11";"Psauli";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Pediobius";"species";"P";"Endo";"Koino";"1INSTAR";"Pediobius saulius (Walker 1839)"
"12";"Pnemat";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Pnigalio";"species";"P";"Ecto";"Idio";"LINSTAR";"Pnigalio nemati (Westwood 1838)"
"13";"Ppecti";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Pnigalio";"species";"P";"Ecto";"Idio";"LINSTAR";"Pnigalio pectinicornis (Linnaeus 1758)"
"14";"Psoemi";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Pnigalio";"species";"P";"Ecto";"Idio";"LINSTAR";"Pnigalio soemius (Walker 1839)"
"15";"Tspone";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.1"
"16";"Tsptwo";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.2"
"17";"Tspthr";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.3"
"18";"Tspfou";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.4"
"19";"Tspfiv";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.5"
"20";"Tspsix";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"species";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp.6"
"21";"Tetras";"Hymenoptera";"Chalcidoidea";"Eulophidae";"Tetrastichus";"genus";"P";"Endo";"Koino";"1INSTAR";"Tetrastichus sp."
