"";"RSAL";"SPECIES";"AUTHOR"
"1";"Sal1";"elaeagnos";"Scop. 1772"
"2";"Sal2";"appendiculata";"Villars 1789"
"3";"Sal3";"myrsinifolia";"Salisbury 1796"
"4";"Sal4";"foetida";"Schleich. 1805"
"5";"Sal5";"hastata";"Linnaeus 1753"
"6";"Sal6";"daphnoides";"Villars 1789"
"7";"Sal7";"helvetica";"Villars 1789"
"8";"Sal8";"glaucosericea";"Floderus 1943"
"9";"Sal9";"cinerea";"Linnaeus 1753"
"10";"Sal10";"purpurea";"Linnaeus 1753"
"11";"Sal11";"alba";"Linnaeus 1753"
"12";"Sal12";"fragilis";"Linnaeus 1753"
"13";"Sal13";"repens";"Linnaeus 1753"
"14";"Sal14";"lapponum";"Linnaeus 1753"
"15";"Sal15";"myrsinites";"Linnaeus 1753"
"16";"Sal16";"phylicifolia";"Linnaeus 1753"
"17";"Sal17";"glauca";"Linnaeus 1753"
"18";"Sal18";"caprea";"Linnaeus 1753"
"19";"Sal19";"mielichhoferi";"Sauter 1849"
"20";"Sal20";"waldsteiniana";"Willd. 1806"
"21";"Sal21";"pentandra";"Linnaeus 1753"
"22";"Sal22";"breviserrata";"Flod. 1940"
"23";"Sal23";"reticulata";"Linnaeus 1753"
"24";"Sal24";"retusa";"Linnaeus 1763"
"25";"Sal25";"aurita";"Linnaeus 1753"
"26";"Sal26";"triandra";"Linnaeus 1753"
"27";"Sal27";"lanata";"Linnaeus 1753"
"28";"Sal28";"herbacea";"Linnaeus 1753"
"29";"Sal29";"borealis";"Fr. 1840"
"30";"Sal30";"myrtilloides";"Linnaeus 1753"
"31";"Sal31";"viminalis";"Linnaeus 1753"
"32";"Sal32";"glabra";"Scop. 1772"
"33";"Sal33";"apennina";"Skvortsov 1965"
"34";"Sal34";"rubens";"Hybrid"
"35";"Sal35";"rosmarinifolia";"Linnaeus 1753"
"36";"Sal36";"caprea x appendiculata";"Hybrid"
"37";"Sal37";"cinerea oleifolia";"Hybrid"
"38";"Sal38";"viminalis x caprea";"Hybrid"
"39";"Sal39";"viminalis x ?";"Linnaeus 1763?"
"40";"Sal40";"alpina?";"unbekannt"
"41";"Sal41";"phylicifolia x caprea ?";"Hybrid"
"42";"Sal42";"lapponum x glauca?";"Hybrid"
"43";"Sal43";"lapponum x glauca";"Hybrid"
"44";"Sal44";"aurita x caprea";"Hybrid"
"45";"Sal45";"starkeana";"Willd. 1806"
"46";"Sal46";"hastata x phylicifolia";"Hybrid"
"47";"Sal47";"lapponum x phylicifolia";"Hybrid"
"48";"Sal48";"acutifolia";"Willd. 1806"
"49";"Sal49";"bicolor";"Willd. 1796"
"50";"Sal50";"polaris";"Wahlenb. 1812"
"51";"Sal51";"cinerea x myrsinifolia";"Hybrid"
"52";"Sal52";"fragilis x pentandra";"Hybrid"
