"";"REARING_NUMBER";"YEAR_OF_COLL";"LEG";"COUNTRY";"REGION";"SITE";"NDECDEG";"EDECDEG";"ELEVATION"
"1";"198714E1-J1Oelaea";1987;1987-07-20;"Austria";"Tirol";"Gern-Alm";47,45;11,6166666667;1253
"2";"198714L1-V1Obridg";1987;1987-07-20;"Austria";"Tirol";"Gern-Alm";47,45;11,6166666667;1253
"3";"198715A1-V1Ovaria";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"4";"198715A-VOobscu";1987;1987-07-20;"Austria";"Tirol";"Rofan Gebirge, Erfurter Hütte";47,4333333333;11,75;1875
"5";"198714A-C1Okriec";1987;1987-07-20;"Austria";"Tirol";"Gern-Alm";47,45;11,6166666667;1253
"6";"198716A-C1Onigri";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"7";"198716E1-V1Ovaria";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"8";"198717A-P1Ofoeti";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"9";"198718A-Q1Oobscu";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"10";"198719A-DOnigri";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"11";"198719F-JOvaria";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"12";"198719I1-L1Ohasta";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"13";"198719T-G1Ofoeti";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"14";"198720A-D1Oadaph";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Lanersbach";47,15;11,7666666667;1553
"15";"198720E1-V1Ovaria";1987;1987-07-22;"Austria";"Tirol";"Zillertal, Lanersbach";47,15;11,7666666667;1553
"16";"198721A-V1Ohelve";1987;1987-07-23;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"17";"198722A-V1Onival";1987;1987-07-23;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"18";"198634H1-M1Obridg";1986;1986-07-17;"Germany";"Schleswig-Holstein";"Kiel, Dietrichsdorf";54,3333333333;10,1833333333;34
"19";"198636E1-37V1Ovimin";1986;1986-07-17;"Germany";"Schleswig-Holstein";"Katinger Watt";54,3166666667;10,6666666667;4
"20";"198638A-J1Oproxi";1986;1986-07-18;"Germany";"Schleswig-Holstein";"Katinger Watt";54,3166666667;10,6666666667;4
"21";"198639A-O1Oproxi";1986;1986-07-18;"Germany";"Schleswig-Holstein";"Katinger Watt";54,3166666667;10,6666666667;4
"22";"198640A-41V1Ocolla";1986;1986-07-20;"Denmark";"Jylland";"Hennestrand";55,7333333333;8,1666666667;8
"23";"198642A-43V1Ocolla";1986;1986-07-20;"Denmark";"Jylland";"Vejersstrand";55,6166666667;8,1166666667;7
"24";"198645A-V1Oproxi";1986;1986-07-22;"Germany";"Schleswig-Holstein";"Rogerfelde";54,1;10,8166666667;6
"25";"198646A-47V1Oproxi";1986;1986-07-22;"Germany";"Schleswig-Holstein";"Altenkrempe";54,1166666667;10,8166666667;3
"26";"198648A-JOadaph";1986;1986-07-26;"Germany";"Niedersachsen";"Ritterhude";53,1666666667;8,75;6
"27";"198648M-B1Oproxi";1986;1986-07-25;"Germany";"Niedersachsen";"Mellum";53,8166666667;8,15;1
"28";"198649A-H1Oproxi";1986;1986-07-26;"Germany";"Niedersachsen";"Stendorf";53,2;8,7;36
"29";"199045A-ROsamol";1990;1990-08-08;"Norway";"S.-Trondelag";"Dovrefjell";62,1833333333;9,4833333333;970
"30";"199045T-48QOmyrsi";1990;1990-08-08;"Norway";"S.-Trondelag";"Dovrefjell";62,1833333333;9,4833333333;970
"31";"199048S-49D1Oarcti";1990;1990-08-08;"Norway";"S.-Trondelag";"Dovrefjell";62,1833333333;9,4833333333;970
"32";"199049F1-N1Onival";1990;1990-08-08;"Norway";"S.-Trondelag";"Dovrefjell";62,1833333333;9,4833333333;970
"33";"199050A-51WEboreo";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"34";"199051Y-V1Onival";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"35";"199052A-NOglauc";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"36";"199052I1-Q1Elappo";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"37";"199052P-G1Elappc";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"38";"199052S1-V1Osamol";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"39";"199053A-MOlappo";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"40";"199053O-WOlappl";1990;1990-08-10;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"41";"199054A-QOnigri";1990;1990-08-15;"Norway";"Buskerud";"Geilo";60,5166666667;8,2166666667;874
"42";"199054S-55HEmyrsi";1990;1990-08-15;"Norway";"Buskerud";"Geilo";60,5166666667;8,2166666667;874
"43";"199055J-V1Ovaria";1990;1990-08-15;"Norway";"Buskerud";"Geilo";60,5166666667;8,2166666667;874
"44";"199101A1-3GOgalla";1991;1991-08-06;"Germany";"Hessen";"Vogelsberg, Hoherodskopf";50,5;9,2;680
"45";"199101G-SOgalla";1991;1991-07-31;"Germany";"Hessen";"Taunus, Oberreiffenberg";50,2333333333;8,4166666667;590
"46";"199104A-V1Hischn";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"47";"199105A-WEmyrsi";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"48";"199105Y-O1Onigri";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"49";"199106A-J1Ovaria";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"50";"199106L1-V1Ehasta";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"51";"199107A-8IEgemmf";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"52";"199108K-9EOfoeti";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"53";"199109G-NOmonti";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"54";"199109P-ROobscu";1991;1991-08-27;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"55";"199109T-V1Ofoeti";1991;1991-08-29;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"56";"199110A-11QOmonti";1991;1991-08-29;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"57";"199111H1-V1Oobscu";1991;1991-08-29;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"58";"199111S-F1Egemmf";1991;1991-08-29;"Austria";"Tirol";"Zillertal, Hintertux/ Weitental";47,1;11,65;1769
"59";"199112A-E1Okriec";1991;1991-08-30;"Austria";"Tirol";"Falzthurn-Alm";47,4166666667;11,65;1035
"60";"199112F1-13MEelaea";1991;1991-08-30;"Austria";"Tirol";"Falzthurn-Alm";47,4166666667;11,65;1035
"61";"199113O-T1Eelaea";1991;1991-08-30;"Austria";"Tirol";"Gramai-Alm";47,3833333333;11,6;1333
"62";"199114A-FEelaea";1991;1991-08-30;"Austria";"Tirol";"Gern-Alm";47,45;11,6166666667;1253
"63";"199114H-15VOkriec";1991;1991-08-31;"Austria";"Tirol";"Halltal";47,75;15,3833333333;847
"64";"199115X-16WHcarin";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"65";"199116Q1-T1Ehasta";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"66";"199116Y-O1Ohasta";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"67";"199117A-C1Onival";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"68";"199117E1-G1Eboreo";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"69";"199117I1-K1Egemmh";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"70";"199117M1-V1Hplicg";1991;1991-09-02;"Austria";"Tirol";"Ötztal, Obergurgl";46,8666666667;11,0166666667;1894
"71";"199118A1-Q1Omacul";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Am Spiegel";46,85;10,9;1914
"72";"199118A-ZEhasta";1991;1991-09-02;"Austria";"Tirol";"Ötztal, Obergurgl";46,8666666667;11,0166666667;1894
"73";"199118R1-U1Egemmh";1991;1991-09-01;"Austria";"Tirol";"Ötztal, Vent/ Am Spiegel";46,85;10,9;1914
"74";"199119A-O1Egemmh";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"75";"199119Q1-20XHspirh";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"76";"199120A1-G1Omacul";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"77";"199120I1-J1Ehasta";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"78";"199120L1-M1Ohasta";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"79";"199121A-UOnival";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"80";"199121W-V1Hplicg";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"81";"199122A1-O1Ehasta";1991;1991-09-05;"Switzerland";"Wallis";"Saastal, Mattmark";46,05;7,95;1916
"82";"199122F-ROmacul";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"83";"199122T-UEgemmh";1991;1991-09-04;"Switzerland";"Wallis";"Grimselpaß, Räterichsbodensee";46,5666666667;8,3166666667;1517
"84";"199123A-24HObrevi";1991;1991-09-05;"Switzerland";"Wallis";"Saastal, Mattmark";46,05;7,95;1916
"85";"199124A1-D1Egemmh";1991;1991-09-06;"Switzerland";"Wallis";"Nufenenpaß, Paßhöhe I";46,4666666667;8,4;2235
"86";"199124E1-T1Oobscu";1991;1991-09-06;"Switzerland";"Wallis";"Nufenenpaß, Paßhöhe I";46,4666666667;8,4;2235
"87";"199124J-MOretic";1991;1991-09-05;"Switzerland";"Wallis";"Nufenenpaß, Paßhöhe I";46,4666666667;8,4;2235
"88";"199124O-XOretus";1991;1991-09-05;"Switzerland";"Wallis";"Nufenenpaß, Paßhöhe I";46,4666666667;8,4;2235
"89";"199124U1-V1Egemmf";1991;1991-09-06;"Switzerland";"Wallis";"Nufenenpaß, Paßhöhe I";46,4666666667;8,4;2235
"90";"199125A-K1Enigri";1991;1991-09-22;"Germany";"Brandenburg";"Eberswalde";52,8333333333;13,8;20
"91";"199125M1-T1Emucro";1991;1991-09-23;"Germany";"Mecklenburg-Vorpommern";"Plauer See";52,4;12,45;28
"92";"199126A-27UEmucro";1991;1991-10-23;"Germany";"Hessen";"Taunus, Oberreiffenberg";50,2333333333;8,4166666667;590
"93";"199127W-28KEmucro";1991;1991-10-23;"Germany";"Hessen";"Marköbel";50,2166666667;9;142
"94";"199201A-2V1Onigri";1992;1992-07-19;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"95";"199203A-B1Ofoeti";1992;1992-07-19;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"96";"199204A-TEmyrsi";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"97";"199204K1-5OOnigri";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"98";"199204V-I1Ovaria";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"99";"199205Q-V1Egemmf";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"100";"199206A-UEgemmf";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"101";"199206J1-K1Omonti";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"102";"199206M1-7FEhasta";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"103";"199206W-H1Ofoeti";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"104";"199207H1-8G1Emyrsi";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"105";"199207H-F1Ovaria";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"106";"199208I1-V1Emyrsi";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"107";"199209A-M1Ovaria";1992;1992-08-25;"Austria";"Salzburg";"Obertauern I";47,2333333333;13,5166666667;1648
"108";"199210A-QEelaea";1992;1992-08-25;"Austria";"Salzburg";"Tauernpaß, Untertauern I";47,3;13,5;1004
"109";"199210S-11K1Eelaea";1992;1992-08-26;"Austria";"Tirol";"Falzthurn-Alm";47,4166666667;11,65;1035
"110";"199211O1-V1Hcarin";1992;1992-08-27;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"111";"199212A-V1Egemmh";1992;1992-08-27;"Austria";"Tirol";"Ötztal, Vent/ Rofental";46,85;10,9;2056
"112";"199213A-UEhasta";1992;1992-08-28;"Austria";"Tirol";"Ötztal, Obergurgl";46,8666666667;11,0166666667;1894
"113";"198723A-V1Ohasta";1987;1987-07-23;"Austria";"Tirol";"Ötztal, Vent/ Gample";46,8666666667;10,9166666667;1833
"114";"198724A-R1Omacul";1987;1987-07-23;"Austria";"Tirol";"Ötztal, Vent/ Am Spiegel";46,85;10,9;1914
"115";"198724S1-V1Ohelve";1987;1987-07-23;"Austria";"Tirol";"Ötztal, Vent/ Am Spiegel";46,85;10,9;1914
"116";"198725A-26V1Obrevi";1987;1987-07-26;"Switzerland";"Wallis";"Saastal, Mattmark";46,05;7,95;1916
"117";"198727A-V1Ohasta";1987;1987-07-26;"Switzerland";"Wallis";"Saastal, Mattmark";46,05;7,95;1916
"118";"198728A-C1Onival";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"119";"198728E1-R1Oadaph";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"120";"198729A-30E1Omacul";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"121";"198730G1-31V1Ohelve";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"122";"198732A-H1Ovesic";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"123";"198732J1-S1Ovimin";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"124";"198733A1-F1Ohasta";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"125";"198733A-YOviril";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"126";"198733K1-V1Obridg";1987;1987-07-27;"Switzerland";"Wallis";"Obergoms, Gletsch";46,55;8,35;1766
"127";"198734A-35V1Ovaria";1987;1987-07-28;"Switzerland";"Wallis";"Binntal nr. Fiesch";46,35;8,1666666667;1518
"128";"198736A-37ROhasta";1987;1987-07-30;"Switzerland";"Wallis";"Obergoms, Reckingen";46,4666666667;8,2333333333;1350
"129";"198737T-38H1Oadaph";1987;1987-07-30;"Switzerland";"Wallis";"Obergoms, Reckingen";46,4666666667;8,2333333333;1350
"130";"198738K1-T1Oadaph";1987;1987-07-30;"Switzerland";"Wallis";"Obergoms, Reckingen";46,4666666667;8,2333333333;1350
"131";"198743D-KObridg";1987;1987-07-14;"Germany";"Hessen";"Vogelsberg, Hoherodskopf";50,5;9,2;680
"132";"198743U-V1Opedun";1987;1987-07-14;"Germany";"Hessen";"Vogelsberg, Hoherodskopf";50,5;9,2;680
"133";"198744A-KObridg";1987;1987-07-14;"Germany";"Hessen";"Vogelsberg, Hoherodskopf";50,5;9,2;680
"134";"198744M-XOgalla";1987;1987-07-14;"Germany";"Hessen";"Gedern";50,4166666667;9,1666666667;349
"135";"198745A-E1Oproxi";1987;1987-10-02;"Germany";"Baden-Württemberg";"Ketsch";49,35;8,5;97
"136";"198746A-47LOvimin";1987;1987-10-02;"Germany";"Baden-Württemberg";"Ketsch";49,35;8,5;97
"137";"198747M-48FOtrian";1987;1987-10-17;"Poland";"Polen";"Torun";53,0166666667;18,5833333333;51
"138";"198748H-K1Oproxi";1987;1987-10-22;"Poland";"Polen";"Narewa";52,9;23,5166666667;135
"139";"198748M1-49WOvimin";1987;1987-10-17;"Poland";"Polen";"Torun";53,0166666667;18,5833333333;51
"140";"1987SAOviril";1987;1987-05-26;"Germany";"Hessen";"Griesheim bei Darmstadt";49,85;8,5166666667;92
"141";"198801A1-2V1Oglabr";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien I";61,5;9,7666666667;954
"142";"198801A-ZOarcti";1988;1988-07-26;"Norway";"Oppland";"Tretten, Nordbu nr. Ringebu";61,3333333333;10,3;552
"143";"198803A-4JOnival";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien I";61,5;9,7666666667;954
"144";"198804L-Q1Ohasta";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien I";61,5;9,7666666667;954
"145";"198805A-6V1Olappo";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien II";61,4666666667;9,8666666667;900
"146";"198807A-V1Oarcti";1988;1988-07-27;"Norway";"Oppland";"Tretten, Nordbu nr. Ringebu";61,3333333333;10,3;552
"147";"198808A-V1Onival";1988;1988-07-27;"Norway";"Oppland";"Tretten, Nordbu nr. Ringebu";61,3333333333;10,3;552
"148";"198809A-V1Olappo";1988;1988-07-27;"Norway";"Oppland";"Tretten, Nordbu nr. Ringebu";61,3333333333;10,3;552
"149";"198809V1Olappl";1988;1988-07-27;"Norway";"Oppland";"Tretten, Nordbu nr. Ringebu";61,3333333333;10,3;552
"150";"198810A-F1Onival";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien II";61,4666666667;9,8666666667;900
"151";"198810H1-V1Oglauc";1988;1988-07-27;"Norway";"Oppland";"Peer Gynt veien II";61,4666666667;9,8666666667;900
"152";"198811A-12G1Opustu";1988;1988-07-29;"Norway";"N.-Trondelag";"Skoganvatnet";64,2166666667;12,0166666667;220
"153";"198812I1-13V1Ovaria";1988;1988-07-29;"Norway";"N.-Trondelag";"Skoganvatnet";64,2166666667;12,0166666667;220
"154";"198814A-KOretic";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"155";"198814M-V1Ohasta";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"156";"198815A-16V1Oglabr";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"157";"198817A-18V1Olappo";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"158";"198819A-20J1Onival";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"159";"198820K1-V1Oglauc";1988;1988-07-30;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"160";"198821A-23V1Oherba";1988;1988-07-31;"Norway";"Nordland";"Polarkreis I";66,55;15,3;675
"161";"198825O1-V1Evenus";1988;1988-08-03;"Norway";"Nordland";"Lofot, Sandsletta";68,3333333333;14,4833333333;77
"162";"198826A-V1Oarcti";1988;1988-08-04;"Norway";"Troms";"Bardu";68,85;18,3333333333;82
"163";"198827A-QOgalla";1988;1988-08-03;"Norway";"Nordland";"Lofot, Sandsletta";68,3333333333;14,4833333333;77
"164";"198827S-28V1Onival";1988;1988-08-03;"Norway";"Nordland";"Lofot, Sandsletta";68,3333333333;14,4833333333;77
"165";"198829A-QOlappo";1988;1988-08-05;"Norway";"Troms";"Ramfjorden";69,5333333333;18,9833333333;99
"166";"198829C1-Q1Olappl";1988;1988-08-05;"Norway";"Troms";"Ramfjorden";69,5333333333;18,9833333333;99
"167";"198829S-A1Osamol";1988;1988-08-05;"Norway";"Troms";"Ramfjorden";69,5333333333;18,9833333333;99
"168";"198830A-G1Ehasta";1988;1988-08-07;"Norway";"Troms";"Kvaenangsbotn";69,75;22;8
"169";"198830H1-Q1Ohasta";1988;1988-08-07;"Norway";"Troms";"Kvaenangsbotn";69,75;22;8
"170";"198831A-32V1Oglabr";1988;1988-08-09;"Norway";"Finnmark";"Alta, Baeskades";69,7166666667;23,6;571
"171";"198833A-35XOnival";1988;1988-08-09;"Norway";"Finnmark";"Alta, Baeskades";69,7166666667;23,6;571
"172";"198835A1-36POsamol";1988;1988-08-09;"Norway";"Finnmark";"Alta, Baeskades";69,7166666667;23,6;571
"173";"198836R-37LOarcti";1988;1988-08-09;"Norway";"Finnmark";"Alta, Baeskades";69,7166666667;23,6;571
"174";"198837K1-39V1Oarcti";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"175";"198837N-I1Oherba";1988;1988-08-09;"Norway";"Finnmark";"Alta, Baeskades";69,7166666667;23,6;571
"176";"198840A-41IOhasta";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"177";"198841A1-44LOsamol";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"178";"198841K-ZEhasta";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"179";"198844M-TOlappo";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"180";"198844Q1-45KElappo";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"181";"198844U-VOarcti";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"182";"198844X-O1Osamol";1988;1988-08-11;"Finland";"Lappin";"Kilpisjärvi";69,05;20,7833333333;522
"183";"198845M-V1Oherba";1988;1988-08-13;"Norway";"Nordland";"Narvik, Björnfjell";68,4333333333;18,0833333333;510
"184";"198846A-49POretic";1988;1988-08-13;"Sweden";"Norrbotten";"Torne Träsk, Abisko";68,3166666667;18,85;465
"185";"198849R-51V1Oherba";1988;1988-08-13;"Sweden";"Norrbotten";"Torne Träsk, Abisko";68,3166666667;18,85;465
"186";"198852A-53V1Elappo";1988;1988-08-15;"Norway";"Nordland";"Polarkreis I";66,55;15,3;675
"187";"198854A-DElappc";1988;1988-08-15;"Norway";"Nordland";"Polarkreis I";66,55;15,3;675
"188";"198854F-J1Onorve";1988;1988-08-19;"Norway";"S.-Trondelag";"Oppdal";62,5333333333;9,6166666667;571
"189";"198854L1-N1Ephyli";1988;1988-08-19;"Norway";"S.-Trondelag";"Oppdal";62,5333333333;9,6166666667;571
"190";"198855A-UOmyrsi";1988;1988-08-15;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"191";"198855W-56ZElappc";1988;1988-08-15;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"192";"198855VOspeit";1988;1988-08-15;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"193";"198856A1-V1Elappo";1988;1988-08-15;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"194";"198857A-B1Omyrsi";1988;1988-08-19;"Norway";"S.-Trondelag";"Dovrefjell";62,1833333333;9,4833333333;970
"195";"198857D1-58JOmyrsi";1988;1988-08-19;"Norway";"Oppland";"Jotunheimen, Breiseterdalen";61,6;8,0333333333;798
"196";"198858L-59XOgalla";1988;1988-08-22;"Norway";"Hordaland";"Tyssedal, Ringedalsvatn";60,1166666667;6,6333333333;565
"197";"198859A1-60Oherba";1988;1988-08-22;"Norway";"Hordaland";"Röldal";59,8333333333;6,8166666667;444
"198";"198864M-YElappc";1988;1988-08-15;"Norway";"Nordland";"Korgfjellet";66,0333333333;13,6833333333;557
"199";"198876A-77H1Ovimin";1988;1988-06-24;"Germany";"Hessen";"Griesheim bei Darmstadt";49,85;8,5166666667;92
"200";"198877J1-R1Ovesic";1988;1988-06-24;"Germany";"Hessen";"Griesheim bei Darmstadt";49,85;8,5166666667;92
"201";"198878A-V1Obella";1988;1988-09-22;"Germany";"Hessen";"Gießen, Staufenberger Forst";50,65;8,6666666667;208
"202";"1988SZS-CHpruss";1988;1988-07-13;"Germany";"Hessen";"Kühkopf, Mordhecke I";49,8166666667;8,4166666667;87
