"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction","fraction"
"1",1,1,"mod2",NA,NA,NA,NA,8.58991520607201,0.881245688802,9.74746919641612,1.02708149971421e-05,0.58,1
"2",2,1,"mod2",NA,NA,NA,NA,8.63697041881215,1.83928397301494,4.69583302281185,0.00535704483969633,0.58,1
"3",3,1,"mod2",NA,NA,NA,NA,11.5376708250046,3.58247453666486,3.22058697331194,0.0485625373524413,0.58,1
"4",4,1,"mod2",NA,NA,NA,NA,8.57014689384141,1.80350480221461,4.75194015747433,0.00509573688997602,0.58,1
"5",5,1,"mod2",NA,NA,NA,NA,10.5388927784249,2.59388257606859,4.06297990343039,0.0153111040383366,0.58,1
"6",6,1,"mod2",NA,NA,NA,NA,6.90452774976871,1.62366332304915,4.25243808353223,0.00807297004833785,0.58,1
"7",7,1,"mod2",NA,NA,NA,NA,7.02266016409362,1.9946625939641,3.52072585375811,0.0244340407161759,0.58,1
"8",8,1,"mod2",NA,NA,NA,NA,9.17015628590321,1.78528961816403,5.13650905298699,0.00365603369398727,0.58,1
"9",11,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"10",12,1,"mod2",NA,NA,NA,NA,7.95648858090354,1.97494819113485,4.02870749552755,0.0100340042847143,0.58,1
"11",13,1,"mod2",NA,NA,NA,NA,8.94524264243611,2.57523561841722,3.4735627988611,0.0255008054364215,0.58,1
"12",18,1,"mod2",NA,NA,NA,NA,9.61725949597985,0.791882080435922,12.1448126350904,2.60954901181355e-07,0.58,1
"13",19,1,"mod2",NA,NA,NA,NA,9.81784753083302,2.89886990919138,3.38678444993471,0.0276118387384207,0.58,1
"14",22,1,"mod2",NA,NA,NA,NA,13.3640432997352,13.4456057786223,0.993933893330653,0.501936770093387,0.58,1
"15",24,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"16",25,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"17",26,1,"mod2",NA,NA,NA,NA,10.5072033654232,2.55700487400777,4.10918394103589,0.0147419693364496,0.58,1
"18",28,1,"mod2",NA,NA,NA,NA,9.0247666921793,2.15486133387669,4.18809625951352,0.0138277161019065,0.58,1
"19",30,1,"mod2",NA,NA,NA,NA,9.10744023473745,1.84704666185872,4.93081221108537,0.00435654005523276,0.58,1
"20",33,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"21",35,1,"mod2",NA,NA,NA,NA,8.64770780563569,1.6284033037947,5.31054425244887,0.00181146443184341,0.58,1
"22",38,1,"mod2",NA,NA,NA,NA,7.98014300010252,2.10911075608947,3.7836528864414,0.0193746289397225,0.58,1
"23",40,1,"mod2",NA,NA,NA,NA,7.82458408494201,1.20366897415636,6.50061125852826,0.00128610332689171,0.58,1
"24",43,1,"mod2",NA,NA,NA,NA,6.45751132717824,1.14924201474526,5.61893077726504,0.00247115854384718,0.58,1
"25",44,1,"mod2",NA,NA,NA,NA,9.71700031988945,1.81741251995989,5.34661240261728,0.00307265253922687,0.58,1
"26",45,1,"mod2",NA,NA,NA,NA,9.35116950034356,2.58512564260195,3.61729787761168,0.0224108733384774,0.58,1
"27",46,1,"mod2",NA,NA,NA,NA,7.55849317240106,1.60422816162401,4.71160733442639,0.00528203446477021,0.58,1
"28",48,1,"mod2",NA,NA,NA,NA,13.3640432997352,13.4456057786223,0.993933893330653,0.501936770093387,0.58,1
"29",51,1,"mod2",NA,NA,NA,NA,9.64651117453497,2.5605105034806,3.7674171464722,0.0196483161580036,0.58,1
"30",52,1,"mod2",NA,NA,NA,NA,11.5331558883223,2.70997558586856,4.25581542079683,0.0130971974979594,0.58,1
"31",56,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"32",58,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"33",62,1,"mod2",NA,NA,NA,NA,8.69969151936228,0.961407985693462,9.04890707048497,4.11790340573502e-05,0.58,1
