"WebID","WebScale","WebUnit","PredTSN","PreyTSN","PredName","PreyName"
9,"T","22","93294","10824","Amphipoda","Pilayella littoralis"
9,"T","22","93294","11334","Amphipoda","Fucus"
9,"T","22","70395","11334","Littorina","Fucus"
9,"T","22","92283","11334","Sphaeromatidae","Fucus"
9,"T","22","69731","11334","Lottia","Fucus"
9,"T","22","93294","12322","Amphipoda","Corallina"
9,"T","22","93294","13583","Amphipoda","Odonthalia"
9,"T","22","70395","13583","Littorina","Odonthalia"
9,"T","22","97774","13583","Paguridae","Odonthalia"
9,"T","22","93294","202421","Amphipoda","Bacteria"
9,"T","22","san102","202421","Zooplankton complex","Bacteria"
9,"T","22","48396","202421","Halichondria panicea","Bacteria"
9,"T","22","san267","202421","Phytoplankton complex","Bacteria"
9,"T","22","89609","2286","Balanus glandula","Bacillariophyta"
9,"T","22","70395","2286","Littorina","Bacillariophyta"
9,"T","22","san267","2286","Phytoplankton complex","Bacillariophyta"
9,"T","22","97774","2286","Paguridae","Bacillariophyta"
9,"T","22","79452","2286","Mytilus","Bacillariophyta"
9,"T","22","568350","2286","Tectura persona","Bacillariophyta"
9,"T","22","93294","2286","Amphipoda","Bacillariophyta"
9,"T","22","89687","2286","Semibalanus balanoides","Bacillariophyta"
9,"T","22","69731","2286","Lottia","Bacillariophyta"
9,"T","22","92283","2286","Sphaeromatidae","Bacillariophyta"
9,"T","22","san102","2286","Zooplankton complex","Bacillariophyta"
9,"T","22","89688","2286","Semibalanus cariosus","Bacillariophyta"
9,"T","22","93294","39074","Amphipoda","Zostera marina"
9,"T","22","san102","53963","Zooplankton complex","Platyhelminthes"
9,"T","22","93294","53963","Amphipoda","Platyhelminthes"
9,"T","22","89688","57411","Semibalanus cariosus","Nemertea"
9,"T","22","57411","57411","Nemertea","Nemertea"
9,"T","22","san102","57411","Zooplankton complex","Nemertea"
9,"T","22","93294","57411","Amphipoda","Nemertea"
9,"T","22","69731","601","Lottia","Cyanophycota"
9,"T","22","san267","601","Phytoplankton complex","Cyanophycota"
9,"T","22","93294","601","Amphipoda","Cyanophycota"
9,"T","22","san102","601","Zooplankton complex","Cyanophycota"
9,"T","22","70395","601","Littorina","Cyanophycota"
9,"T","22","93294","6501","Amphipoda","Ulvaceae"
9,"T","22","70395","6501","Littorina","Ulvaceae"
9,"T","22","92283","6501","Sphaeromatidae","Ulvaceae"
9,"T","22","79452","6501","Mytilus","Ulvaceae"
9,"T","22","53963","69731","Platyhelminthes","Lottia"
9,"T","22","57411","69731","Nemertea","Lottia"
