"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"1",1,1,1,"mod1",0.112719896817172,0.0399501431677213,2.82151421445336,0.0128876482055801,26.5633630331385,4.28610820566045,6.19754839554857,1.70715978071547e-05
"2",1,1,2,"mod2",NA,NA,NA,NA,25.2651775291565,0.622681091579428,40.5748269392145,6.35395866452038e-20
"3",1,1,3,"mod2",NA,NA,NA,NA,56.1417663138978,5.8127311405851,9.65841442792875,3.54819498862908e-09
"4",1,1,4,"mod1",0.0540646413489466,0.0322585056531408,1.6759809623631,0.110120188570674,36.2537522843427,4.80352874216589,7.54731661457616,3.93716679070403e-07
"5",1,1,5,"mod2",NA,NA,NA,NA,29.6602965119162,0.520440232779733,56.9907832711108,2.87665337547071e-26
"6",1,1,6,"mod1",0.0574825779300578,0.0273332598947887,2.10302679414457,0.0471264160498627,38.602296355074,4.07055275898901,9.48330574264846,3.14117783182484e-09
"7",1,1,7,"mod2",NA,NA,NA,NA,37.7789116130212,0.79561675093038,47.4838062029781,1.15874559857472e-23
"8",1,1,8,"mod2",NA,NA,NA,NA,64.2068105966083,5.55730544064389,11.5535867665336,5.87880871620562e-12
"9",1,1,9,"mod2",NA,NA,NA,NA,35.9916672699218,0.585483666861096,61.4733925249886,1.4818116687089e-30
"10",1,1,10,"mod2",NA,NA,NA,NA,38.1498792220866,1.15212041841465,33.1127533305781,1.51863442686076e-21
"11",1,1,11,"mod2",NA,NA,NA,NA,42.2836111068657,0.955316229036382,44.2613763083631,9.67141522546325e-27
"12",1,1,12,"mod2",NA,NA,NA,NA,38.121526459115,1.16121173825892,32.8290915455892,6.74058567102572e-24
"13",1,1,13,"mod2",NA,NA,NA,NA,40.659179471258,1.18460260073926,34.3230543693594,1.99631162333942e-24
"14",1,1,14,"mod2",NA,NA,NA,NA,40.1122376074411,1.24304192833494,32.2694164155601,1.07792717815746e-23
"15",1,1,15,"mod2",NA,NA,NA,NA,40.7713535165444,1.10513692585516,36.8925809668293,8.50332952054874e-28
"16",1,1,16,"mod2",NA,NA,NA,NA,39.5863494365094,1.27699921445395,30.9995096225933,1.20839097714636e-22
"17",1,1,17,"mod2",NA,NA,NA,NA,41.3242955995834,1.16673564877469,35.4187305779011,2.01713241174067e-25
"18",1,1,18,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"19",1,1,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"20",1,2,1,"mod2",NA,NA,NA,NA,39.9602263232583,3.94740445052841,10.1231649363696,1.29358206533176e-08
"21",1,2,2,"mod2",NA,NA,NA,NA,27.0035566419184,1.19575249655998,22.5828979823199,1.17188516966588e-14
"22",1,2,3,"mod2",NA,NA,NA,NA,46.6252629821471,5.51929898520437,8.44767842929616,1.72558266046654e-07
"23",1,2,4,"mod2",NA,NA,NA,NA,26.9963817549325,1.06926521086445,25.2476013253131,4.44030288561156e-16
"24",1,2,5,"mod1",0.149721332378828,0.0333101981421811,4.49475958503034,0.000280219819047261,39.6734073987738,6.06148336636642,6.5451647725227,3.76286652481329e-06
"25",1,2,6,"mod2",NA,NA,NA,NA,33.5134567496353,1.28169418496601,26.147779355435,4.61186998043186e-18
"26",1,2,7,"mod2",NA,NA,NA,NA,64.4798273690534,5.50269126008969,11.7178711872711,3.54804854845328e-11
"27",1,2,8,"mod2",NA,NA,NA,NA,60.6191474753212,5.10072942684132,11.8844075822426,4.78667297734831e-11
"28",1,2,9,"mod2",NA,NA,NA,NA,33.946688229092,0.835675338138513,40.6218619598241,6.21710640464376e-20
"29",1,2,10,"mod2",NA,NA,NA,NA,38.7474126990024,1.48536374562516,26.0861440930716,4.00231124097079e-19
"30",1,2,11,"mod2",NA,NA,NA,NA,36.5537888691632,0.920990945686686,39.689628915851,1.72667470367424e-27
"31",1,2,12,"mod1",0.0380601709906976,0.024949728827654,1.52547433495598,0.140212033547342,44.0765412227349,4.56516120675241,9.65498023542751,9.71463317507789e-10
"32",1,2,13,"mod2",NA,NA,NA,NA,38.3213836737299,0.766435894311846,49.9994636970092,8.84707619756769e-26
"33",1,2,14,"mod1",0.0469340003823156,0.0267444843346893,1.75490391943879,0.0915255734576063,46.265032758434,5.11094640208984,9.05214594688695,2.29928627402991e-09
"34",1,2,15,"mod2",NA,NA,NA,NA,40.5676892088615,0.987824382137458,41.0677140010261,6.52326062143925e-30
"35",1,2,16,"mod2",NA,NA,NA,NA,40.323354664886,1.21122689569157,33.2913303100512,4.60022979840359e-24
"36",1,2,17,"mod2",NA,NA,NA,NA,41.3257393069182,1.13819944647464,36.3079945565928,9.97911079295371e-26
"37",1,2,18,"mod2",NA,NA,NA,NA,39.4102478574613,1.10195745901348,35.7638559774741,1.53197192738509e-25
"38",1,2,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"39",1,3,1,"mod2",NA,NA,NA,NA,40.7246751043305,6.49513266793725,6.27002975710795,2.87846196596097e-05
"40",1,3,2,"mod2",NA,NA,NA,NA,19.8033759196659,0.63622016552432,31.1266083547439,4.82245901667912e-15
"41",1,3,3,"mod2",NA,NA,NA,NA,30.978761525552,0.89367782734738,34.6643505943337,1.07634726684464e-20
"42",1,3,4,"mod1",0.138593012494367,0.046515680983691,2.97949013243425,0.0074099515696865,46.4854296854711,10.4419270450643,4.45180563748948,0.000244777936339895
"43",1,3,5,"mod2",NA,NA,NA,NA,34.8099268460971,1.24193003777075,28.0288951772038,6.40609630847555e-17
"44",1,3,6,"mod2",NA,NA,NA,NA,56.0946628536026,4.55101332841886,12.3257522678123,4.03652980201415e-12
"45",1,3,7,"mod2",NA,NA,NA,NA,34.3809662041495,0.896254017252095,38.3607387440908,6.24497465767989e-21
"46",1,3,8,"mod1",0.0389198809581148,0.0235794865192004,1.65058220951601,0.111332790006579,37.0508668122947,3.40366302819678,10.8855860598879,5.63138107388715e-11
"47",1,3,9,"mod1",0.0447766047648832,0.0259915543971459,1.72273670441965,0.0983575933459581,39.3494695607345,4.22891070401966,9.30487123394024,2.92373052399004e-09
"48",1,3,10,"mod2",NA,NA,NA,NA,37.9607821025255,0.99597428092638,38.1142192419038,1.12732832062087e-25
"49",1,3,11,"mod2",NA,NA,NA,NA,38.4971497855974,0.922272297362312,41.7416308564172,1.76769559470435e-29
"50",1,3,12,"mod2",NA,NA,NA,NA,37.967939881184,1.10532649389259,34.3499772157578,1.20318538055942e-25
"51",1,3,13,"mod1",0.0397165463240851,0.0261231996791039,1.52035534742915,0.141487942745804,43.8582923229648,4.60158081420425,9.53113594953765,1.24510169354763e-09
"52",1,3,14,"mod2",NA,NA,NA,NA,66.2729038587124,5.32940476615637,12.4353294160671,1.8949840028116e-12
"53",1,3,15,"mod2",NA,NA,NA,NA,37.1231709388634,1.07914008540156,34.4006968521139,1.87657923889488e-24
"54",1,3,16,"mod2",NA,NA,NA,NA,40.5846405432374,1.17808883320562,34.4495588102683,1.8050621263193e-24
"55",1,3,17,"mod2",NA,NA,NA,NA,39.1585522825685,1.10726489132898,35.3651168651875,3.74293939957452e-24
"56",1,3,18,"mod2",NA,NA,NA,NA,40.5749508149485,1.09788848097765,36.9572607035802,3.33941097968322e-27
"57",1,3,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"58",1,4,1,"mod2",NA,NA,NA,NA,39.8280539240712,4.26412105000824,9.34027281518995,2.16068300305038e-07
"59",1,4,2,"mod2",NA,NA,NA,NA,55.1211587290702,8.06779466004762,6.8322461157861,1.8174991406706e-05
"60",1,4,3,"mod2",NA,NA,NA,NA,25.5012531367451,0.75567245337942,33.7464373918907,4.16452542372592e-19
"61",1,4,4,"mod2",NA,NA,NA,NA,30.6440166997005,0.771710914833631,39.7091917590758,3.05171734640271e-21
"62",1,4,5,"mod2",NA,NA,NA,NA,30.8662288870311,1.17852517990918,26.1905552916654,1.60837129182504e-17
"63",1,4,6,"mod2",NA,NA,NA,NA,33.4420319076997,1.72738317001137,19.3599384828322,2.00765293774137e-14
"64",1,4,7,"mod2",NA,NA,NA,NA,30.8005776686255,0.951512791873778,32.3701141294917,6.25184181873771e-22
"65",1,4,8,"mod2",NA,NA,NA,NA,30.6805454383831,0.859580587765527,35.6924596425996,5.7130870300224e-23
"66",1,4,9,"mod2",NA,NA,NA,NA,34.2667831951603,1.07243476085603,31.9523242307141,8.58710302914725e-22
"67",1,4,10,"mod2",NA,NA,NA,NA,63.8745025576857,5.50686425640558,11.5990697398046,1.48295763455866e-11
"68",1,4,11,"mod2",NA,NA,NA,NA,63.7478803421051,6.02911408294164,10.5733412015654,7.234923543455e-10
"69",1,4,12,"mod2",NA,NA,NA,NA,38.6340960578831,1.05867533177129,36.4928650913624,3.31475063757914e-23
"70",1,4,13,"mod1",0.0564589614908942,0.0235574317070368,2.39665181642146,0.0240285507419644,39.8876282672244,3.75256801371815,10.629421804324,5.85914844333023e-11
"71",1,4,14,"mod2",NA,NA,NA,NA,34.5932311103583,1.39567727263125,24.7859815365054,4.29787067311628e-18
"72",1,4,15,"mod2",NA,NA,NA,NA,36.9249977849138,0.700528845480896,52.7101746389411,3.7904272293013e-27
"73",1,4,16,"mod1",0.041575052390212,0.0262767130086029,1.58220141067874,0.127258808378833,42.2778992813097,4.45905731631123,9.48135363200134,2.06797224346754e-09
"74",1,4,17,"mod2",NA,NA,NA,NA,41.4227808891918,1.35185561713258,30.641423806082,6.19702744569944e-22
"75",1,4,18,"mod2",NA,NA,NA,NA,40.8664113209836,1.14095741863648,35.817648102785,6.20979934836472e-25
"76",1,4,19,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26
"77",1,5,1,"mod2",NA,NA,NA,NA,38.9557534307069,6.21069852837216,6.27236264209999,9.2331456807994e-05
"78",1,5,2,"mod2",NA,NA,NA,NA,33.4586740661843,3.37720358342451,9.90721265084555,2.00454954061483e-07
"79",1,5,3,"mod2",NA,NA,NA,NA,49.2682771181571,4.88238109979441,10.0910347044051,1.65273275385333e-09
"80",1,5,4,"mod2",NA,NA,NA,NA,27.8640307533769,0.720727983796841,38.6609530638555,1.9757820484587e-22
"81",1,5,5,"mod2",NA,NA,NA,NA,31.6485063694022,1.12971653856473,28.0145552349004,4.06183245385276e-18
"82",1,5,6,"mod1",0.0782259582427018,0.0424821776027478,1.84138296709258,0.0821071602140818,38.0341060110225,6.56765035816355,5.79112832395933,1.7334676813196e-05
"83",1,5,7,"mod2",NA,NA,NA,NA,28.1582384089056,1.22048155439859,23.0714166120938,2.33764266930065e-15
"84",1,5,8,"mod2",NA,NA,NA,NA,55.238401764491,5.29654417462293,10.4291401984622,2.15003846735894e-10
"85",1,5,9,"mod2",NA,NA,NA,NA,65.6237600175319,5.73583972254177,11.4410030949141,1.98313591615333e-11
"86",1,5,10,"mod2",NA,NA,NA,NA,36.2123773975169,1.24132950963075,29.1722521027384,2.95936441849368e-20
"87",1,5,11,"mod2",NA,NA,NA,NA,37.2999409786857,0.796177083221749,46.8488000530619,2.12606265043108e-27
"88",1,5,12,"mod2",NA,NA,NA,NA,38.7699510334313,1.34768158682916,28.7678865782011,1.10814097226079e-20
"89",1,5,13,"mod2",NA,NA,NA,NA,37.7652184805004,1.02789530901478,36.7403354692782,1.36355002589242e-24
"90",1,5,14,"mod1",0.0452309972798156,0.0211247727434435,2.14113533097552,0.0418075465405297,45.3676383822037,4.04238630217023,11.2229843936111,1.82063817644757e-11
"91",1,5,15,"mod2",NA,NA,NA,NA,40.7393096881067,1.27448605023718,31.965284893095,8.50246512629899e-22
